Running Forward KL,Running Env Steps,Real Sto Return,Running Reverse KL,Reward Loss,Itration,Running Update Time,Real Det Return
158.5346,0,-180.19,11.7239,2151.84619140625,0,0,-16.9
158.5355,5000,-2.44,12.1727,1788.46044921875,1,1,-11.25
158.2933,10000,226.39,12.6043,1883.10888671875,2,2,342.85
158.1586,15000,406.2,13.5822,1858.0267333984375,3,3,876.86
158.1003,20000,471.68,13.8302,1720.49755859375,4,4,845.41
157.9274,25000,520.95,13.7165,1378.2464599609375,5,5,1030.41
158.2142,30000,689.57,14.6488,1148.3038330078125,6,6,1051.74
157.9236,35000,722.99,14.9116,933.0462646484375,7,7,1079.89
157.8292,40000,805.63,15.0559,793.4025268554688,8,8,1191.53
157.9163,45000,998.27,15.5339,471.3699951171875,9,9,1430.43
158.0834,50000,964.28,16.1596,316.82281494140625,10,10,1362.59
158.1152,55000,1087.45,16.144,147.8658447265625,11,11,1545.63
157.7481,60000,1172.36,16.3453,46.15301513671875,12,12,1625.66
157.7399,65000,1220.62,16.813,-121.3715591430664,13,13,1666.17
158.0539,70000,1291.59,17.0333,-331.1809997558594,14,14,1663.92
157.8547,75000,1282.4,16.2809,-574.477294921875,15,15,1725.99
157.7584,80000,1333.71,16.4195,-790.7447509765625,16,16,1806.1
157.8019,85000,1381.97,16.4823,-951.03564453125,17,17,1856.45
157.7969,90000,1400.13,16.4581,-1147.9852294921875,18,18,1830.74
157.5681,95000,1467.13,16.5041,-1439.5042724609375,19,19,1872.01
157.4179,100000,1509.87,16.945,-1564.2801513671875,20,20,1914.84
157.5802,105000,1478.65,16.1555,-1908.7899169921875,21,21,1830.22
157.5906,110000,1514.41,16.3916,-2070.0830078125,22,22,1908.97
157.6199,115000,1540.72,16.448,-2356.00244140625,23,23,1966.71
157.6025,120000,1578.66,16.7435,-2516.165771484375,24,24,1917.0
157.7334,125000,1610.23,16.9888,-2736.212646484375,25,25,1950.21
157.3307,130000,1611.76,16.5937,-2911.9404296875,26,26,1971.21
157.4182,135000,1610.05,16.1868,-3136.826416015625,27,27,1926.81
157.4773,140000,1591.71,16.1047,-3396.295654296875,28,28,1892.21
157.7225,145000,1576.72,16.1748,-3563.64697265625,29,29,1848.88
157.2451,150000,1611.53,16.0662,-3804.58349609375,30,30,1906.78
157.5074,155000,1663.99,16.6374,-3992.43212890625,31,31,1994.91
157.4371,160000,1620.0,16.199,-4244.5673828125,32,32,1931.2
157.5051,165000,1592.86,16.0168,-4438.09716796875,33,33,1939.65
157.081,170000,1614.89,15.9798,-4583.55322265625,34,34,1952.59
157.1874,175000,1675.99,16.4325,-4801.38330078125,35,35,2049.81
157.4085,180000,1673.83,16.0899,-4909.6689453125,36,36,2016.53
157.4015,185000,1694.4,16.8619,-5151.37841796875,37,37,2073.03
157.2535,190000,1626.91,15.8557,-5419.58837890625,38,38,1971.13
157.1802,195000,1706.97,16.4571,-5565.16650390625,39,39,2088.5
157.1567,200000,1674.96,16.0691,-5861.15478515625,40,40,1990.74
157.0875,205000,1705.72,16.1941,-5930.90673828125,41,41,2041.04
157.0943,210000,1697.46,16.3249,-6199.95654296875,42,42,2071.9
157.1874,215000,1711.04,16.2728,-6351.5517578125,43,43,2045.91
157.3289,220000,1697.64,16.4995,-6539.451171875,44,44,2095.84
157.2115,225000,1686.99,16.0761,-6797.60107421875,45,45,2036.23
157.1654,230000,1729.93,16.0412,-6994.51123046875,46,46,2079.39
157.1233,235000,1732.01,16.345,-7154.8125,47,47,2096.56
156.9527,240000,1727.58,16.1439,-7287.6796875,48,48,2099.04
157.2331,245000,1730.94,16.1932,-7543.4619140625,49,49,2097.76
157.1184,250000,1742.83,16.3349,-7775.0986328125,50,50,2131.36
157.078,255000,1736.34,16.0625,-7989.314453125,51,51,2116.84
157.0673,260000,1748.86,16.124,-8207.63671875,52,52,2099.27
157.0867,265000,1697.46,15.843,-8398.1484375,53,53,2067.12
156.9156,270000,1720.57,15.7498,-8649.814453125,54,54,2100.51
157.049,275000,1716.05,15.8479,-8797.958984375,55,55,2057.28
157.1718,280000,1701.51,15.5112,-9022.6103515625,56,56,2048.98
156.9788,285000,1738.95,15.8202,-9204.384765625,57,57,2119.68
157.0979,290000,1633.11,15.9602,-9474.1689453125,58,58,2042.65
156.8825,295000,1741.16,15.5384,-9671.8662109375,59,59,2065.05
156.9596,300000,1782.46,15.8426,-9790.42578125,60,60,2095.89
156.874,305000,1749.03,15.4709,-10048.044921875,61,61,2072.26
156.9763,310000,1777.46,15.7516,-10244.494140625,62,62,2124.39
157.0388,315000,1746.05,15.7359,-10483.8017578125,63,63,2112.17
156.9855,320000,1752.03,15.9158,-10738.00390625,64,64,2109.72
156.7538,325000,1776.72,15.6826,-10858.3623046875,65,65,2100.7
156.8822,330000,1772.96,15.9919,-11057.064453125,66,66,2146.1
156.9026,335000,1756.34,16.0749,-11341.7626953125,67,67,2117.69
156.9607,340000,1808.02,15.8942,-11484.591796875,68,68,2137.1
156.9586,345000,1781.11,15.9434,-11615.0615234375,69,69,2125.95
156.9719,350000,1767.79,15.5204,-11928.564453125,70,70,2051.69
156.8081,355000,1761.73,15.4107,-12168.49609375,71,71,2113.54
156.8827,360000,1756.93,15.7903,-12441.0439453125,72,72,2103.83
156.9265,365000,1789.54,15.7977,-12562.93359375,73,73,2144.66
156.7507,370000,1753.32,15.49,-12844.640625,74,74,2085.53
156.6805,375000,1773.21,15.3689,-12988.478515625,75,75,2119.34
156.7915,380000,1739.05,15.1987,-13265.828125,76,76,2046.47
156.8585,385000,1767.47,15.5109,-13430.4658203125,77,77,2089.49
156.8778,390000,1784.44,15.493,-13716.9560546875,78,78,2111.51
157.0191,395000,1793.6,15.9573,-13851.328125,79,79,2105.77
156.9335,400000,1802.98,15.3209,-14104.46484375,80,80,2140.42
156.8144,405000,1808.82,15.6303,-14389.115234375,81,81,2122.73
156.9387,410000,1790.22,15.6659,-14557.2890625,82,82,2125.34
156.9032,415000,1823.07,15.4862,-14727.6337890625,83,83,2209.68
156.6215,420000,1833.39,15.4433,-14962.31640625,84,84,2156.01
156.8902,425000,1807.51,15.6926,-15213.125,85,85,2135.04
156.8335,430000,1772.54,15.5144,-15435.173828125,86,86,2095.16
156.8568,435000,1797.8,15.3597,-15686.2861328125,87,87,2104.42
156.9141,440000,1799.29,15.3681,-15888.5517578125,88,88,2117.29
156.8657,445000,1793.84,15.3881,-16157.234375,89,89,2155.12
156.9352,450000,1810.65,15.5752,-16358.8134765625,90,90,2159.62
156.8924,455000,1824.34,15.5642,-16491.09375,91,91,2136.75
156.8146,460000,1801.9,15.5741,-16870.04296875,92,92,2160.29
156.8926,465000,1812.78,15.1667,-17066.064453125,93,93,2122.85
156.7869,470000,1810.43,15.401,-17351.42578125,94,94,2139.1
156.8077,475000,1804.66,15.2068,-17515.591796875,95,95,2112.73
156.7506,480000,1841.7,15.55,-17797.16796875,96,96,2206.51
156.9108,485000,1813.96,15.7311,-17990.60546875,97,97,2161.72
156.9,490000,1824.61,15.6816,-18325.478515625,98,98,2147.47
156.6904,495000,1805.71,15.427,-18424.45703125,99,99,2105.83
156.6863,500000,1820.67,15.3873,-18628.3203125,100,100,2172.38
156.7042,505000,1826.2,15.3964,-18950.033203125,101,101,2149.14
156.6523,510000,1814.71,15.2224,-19064.31640625,102,102,2181.48
156.8374,515000,1826.15,15.4281,-19397.794921875,103,103,2178.7
156.7666,520000,1829.33,15.4755,-19747.78515625,104,104,2208.83
156.6241,525000,1804.51,15.4259,-19792.51171875,105,105,2138.72
156.5814,530000,1841.87,15.1645,-19977.841796875,106,106,2191.72
156.7311,535000,1824.72,15.2615,-20353.814453125,107,107,2189.07
156.7751,540000,1823.43,15.2806,-20688.66796875,108,108,2154.93
