Itration,Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Running Forward KL,Reward Loss,Running Update Time
0,17.7772,207.16,0,192.71,32.2297,-142.1713409423828,0
1,42.3587,238.75,5000,234.26,32.8904,-314.95928955078125,1
2,63.064,241.69,10000,233.14,32.4568,-133.31846618652344,2
3,64.6448,300.84,15000,289.21,30.2688,-283.89581298828125,3
4,49.0993,295.7,20000,283.81,30.7748,-359.9278259277344,4
5,19.8655,998.32,25000,1015.29,35.4194,-474.0863342285156,5
6,21.2712,319.75,30000,320.67,30.6365,-55.53525161743164,6
7,25.9195,191.72,35000,349.47,34.2328,-324.2176208496094,7
8,40.1546,304.43,40000,361.65,32.754,-495.9814147949219,8
9,32.3537,1050.82,45000,1052.47,36.8664,-562.6854858398438,9
10,22.6111,515.63,50000,512.43,32.0449,-362.81280517578125,10
11,26.2158,1049.92,55000,1053.25,36.8751,-643.7341918945312,11
12,33.012,1021.05,60000,1022.46,36.299,-846.8435668945312,12
13,30.2468,1049.94,65000,1051.6,36.8538,-696.764892578125,13
14,35.4526,1013.16,70000,1016.61,36.1899,-916.4374389648438,14
15,45.4848,978.25,75000,977.9,38.3937,-948.2232666015625,15
16,39.831,985.93,80000,980.03,38.2094,-1008.837890625,16
17,27.0911,1031.04,85000,886.01,32.5752,-904.7166137695312,17
18,39.1404,983.14,90000,1022.39,38.7051,-1070.9810791015625,18
19,33.045,1012.8,95000,1012.4,37.1251,-1126.488037109375,19
20,28.5069,1029.85,100000,1038.42,37.18,-1132.12353515625,20
21,24.8309,1050.04,105000,1053.82,36.0427,-1145.4237060546875,21
22,24.1534,1055.22,110000,1058.46,34.9297,-1258.22021484375,22
23,26.4598,1040.29,115000,1042.38,37.4748,-1230.82373046875,23
24,23.8649,1048.95,120000,1042.46,38.3018,-1373.9283447265625,24
25,23.0408,228.63,125000,226.97,31.1372,-1261.2584228515625,25
26,65.7845,297.04,130000,281.73,32.2298,-1827.4383544921875,26
27,47.6003,490.7,135000,442.8,31.1736,-1335.1031494140625,27
28,38.6553,707.19,140000,619.1,33.7118,-1289.4031982421875,28
29,40.6483,465.89,145000,466.84,35.275,-1366.794677734375,29
30,23.8406,1047.64,150000,1054.65,36.6224,-1519.9600830078125,30
31,35.9864,487.83,155000,504.92,32.3617,-1431.8934326171875,31
32,19.2171,432.75,160000,501.85,31.0509,-1391.7841796875,32
33,26.9777,1045.42,165000,1032.85,38.7724,-1805.3251953125,33
34,27.4142,1001.91,170000,813.44,31.7545,-1654.3748779296875,34
35,38.7745,585.56,175000,811.69,37.5772,-1963.7728271484375,35
36,19.2351,846.61,180000,435.95,31.9141,-1498.069091796875,36
37,28.1727,652.83,185000,582.96,32.4715,-1644.961181640625,37
38,16.2017,1056.63,190000,719.46,31.2006,-1493.9168701171875,38
39,21.9157,1043.6,195000,1051.92,35.951,-2034.773193359375,39
40,20.3251,578.54,200000,494.2,33.2565,-1920.8179931640625,40
41,35.8988,104.96,205000,110.29,32.2539,-2283.74755859375,41
42,25.4086,588.61,210000,528.66,35.5421,-1870.990966796875,42
43,36.8649,650.42,215000,621.74,35.6964,-1968.9322509765625,43
44,30.7937,610.12,220000,587.21,34.922,-2024.4261474609375,44
45,26.2398,269.65,225000,246.05,32.4363,-2118.14501953125,45
46,23.8845,1032.42,230000,1034.08,35.6868,-2405.30126953125,46
47,20.5246,1028.27,235000,1012.06,36.9185,-2478.124267578125,47
48,23.5809,1040.83,240000,1042.58,37.7674,-2480.4873046875,48
49,25.1008,1045.18,245000,836.91,34.3927,-2170.081298828125,49
50,25.3686,1039.02,250000,1039.29,38.755,-2551.568359375,50
51,18.6386,864.21,255000,795.0,32.1617,-2086.94580078125,51
52,28.2575,415.02,260000,472.0,36.6752,-2629.21728515625,52
53,26.1028,1056.26,265000,1056.74,36.2982,-2759.837158203125,53
54,35.5185,1052.84,270000,415.03,32.9542,-2580.038818359375,54
55,37.1104,173.68,275000,139.24,33.1795,-2939.0478515625,55
56,30.1197,1035.46,280000,1038.58,35.6916,-2968.92919921875,56
57,34.6101,1051.97,285000,1049.93,36.6894,-2981.973388671875,57
58,26.6172,1031.25,290000,1038.93,36.306,-2937.389404296875,58
59,43.8002,531.17,295000,467.66,32.0531,-2730.7041015625,59
60,24.7201,1040.47,300000,1052.61,35.0256,-3114.464111328125,60
61,23.8151,545.48,305000,686.74,34.4768,-3120.1171875,61
62,31.6782,597.84,310000,660.35,31.1436,-2828.741455078125,62
63,23.5452,1045.02,315000,1019.2,34.3966,-3269.510498046875,63
64,29.4082,1040.87,320000,1040.09,36.5093,-3302.811279296875,64
65,25.1959,1039.69,325000,1040.02,36.802,-3361.1162109375,65
66,30.3483,1010.48,330000,1009.88,37.2722,-3568.78466796875,66
67,27.8062,1005.86,335000,1003.69,36.8493,-3514.656005859375,67
68,32.4037,778.12,340000,851.26,31.498,-3461.3251953125,68
69,32.4155,1029.24,345000,1028.81,38.1211,-3682.28759765625,69
70,40.1598,989.74,350000,988.47,39.2235,-3729.705078125,70
71,45.3735,1002.38,355000,1000.5,39.1507,-3824.39013671875,71
72,24.8759,329.54,360000,330.21,31.3273,-1766.4600830078125,72
73,34.9474,292.9,365000,300.51,30.947,-3136.348388671875,73
74,42.4981,318.1,370000,317.65,31.3538,-3419.7890625,74
75,38.6076,373.81,375000,370.47,31.8206,-3458.7421875,75
76,44.2564,378.9,380000,375.93,32.7832,-3492.896484375,76
77,39.6905,371.45,385000,373.14,32.8464,-3508.284912109375,77
78,24.1975,379.45,390000,394.18,32.7482,-3246.081787109375,78
79,35.0465,426.03,395000,394.49,33.4321,-3590.7392578125,79
80,35.7983,346.18,400000,350.6,32.0796,-3687.66015625,80
81,31.2747,379.77,405000,374.02,31.8549,-3681.6328125,81
82,30.42,351.4,410000,360.84,31.7906,-3607.638916015625,82
83,31.7706,365.96,415000,365.0,29.6438,-3707.681396484375,83
84,34.1091,484.41,420000,444.25,28.5247,-3447.969970703125,84
85,32.6925,619.98,425000,518.81,27.4879,-3423.138427734375,85
86,28.8372,618.04,430000,601.46,28.0076,-3239.18310546875,86
87,23.8723,1235.32,435000,1133.78,27.3184,-2680.984130859375,87
88,28.2606,640.39,440000,735.32,28.3432,-3281.047607421875,88
89,22.6379,758.52,445000,711.22,27.6557,-3241.11376953125,89
90,15.3826,1855.86,450000,1873.03,25.4179,-1834.8052978515625,90
91,15.6328,2075.23,455000,1832.92,25.8037,-2147.906494140625,91
92,122.9718,1085.2,460000,994.48,27.994,-4224.47412109375,92
93,21.345,2009.6,465000,1116.39,27.0813,-3261.875732421875,93
94,15.2732,2069.07,470000,1216.52,26.9443,-2485.45361328125,94
95,19.5225,1713.49,475000,1512.77,26.8553,-3143.716796875,95
96,20.2729,1919.98,480000,1297.45,26.3637,-3132.36181640625,96
97,14.9453,2176.9,485000,1945.04,27.5257,-1899.6422119140625,97
98,21.8854,2028.43,490000,1487.82,26.7507,-2842.706298828125,98
99,17.4344,2685.18,495000,2072.2,25.9404,-2201.251953125,99
100,14.8813,2494.11,500000,2540.11,27.9139,-1624.6741943359375,100
101,21.3712,1344.14,505000,1054.83,26.6176,-3472.746826171875,101
102,22.1617,1272.12,510000,1327.06,26.1104,-2948.260498046875,102
103,23.5722,1073.91,515000,1314.58,26.3951,-3409.32958984375,103
104,15.162,909.82,520000,1687.46,25.4552,-2169.3662109375,104
105,14.4988,2537.61,525000,2457.6,26.5818,-1823.7576904296875,105
106,18.1599,2914.95,530000,1480.36,24.9194,-2706.60400390625,106
107,14.696,2454.11,535000,2647.9,26.3766,-1756.200927734375,107
108,19.154,2615.3,540000,1556.01,25.6762,-3070.354736328125,108
109,15.636,2798.9,545000,2588.9,25.8045,-1667.47998046875,109
110,15.2732,2559.81,550000,2594.69,27.2745,-1911.0086669921875,110
111,15.8482,2360.9,555000,2359.52,28.2576,-2258.31005859375,111
112,15.0599,2375.55,560000,2240.57,26.0843,-2186.621337890625,112
113,16.0415,2559.02,565000,2612.56,26.9894,-1779.794677734375,113
114,15.0903,2567.91,570000,2687.35,26.3447,-1763.3153076171875,114
115,15.7303,2458.12,575000,2514.6,27.5631,-2082.320556640625,115
116,15.793,2427.3,580000,2476.54,27.5096,-2080.65087890625,116
117,15.7444,979.12,585000,2104.22,27.8948,-2035.3514404296875,117
118,19.6727,1801.81,590000,1610.13,24.6058,-3319.6240234375,118
119,13.875,2588.97,595000,2347.34,26.1366,-1895.96337890625,119
120,13.4394,2753.85,600000,2623.26,24.3594,-1770.5789794921875,120
121,14.8546,2701.55,605000,2766.71,25.1,-1918.1627197265625,121
122,14.7694,2612.02,610000,2753.2,26.2035,-2058.771484375,122
123,14.6162,2682.24,615000,2493.42,26.6308,-2043.2393798828125,123
124,17.4738,2897.23,620000,1972.71,25.1853,-2886.294677734375,124
125,14.3936,2656.38,625000,2659.92,25.3654,-2067.59521484375,125
126,14.1418,2665.75,630000,2769.38,25.8597,-2029.518310546875,126
127,15.1189,2731.12,635000,2274.02,26.191,-1834.052001953125,127
128,28.7948,2524.29,640000,2613.95,26.711,-2493.29345703125,128
129,14.3238,2793.73,645000,2834.32,25.4882,-2186.573974609375,129
130,14.6866,2811.82,650000,2885.39,25.2343,-2032.1683349609375,130
131,15.5332,2680.79,655000,2719.49,26.0982,-2205.3388671875,131
