Itration,Real Sto Return,Real Det Return,Running Forward KL,Running Reverse KL
72,4512.14,4540.06,40.9713,20.6966
73,4516.56,4602.12,40.9513,18.7108
74,4216.2,4707.71,39.0503,15.0224
75,4299.53,4694.27,40.2744,19.324
76,4375.4,4688.17,40.6365,19.8094
77,4500.87,4572.34,41.332,17.7552
78,4537.21,4617.91,41.8377,21.2731
79,4498.82,4562.16,40.9569,18.1258
80,3905.7,4631.95,41.533,18.6632
81,4332.34,4632.93,42.2387,21.4779
82,4542.81,4666.31,41.432,20.0425
83,4557.95,4578.19,42.1372,21.2839
84,4545.53,4601.47,41.5507,18.3655
85,4658.87,4748.14,39.4223,19.3886
86,4522.95,4645.99,39.7263,16.8141
87,4614.84,4717.93,40.891,19.2577
88,4571.6,4662.23,41.4443,18.5718
89,4361.66,4741.02,39.2541,17.544
90,4679.56,4719.83,40.1194,18.3275
91,4641.69,4733.42,41.1534,19.6441
92,4174.35,4757.79,40.5753,16.1264
93,4595.79,4823.07,38.4543,17.7401
94,4676.48,4740.88,40.6905,19.0403
95,4605.46,4730.72,40.6638,18.7044
96,4645.27,4731.14,40.2093,19.7296
97,4589.31,4672.28,41.4961,20.1533
98,4602.23,4669.15,39.9134,17.6074
99,4673.62,4753.44,41.0536,19.8515
100,4666.81,4758.29,41.1351,18.9725
101,4613.67,4741.53,40.2773,18.1646
102,4370.86,4699.48,41.264,20.0017
103,4678.8,4770.89,39.8169,18.1873
104,4482.16,4676.76,40.7892,18.3444
105,4651.08,4841.35,39.3291,17.1607
106,4663.9,4732.48,41.1438,18.8843
107,4684.24,4747.96,39.276,19.2577
108,4670.37,4791.06,40.7128,19.3276
109,4720.02,4813.81,40.4137,18.854
110,4627.47,4849.61,38.144,17.5637
111,4707.32,4789.52,40.7938,19.1179
112,4767.71,4829.26,38.9788,17.9983
113,4737.21,4833.81,39.5274,17.758
114,4649.8,4876.32,37.5414,16.8158
115,4678.55,4909.0,38.1009,16.8639
116,4698.76,4811.88,39.4825,18.7477
117,4783.16,4828.75,40.2634,20.0789
118,4724.83,4812.09,38.7631,18.0238
119,4660.48,4734.01,40.3497,18.8429
120,4695.34,4847.93,39.7624,17.7813
121,4523.25,4786.03,40.5965,17.4737
122,4674.96,4896.94,39.6838,19.1151
123,4686.93,4819.53,40.3336,18.894
124,4731.11,4797.77,40.3674,18.7791
125,4773.35,4850.55,40.6803,19.6967
126,4689.56,4774.02,40.2191,18.2464
127,4724.98,4816.6,40.0892,17.5
128,4736.62,4822.04,40.4177,19.1253
129,4770.9,4878.22,40.445,17.2982
130,4752.11,4879.46,39.4682,17.2315
131,4717.23,4878.02,39.7918,18.4317
132,4765.33,4828.77,39.5034,18.0296
133,4754.15,4848.54,40.6067,18.5148
134,4760.11,4858.64,39.8025,18.8197
135,4732.52,4799.87,39.951,18.2199
136,4735.72,4830.16,40.7915,18.265
137,4750.86,4788.91,40.4314,18.9292
138,4771.59,4840.18,40.8857,19.4648
139,4757.72,4894.92,38.0129,17.3247
140,4533.88,4883.34,39.436,16.2971
141,4768.83,4888.97,37.4292,16.4986
142,4801.23,4909.83,40.2733,18.4991
143,4787.36,4906.48,39.9767,18.2602
144,4656.63,4925.86,37.88,16.3935
145,4869.74,4971.28,38.966,18.8543
146,4762.71,4869.75,39.1548,18.7236
147,4822.89,4984.21,38.5003,17.7255
148,4817.51,4867.27,40.2093,18.1693
149,4861.79,4939.34,39.9997,18.02
150,4739.07,4844.63,40.7194,19.5952
151,4822.82,4916.72,38.3157,17.0915
152,4819.17,4930.15,40.6758,19.3735
153,4822.9,4909.13,40.6777,18.6979
154,4520.08,4842.19,39.9225,18.6052
155,4788.15,4884.74,39.7772,18.8234
156,4797.19,4857.06,40.2118,18.7411
157,4826.95,4864.99,40.1262,18.2632
158,4809.84,4987.64,40.0267,19.1088
159,4830.82,4888.06,38.3086,18.2134
160,4856.83,4947.52,39.3886,16.9823
161,4828.59,4936.7,38.8929,18.2693
162,4751.03,4853.45,40.2825,17.8946
163,4837.26,4929.84,40.2553,17.3603
164,4873.88,4985.26,39.5195,16.9401
165,4781.0,4821.15,39.7334,17.6737
166,4780.78,4860.37,40.2244,19.0439
167,4724.72,4850.6,39.4588,17.704
168,4786.62,4922.27,40.9447,19.1214
169,4835.18,4891.6,40.0602,18.1289
170,4810.4,4937.73,40.3585,19.4487
171,4769.96,4960.91,38.0589,15.428
172,4795.49,4886.34,40.274,17.7687
173,4866.4,4958.83,40.6201,17.6156
174,4843.88,4837.42,39.8657,17.4078
175,4833.53,4920.98,39.8462,16.8837
176,4484.68,4781.94,38.681,16.6064
177,4673.88,4945.1,39.7522,18.0365
178,4822.84,4954.5,39.1739,17.3506
179,4856.74,4992.54,39.6697,16.9457
180,4863.3,4949.03,39.678,17.7715
181,4647.11,4933.3,39.3994,17.7673
182,4906.01,5052.23,40.7564,18.3853
183,4548.01,4855.92,39.3826,17.5374
184,4781.48,4881.83,40.053,18.3102
185,4843.87,4970.63,40.4934,17.9011
186,4900.45,5016.53,38.73,16.8106
187,4881.84,4972.15,39.422,17.3
188,4853.98,4941.26,39.4386,17.6343
189,4876.03,4963.71,39.5171,18.2323
190,4893.6,5029.89,39.7485,18.5783
191,4844.99,4970.94,40.09,18.2224
192,4846.97,4995.43,39.9446,18.2699
193,4912.09,5039.33,40.1108,17.8756
194,4883.81,5039.72,39.1404,17.3838
195,4850.28,4953.51,39.7127,17.9525
196,4909.88,5052.66,40.0705,18.4752
197,4922.23,5047.74,39.0733,16.6648
198,4822.47,4911.6,39.2935,17.4454
199,4898.88,4984.15,38.3564,17.0804
200,4887.54,4973.9,39.5341,17.8467
201,4888.92,4982.16,39.5656,17.6286
202,4885.13,5033.25,39.3901,17.6717
203,4860.55,4965.65,39.5827,17.919
204,4869.84,5013.11,40.1269,17.782
205,4917.34,4993.62,39.8862,18.2374
206,4903.93,4995.72,40.6185,18.0436
207,4883.18,5003.35,39.9651,18.3214
208,4904.97,4943.54,39.8513,18.7239
209,4904.94,5014.64,39.7298,18.3862
210,4905.78,5005.56,40.0831,18.789
211,4858.5,5005.41,40.2887,18.0464
212,4913.54,5007.93,40.281,18.7733
213,4925.15,5011.31,39.5381,18.5893
214,4861.44,4972.09,39.8365,18.4176
215,4863.84,4975.99,39.9009,18.4893
216,4948.47,5053.38,39.635,18.056
217,4911.39,5019.93,39.6839,18.2257
218,4948.07,5060.86,40.051,18.0661
219,4677.78,5023.21,39.5563,17.7203
220,4917.72,5084.42,39.4796,18.0285
221,4931.16,5052.19,39.4943,17.7466
222,4850.17,4968.06,39.354,18.3426
223,4899.03,5029.78,39.6663,17.8773
224,4915.62,5004.93,39.4671,18.1597
225,4922.33,5034.16,39.6402,17.8946
226,4896.45,5046.48,39.5912,18.5305
227,4846.89,5021.25,39.3028,18.1691
228,4881.75,5032.14,39.1091,17.9477
229,4899.02,5011.15,40.1268,18.5456
230,4870.33,5024.85,38.9657,17.7326
231,4845.8,4982.42,39.3844,17.7911
232,4900.97,5043.03,38.8522,18.3658
233,4889.39,5042.47,39.3965,18.1806
234,4913.36,5039.92,39.8267,17.187
235,4938.43,5053.92,39.2496,18.1385
236,4716.84,5025.17,39.0018,17.7786
237,4737.86,5017.46,39.0076,18.0488
238,4928.65,5026.62,38.9021,17.8688
