Reward Loss,Running Reverse KL,Real Sto Return,Running Forward KL,Itration,Running Update Time,Running Env Steps,Real Det Return
157.04736328125,26.6914,-131.56,75.2515,0,0,0,293.88
136.00869750976562,26.2409,-78.3,75.7002,1,1,5000,410.87
86.14823150634766,27.0242,-36.75,74.721,2,2,10000,533.93
37.384681701660156,27.3131,8.99,73.7761,3,3,15000,556.29
-16.448190689086914,29.3369,8.81,72.5172,4,4,20000,621.46
-67.80245971679688,30.1767,34.85,73.6721,5,5,25000,723.97
-111.7182846069336,30.8363,96.73,72.7366,6,6,30000,689.81
-156.992431640625,30.8072,110.56,71.435,7,7,35000,524.01
-237.91786193847656,32.0978,139.95,72.6507,8,8,40000,666.99
-266.33251953125,32.1968,106.74,71.6614,9,9,45000,668.14
-381.28082275390625,31.3967,175.22,72.7922,10,10,50000,550.75
-410.9534606933594,32.0014,172.21,72.6817,11,11,55000,701.49
-476.7730712890625,30.6606,224.63,71.9446,12,12,60000,582.1
-520.601318359375,30.9673,211.44,71.3043,13,13,65000,848.5
-553.7510986328125,29.9036,279.32,68.7363,14,14,70000,1010.36
-609.6573486328125,29.83,271.92,69.0467,15,15,75000,955.31
-675.3543090820312,29.9375,323.94,69.4189,16,16,80000,1346.67
-765.2996215820312,28.7413,281.92,68.8607,17,17,85000,932.17
-825.6196899414062,29.871,365.32,70.1699,18,18,90000,920.11
-848.0256958007812,29.2867,260.24,68.993,19,19,95000,819.15
-946.4273681640625,30.3022,244.75,71.0254,20,20,100000,900.18
-964.9395751953125,28.6247,301.51,68.9215,21,21,105000,727.55
-1025.5079345703125,28.5266,311.97,67.1767,22,22,110000,1101.02
-1073.293701171875,29.1449,444.47,67.7527,23,23,115000,1194.14
-1101.8642578125,28.212,606.27,65.94,24,24,120000,1279.89
-1159.9061279296875,28.2009,748.61,66.1789,25,25,125000,1803.91
-1244.3541259765625,27.8465,352.55,66.7786,26,26,130000,940.03
-1158.4093017578125,28.1714,639.31,63.3337,27,27,135000,2005.1
-1306.169677734375,27.412,461.27,64.5224,28,28,140000,1237.82
