Running Env Steps,Real Det Return,Reward Loss,Running Update Time,Running Reverse KL,Real Sto Return,Itration,Running Forward KL
0,364.53,395.0718688964844,0,26.481,-63.91,0,75.1504
5000,505.15,304.974365234375,1,26.9877,-43.59,1,73.9618
10000,598.89,235.1430206298828,2,27.7779,-10.45,2,73.9672
15000,794.54,186.38577270507812,3,29.6987,62.85,3,73.7106
20000,857.89,60.0105094909668,4,30.8789,62.41,4,71.9148
25000,873.53,7.988947868347168,5,31.4148,148.69,5,72.4282
30000,761.54,-74.38570404052734,6,32.6948,133.5,6,72.1592
35000,943.34,-154.41781616210938,7,30.7095,158.32,7,71.4359
40000,821.36,-205.60581970214844,8,31.9902,196.41,8,71.3562
45000,644.9,-275.2173156738281,9,30.5082,147.47,9,69.1408
50000,450.65,-343.0157165527344,10,30.2267,283.89,10,67.6637
55000,966.18,-422.4830017089844,11,29.5244,318.68,11,66.4716
60000,753.33,-454.0211181640625,12,28.671,241.1,12,65.3225
65000,956.92,-522.0760498046875,13,29.5688,257.81,13,68.7874
70000,912.02,-574.3363037109375,14,29.7544,254.0,14,69.4331
75000,1502.22,-499.32830810546875,15,32.3133,896.21,15,64.0583
80000,1037.36,-592.65869140625,16,28.2982,740.38,16,63.4091
85000,1294.63,-646.8223266601562,17,27.9245,740.27,17,63.4884
90000,988.74,-757.2871704101562,18,28.0097,483.66,18,66.8797
95000,682.59,-863.6914672851562,19,27.696,493.18,19,66.3268
100000,1258.23,-785.7831420898438,20,31.8567,558.22,20,65.6594
105000,1835.3,-801.594482421875,21,29.3629,1041.26,21,63.1009
110000,1417.08,-1027.492919921875,22,28.495,561.51,22,66.8433
115000,2165.89,-826.0859985351562,23,33.3808,1363.92,23,64.0178
120000,2514.36,-801.8560791015625,24,33.222,1210.77,24,63.7521
125000,2852.37,-927.2932739257812,25,34.4246,1452.04,25,63.9746
130000,2031.88,-1045.9166259765625,26,33.448,804.55,26,64.9696
135000,1572.34,-1023.9598999023438,27,37.9214,974.33,27,65.33
140000,2587.81,-1004.0259399414062,28,41.6495,2409.0,28,64.934
145000,2512.48,-1057.6983642578125,29,35.4465,1648.67,29,63.9943
150000,2632.31,-1317.5379638671875,30,31.7787,2438.65,30,64.3324
155000,3016.91,-1022.888427734375,31,39.3517,2347.88,31,65.2729
160000,3375.38,-1071.072265625,32,38.7432,2428.96,32,63.4169
165000,2117.57,-1112.3585205078125,33,38.9223,1625.99,33,65.1821
170000,2278.99,-1371.1234130859375,34,35.3028,2148.1,34,65.2626
175000,3673.61,-1257.4332275390625,35,40.9244,2087.42,35,65.7127
180000,2944.79,-1188.9169921875,36,45.2553,2179.65,36,66.2359
185000,3411.89,-1158.412841796875,37,45.2377,2239.38,37,66.8135
190000,2719.77,-1574.9288330078125,38,36.9406,1803.61,38,64.9964
195000,3693.63,-1447.912353515625,39,49.9669,3347.2,39,68.5212
200000,3994.22,-1323.497314453125,40,56.6621,2949.72,40,69.6063
205000,4333.15,-1489.294921875,41,51.1127,3648.89,41,67.9774
210000,4043.68,-1543.0123291015625,42,48.3621,2133.5,42,67.188
215000,3935.23,-1487.1614990234375,43,49.9795,2883.64,43,68.0582
220000,2862.73,-1790.969482421875,44,41.5977,2744.67,44,67.3001
225000,3654.27,-1929.5689697265625,45,35.4198,2417.54,45,65.7965
230000,3008.2,-1812.8438720703125,46,40.4371,1614.48,46,66.317
235000,4252.93,-1626.0081787109375,47,61.3749,3721.52,47,73.479
240000,3856.96,-1979.4373779296875,48,40.8185,3410.29,48,66.914
245000,3218.31,-1949.7073974609375,49,47.3084,2875.99,49,68.5602
250000,3698.55,-1921.1201171875,50,45.4164,2807.4,50,67.8264
255000,4354.65,-1783.29833984375,51,55.1488,2786.8,51,70.6927
260000,3403.58,-2073.1044921875,52,51.9507,3605.01,52,68.5865
265000,4535.64,-2180.698486328125,53,48.7796,3390.21,53,67.926
270000,2867.47,-2097.871826171875,54,54.1339,1956.73,54,70.0109
275000,4423.05,-2350.17919921875,55,52.2365,4330.84,55,69.9097
280000,4132.34,-2325.2138671875,56,44.0109,3681.64,56,67.3229
285000,4454.44,-2470.85205078125,57,50.3703,3451.82,57,67.8137
290000,3220.91,-2612.74072265625,58,39.6842,2147.25,58,68.3765
295000,5333.66,-2552.75927734375,59,48.7911,4300.07,59,68.4856
300000,4786.92,-2399.14501953125,60,61.7518,3933.49,60,73.4985
305000,4838.16,-2628.193359375,61,53.8727,4203.86,61,70.8392
310000,3700.55,-2719.948974609375,62,48.2537,3905.27,62,68.5142
315000,4635.88,-2814.3818359375,63,57.3055,3787.9,63,73.1603
320000,4623.92,-2801.17822265625,64,65.3602,3872.76,64,76.6149
325000,3952.53,-2737.33251953125,65,58.7891,4261.23,65,71.9776
330000,3237.54,-2757.80078125,66,56.3702,3801.47,66,70.8987
335000,5132.5,-3065.73974609375,67,56.676,4469.43,67,70.8833
340000,3979.05,-2969.66015625,68,54.9715,2638.54,68,70.0883
345000,4015.58,-3298.847412109375,69,66.4693,3887.69,69,79.8805
350000,5086.06,-3165.355712890625,70,66.818,4171.61,70,75.3702
355000,4661.64,-3415.57373046875,71,65.6642,4017.71,71,75.6729
360000,4444.32,-3379.035888671875,72,62.0709,4523.78,72,72.1588
365000,4855.1,-3493.448486328125,73,66.7931,5030.2,73,79.6885
370000,4826.35,-3455.037109375,74,65.5813,3816.35,74,76.2209
375000,5057.61,-3741.90234375,75,69.0972,4955.37,75,78.5164
380000,4894.68,-3774.18701171875,76,67.1514,4448.61,76,75.3593
385000,5007.68,-3695.852294921875,77,53.5038,4228.39,77,68.5681
390000,5211.07,-3858.18994140625,78,65.9406,4886.26,78,75.0649
395000,4802.73,-4088.5068359375,79,69.0741,4329.19,79,74.4619
400000,5203.18,-4175.07080078125,80,67.1189,4155.12,80,73.2135
405000,5071.42,-4243.8935546875,81,66.8924,4679.16,81,75.5357
410000,5664.67,-4203.70849609375,82,65.8825,4423.26,82,78.0597
415000,5115.46,-4159.2255859375,83,61.9832,4898.69,83,71.9702
420000,4766.09,-4331.48291015625,84,55.2686,3987.62,84,69.2297
425000,4213.64,-4263.0830078125,85,64.4612,2943.59,85,73.1155
430000,4837.31,-4535.189453125,86,70.7977,3855.95,86,77.9394
435000,4994.69,-4437.93115234375,87,55.5993,4572.28,87,70.0864
440000,5222.2,-4630.52880859375,88,73.6521,4754.35,88,77.0807
445000,5635.88,-4736.11669921875,89,65.4732,4716.28,89,73.2258
450000,5032.79,-4852.2001953125,90,64.7966,4557.88,90,71.8979
455000,5511.1,-5088.1875,91,68.8865,4398.91,91,78.0516
460000,5588.72,-5173.45751953125,92,71.6203,5186.64,92,77.5466
465000,5123.37,-5181.76171875,93,70.6213,4359.94,93,75.5113
470000,4640.43,-5332.69970703125,94,71.3924,3948.25,94,77.9298
475000,4650.75,-5501.708984375,95,68.2864,3969.2,95,75.8211
480000,5639.54,-5494.77734375,96,61.927,4398.68,96,72.5523
485000,5541.85,-5785.90234375,97,74.3544,4817.09,97,78.3475
490000,4129.79,-5593.470703125,98,58.8624,4004.57,98,69.5875
495000,5295.52,-5827.35595703125,99,74.0897,3821.33,99,80.6759
500000,5275.62,-6024.28564453125,100,72.2753,4169.53,100,78.5642
505000,5576.77,-5993.3037109375,101,66.0988,3993.0,101,75.0213
510000,5813.32,-6044.5234375,102,69.0366,4751.69,102,79.6091
515000,4980.36,-6498.45703125,103,74.642,3478.04,103,75.9893
520000,5390.42,-6387.1806640625,104,70.6779,4232.98,104,77.3268
525000,4631.56,-6504.29345703125,105,69.2608,3695.01,105,75.0565
530000,4976.96,-6298.1181640625,106,60.1875,4624.06,106,71.9954
535000,5556.86,-6975.90966796875,107,75.9292,5332.27,107,78.9502
540000,5725.61,-6931.576171875,108,76.7894,4752.69,108,80.0085
545000,5301.45,-7452.31689453125,109,73.6833,4862.83,109,77.2516
550000,5356.55,-7474.875,110,80.2611,4970.86,110,82.158
555000,5796.14,-7251.9765625,111,67.9667,5414.08,111,76.2022
560000,4730.0,-7289.1689453125,112,68.6167,3845.45,112,74.3459
565000,5334.48,-7402.681640625,113,66.0363,5344.88,113,73.8348
570000,5363.8,-7501.39208984375,114,68.1802,3676.34,114,73.6438
575000,5509.27,-8013.52294921875,115,76.2798,4587.61,115,79.4801
580000,5435.01,-7900.65576171875,116,73.863,4162.05,116,79.6578
585000,5066.7,-7868.36669921875,117,65.5818,4641.36,117,72.642
590000,5475.5,-8133.4052734375,118,73.9361,5002.94,118,78.2366
595000,4384.57,-7882.701171875,119,63.7458,2786.49,119,73.9424
600000,5403.94,-8388.767578125,120,72.0384,4820.3,120,78.2408
605000,5467.11,-8788.9150390625,121,72.9847,5179.16,121,77.5852
610000,5466.07,-8393.2060546875,122,66.0933,4565.55,122,75.0714
615000,5198.68,-9022.482421875,123,81.788,4776.93,123,82.018
620000,5197.04,-8553.1533203125,124,68.7638,4700.24,124,72.369
625000,5772.83,-9213.599609375,125,71.6338,4994.96,125,77.9647
630000,5184.41,-9209.556640625,126,75.8861,4899.84,126,79.6484
635000,5025.66,-9404.361328125,127,78.5136,5284.46,127,81.2548
640000,5927.3,-9636.42578125,128,67.4062,5224.05,128,76.8635
645000,5866.17,-9647.85546875,129,69.3102,5512.94,129,75.227
650000,5051.62,-9681.8798828125,130,78.2441,3970.05,130,78.7612
655000,5587.1,-10050.4091796875,131,75.0628,4515.16,131,78.8016
660000,5541.44,-9952.541015625,132,72.1406,4929.93,132,78.0445
665000,5515.32,-10373.8916015625,133,73.9779,4732.92,133,78.6412
670000,5809.89,-10262.3056640625,134,70.6255,4751.68,134,77.4516
675000,5518.44,-10590.5107421875,135,70.0189,5146.2,135,78.221
680000,5700.23,-10736.1376953125,136,79.4157,5056.55,136,81.0475
685000,5701.78,-10660.6689453125,137,68.9934,4618.43,137,76.0544
690000,5689.54,-10985.1650390625,138,70.3623,4627.43,138,73.9422
695000,5923.06,-11244.7392578125,139,66.8578,5159.82,139,72.5563
700000,4630.06,-11393.9423828125,140,74.6149,4593.62,140,80.3109
705000,5040.77,-11848.2783203125,141,76.8612,4876.86,141,79.8451
710000,5344.1,-11876.2314453125,142,77.7354,5159.02,142,81.1835
715000,5395.66,-12044.5078125,143,75.5198,5338.59,143,81.1303
720000,5651.85,-12298.697265625,144,75.7006,4940.88,144,80.4868
725000,5087.16,-12228.7822265625,145,76.8482,4004.12,145,80.7429
730000,5626.01,-12367.548828125,146,75.7029,4657.33,146,79.2118
735000,5280.57,-12610.1220703125,147,74.9001,4683.63,147,78.9806
740000,5882.22,-13006.2314453125,148,79.3963,5173.34,148,80.9304
745000,5589.65,-13264.111328125,149,79.0456,5392.07,149,78.9703
750000,5337.35,-12974.6767578125,150,73.6495,3966.66,150,80.6753
755000,5754.08,-13292.0693359375,151,71.6441,5502.54,151,77.5355
760000,5645.76,-13299.9365234375,152,68.8567,4926.08,152,74.3202
765000,5653.16,-13226.9931640625,153,69.5222,4855.22,153,75.5296
770000,5918.78,-14280.1416015625,154,77.3967,5356.08,154,80.2789
775000,6055.32,-13668.724609375,155,65.0475,4959.25,155,72.8024
780000,5718.71,-14502.2392578125,156,78.1252,4971.17,156,81.18
785000,5831.97,-14517.7333984375,157,74.0345,4551.37,157,77.8547
790000,5832.0,-14146.2275390625,158,65.052,4858.2,158,73.1876
795000,4692.74,-15019.1943359375,159,80.2993,3264.94,159,81.3277
800000,5623.73,-14424.5927734375,160,66.3509,5231.22,160,74.1416
805000,5503.24,-15247.9755859375,161,71.1842,4826.06,161,79.9282
810000,5631.07,-15371.48828125,162,74.3902,4738.73,162,79.1266
815000,5615.44,-15130.1865234375,163,68.6011,5361.99,163,73.7656
820000,5928.78,-16047.8876953125,164,76.0789,5521.23,164,78.8643
825000,5973.1,-15513.861328125,165,63.6698,5137.25,165,71.85
830000,5675.4,-16513.05078125,166,77.473,5179.92,166,78.8975
835000,5174.06,-16452.740234375,167,74.3714,4973.18,167,78.2159
840000,5729.13,-17107.033203125,168,77.6256,5623.99,168,81.0455
845000,6055.6,-16400.166015625,169,65.1283,5204.38,169,73.6931
850000,4917.44,-16538.01171875,170,65.9649,4430.54,170,75.3921
855000,6040.99,-17271.6015625,171,71.1719,5101.99,171,78.6826
860000,5174.36,-17618.203125,172,76.611,4898.82,172,79.5825
865000,5455.45,-16862.328125,173,65.7041,5239.61,173,73.3944
870000,5697.12,-18161.05859375,174,74.2671,5252.04,174,79.1425
875000,5666.55,-18287.310546875,175,77.5368,4902.45,175,82.4071
880000,5721.98,-18486.404296875,176,72.3366,5605.59,176,80.3127
885000,5876.03,-18974.568359375,177,76.2561,4276.64,177,81.9663
890000,4638.98,-17929.568359375,178,68.9425,4709.92,178,74.5425
895000,5970.45,-19464.8125,179,73.6056,4588.14,179,80.5371
900000,5746.5,-17950.34375,180,59.6584,5307.07,180,71.495
905000,6035.89,-19954.59375,181,75.9214,4837.69,181,79.6267
910000,5683.09,-18974.8828125,182,66.5905,4416.55,182,73.7356
915000,5435.44,-19135.26953125,183,66.3158,5019.79,183,73.8423
920000,5684.68,-20535.3203125,184,72.1982,5471.32,184,78.8381
925000,5411.24,-19798.921875,185,68.6675,4693.0,185,74.9939
930000,4798.32,-20683.060546875,186,74.425,4183.24,186,78.508
935000,4699.77,-21143.97265625,187,74.9349,4244.44,187,79.937
940000,5721.59,-21182.150390625,188,77.2983,4360.08,188,82.5059
945000,5879.23,-22233.6171875,189,83.257,5479.7,189,83.3315
950000,5427.86,-20844.013671875,190,67.1598,4905.95,190,75.1735
955000,6001.73,-22573.82421875,191,76.5617,5042.69,191,79.1854
960000,5970.11,-21476.833984375,192,67.3577,5593.93,192,74.1174
965000,5307.63,-23014.337890625,193,76.86,5361.98,193,80.8069
970000,5500.2,-22396.20703125,194,68.5315,4392.74,194,74.564
975000,5533.29,-23324.97265625,195,75.5281,5080.05,195,80.8147
980000,5609.98,-24061.509765625,196,76.2835,5285.15,196,78.7085
985000,5674.64,-22744.919921875,197,68.2077,4903.18,197,74.0944
990000,5593.39,-24393.880859375,198,79.3899,4979.01,198,81.1883
995000,5521.56,-24490.052734375,199,80.3052,5203.11,199,81.6374
1000000,4613.18,-24643.087890625,200,76.0088,4280.28,200,80.0867
1005000,6050.92,-25055.001953125,201,73.5666,5188.05,201,78.5337
1010000,5508.26,-25228.994140625,202,74.5663,5050.12,202,78.5834
1015000,5764.36,-25012.064453125,203,69.2687,5599.69,203,74.6164
1020000,5789.49,-25449.921875,204,71.2038,5433.88,204,76.4618
1025000,6058.56,-24696.298828125,205,65.7775,4875.74,205,73.451
1030000,5915.63,-24895.224609375,206,63.8701,5607.14,206,71.983
1035000,5660.93,-26643.6015625,207,75.513,5233.19,207,78.3713
1040000,5967.06,-26491.357421875,208,71.3234,4560.43,208,79.4496
1045000,5578.7,-27008.0390625,209,71.8602,5321.9,209,78.0801
1050000,5574.22,-25324.974609375,210,63.3118,4848.56,210,73.0214
1055000,5954.94,-27688.392578125,211,74.5854,5113.47,211,79.4034
1060000,5971.33,-27873.830078125,212,73.2446,4467.07,212,81.0115
1065000,6059.64,-28458.236328125,213,73.8849,5159.6,213,79.3356
1070000,5257.31,-27207.3203125,214,67.6431,4286.59,214,75.0024
1075000,5435.82,-27949.48046875,215,68.9724,4509.04,215,75.7782
1080000,5610.47,-29246.9375,216,75.5577,4829.3,216,80.9771
1085000,6005.1,-29648.150390625,217,76.836,5513.12,217,81.5341
1090000,5754.01,-30258.701171875,218,76.7007,4646.23,218,79.9583
1095000,6126.58,-30203.21875,219,74.8404,5249.84,219,79.5313
1100000,5694.73,-29935.896484375,220,71.3308,5187.16,220,77.887
1105000,5578.23,-29954.564453125,221,71.1297,5414.8,221,75.5887
1110000,5862.3,-31155.1796875,222,75.5722,5150.13,222,80.7061
1115000,5885.89,-31113.8203125,223,75.9773,4524.51,223,79.8653
1120000,5759.58,-31673.765625,224,74.4087,5553.27,224,79.0558
1125000,6074.9,-30563.3359375,225,70.4585,4705.06,225,75.215
1130000,5862.74,-31983.8828125,226,76.8491,4464.92,226,80.336
1135000,4642.1,-32651.78125,227,81.1636,4352.53,227,82.1308
1140000,5758.3,-32395.966796875,228,72.7939,4771.94,228,77.2205
1145000,6062.65,-33423.71484375,229,77.1781,5388.25,229,79.4359
1150000,5688.62,-33526.8125,230,75.9025,5186.37,230,79.0115
1155000,5717.35,-33637.6171875,231,74.5586,5440.87,231,79.0183
1160000,5906.62,-32476.240234375,232,67.737,5118.26,232,74.0657
1165000,5791.88,-34239.5078125,233,73.7479,4618.52,233,78.8855
1170000,5368.63,-34965.23046875,234,74.9974,5058.15,234,79.5843
1175000,6133.74,-34922.1953125,235,71.1137,4847.59,235,76.1017
1180000,6164.44,-35476.48046875,236,72.8954,4867.67,236,79.1098
1185000,5777.14,-36233.109375,237,74.83,5470.43,237,77.5039
1190000,5650.58,-34951.53125,238,70.1941,4671.05,238,75.7442
1195000,5759.66,-37011.546875,239,74.1151,5544.0,239,79.2256
1200000,6041.48,-37027.92578125,240,76.5741,5152.81,240,79.1982
1205000,5891.74,-36154.4921875,241,71.1457,5535.52,241,76.2295
1210000,6030.67,-37605.23046875,242,76.9157,5106.27,242,80.9078
1215000,5944.36,-38665.87109375,243,84.7551,5594.59,243,82.7418
1220000,5472.0,-36633.94921875,244,71.5889,5446.81,244,74.2028
1225000,5833.88,-39137.6640625,245,79.1882,5251.39,245,79.4553
1230000,5779.82,-38665.140625,246,75.7757,5044.83,246,79.9114
1235000,6122.5,-37698.890625,247,68.3211,4674.34,247,76.0271
1240000,6071.32,-40252.73046875,248,80.2688,4894.65,248,79.6139
1245000,5751.98,-40183.8046875,249,75.2725,5118.93,249,78.7554
1250000,6176.91,-40186.78125,250,77.5734,5250.21,250,79.5631
1255000,6028.51,-41098.73046875,251,78.2809,5744.98,251,80.0701
1260000,6003.56,-40286.44140625,252,71.7568,5738.23,252,74.6009
1265000,6114.55,-40728.83984375,253,74.0234,5268.07,253,79.234
1270000,6100.59,-41547.0390625,254,76.3387,5606.24,254,79.0621
1275000,6126.51,-41516.90625,255,75.6222,5346.92,255,78.9553
1280000,5440.2,-41586.4453125,256,76.29,5302.96,256,77.4611
1285000,5513.56,-42120.640625,257,77.9433,5177.56,257,79.2756
1290000,6114.12,-42595.83984375,258,78.5621,5085.24,258,81.4539
1295000,5947.85,-42328.48046875,259,79.6183,4633.64,259,81.4094
1300000,5739.54,-43171.984375,260,78.6844,5101.92,260,81.1219
1305000,5975.71,-41725.57421875,261,72.6425,5380.5,261,75.6206
1310000,6027.98,-43680.1328125,262,75.5326,5175.85,262,79.5826
1315000,5733.04,-43859.80859375,263,80.0899,5164.15,263,80.4016
1320000,5467.89,-44143.6875,264,76.3068,5043.52,264,80.6164
1325000,5750.87,-44490.96875,265,79.0881,5148.02,265,79.8002
1330000,5959.3,-44958.16796875,266,77.8713,5143.81,266,81.0047
1335000,6051.84,-42356.625,267,69.4315,5370.29,267,73.4307
1340000,6091.93,-45578.50390625,268,75.8579,5629.0,268,80.4173
1345000,5466.92,-45607.44921875,269,74.761,5244.35,269,78.6777
1350000,5978.6,-45969.9765625,270,77.337,4886.86,270,81.0909
1355000,5460.98,-46078.171875,271,74.0478,5616.78,271,78.5029
1360000,5580.01,-46615.94140625,272,74.1488,5165.34,272,78.6995
1365000,5485.18,-46778.8203125,273,76.3771,5361.25,273,79.6438
1370000,5534.43,-46292.4765625,274,71.8793,5147.83,274,76.6721
1375000,5532.49,-46027.046875,275,72.0938,4878.05,275,74.7356
1380000,5184.44,-46379.0859375,276,69.9621,5355.29,276,75.0631
1385000,6004.13,-48110.8203125,277,71.8596,4918.21,277,77.9214
1390000,5458.46,-48382.4765625,278,73.7566,5201.76,278,78.4272
1395000,5816.15,-48207.10546875,279,73.1834,4797.83,279,78.8456
1400000,5614.98,-48353.72265625,280,71.3686,4180.95,280,77.8385
1405000,6014.23,-49622.28125,281,75.149,4583.49,281,78.7324
1410000,5494.09,-49205.98828125,282,72.5213,4417.82,282,79.3296
1415000,5549.7,-46179.38671875,283,61.4073,4958.53,283,72.4149
1420000,5896.52,-46543.4140625,284,66.7755,5190.02,284,72.4504
1425000,6004.8,-50140.57421875,285,74.3536,4999.65,285,80.2458
1430000,5876.67,-50336.67578125,286,72.8372,4709.65,286,79.8695
1435000,5845.05,-50778.48828125,287,73.6682,4369.99,287,77.9534
1440000,4816.88,-51467.03515625,288,74.1766,4962.3,288,80.2055
1445000,4950.35,-51707.125,289,73.9873,4784.12,289,80.4775
1450000,5790.87,-52602.26953125,290,77.8919,5333.58,290,80.9614
1455000,-2142.41,-20836.9140625,291,254.366,-1938.62,291,116.9821
1460000,-1963.87,-27694.421875,292,555.6723,-787.47,292,108.8646
1465000,-755.93,-25724.599609375,293,723.6315,-707.27,293,105.8673
1470000,-292.62,-25077.580078125,294,424.756,-141.86,294,92.7879
1475000,-751.51,-26326.828125,295,532.6769,-1357.07,295,93.2874
1480000,-612.82,-23570.267578125,296,446.5378,-535.7,296,85.8046
1485000,-339.24,-22883.845703125,297,201.1598,-338.78,297,80.2465
1490000,-52.11,-28689.453125,298,221.6061,160.77,298,76.545
1495000,147.01,-29910.11328125,299,87.8161,-111.12,299,73.6197
1500000,-270.9,-28005.7734375,300,189.8588,-140.98,300,79.0318
1505000,-1200.87,-23949.0625,301,289.7974,-986.14,301,88.0462
1510000,3.61,-29507.08984375,302,233.7905,95.49,302,81.3825
1515000,226.02,-30600.654296875,303,111.9917,292.58,303,75.0079
1520000,160.87,-34414.62890625,304,155.9373,241.25,304,78.6593
1525000,-89.33,-30835.4921875,305,292.858,-275.01,305,83.3543
1530000,347.96,-32403.603515625,306,168.2328,318.33,306,79.8145
1535000,544.0,-35356.921875,307,209.0301,955.15,307,81.6276
