Reward Loss,Real Det Return,Itration,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Running Forward KL
44.88994216918945,725.2,0,28.5308,0,0,-63.33,75.8058
32.90927505493164,680.06,1,28.2571,5000,1,-17.9,73.974
27.25335693359375,810.02,2,29.0287,10000,2,44.15,72.2849
20.8082332611084,716.03,3,30.8338,15000,3,72.87,73.716
17.3358211517334,711.7,4,33.6978,20000,4,161.69,74.1252
-2.5169625282287598,800.96,5,32.594,25000,5,119.6,75.2274
-11.783742904663086,880.77,6,32.4936,30000,6,211.59,72.9547
-21.47106170654297,902.91,7,32.6931,35000,7,181.93,73.8656
-36.21001052856445,799.13,8,31.8507,40000,8,167.02,72.3409
-51.41909408569336,841.39,9,31.5675,45000,9,153.99,73.3092
-65.98110961914062,905.88,10,31.2408,50000,10,243.87,71.411
-77.54402160644531,850.16,11,31.1512,55000,11,221.68,72.2171
-87.6213150024414,1018.85,12,31.5795,60000,12,238.29,72.2202
-100.67796325683594,974.39,13,31.5125,65000,13,187.24,72.2273
-114.02552032470703,983.26,14,31.6526,70000,14,274.97,72.4846
-129.43887329101562,843.39,15,31.1385,75000,15,174.78,72.8481
-130.37594604492188,856.17,16,31.3744,80000,16,292.72,71.3224
-147.0655517578125,841.93,17,31.1459,85000,17,252.5,72.5769
-157.18728637695312,792.78,18,30.5593,90000,18,239.79,71.7141
-170.2361297607422,793.8,19,31.1354,95000,19,121.18,73.4707
-183.5253448486328,694.24,20,31.6147,100000,20,286.59,71.6359
-197.8385772705078,785.31,21,31.3014,105000,21,282.36,72.7248
-206.36871337890625,861.75,22,31.4582,110000,22,221.17,72.39
-220.7808380126953,768.32,23,31.3844,115000,23,223.32,73.2024
-232.3358917236328,1030.07,24,30.4722,120000,24,296.07,71.2899
-241.8418731689453,928.27,25,31.3674,125000,25,253.14,71.3409
-256.167724609375,915.1,26,31.2462,130000,26,271.5,74.3663
-265.65771484375,803.19,27,30.3268,135000,27,260.21,70.9791
-280.3470764160156,997.39,28,30.786,140000,28,245.44,72.7853
-292.5602722167969,949.98,29,30.3343,145000,29,226.8,71.5121
-298.7596435546875,877.81,30,30.1512,150000,30,241.28,70.2731
-320.99267578125,887.38,31,30.6503,155000,31,186.32,71.8777
-329.3380126953125,652.51,32,30.2199,160000,32,217.35,71.2819
