Real Det Return,Running Env Steps,Itration,Reward Loss,Running Update Time,Running Forward KL,Running Reverse KL,Real Sto Return
197.05,0,0,-113.07795715332031,0,39.0452,46.835,157.53
212.75,5000,1,-123.41131591796875,1,38.9106,49.1055,227.41
201.14,10000,2,-138.36947631835938,2,38.9464,50.6684,224.45
251.15,15000,3,-135.0875701904297,3,38.8254,50.4869,254.56
278.34,20000,4,-145.9547576904297,4,38.7357,53.5551,284.82
292.14,25000,5,-149.8035125732422,5,39.0281,50.194,286.42
301.94,30000,6,-160.46237182617188,6,38.2867,55.5979,299.92
304.61,35000,7,-166.6337890625,7,38.2943,43.7935,302.04
310.59,40000,8,-175.84963989257812,8,37.891,39.1076,305.35
331.23,45000,9,-188.0999755859375,9,36.422,34.4759,338.96
361.01,50000,10,-217.8462371826172,10,35.7288,41.6939,354.45
573.4,55000,11,-208.04830932617188,11,31.8671,80.0693,555.38
625.48,60000,12,-203.19070434570312,12,31.3949,47.9285,630.64
679.85,65000,13,-214.1746368408203,13,31.8426,94.5571,662.95
664.53,70000,14,-222.1260986328125,14,33.2908,46.0996,682.63
932.18,75000,15,-217.056396484375,15,31.0558,42.752,954.12
2978.49,80000,16,-96.14744567871094,16,29.5861,14.9641,2514.48
3077.43,85000,17,-89.78614044189453,17,28.8063,19.0816,2687.06
3390.76,90000,18,-170.5204620361328,18,29.774,29.5129,2222.26
1161.73,95000,19,-244.08688354492188,19,30.8302,36.4634,1004.96
3340.8,100000,20,-129.91204833984375,20,28.9928,20.6633,2610.32
3138.23,105000,21,-55.184810638427734,21,29.3156,16.4482,3118.31
3343.08,110000,22,-72.84081268310547,22,28.1212,15.7888,2996.05
3230.0,115000,23,-80.2048110961914,23,28.8473,15.8476,3182.87
