Real Det Return,Itration,Running Env Steps,Running Reverse KL,Running Forward KL,Reward Loss,Real Sto Return,Running Update Time
328.36,0,0,41.6925,31.107,-1326.97119140625,326.39,0
304.89,1,5000,46.0394,30.2059,-1422.6343994140625,257.93,1
248.78,2,10000,39.2636,31.444,-1543.311279296875,250.45,2
300.87,3,15000,36.4727,28.2965,-1481.35595703125,289.07,3
565.52,4,20000,32.5065,27.047,-1354.7484130859375,510.23,4
739.26,5,25000,23.7235,26.0906,-1257.6868896484375,816.02,5
2150.6,6,30000,16.6532,25.4989,-866.8643188476562,1497.22,6
924.43,7,35000,21.3767,25.8261,-1072.488525390625,1232.86,7
1095.83,8,40000,17.0522,25.0261,-722.2010498046875,1585.64,8
3032.28,9,45000,24.059,25.4326,-609.6118774414062,2686.49,9
3175.57,10,50000,16.5514,24.2715,-558.9088745117188,2486.56,10
779.42,11,55000,30.0162,26.4593,-1633.9134521484375,854.37,11
3054.82,12,60000,15.6847,24.5817,-452.5828857421875,2670.1,12
2198.28,13,65000,24.7183,25.0581,-1488.9534912109375,1240.46,13
3131.72,14,70000,20.8912,25.4432,-1074.6627197265625,1818.49,14
1072.19,15,75000,33.2061,26.3657,-1716.7552490234375,966.51,15
2438.3,16,80000,24.8121,23.9896,-1370.10888671875,1486.99,16
2363.21,17,85000,23.1648,25.2142,-1346.925537109375,1589.11,17
3066.23,18,90000,20.5153,25.0368,-1068.09130859375,1963.99,18
1251.24,19,95000,21.3184,24.7951,-1814.57763671875,1018.75,19
3000.37,20,100000,13.4458,24.0541,-619.2105102539062,3084.3,20
3049.38,21,105000,12.6427,23.2855,-589.9693603515625,2907.36,21
2936.38,22,110000,15.3256,23.9253,-885.5108642578125,1979.15,22
1006.46,23,115000,20.8352,24.8673,-1758.3284912109375,1217.24,23
3133.76,24,120000,17.2429,24.7666,-1054.6363525390625,1800.05,24
2996.36,25,125000,15.4096,23.8683,-1031.560791015625,2590.97,25
987.7,26,130000,22.1824,24.6704,-1885.3792724609375,1086.96,26
2883.84,27,135000,17.6285,24.3748,-1346.6165771484375,2101.55,27
3141.23,28,140000,15.8322,23.5968,-1056.47216796875,1491.77,28
1029.93,29,145000,22.5689,25.2066,-2047.63330078125,1312.41,29
3087.1,30,150000,15.1958,23.6117,-962.1254272460938,2312.87,30
3084.24,31,155000,13.7646,22.793,-891.0427856445312,2461.89,31
3094.41,32,160000,14.1149,23.4675,-600.389892578125,2409.83,32
3142.58,33,165000,16.3018,23.621,-1192.177001953125,2450.77,33
3137.4,34,170000,15.5623,23.3674,-1036.7462158203125,2312.76,34
3073.83,35,175000,18.9329,23.7923,-1766.5013427734375,1439.32,35
3070.37,36,180000,13.1306,22.8408,-889.0499267578125,2606.73,36
3158.23,37,185000,15.8363,23.3171,-1149.1397705078125,2157.98,37
2701.04,38,190000,17.9721,24.021,-1738.2227783203125,1606.57,38
3130.54,39,195000,14.0503,23.3187,-1046.26318359375,2156.96,39
3138.46,40,200000,15.7954,22.9643,-1462.76123046875,2013.96,40
3156.92,41,205000,13.8657,23.3326,-822.3350219726562,2602.73,41
3137.54,42,210000,13.7036,23.2319,-841.2311401367188,2467.51,42
3180.88,43,215000,14.9046,23.3651,-1640.1763916015625,2198.89,43
3048.54,44,220000,15.5062,23.2712,-1387.2672119140625,2215.92,44
3137.19,45,225000,13.3106,23.2158,-699.401123046875,2760.71,45
2607.0,46,230000,12.0084,22.0809,-737.9998779296875,2749.05,46
3099.72,47,235000,13.5169,23.4602,-1274.0284423828125,2585.65,47
3151.56,48,240000,14.42,23.472,-944.7621459960938,2829.74,48
3168.48,49,245000,13.3793,22.3631,-755.556396484375,3139.34,49
3175.24,50,250000,13.4156,22.5912,-738.2506713867188,3003.56,50
3166.96,51,255000,12.5848,22.5186,-774.3216552734375,3021.09,51
3190.9,52,260000,13.648,22.3844,-728.5175170898438,3130.52,52
2970.99,53,265000,12.5398,22.346,-832.9513549804688,3030.21,53
2839.13,54,270000,12.872,22.7745,-956.7959594726562,2888.21,54
3252.97,55,275000,13.0425,22.2321,-789.1807250976562,3069.11,55
3245.92,56,280000,13.9857,22.7712,-762.1851196289062,3220.23,56
3282.87,57,285000,13.0037,21.9066,-793.3837890625,2932.64,57
3334.86,58,290000,14.8509,23.0143,-723.9390258789062,3079.07,58
3321.48,59,295000,14.4808,22.4291,-723.2269897460938,3125.42,59
3346.97,60,300000,13.2407,21.9006,-773.0797119140625,3250.49,60
3350.34,61,305000,14.3712,21.961,-747.1531982421875,3214.89,61
3325.08,62,310000,13.4469,21.7149,-841.9652709960938,3284.59,62
3357.73,63,315000,14.4959,22.1112,-770.182373046875,3257.04,63
3248.78,64,320000,12.9069,21.4854,-849.5595703125,3256.96,64
3230.18,65,325000,12.9545,21.4807,-839.344482421875,3248.01,65
3237.28,66,330000,14.0124,22.3819,-901.4735717773438,3244.14,66
3280.67,67,335000,13.1383,21.7433,-867.3916625976562,3257.14,67
3258.96,68,340000,13.6774,21.3558,-915.5819702148438,3245.32,68
3211.46,69,345000,14.5089,22.4735,-945.0687866210938,3230.18,69
3294.83,70,350000,12.5289,21.5777,-999.1686401367188,3258.61,70
3279.96,71,355000,13.0491,20.9616,-884.2623901367188,3277.39,71
3295.66,72,360000,13.6528,21.4803,-840.1137084960938,3305.36,72
3264.73,73,365000,13.6818,21.1493,-912.190185546875,3259.02,73
