Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Itration,Running Env Steps,Running Update Time,Reward Loss
12.6786,-48.9,-143.33,158.7443,0,0,0,22.078096389770508
11.9559,-1.82,-64.12,158.446,1,5000,1,-19.324630737304688
11.164,396.13,87.22,157.973,2,10000,2,-58.96119689941406
10.9951,395.55,173.46,157.5905,3,15000,3,-39.37770462036133
11.3273,709.13,302.62,157.5183,4,20000,4,-101.82318115234375
11.4193,760.05,447.93,157.2893,5,25000,5,-108.12298583984375
11.6716,841.42,520.71,157.0339,6,30000,6,-99.481689453125
11.6858,1010.6,581.37,157.053,7,35000,7,-110.6126708984375
11.8044,1077.68,705.16,156.8836,8,40000,8,-140.41107177734375
12.0669,1051.86,701.41,157.0639,9,45000,9,-212.51646423339844
12.1028,1191.13,799.35,156.8218,10,50000,10,-213.0348663330078
12.1778,1282.22,853.84,156.905,11,55000,11,-274.253662109375
12.5239,1333.13,913.68,156.9116,12,60000,12,-311.9723815917969
12.7233,1319.53,936.14,157.0611,13,65000,13,-357.7178955078125
12.7187,1350.96,978.73,156.824,14,70000,14,-373.7967834472656
12.9441,1348.44,1032.29,156.8005,15,75000,15,-416.81103515625
12.9027,1453.74,1079.4,156.8598,16,80000,16,-441.7987365722656
13.3913,1507.53,1103.93,156.8097,17,85000,17,-494.3276062011719
13.2939,1537.53,1141.11,156.8379,18,90000,18,-525.3333740234375
13.4684,1549.43,1148.59,156.798,19,95000,19,-569.0694580078125
13.2007,1519.78,1187.13,156.7242,20,100000,20,-591.8021850585938
13.2967,1500.95,1155.56,156.7076,21,105000,21,-635.6314697265625
13.5568,1558.38,1214.3,156.7698,22,110000,22,-690.8108520507812
13.1942,1597.09,1210.94,156.7523,23,115000,23,-711.7972412109375
13.4898,1623.51,1238.37,156.8351,24,120000,24,-743.68115234375
13.4886,1640.74,1271.71,156.7309,25,125000,25,-776.4376831054688
13.2079,1694.13,1321.63,156.7016,26,130000,26,-815.7841796875
13.2692,1693.04,1312.5,156.6672,27,135000,27,-852.2611083984375
13.5678,1736.92,1333.46,156.6085,28,140000,28,-901.677978515625
13.6201,1686.93,1354.97,156.6219,29,145000,29,-900.4491577148438
13.3372,1725.72,1347.03,156.6379,30,150000,30,-955.3196411132812
13.5264,1753.25,1415.01,156.5368,31,155000,31,-973.8578491210938
13.448,1703.71,1405.44,156.4283,32,160000,32,-1026.33056640625
13.8913,1787.81,1430.13,156.4944,33,165000,33,-1085.3284912109375
13.3273,1825.3,1446.28,156.5134,34,170000,34,-1091.3424072265625
13.8202,1812.91,1472.2,156.4618,35,175000,35,-1133.253173828125
13.9628,1830.8,1467.99,156.5527,36,180000,36,-1196.5203857421875
14.0921,1840.34,1460.24,156.583,37,185000,37,-1242.950439453125
13.8343,1901.1,1516.46,156.3898,38,190000,38,-1249.525146484375
