Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Real Sto Return,Running Update Time,Reward Loss,Real Det Return
158.4543,11.6992,0,0,-207.97,0,35.0367431640625,-17.37
158.5474,12.0457,5000,1,-72.61,1,-40.90702438354492,-20.81
158.196,11.8055,10000,2,76.29,2,-17.850040435791016,510.12
158.2635,12.6258,15000,3,189.29,3,21.569787979125977,709.62
158.1968,13.322,20000,4,383.89,4,29.21950912475586,836.79
158.3496,13.954,25000,5,536.9,5,27.058542251586914,987.48
157.8868,14.4342,30000,6,706.43,6,39.56526565551758,1157.13
157.792,13.8627,35000,7,714.3,7,-15.01607894897461,1148.37
157.6872,14.1804,40000,8,738.17,8,-91.12763214111328,835.43
157.8051,14.6718,45000,9,843.74,9,-133.7466278076172,1269.78
157.8886,15.2092,50000,10,919.44,10,-151.87173461914062,1287.3
157.9319,16.0617,55000,11,1067.98,11,-169.48049926757812,1470.58
158.0292,16.0327,60000,12,1070.55,12,-219.6000213623047,1480.9
158.0257,16.1787,65000,13,1091.44,13,-259.7973327636719,1490.1
158.0484,16.3496,70000,14,1124.12,14,-302.6895446777344,1503.01
157.9637,16.6429,75000,15,1215.0,15,-331.94171142578125,1601.31
157.9297,16.2493,80000,16,1189.59,16,-382.98004150390625,1599.82
158.1734,16.7445,85000,17,1258.25,17,-396.5904235839844,1574.37
158.0877,16.5987,90000,18,1272.16,18,-441.3259582519531,1670.03
157.9281,16.5414,95000,19,1315.39,19,-490.8235778808594,1725.8
157.7621,15.9987,100000,20,1359.67,20,-522.7711791992188,1768.66
157.6779,16.4337,105000,21,1426.67,21,-554.7889404296875,1784.37
157.5811,15.9678,110000,22,1416.69,22,-600.1549072265625,1820.42
157.8701,16.234,115000,23,1392.4,23,-640.4740600585938,1823.09
158.1077,16.3059,120000,24,1465.84,24,-683.3366088867188,1838.44
157.8549,16.3246,125000,25,1488.61,25,-715.8268432617188,1843.64
157.7166,15.6267,130000,26,1487.84,26,-764.6788330078125,1861.99
157.7039,16.2193,135000,27,1508.04,27,-809.481689453125,1862.81
158.0643,16.6935,140000,28,1539.81,28,-838.71240234375,1915.15
157.8542,16.2306,145000,29,1524.62,29,-901.4269409179688,1906.1
157.6985,15.9825,150000,30,1529.71,30,-916.1016845703125,1941.1
157.5696,16.288,155000,31,1575.09,31,-958.9046630859375,1948.23
157.6853,16.2999,160000,32,1564.72,32,-997.875244140625,1924.32
157.6392,16.0074,165000,33,1554.66,33,-1033.613525390625,1965.2
157.6079,16.2296,170000,34,1539.88,34,-1084.4716796875,1938.43
157.6112,16.147,175000,35,1592.48,35,-1109.713134765625,1961.46
157.6712,16.5504,180000,36,1629.38,36,-1122.2763671875,2026.9
157.477,15.9779,185000,37,1602.31,37,-1185.42431640625,1974.24
157.4884,16.05,190000,38,1625.55,38,-1222.271728515625,2022.72
157.6042,16.0041,195000,39,1597.85,39,-1266.1978759765625,1968.22
157.3246,15.662,200000,40,1591.0,40,-1292.1578369140625,1948.45
157.2756,15.9877,205000,41,1679.32,41,-1326.837158203125,2043.17
157.2798,16.0335,210000,42,1670.6,42,-1367.8924560546875,2043.43
157.312,16.6066,215000,43,1699.35,43,-1384.081787109375,2115.28
157.4117,16.2591,220000,44,1661.68,44,-1432.747314453125,2057.84
157.3185,15.7499,225000,45,1650.8,45,-1481.26318359375,2069.06
157.2718,15.5487,230000,46,1646.39,46,-1501.4248046875,2040.13
157.2765,16.1884,235000,47,1691.77,47,-1544.611083984375,2101.69
157.3488,16.1006,240000,48,1690.23,48,-1577.9033203125,2069.0
156.9864,16.0085,245000,49,1695.12,49,-1601.5863037109375,2076.13
157.2263,15.6966,250000,50,1715.57,50,-1627.960693359375,2096.74
157.0273,15.3856,255000,51,1650.44,51,-1695.108642578125,1991.64
157.2144,15.5993,260000,52,1701.24,52,-1730.7349853515625,2079.05
157.1636,15.7613,265000,53,1729.6,53,-1755.2430419921875,2074.35
157.1129,15.9237,270000,54,1737.9,54,-1810.3167724609375,2117.41
157.1942,15.8428,275000,55,1732.07,55,-1829.5313720703125,2122.38
157.2824,16.0489,280000,56,1713.63,56,-1871.033935546875,2107.33
156.9901,15.9555,285000,57,1744.13,57,-1893.7568359375,2108.91
157.1889,15.8533,290000,58,1735.0,58,-1917.4368896484375,2076.79
156.9234,15.7113,295000,59,1719.29,59,-1970.71533203125,2074.09
157.1332,16.1772,300000,60,1767.59,60,-2026.4615478515625,2128.77
156.9878,15.6348,305000,61,1717.66,61,-2051.440185546875,2086.05
156.9262,15.6973,310000,62,1697.91,62,-2092.93310546875,2100.44
156.937,15.5506,315000,63,1731.12,63,-2143.88720703125,2085.55
156.8613,15.7476,320000,64,1756.29,64,-2178.662353515625,2098.52
157.1061,15.8604,325000,65,1759.99,65,-2213.089111328125,2117.46
157.1799,15.8654,330000,66,1721.14,66,-2268.426513671875,2109.01
156.8075,15.729,335000,67,1767.24,67,-2291.9072265625,2169.01
156.9575,15.8543,340000,68,1754.75,68,-2326.296142578125,2118.22
156.9853,15.9312,345000,69,1767.73,69,-2355.171142578125,2155.2
156.8668,15.692,350000,70,1745.14,70,-2397.206298828125,2138.99
157.0706,15.6643,355000,71,1712.75,71,-2480.98828125,2063.15
156.7698,15.5881,360000,72,1754.29,72,-2491.60107421875,2116.54
157.1386,15.8414,365000,73,1736.95,73,-2554.1005859375,2142.54
156.7274,15.6494,370000,74,1724.03,74,-2574.259765625,2085.75
156.837,15.8018,375000,75,1755.52,75,-2612.059814453125,2119.43
157.16,15.5344,380000,76,1745.53,76,-2645.464111328125,2111.32
157.0768,16.0105,385000,77,1805.51,77,-2701.684326171875,2185.78
