Running Update Time,Real Det Return,Running Env Steps,Running Forward KL,Reward Loss,Running Reverse KL,Itration,Real Sto Return
0,212.77,0,76.3019,77.14635467529297,28.3957,0,-65.47
1,463.99,5000,75.7748,67.4699935913086,28.2631,1,-88.07
2,361.17,10000,73.2913,49.30852508544922,28.0864,2,-56.11
3,620.29,15000,72.7231,38.115421295166016,27.8626,3,8.1
4,600.83,20000,72.0841,21.928205490112305,27.0766,4,11.07
5,754.12,25000,70.3815,-0.5386732816696167,27.4941,5,129.96
6,764.91,30000,69.1078,-9.370803833007812,27.5396,6,59.92
7,712.45,35000,68.2227,-24.0408935546875,26.8673,7,128.67
8,1063.58,40000,65.9721,-40.582088470458984,27.4731,8,292.46
9,699.81,45000,66.9559,-56.04029083251953,28.4841,9,206.57
10,1059.5,50000,66.7977,-65.51844024658203,27.4462,10,311.49
11,1057.86,55000,64.2716,-77.19135284423828,27.097,11,375.13
12,1043.3,60000,67.219,-91.7993392944336,28.8966,12,272.03
13,1037.53,65000,63.9638,-98.47991943359375,26.2458,13,405.3
14,1249.11,70000,64.8817,-115.39961242675781,27.0276,14,384.21
15,1220.03,75000,65.9954,-127.41832733154297,27.3404,15,221.74
16,695.22,80000,66.2208,-140.73106384277344,27.6047,16,242.64
17,949.37,85000,66.3435,-159.60487365722656,27.1898,17,210.27
18,759.82,90000,69.7451,-176.39744567871094,29.0488,18,322.9
19,1269.97,95000,63.1425,-182.88778686523438,26.5707,19,510.1
20,1304.26,100000,61.6354,-190.02139282226562,25.8353,20,350.74
21,1328.06,105000,62.1667,-208.30203247070312,25.3404,21,382.04
22,1120.14,110000,59.7814,-214.61061096191406,24.316,22,576.51
23,736.34,115000,69.2092,-245.09713745117188,28.9653,23,228.94
24,932.29,120000,63.0728,-252.62423706054688,26.1783,24,333.9
25,1817.21,125000,61.1291,-234.15191650390625,25.1053,25,565.5
26,1385.14,130000,62.5264,-264.6171569824219,26.2627,26,692.99
27,1546.97,135000,61.2177,-254.02301025390625,24.3891,27,792.84
28,1803.83,140000,61.241,-282.4801940917969,24.3492,28,923.1
29,1271.0,145000,62.7711,-317.5534362792969,25.9828,29,662.23
30,1444.1,150000,59.1761,-306.3220520019531,23.0063,30,693.69
31,1155.2,155000,63.2852,-332.2843017578125,28.6129,31,965.98
32,1167.46,160000,63.5377,-344.4868469238281,25.4304,32,738.74
33,1472.79,165000,61.2796,-362.7218017578125,23.784,33,615.39
34,1256.86,170000,58.7594,-363.6884765625,22.9875,34,643.88
35,1441.18,175000,59.5546,-378.7244567871094,22.1574,35,481.4
36,1510.89,180000,63.9158,-408.7392272949219,24.9492,36,755.13
37,1578.73,185000,61.5552,-411.72802734375,24.9379,37,1012.69
38,1163.57,190000,59.8105,-429.0802917480469,23.5087,38,718.0
39,1506.98,195000,61.8322,-451.81243896484375,24.8632,39,578.56
40,957.47,200000,61.0567,-464.5960693359375,24.7046,40,626.16
41,1435.1,205000,61.2675,-461.5057678222656,24.0926,41,643.18
42,1645.86,210000,60.8261,-491.2923278808594,24.1605,42,867.82
43,1689.83,215000,58.9282,-446.039306640625,23.9844,43,1115.48
44,1770.87,220000,59.4658,-492.7226867675781,23.2223,44,951.24
45,1258.92,225000,61.5142,-512.0148315429688,24.4129,45,960.14
46,1271.2,230000,59.1359,-503.1126708984375,23.1467,46,953.27
47,2066.84,235000,59.2885,-483.76751708984375,26.2289,47,1259.82
48,2455.88,240000,55.7167,-460.88372802734375,24.0189,48,1353.45
49,2813.04,245000,60.1199,-486.9962158203125,28.2362,49,2126.6
50,2557.09,250000,56.3907,-492.6424865722656,23.9052,50,1533.86
51,2112.47,255000,59.2908,-557.0725708007812,23.2089,51,1076.44
52,2127.57,260000,61.1372,-589.8285522460938,25.149,52,1465.89
53,1713.94,265000,59.5588,-589.1226806640625,23.0943,53,913.18
54,2609.28,270000,59.8518,-622.6223754882812,23.5566,54,1337.08
55,2651.12,275000,58.7031,-518.2830200195312,30.7451,55,1737.07
56,2893.74,280000,56.7953,-557.4912109375,24.8203,56,1808.93
57,2246.69,285000,59.4168,-571.5494995117188,27.33,57,1834.82
58,1735.82,290000,59.7831,-687.5142822265625,23.9289,58,865.13
59,2844.2,295000,59.152,-611.420654296875,27.2504,59,1989.74
60,1678.84,300000,61.0853,-716.9552612304688,23.8957,60,1099.54
61,2617.83,305000,59.4234,-641.139404296875,27.4404,61,1815.32
62,1651.58,310000,61.6757,-758.978515625,24.5631,62,682.21
63,1437.3,315000,62.7332,-767.8507080078125,25.4092,63,900.15
64,2664.34,320000,55.3409,-643.7078247070312,24.2845,64,2256.37
65,2383.28,325000,59.1873,-673.27392578125,26.403,65,1281.12
66,2708.92,330000,58.9404,-714.4249267578125,25.8704,66,2087.15
67,2801.29,335000,58.7313,-685.9918823242188,27.225,67,1986.58
68,3015.65,340000,57.9405,-690.377685546875,28.4257,68,2047.87
69,2962.16,345000,59.5226,-733.8978271484375,27.2386,69,2092.16
70,2575.41,350000,56.0877,-708.4996948242188,25.9818,70,2460.3
71,3035.0,355000,60.4714,-717.6093139648438,33.1713,71,2459.34
72,3047.44,360000,56.1421,-704.2772827148438,26.7396,72,2057.84
73,3299.13,365000,57.1027,-763.513916015625,24.8662,73,2270.72
74,2942.34,370000,59.1113,-853.65869140625,24.8934,74,1862.84
75,3175.53,375000,59.0141,-723.897705078125,34.0902,75,2847.4
76,1645.06,380000,60.0844,-900.1599731445312,24.437,76,1182.73
