Real Det Return,Itration,Real Sto Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Update Time,Running Env Steps
207.87,0,209.05,32.2191,848.4303588867188,18.7784,0,0
287.19,1,288.64,30.973,844.030517578125,49.0816,1,5000
193.96,2,213.67,32.6541,301.3336181640625,20.1116,2,10000
264.65,3,266.99,30.7045,233.14569091796875,29.9008,3,15000
269.19,4,279.95,29.4113,419.3142395019531,19.809,4,20000
344.03,5,304.85,29.3906,309.52716064453125,20.8596,5,25000
354.4,6,108.75,29.4108,35.12928009033203,52.0365,6,30000
979.48,7,506.33,30.0806,64.45779418945312,19.5722,7,35000
223.0,8,222.99,28.1152,71.98346710205078,50.5341,8,40000
986.38,9,1007.49,36.7794,-100.30862426757812,32.2936,9,45000
1052.63,10,1054.22,36.3104,-149.83285522460938,30.2497,10,50000
1033.6,11,774.74,29.0001,-63.86112594604492,14.5097,11,55000
989.9,12,991.57,36.889,-225.51792907714844,31.8307,12,60000
1016.78,13,1017.06,34.9211,-282.04510498046875,26.1988,13,65000
613.35,14,674.64,26.6271,-196.45127868652344,16.4255,14,70000
1049.87,15,951.54,31.4979,-356.6019592285156,27.4601,15,75000
1052.92,16,841.91,30.9788,-393.9604187011719,27.508,16,80000
1055.19,17,1056.27,36.3723,-505.825439453125,30.3735,17,85000
1053.48,18,1054.58,36.3391,-532.8536376953125,28.8537,18,90000
1032.98,19,1036.31,38.6992,-578.3419799804688,28.0027,19,95000
1055.97,20,1057.25,38.235,-639.9818115234375,31.0127,20,100000
1050.14,21,1052.82,36.6553,-676.8658447265625,25.6821,21,105000
1005.38,22,1004.83,39.134,-714.1815795898438,27.1894,22,110000
970.56,23,362.92,39.0392,-782.0803833007812,37.8266,23,115000
1004.61,24,1003.47,39.6661,-842.49755859375,32.6854,24,120000
402.13,25,429.09,27.8224,-830.47412109375,29.7237,25,125000
329.0,26,333.09,30.0563,-910.9255981445312,30.8129,26,130000
491.61,27,465.48,26.6636,-899.6925048828125,28.0421,27,135000
346.65,28,365.92,27.7328,-891.7271728515625,23.0198,28,140000
411.93,29,479.2,27.6013,-999.9844360351562,24.9982,29,145000
475.18,30,511.31,26.6593,-988.6943969726562,25.1168,30,150000
782.45,31,747.94,25.1838,-807.4425659179688,19.8377,31,155000
749.87,32,735.15,24.5872,-981.7272338867188,29.6524,32,160000
