Running Reverse KL,Real Sto Return,Itration,Reward Loss,Running Update Time,Running Forward KL,Running Env Steps,Real Det Return
11.674,-194.53,0,2210.160888671875,0,158.5726,0,-12.71
12.3506,6.61,1,1813.8192138671875,1,158.5383,5000,33.0
12.0867,160.73,2,1885.769287109375,2,158.278,10000,810.74
12.6482,335.7,3,1899.7088623046875,3,158.0568,15000,764.59
13.8087,512.95,4,1864.2686767578125,4,158.1342,20000,834.74
13.8906,489.03,5,1598.1300048828125,5,158.0258,25000,822.79
14.0626,646.56,6,1561.392822265625,6,158.1595,30000,987.32
14.6515,784.59,7,1094.856201171875,7,158.0054,35000,1218.11
15.0571,842.39,8,846.2382202148438,8,157.9367,40000,1336.57
15.8971,1032.26,9,710.0039672851562,9,158.281,45000,1481.95
16.1654,1108.95,10,552.9981079101562,10,157.6927,50000,1520.2
16.3846,1143.03,11,398.2651672363281,11,157.965,55000,1560.84
16.0813,1178.79,12,164.13821411132812,12,157.69,60000,1573.18
16.1096,1137.93,13,-104.83306121826172,13,157.9699,65000,1605.4
16.4749,1210.52,14,-229.3132781982422,14,157.9079,70000,1650.7
16.456,1269.39,15,-520.47314453125,15,157.8998,75000,1668.48
16.5643,1309.14,16,-690.92138671875,16,158.0235,80000,1704.04
16.4701,1321.33,17,-967.0992431640625,17,158.1404,85000,1727.36
16.4562,1250.84,18,-1086.373779296875,18,157.8088,90000,1642.22
16.5259,1362.53,19,-1305.9273681640625,19,157.7592,95000,1766.21
16.4,1384.37,20,-1571.5704345703125,20,157.8536,100000,1775.79
16.7638,1419.27,21,-1764.354736328125,21,157.9055,105000,1810.62
16.7628,1437.1,22,-1843.40966796875,22,157.6871,110000,1818.11
16.6752,1457.56,23,-2093.115478515625,23,157.8826,115000,1866.45
16.0297,1456.21,24,-2312.3583984375,24,157.6568,120000,1805.62
16.2662,1522.96,25,-2556.76220703125,25,157.6199,125000,1876.48
16.295,1478.61,26,-2802.59375,26,157.8633,130000,1849.53
16.3353,1498.05,27,-2997.607421875,27,157.6724,135000,1859.19
16.1501,1533.21,28,-3198.83154296875,28,157.5286,140000,1867.15
16.3017,1567.15,29,-3380.514892578125,29,157.6566,145000,1939.47
16.2265,1552.0,30,-3721.12255859375,30,157.6606,150000,1912.23
16.3847,1565.81,31,-3871.017578125,31,157.6581,155000,1881.29
16.4303,1598.79,32,-3987.93701171875,32,157.4234,160000,1956.67
16.7739,1631.91,33,-4217.27587890625,33,157.5852,165000,1995.37
16.5173,1610.53,34,-4391.5791015625,34,157.4674,170000,1988.52
16.1996,1612.86,35,-4582.68115234375,35,157.504,175000,1996.47
16.3692,1617.31,36,-4855.3701171875,36,157.3795,180000,1923.62
16.9342,1674.21,37,-5060.0224609375,37,157.6035,185000,2026.54
16.5179,1619.48,38,-5274.74658203125,38,157.3197,190000,1969.41
16.2516,1620.94,39,-5491.5634765625,39,157.2694,195000,1965.57
15.8905,1637.89,40,-5710.99951171875,40,157.1211,200000,1965.45
16.4057,1649.05,41,-5888.85791015625,41,157.4118,205000,1983.45
16.0493,1644.1,42,-6054.044921875,42,157.4274,210000,2013.8
16.2194,1639.4,43,-6359.45068359375,43,157.5654,215000,1955.38
16.1342,1645.9,44,-6535.638671875,44,157.2437,220000,1990.44
16.2492,1680.53,45,-6688.59033203125,45,157.2962,225000,2040.18
16.4272,1650.39,46,-6959.7626953125,46,157.4435,230000,1996.35
15.8926,1624.79,47,-7193.25048828125,47,157.4667,235000,1931.11
15.9747,1677.04,48,-7332.00927734375,48,157.0338,240000,2010.97
16.0562,1679.45,49,-7571.93798828125,49,157.1043,245000,1968.07
16.2661,1675.94,50,-7776.0341796875,50,157.3836,250000,2008.55
16.4856,1693.06,51,-7971.98486328125,51,157.1347,255000,2051.0
16.3593,1712.87,52,-8108.16845703125,52,157.1467,260000,2074.57
16.1026,1699.85,53,-8408.142578125,53,157.2288,265000,2066.07
16.2474,1724.86,54,-8628.931640625,54,157.4032,270000,2078.55
16.16,1699.24,55,-8806.0185546875,55,157.0732,275000,2052.34
16.5215,1770.97,56,-8992.6884765625,56,157.3711,280000,2115.96
16.1434,1712.53,57,-9262.8701171875,57,157.3007,285000,2081.48
15.7138,1668.14,58,-9499.8076171875,58,157.219,290000,2005.09
16.3591,1720.06,59,-9710.87890625,59,157.3597,295000,2080.44
16.0856,1749.28,60,-9762.1201171875,60,156.8778,300000,2084.67
16.0457,1707.69,61,-10092.1181640625,61,157.0618,305000,2058.31
15.9404,1702.12,62,-10343.224609375,62,157.0734,310000,2034.39
16.0278,1708.45,63,-10505.3193359375,63,157.2926,315000,2093.38
15.9127,1721.34,64,-10656.1201171875,64,157.3116,320000,2069.5
16.2498,1721.61,65,-10922.3798828125,65,157.2031,325000,2096.06
15.9761,1732.87,66,-11099.0546875,66,156.9516,330000,2082.42
15.9475,1735.01,67,-11406.548828125,67,157.1486,335000,2088.99
15.6445,1704.49,68,-11580.39453125,68,157.0088,340000,2039.93
15.5799,1683.48,69,-11838.390625,69,156.9684,345000,2000.63
15.9593,1766.7,70,-11983.37109375,70,157.1775,350000,2108.18
15.696,1728.29,71,-12181.12109375,71,156.9469,355000,2066.57
16.2113,1775.8,72,-12398.5810546875,72,157.0113,360000,2102.82
15.6138,1742.45,73,-12635.0927734375,73,156.8815,365000,2100.89
15.9468,1760.93,74,-12834.56640625,74,157.0966,370000,2123.31
15.5605,1745.88,75,-12995.6376953125,75,156.7397,375000,2100.02
15.588,1731.49,76,-13291.533203125,76,156.919,380000,2016.41
15.6884,1716.75,77,-13455.9306640625,77,156.9392,385000,2104.21
15.7488,1768.95,78,-13686.3603515625,78,156.9111,390000,2099.62
16.0055,1776.26,79,-13997.046875,79,156.9359,395000,2079.99
15.7424,1729.29,80,-14249.8515625,80,157.1,400000,2090.18
16.0019,1780.02,81,-14435.8310546875,81,156.9565,405000,2154.48
15.7446,1796.12,82,-14624.787109375,82,156.9746,410000,2129.8
15.9791,1782.42,83,-14836.7421875,83,156.7095,415000,2146.48
15.6524,1730.57,84,-15205.7412109375,84,157.0413,420000,2023.83
15.6955,1725.49,85,-15452.4091796875,85,157.0801,425000,2024.4
15.8722,1796.85,86,-15579.6435546875,86,156.8639,430000,2148.18
15.78,1764.0,87,-15879.662109375,87,156.9793,435000,2142.11
15.9156,1801.29,88,-15999.44140625,88,157.0175,440000,2148.58
15.894,1797.92,89,-16159.8349609375,89,156.9566,445000,2144.21
16.0516,1782.41,90,-16528.3359375,90,156.9745,450000,2155.32
15.7039,1787.02,91,-16837.482421875,91,157.0689,455000,2101.97
16.0384,1793.05,92,-16987.287109375,92,157.0034,460000,2131.97
15.8119,1786.71,93,-17115.810546875,93,156.8123,465000,2148.97
15.998,1804.03,94,-17506.23828125,94,157.1054,470000,2139.71
15.5958,1803.49,95,-17639.841796875,95,156.7205,475000,2135.53
15.592,1760.65,96,-17839.12890625,96,156.9719,480000,2066.08
15.4531,1736.94,97,-18176.87109375,97,157.0032,485000,2066.04
15.6551,1813.8,98,-18283.271484375,98,156.7372,490000,2150.56
15.7855,1805.45,99,-18582.8515625,99,156.7646,495000,2186.16
15.5595,1814.28,100,-18779.546875,100,156.6855,500000,2169.74
15.8369,1821.6,101,-18983.166015625,101,156.8267,505000,2158.63
15.5881,1822.38,102,-19253.408203125,102,156.9373,510000,2163.89
15.7272,1799.66,103,-19525.302734375,103,156.8458,515000,2144.09
15.6372,1762.12,104,-19746.4453125,104,157.0246,520000,2128.88
15.5401,1790.01,105,-20045.54296875,105,157.0164,525000,2143.94
15.4028,1745.3,106,-20283.705078125,106,156.7761,530000,2147.33
15.4459,1842.12,107,-20414.71875,107,156.8291,535000,2193.46
15.5547,1783.36,108,-20635.751953125,108,156.931,540000,2142.15
15.7602,1825.31,109,-20982.826171875,109,156.8285,545000,2155.51
15.5985,1804.98,110,-21161.6171875,110,156.9734,550000,2185.71
15.5807,1836.37,111,-21399.123046875,111,156.9502,555000,2194.76
15.6604,1819.11,112,-21916.076171875,112,157.0142,560000,2195.67
15.7749,1837.8,113,-21867.53515625,113,156.9592,565000,2138.05
15.6232,1790.75,114,-22251.94921875,114,156.9016,570000,2149.29
15.9636,1848.27,115,-22330.5859375,115,156.918,575000,2225.02
15.5441,1791.76,116,-22662.04296875,116,156.8477,580000,2149.93
15.679,1849.3,117,-22942.95703125,117,156.886,585000,2198.15
15.4538,1849.53,118,-23019.935546875,118,156.8678,590000,2177.16
15.4321,1810.62,119,-23340.06640625,119,156.8262,595000,2156.87
15.7526,1836.03,120,-23368.04296875,120,156.7829,600000,2167.62
15.6601,1852.97,121,-23695.11328125,121,156.7651,605000,2212.51
15.6371,1844.55,122,-23827.123046875,122,156.879,610000,2197.72
15.498,1832.02,123,-24026.44140625,123,156.8687,615000,2150.76
15.6153,1832.53,124,-24206.083984375,124,156.8081,620000,2191.52
15.5943,1802.57,125,-24533.927734375,125,157.0207,625000,2147.85
15.6676,1847.63,126,-24685.84765625,126,156.7406,630000,2207.38
15.3141,1824.53,127,-24875.138671875,127,156.9107,635000,2174.99
15.5132,1801.71,128,-24926.81640625,128,156.8188,640000,2191.38
15.2105,1787.14,129,-25143.962890625,129,156.8668,645000,2109.27
15.521,1828.0,130,-25464.220703125,130,156.7926,650000,2199.99
15.6388,1851.83,131,-25678.126953125,131,157.1096,655000,2198.03
