Real Det Return,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Running Env Steps,Running Reverse KL,Itration
3551.37,151,3892.29,-13420.521484375,307.381,755000,111.049,151
4165.5,152,4394.52,-13413.5859375,307.9577,760000,108.6794,152
4905.96,153,4310.2,-13246.8466796875,300.6062,765000,95.7239,153
2428.31,154,4797.86,-13805.74609375,308.5447,770000,133.194,154
3616.31,155,3945.17,-13956.7392578125,313.6411,775000,119.0196,155
3529.14,156,3683.26,-13494.6787109375,306.5305,780000,98.8904,156
4936.14,157,4805.05,-14062.810546875,308.9202,785000,116.7243,157
3705.91,158,3681.45,-14024.4892578125,302.3089,790000,119.1211,158
1913.52,159,3707.61,-14140.0234375,308.8967,795000,114.9249,159
3956.74,160,4600.6,-14160.0185546875,303.6683,800000,101.4612,160
3038.89,161,4813.83,-14315.7333984375,305.2059,805000,110.1221,161
4289.49,162,4209.98,-14430.576171875,300.3591,810000,93.6309,162
4634.96,163,4672.25,-14603.798828125,308.8357,815000,109.4889,163
4236.01,164,4604.04,-14739.0048828125,305.5304,820000,104.5247,164
3515.62,165,3535.81,-14713.8134765625,303.8369,825000,116.9417,165
4657.67,166,4153.27,-14750.177734375,306.1729,830000,122.1844,166
1790.2,167,3408.67,-15099.509765625,308.5269,835000,105.9267,167
4038.98,168,4656.0,-14603.4775390625,300.3094,840000,103.6818,168
3979.76,169,4132.39,-14424.109375,292.9454,845000,87.1833,169
3835.52,170,4281.29,-14725.5908203125,299.6123,850000,98.9153,170
5149.29,171,4617.0,-15100.669921875,299.0776,855000,98.3608,171
3987.37,172,3603.48,-15479.10546875,298.2939,860000,120.6626,172
1190.24,173,2882.24,-15635.2412109375,313.2674,865000,142.6837,173
5005.26,174,3916.1,-15678.29296875,310.6285,870000,112.889,174
4991.84,175,4129.32,-15490.7998046875,294.3033,875000,99.4886,175
4320.18,176,5047.45,-14927.650390625,293.6322,880000,89.6901,176
5197.95,177,5133.26,-15309.4599609375,297.0982,885000,104.0902,177
4454.88,178,4416.64,-15102.6083984375,294.7329,890000,92.0263,178
5215.52,179,4904.09,-15579.4189453125,292.2502,895000,98.2805,179
4621.19,180,4464.44,-16093.49609375,307.3981,900000,109.7587,180
4265.45,181,4599.95,-16091.1923828125,308.1848,905000,107.3372,181
4112.86,182,4495.03,-15875.40234375,292.1503,910000,102.2213,182
4792.74,183,4955.63,-15989.1005859375,290.9662,915000,83.4327,183
4921.84,184,4639.92,-15598.2822265625,293.2967,920000,90.098,184
5128.03,185,4740.63,-15773.7060546875,296.4883,925000,91.805,185
3998.42,186,4826.21,-16001.396484375,300.0625,930000,95.8047,186
3885.94,187,4653.67,-16248.701171875,311.0597,935000,111.8286,187
4708.88,188,4836.92,-15583.171875,288.2951,940000,81.2118,188
4356.81,189,4574.85,-15585.86328125,286.8467,945000,84.9692,189
5223.9,190,5121.42,-16323.912109375,301.8161,950000,91.6481,190
3712.13,191,4597.86,-16130.787109375,302.8494,955000,120.7423,191
4955.4,192,4351.88,-16129.087890625,302.6211,960000,107.024,192
4961.54,193,4339.06,-16290.515625,292.8529,965000,84.0256,193
3279.24,194,4229.5,-16238.2568359375,301.3189,970000,103.6612,194
4810.85,195,4445.15,-16251.9052734375,293.3751,975000,88.7482,195
4185.66,196,4830.67,-16156.244140625,293.0769,980000,90.5652,196
5211.0,197,4997.41,-15921.283203125,293.0948,985000,89.4267,197
5096.4,198,5036.27,-16079.5703125,295.1213,990000,87.3241,198
3659.38,199,4603.03,-16133.0068359375,293.6916,995000,93.1511,199
4615.1,200,4622.58,-16469.255859375,290.9629,1000000,84.5708,200
4252.72,201,4702.22,-16844.84765625,303.7398,1005000,132.6173,201
4089.89,202,4191.4,-16750.751953125,297.1811,1010000,91.3829,202
4612.96,203,4185.23,-16462.419921875,289.848,1015000,91.868,203
5156.66,204,4289.41,-16527.31640625,298.141,1020000,93.5977,204
4612.61,205,5106.5,-16781.595703125,296.5951,1025000,109.1033,205
4481.03,206,3992.32,-17086.7734375,298.1922,1030000,114.2787,206
