Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Env Steps,Running Update Time
-38.44,158.5575,1971.806884765625,11.8287,0,-175.63,0,0
19.3,158.4234,1852.878662109375,11.6669,1,-108.85,5000,1
20.11,158.5331,1718.9354248046875,11.934,2,-33.86,10000,2
652.2,158.2557,1620.23974609375,11.8899,3,100.11,15000,3
668.35,157.9531,1564.0048828125,12.1697,4,230.98,20000,4
835.39,157.8559,1263.8983154296875,12.8915,5,353.03,25000,5
912.88,158.0462,1206.850830078125,13.8385,6,514.19,30000,6
1021.96,158.2907,926.0044555664062,14.8446,7,648.81,35000,7
1333.54,158.1035,1025.1544189453125,15.7305,8,898.56,40000,8
1494.24,157.9978,765.9472045898438,16.3935,9,1007.19,45000,9
1467.78,157.8283,493.7095642089844,16.1634,10,998.81,50000,10
1500.24,157.9795,301.9523620605469,16.3861,11,1130.89,55000,11
1527.11,157.9519,90.64846801757812,16.2879,12,1143.27,60000,12
1607.31,158.0504,-105.02021789550781,16.8299,13,1229.4,65000,13
1641.03,157.9518,-241.69712829589844,16.7739,14,1255.17,70000,14
1662.51,158.0872,-472.7767639160156,16.8329,15,1296.41,75000,15
1719.26,157.9225,-653.4429931640625,16.7276,16,1314.65,80000,16
1723.27,157.8823,-845.86181640625,16.6069,17,1337.99,85000,17
1721.77,157.7505,-1117.025634765625,16.8256,18,1351.16,90000,18
1779.26,157.9289,-1328.889892578125,16.722,19,1308.44,95000,19
1788.65,157.9654,-1585.13916015625,16.714,20,1401.0,100000,20
1827.31,157.7631,-1793.6416015625,16.6744,21,1478.59,105000,21
1862.77,157.7105,-1991.411376953125,16.7395,22,1479.32,110000,22
1828.13,157.6156,-2253.37744140625,16.1843,23,1463.26,115000,23
1859.83,157.7887,-2452.252685546875,16.2715,24,1484.67,120000,24
1821.33,157.5852,-2743.893798828125,16.3573,25,1517.03,125000,25
1861.16,157.7514,-2876.24169921875,16.0912,26,1518.19,130000,26
1925.77,157.5983,-3122.146728515625,16.5416,27,1583.27,135000,27
1908.01,157.5365,-3331.63037109375,16.2734,28,1555.22,140000,28
1964.55,157.6488,-3495.884765625,16.6457,29,1599.18,145000,29
1900.71,157.5728,-3744.041748046875,16.5111,30,1584.25,150000,30
1991.28,157.4931,-3881.8388671875,16.9304,31,1614.06,155000,31
1937.74,157.4804,-4198.72412109375,16.4353,32,1585.22,160000,32
1882.54,157.5936,-4362.6455078125,16.1974,33,1602.15,165000,33
1926.5,157.57,-4574.173828125,16.258,34,1603.94,170000,34
2024.1,157.4061,-4745.54638671875,16.4602,35,1630.05,175000,35
1911.83,157.4388,-4974.0927734375,16.2083,36,1611.66,180000,36
2034.11,157.4155,-5180.5205078125,16.3272,37,1675.38,185000,37
2006.47,157.4425,-5348.99755859375,16.2712,38,1647.77,190000,38
2082.62,157.5451,-5500.6533203125,16.7396,39,1707.46,195000,39
2085.15,157.1822,-5840.83984375,16.5616,40,1690.83,200000,40
2061.06,157.5313,-5974.09326171875,16.6063,41,1711.93,205000,41
2013.1,157.378,-6204.91259765625,16.1315,42,1674.89,210000,42
2040.04,157.3057,-6308.92333984375,16.4796,43,1693.06,215000,43
2015.53,157.4104,-6653.8623046875,16.3387,44,1694.99,220000,44
2068.69,157.0408,-6803.44140625,16.4217,45,1716.34,225000,45
2078.14,157.4153,-6922.01171875,16.3243,46,1698.06,230000,46
2055.74,157.2526,-7161.5966796875,16.1663,47,1677.48,235000,47
2087.97,157.3336,-7356.63671875,16.5821,48,1721.12,240000,48
2078.1,157.0411,-7599.5283203125,16.1764,49,1714.33,245000,49
2146.75,157.1428,-7746.8642578125,16.32,50,1767.0,250000,50
2114.61,157.2436,-7927.4814453125,16.4725,51,1740.72,255000,51
2073.59,157.2975,-8187.29736328125,16.5189,52,1778.22,260000,52
2091.34,157.2703,-8447.5771484375,16.3093,53,1726.74,265000,53
2085.6,157.2437,-8621.8603515625,16.1732,54,1725.12,270000,54
2110.41,157.1872,-8777.8056640625,16.2906,55,1758.45,275000,55
2114.79,157.111,-9054.865234375,16.4658,56,1780.22,280000,56
2075.96,156.9954,-9231.498046875,16.1913,57,1750.19,285000,57
2126.94,157.0368,-9384.822265625,16.1722,58,1772.49,290000,58
2077.96,157.043,-9654.697265625,16.3212,59,1780.43,295000,59
2130.04,157.1743,-9880.69140625,16.7687,60,1783.4,300000,60
2078.11,157.173,-10106.65625,16.0982,61,1744.54,305000,61
2036.47,157.1494,-10372.1337890625,16.0623,62,1760.7,310000,62
2130.32,157.0741,-10420.796875,16.0555,63,1753.48,315000,63
2131.07,157.2448,-10757.04296875,16.3219,64,1769.41,320000,64
2029.37,156.9244,-10927.0087890625,15.8432,65,1746.72,325000,65
2144.52,157.1537,-11026.3232421875,16.2135,66,1806.12,330000,66
2151.33,156.8578,-11261.6123046875,16.2652,67,1791.64,335000,67
2156.34,157.141,-11539.388671875,16.3304,68,1791.97,340000,68
2053.63,157.0451,-11805.3046875,15.9316,69,1751.25,345000,69
2165.28,156.9931,-11936.123046875,16.342,70,1805.99,350000,70
2016.17,157.0709,-12270.0556640625,15.6529,71,1720.26,355000,71
2084.26,157.1349,-12466.53125,15.7096,72,1764.57,360000,72
2179.26,157.1167,-12622.748046875,15.9988,73,1819.95,365000,73
2192.21,156.9296,-12771.9384765625,15.9273,74,1813.2,370000,74
2151.43,156.7683,-12909.541015625,15.9125,75,1812.49,375000,75
2193.83,156.8874,-13232.9765625,16.1595,76,1831.09,380000,76
2159.21,156.9325,-13443.2646484375,15.9782,77,1783.51,385000,77
2143.08,156.86,-13656.443359375,15.7263,78,1775.54,390000,78
2110.86,157.0802,-13879.828125,15.7724,79,1787.04,395000,79
2171.74,156.8333,-14073.474609375,15.7857,80,1777.54,400000,80
2153.69,156.8712,-14307.7255859375,16.155,81,1831.16,405000,81
2160.17,156.9829,-14630.916015625,15.8187,82,1796.56,410000,82
2175.22,156.6938,-14801.3662109375,16.2504,83,1820.31,415000,83
2178.07,156.8384,-15022.7861328125,15.9668,84,1831.57,420000,84
2200.48,157.1272,-15294.0810546875,16.1541,85,1802.67,425000,85
2150.38,156.8111,-15443.8701171875,15.8252,86,1808.48,430000,86
2157.45,156.873,-15736.126953125,15.7633,87,1783.47,435000,87
2165.58,156.953,-15942.2822265625,15.9096,88,1806.73,440000,88
2180.78,156.8507,-16096.93359375,15.7041,89,1787.47,445000,89
2229.79,156.8567,-16457.908203125,16.3856,90,1854.16,450000,90
2155.72,156.8909,-16574.015625,15.7937,91,1814.8,455000,91
2186.11,156.9669,-16842.62890625,16.2228,92,1831.33,460000,92
2148.5,156.7472,-16947.92578125,15.9312,93,1819.96,465000,93
2226.86,156.8549,-17262.328125,16.2048,94,1869.21,470000,94
2183.26,156.7073,-17413.10546875,15.8942,95,1832.6,475000,95
2188.56,156.7953,-17790.97265625,15.8931,96,1859.96,480000,96
2184.76,156.5173,-17847.71875,15.6302,97,1861.86,485000,97
2212.32,156.7272,-18205.697265625,15.918,98,1834.71,490000,98
2195.0,156.9649,-18564.88671875,16.1996,99,1851.84,495000,99
2173.28,156.8267,-18618.28515625,15.5876,100,1811.08,500000,100
2200.01,156.6596,-18777.8046875,15.5859,101,1851.62,505000,101
2243.56,156.7569,-19108.197265625,16.0453,102,1886.93,510000,102
2161.69,156.872,-19361.123046875,15.601,103,1816.42,515000,103
2153.77,156.7207,-19583.578125,15.3694,104,1801.21,520000,104
2178.59,156.5584,-19720.083984375,15.524,105,1834.08,525000,105
2221.81,156.7298,-20019.06640625,15.477,106,1842.56,530000,106
2115.02,156.7583,-20299.037109375,15.6084,107,1817.24,535000,107
2239.05,156.8256,-20573.224609375,15.9976,108,1886.58,540000,108
2233.76,156.6982,-20942.251953125,15.8205,109,1831.26,545000,109
2144.33,156.885,-21164.576171875,15.7674,110,1806.65,550000,110
2212.36,156.7348,-21350.392578125,15.5913,111,1836.4,555000,111
2187.1,156.736,-21436.91015625,15.5148,112,1845.81,560000,112
2150.41,156.7249,-21724.693359375,15.5312,113,1814.98,565000,113
2177.66,156.7071,-22010.908203125,15.3844,114,1813.36,570000,114
2174.94,156.8527,-22162.80859375,15.5169,115,1856.42,575000,115
2214.22,156.7083,-22443.720703125,15.6395,116,1855.09,580000,116
2183.87,156.7783,-22727.02734375,15.4859,117,1858.13,585000,117
2146.11,156.6885,-22974.330078125,15.7362,118,1851.21,590000,118
2138.14,156.8993,-23301.328125,15.5995,119,1809.87,595000,119
2184.92,156.7179,-23197.693359375,15.4089,120,1863.08,600000,120
2193.92,156.6048,-23588.111328125,15.658,121,1876.69,605000,121
2223.94,156.6904,-23785.98046875,15.4734,122,1891.07,610000,122
2246.9,156.6071,-23880.353515625,15.5853,123,1907.3,615000,123
2222.92,156.7504,-24155.2421875,15.5477,124,1885.17,620000,124
2236.03,156.8363,-24342.4296875,15.7683,125,1878.18,625000,125
2239.55,156.988,-24508.76171875,15.863,126,1853.53,630000,126
2260.41,156.8122,-24786.380859375,15.6139,127,1881.75,635000,127
2188.67,156.8213,-24956.30078125,15.6429,128,1846.62,640000,128
2246.84,156.5871,-24946.048828125,15.3577,129,1880.75,645000,129
2206.63,156.767,-25169.248046875,15.5576,130,1872.36,650000,130
2187.48,156.8174,-25495.896484375,15.3907,131,1834.04,655000,131
2184.22,156.8489,-25732.787109375,15.5647,132,1841.59,660000,132
2137.22,156.7034,-25941.82421875,15.1536,133,1796.12,665000,133
2248.5,156.7372,-26198.369140625,15.6447,134,1872.87,670000,134
2217.89,156.7955,-26288.74609375,15.4128,135,1869.07,675000,135
2150.05,156.7922,-26520.498046875,15.3783,136,1836.44,680000,136
2216.61,156.6833,-26705.37890625,15.4174,137,1865.19,685000,137
2220.01,156.742,-26862.86328125,15.3691,138,1876.43,690000,138
2219.12,156.7611,-27201.369140625,15.5374,139,1876.24,695000,139
2177.54,156.7021,-27287.146484375,15.3259,140,1867.76,700000,140
2202.51,156.8908,-27430.748046875,15.4218,141,1854.49,705000,141
2245.62,156.6644,-27747.283203125,15.6598,142,1913.86,710000,142
2148.11,156.7183,-27955.896484375,15.4908,143,1832.75,715000,143
2214.56,156.7387,-28225.568359375,15.5015,144,1887.68,720000,144
2204.87,156.8121,-28467.84375,15.5211,145,1877.04,725000,145
2196.64,156.7117,-28541.53515625,15.6638,146,1865.45,730000,146
