Running Update Time,Running Env Steps,Running Forward KL,Running Reverse KL,Reward Loss,Itration,Real Det Return,Real Sto Return
0,0,49.5487,13.3949,-147.1764678955078,0,470.38,327.91
1,5000,49.2831,12.0169,-68.97085571289062,1,323.88,338.79
2,10000,49.4194,14.179,-53.91441345214844,2,356.31,336.34
3,15000,49.5489,26.7088,20.237714767456055,3,419.57,357.03
4,20000,49.3497,14.6044,-82.24506378173828,4,403.15,343.03
5,25000,48.5479,15.8155,-185.54202270507812,5,419.52,391.89
6,30000,49.4484,14.6676,-285.6868591308594,6,347.9,259.15
7,35000,49.0799,18.4583,-158.52137756347656,7,458.05,422.71
8,40000,49.2509,15.3012,-311.7179260253906,8,419.75,413.61
9,45000,48.8174,14.5852,-293.8655090332031,9,546.84,467.47
10,50000,49.2704,14.9273,-311.6397399902344,10,422.11,433.18
11,55000,48.4897,12.9161,-273.22747802734375,11,542.94,462.02
12,60000,48.4033,13.8899,-213.5819091796875,12,543.65,467.0
13,65000,48.8093,14.2352,-345.1665954589844,13,426.05,399.65
14,70000,46.8889,12.5967,-267.16094970703125,14,586.31,532.87
15,75000,47.7511,16.1264,-232.53256225585938,15,679.31,563.32
16,80000,47.9168,31.6789,-278.24713134765625,16,635.7,515.46
17,85000,47.4634,19.1214,-197.17694091796875,17,743.57,713.43
18,90000,47.846,26.9669,-253.6958770751953,18,693.49,615.4
19,95000,48.0097,16.6099,-284.245361328125,19,630.13,578.53
20,100000,48.1854,21.441,-249.41184997558594,20,755.44,632.8
21,105000,47.6876,23.1961,-219.63475036621094,21,745.1,676.53
22,110000,47.6708,17.1899,-337.2995910644531,22,744.33,732.51
23,115000,47.5014,23.7104,-217.7933807373047,23,822.28,850.97
24,120000,47.911,33.3837,-255.126708984375,24,2225.67,1065.37
25,125000,47.4802,25.1067,-350.2602233886719,25,842.85,720.83
26,130000,47.507,16.176,-252.5333709716797,26,784.56,843.71
27,135000,47.561,15.9407,-310.1820068359375,27,821.43,790.95
28,140000,47.0402,22.5347,-250.59658813476562,28,1184.98,1174.7
29,145000,47.7593,19.0952,-336.043212890625,29,1208.08,915.55
30,150000,46.9671,19.9264,-335.9817199707031,30,1185.65,1131.23
31,155000,46.9826,17.303,-337.79656982421875,31,808.29,853.37
32,160000,47.5844,21.662,-370.06951904296875,32,811.13,841.69
33,165000,47.322,30.2474,-328.6539611816406,33,1100.36,883.26
34,170000,46.7628,17.9243,-328.275390625,34,1176.79,1034.35
35,175000,46.6534,19.2265,-308.6396484375,35,1312.3,1107.66
36,180000,46.724,17.6786,-300.5458679199219,36,2579.68,1214.57
37,185000,46.214,14.9034,-316.8609619140625,37,2169.04,1624.54
38,190000,46.2968,14.0306,-374.5606689453125,38,2059.0,1291.09
39,195000,46.3512,14.7714,-209.9866943359375,39,2039.73,1835.92
40,200000,46.329,13.5184,-371.77685546875,40,1301.92,1093.98
41,205000,45.9672,14.8045,-234.093994140625,41,2416.3,2083.49
42,210000,45.5912,13.8385,-291.9919738769531,42,2559.27,1941.28
43,215000,45.9131,15.6435,-275.5408020019531,43,1735.12,1692.39
