Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Itration,Running Reverse KL
1792.62,-2981.546630859375,2131.57,76,156.9197,380000,76,15.8678
1762.95,-3013.24267578125,2093.13,77,156.745,385000,77,15.4794
1785.9,-3056.573974609375,2155.27,78,156.7491,390000,78,15.4822
1829.0,-3115.8818359375,2172.76,79,156.8576,395000,79,15.7675
1794.16,-3167.062744140625,2189.16,80,157.02,400000,80,15.7167
1795.76,-3159.304931640625,2139.96,81,156.876,405000,81,15.4441
1791.18,-3237.418212890625,2109.41,82,156.8198,410000,82,15.686
1748.13,-3272.92138671875,2079.16,83,156.7777,415000,83,15.2667
1794.59,-3321.671630859375,2140.36,84,156.7923,420000,84,15.4501
1810.45,-3382.654296875,2167.4,85,156.8815,425000,85,15.6681
1793.62,-3402.380615234375,2187.95,86,156.7456,430000,86,15.3386
1779.6,-3463.93212890625,2150.97,87,156.737,435000,87,15.5814
1809.63,-3524.193115234375,2149.7,88,156.8375,440000,88,15.59
1838.65,-3543.587646484375,2199.96,89,156.6959,445000,89,15.6745
1801.82,-3593.20068359375,2136.02,90,156.7794,450000,90,15.715
1796.15,-3638.286865234375,2150.54,91,156.8726,455000,91,15.4271
1795.15,-3694.198974609375,2193.99,92,156.8522,460000,92,15.4895
1804.48,-3724.116455078125,2156.19,93,156.7877,465000,93,15.3369
1800.32,-3748.35888671875,2143.07,94,156.7906,470000,94,15.2622
1841.1,-3801.396484375,2187.35,95,156.6898,475000,95,15.7074
1822.23,-3878.339111328125,2178.42,96,156.7179,480000,96,15.5661
1802.27,-3906.654541015625,2147.44,97,156.8986,485000,97,15.5108
1786.1,-3950.17333984375,2148.55,98,156.8327,490000,98,15.4454
1778.6,-3980.076171875,2096.59,99,156.6996,495000,99,15.1926
1828.57,-4045.401611328125,2231.07,100,156.5962,500000,100,15.3105
1841.08,-4102.94189453125,2176.18,101,156.863,505000,101,15.6923
1819.85,-4162.43212890625,2228.61,102,156.8576,510000,102,15.5195
1819.94,-4191.26708984375,2244.06,103,156.8476,515000,103,15.5172
1815.44,-4271.47021484375,2140.59,104,156.7519,520000,104,15.5788
1806.44,-4300.16796875,2181.26,105,156.7858,525000,105,15.3025
1849.61,-4318.27978515625,2211.0,106,156.6869,530000,106,15.4276
1854.84,-4374.0625,2234.59,107,156.6422,535000,107,15.4812
1846.04,-4418.9873046875,2176.24,108,156.616,540000,108,15.3816
1880.35,-4472.34521484375,2241.36,109,156.632,545000,109,15.3741
1830.2,-4549.71923828125,2221.94,110,156.7152,550000,110,15.4648
1851.41,-4563.947265625,2197.92,111,156.675,555000,111,15.3554
1874.28,-4635.830078125,2238.46,112,156.7638,560000,112,15.5124
1808.69,-4666.5322265625,2223.15,113,156.6947,565000,113,15.5359
1843.62,-4726.2197265625,2218.41,114,156.8513,570000,114,15.568
1806.04,-4768.0322265625,2184.01,115,156.6898,575000,115,15.3826
1807.87,-4849.55908203125,2183.8,116,156.7481,580000,116,15.7824
1835.79,-4890.6279296875,2233.82,117,156.7294,585000,117,15.5764
1827.61,-4912.92578125,2175.58,118,156.524,590000,118,15.2695
1870.86,-4976.0771484375,2220.08,119,156.7465,595000,119,15.9068
1838.9,-5023.76416015625,2199.51,120,156.6124,600000,120,15.4295
1869.92,-5029.14501953125,2207.33,121,156.6492,605000,121,15.403
1849.41,-5108.267578125,2193.32,122,156.6035,610000,122,15.202
1873.78,-5142.18798828125,2238.41,123,156.453,615000,123,15.4118
1876.36,-5206.94580078125,2224.24,124,156.7511,620000,124,15.5959
1862.95,-5278.41064453125,2208.6,125,156.7476,625000,125,15.5263
1869.62,-5315.2001953125,2208.88,126,156.6419,630000,126,15.4173
1823.43,-5401.3369140625,2191.8,127,156.7845,635000,127,15.4982
1811.33,-5467.5986328125,2184.0,128,156.5564,640000,128,15.2517
1875.82,-5529.77734375,2226.36,129,156.7453,645000,129,15.7304
1850.86,-5566.04248046875,2242.64,130,156.8514,650000,130,15.3815
1811.82,-5578.7724609375,2080.19,131,156.89,655000,131,15.2991
1899.06,-5653.4794921875,2244.27,132,156.6683,660000,132,15.6713
1824.55,-5723.3740234375,2160.82,133,156.9108,665000,133,15.2756
1867.0,-5736.9560546875,2236.67,134,156.8317,670000,134,15.4364
1843.74,-5819.2265625,2175.49,135,156.6457,675000,135,15.3681
1854.5,-5856.88134765625,2181.88,136,156.7987,680000,136,15.4455
1829.22,-5909.98779296875,2203.81,137,156.8421,685000,137,15.215
1888.16,-5976.7001953125,2284.2,138,156.7234,690000,138,15.428
1880.54,-6053.7333984375,2289.01,139,156.7038,695000,139,15.4451
1890.91,-6085.42822265625,2241.65,140,156.7474,700000,140,15.498
1871.19,-6137.67529296875,2235.15,141,156.6939,705000,141,15.5163
1886.67,-6191.91845703125,2247.88,142,156.6921,710000,142,15.4137
1833.65,-6235.20849609375,2192.44,143,156.7209,715000,143,15.1263
1865.42,-6281.85009765625,2229.43,144,156.8409,720000,144,15.1156
1860.25,-6355.13818359375,2230.61,145,156.7084,725000,145,15.385
1821.02,-6360.181640625,2202.74,146,156.7819,730000,146,14.9203
1856.2,-6487.14453125,2241.44,147,156.7077,735000,147,15.5027
1877.06,-6526.77392578125,2244.86,148,156.6669,740000,148,15.3823
1850.11,-6583.689453125,2190.35,149,156.7341,745000,149,15.3498
1893.63,-6653.04541015625,2259.12,150,156.5515,750000,150,15.3923
1863.25,-6684.12548828125,2237.5,151,156.6517,755000,151,15.1086
1869.45,-6766.94189453125,2220.94,152,156.7343,760000,152,15.1558
1869.3,-6793.16552734375,2236.47,153,156.664,765000,153,15.4458
1869.75,-6878.5947265625,2227.29,154,156.6461,770000,154,15.1452
1858.66,-6962.4619140625,2209.05,155,156.7173,775000,155,15.2512
1870.53,-7012.85107421875,2229.34,156,156.7356,780000,156,14.9965
1874.88,-7033.9931640625,2272.18,157,156.4949,785000,157,15.0225
1918.02,-7122.2607421875,2266.27,158,156.6532,790000,158,15.41
1896.93,-7145.939453125,2225.88,159,156.606,795000,159,15.328
1879.13,-7208.33935546875,2254.04,160,156.6233,800000,160,15.4088
1901.13,-7255.3837890625,2212.42,161,156.5978,805000,161,15.2086
1906.8,-7317.8134765625,2242.88,162,156.501,810000,162,15.1443
1845.53,-7400.9228515625,2160.25,163,156.6648,815000,163,14.9451
1894.97,-7494.93359375,2250.94,164,156.6293,820000,164,15.0987
1890.01,-7562.3720703125,2182.03,165,156.5122,825000,165,15.1267
1893.4,-7612.8623046875,2288.09,166,156.63,830000,166,15.4084
1940.36,-7645.99853515625,2316.59,167,156.5114,835000,167,15.3515
1885.08,-7667.03271484375,2294.65,168,156.6159,840000,168,15.0378
1883.26,-7713.95849609375,2238.69,169,156.4744,845000,169,15.1973
1907.1,-7797.57568359375,2268.74,170,156.5973,850000,170,15.3118
1897.43,-7822.2919921875,2280.71,171,156.6347,855000,171,15.4517
1909.77,-7835.8154296875,2267.29,172,156.5603,860000,172,15.0616
1901.31,-7903.47900390625,2268.48,173,156.6249,865000,173,15.2358
1870.8,-7889.65869140625,2261.52,174,156.5206,870000,174,15.0672
1878.24,-8006.4619140625,2271.04,175,156.6525,875000,175,15.1501
1906.42,-8075.146484375,2306.85,176,156.6438,880000,176,15.6368
1854.39,-8108.685546875,2207.44,177,156.6663,885000,177,15.3383
1914.67,-8041.03076171875,2254.19,178,156.4261,890000,178,15.2003
1877.78,-8141.53466796875,2251.22,179,156.6641,895000,179,15.1494
1893.03,-8159.55908203125,2222.35,180,156.5612,900000,180,15.0982
1882.78,-8194.3203125,2267.7,181,156.6821,905000,181,15.0239
1906.48,-8268.208984375,2246.99,182,156.7004,910000,182,15.2194
1890.66,-8332.2802734375,2240.13,183,156.7096,915000,183,15.1527
1913.26,-8360.7392578125,2285.5,184,156.6345,920000,184,15.2682
1890.16,-8385.099609375,2288.04,185,156.5744,925000,185,15.1648
1870.37,-8413.921875,2254.76,186,156.5801,930000,186,15.1797
1865.53,-8502.6572265625,2215.11,187,156.7099,935000,187,15.0263
1911.93,-8562.06640625,2281.86,188,156.8319,940000,188,15.2181
1913.5,-8535.953125,2280.92,189,156.4975,945000,189,15.0554
1916.71,-8604.73046875,2307.02,190,156.5606,950000,190,15.1091
1900.02,-8622.4677734375,2260.1,191,156.5336,955000,191,15.2275
1908.77,-8665.646484375,2259.25,192,156.6154,960000,192,15.0022
1912.83,-8738.2333984375,2306.44,193,156.5709,965000,193,15.3086
1920.98,-8846.62109375,2290.89,194,156.499,970000,194,15.3372
1905.84,-8807.4970703125,2288.41,195,156.5384,975000,195,15.19
1880.5,-8853.7236328125,2286.34,196,156.4659,980000,196,14.8068
1937.84,-8919.23046875,2292.12,197,156.5902,985000,197,15.3084
1881.52,-8941.546875,2211.81,198,156.4253,990000,198,14.9413
1911.09,-9064.267578125,2230.55,199,156.6182,995000,199,15.2404
1909.59,-9016.5771484375,2260.44,200,156.5955,1000000,200,15.0638
1920.36,-9065.326171875,2296.23,201,156.5257,1005000,201,15.0858
1950.56,-9155.984375,2304.71,202,156.5913,1010000,202,15.373
1911.07,-9160.126953125,2285.54,203,156.528,1015000,203,15.1981
1902.63,-9222.6708984375,2292.82,204,156.6632,1020000,204,15.1417
1912.1,-9265.025390625,2270.54,205,156.516,1025000,205,15.1654
1914.34,-9298.7021484375,2285.92,206,156.4817,1030000,206,15.0703
1934.58,-9348.9814453125,2292.55,207,156.6349,1035000,207,15.2135
1921.31,-9340.1279296875,2288.61,208,156.5076,1040000,208,15.2564
1916.89,-9398.333984375,2277.19,209,156.4368,1045000,209,14.9886
1902.93,-9481.552734375,2290.91,210,156.5725,1050000,210,14.9829
1926.49,-9510.1591796875,2300.95,211,156.5874,1055000,211,15.174
1932.88,-9550.1533203125,2293.07,212,156.5121,1060000,212,15.1178
1912.41,-9565.6123046875,2280.91,213,156.6147,1065000,213,15.0137
1916.29,-9595.65234375,2272.52,214,156.5985,1070000,214,15.048
1914.81,-9585.4619140625,2282.2,215,156.5419,1075000,215,14.994
1931.75,-9710.3017578125,2287.55,216,156.5187,1080000,216,15.0104
1915.47,-9725.236328125,2261.88,217,156.5861,1085000,217,14.9616
1937.42,-9727.9873046875,2279.86,218,156.4276,1090000,218,15.0175
1911.26,-9781.576171875,2277.29,219,156.4562,1095000,219,15.0805
1939.29,-9828.2802734375,2290.04,220,156.5623,1100000,220,15.083
1925.96,-9863.46484375,2279.3,221,156.5894,1105000,221,15.1176
1922.05,-9933.2421875,2278.68,222,156.6541,1110000,222,14.9914
1919.01,-9929.130859375,2290.99,223,156.4564,1115000,223,14.886
1902.61,-9952.5,2266.54,224,156.4754,1120000,224,14.9677
1926.75,-10031.7021484375,2274.9,225,156.4482,1125000,225,15.1308
1934.44,-10095.517578125,2292.07,226,156.5637,1130000,226,15.1163
1918.61,-10110.884765625,2300.25,227,156.4758,1135000,227,14.9763
1921.18,-10083.359375,2305.88,228,156.4745,1140000,228,14.8931
1933.84,-10178.0029296875,2301.85,229,156.6005,1145000,229,15.0379
1931.24,-10215.03125,2309.15,230,156.5303,1150000,230,15.2248
1947.23,-10264.46484375,2311.74,231,156.6297,1155000,231,15.1361
1939.55,-10289.5224609375,2316.86,232,156.5705,1160000,232,15.2214
1925.0,-10314.3701171875,2280.67,233,156.4246,1165000,233,14.927
1958.26,-10354.3447265625,2307.32,234,156.4449,1170000,234,15.0312
1943.44,-10385.1337890625,2299.97,235,156.5271,1175000,235,15.0236
1918.88,-10434.060546875,2275.97,236,156.5869,1180000,236,14.9769
1961.83,-10511.52734375,2314.43,237,156.6825,1185000,237,15.2013
1945.69,-10537.2275390625,2309.4,238,156.4751,1190000,238,15.1752
1949.93,-10576.4765625,2303.43,239,156.7175,1195000,239,15.1524
1962.82,-10591.9267578125,2292.82,240,156.6188,1200000,240,15.179
1942.02,-10630.1875,2304.01,241,156.459,1205000,241,15.2167
1934.46,-10659.1572265625,2276.76,242,156.5898,1210000,242,15.0982
1945.64,-10714.5791015625,2284.94,243,156.6224,1215000,243,15.0991
1934.25,-10732.515625,2300.46,244,156.6003,1220000,244,15.1167
1910.27,-10732.951171875,2269.65,245,156.4072,1225000,245,14.9049
1947.83,-10785.416015625,2280.08,246,156.4548,1230000,246,15.1123
1924.22,-10839.78515625,2292.48,247,156.6152,1235000,247,15.043
1925.81,-10872.3828125,2276.14,248,156.4613,1240000,248,15.0106
1932.4,-10891.3369140625,2264.41,249,156.5298,1245000,249,15.0561
1941.19,-10924.0712890625,2265.89,250,156.4226,1250000,250,15.0846
1929.06,-10991.3330078125,2306.3,251,156.6257,1255000,251,15.1917
1918.22,-11011.2314453125,2283.05,252,156.5745,1260000,252,15.0618
1920.51,-10985.646484375,2291.82,253,156.672,1265000,253,14.8795
1932.72,-11085.02734375,2307.39,254,156.483,1270000,254,15.116
1951.07,-11103.3896484375,2291.85,255,156.6104,1275000,255,15.1607
1940.43,-11129.7587890625,2294.16,256,156.4598,1280000,256,15.1311
1919.16,-11192.3427734375,2284.8,257,156.5447,1285000,257,15.1832
1952.09,-11197.599609375,2267.11,258,156.5923,1290000,258,15.0557
1937.23,-11214.181640625,2302.72,259,156.5526,1295000,259,14.98
1857.65,-11276.048828125,2292.39,260,156.6097,1300000,260,15.1284
1944.46,-11326.5263671875,2288.46,261,156.6019,1305000,261,15.0972
1944.47,-11333.798828125,2300.95,262,156.5874,1310000,262,15.0229
1952.54,-11350.39453125,2321.5,263,156.3764,1315000,263,14.9697
1850.23,-11407.21875,2282.81,264,156.5177,1320000,264,14.6441
1932.18,-11417.18359375,2294.12,265,156.641,1325000,265,14.9098
1953.07,-11521.98828125,2285.31,266,156.5039,1330000,266,15.0014
1958.32,-11556.39453125,2327.97,267,156.5608,1335000,267,15.1797
1951.24,-11560.36328125,2287.8,268,156.4553,1340000,268,15.1329
1972.17,-11588.4794921875,2328.58,269,156.5017,1345000,269,15.2138
1945.39,-11632.560546875,2300.59,270,156.5632,1350000,270,15.183
1958.59,-11664.2041015625,2327.66,271,156.5188,1355000,271,15.1606
1975.06,-11716.8349609375,2346.03,272,156.4655,1360000,272,15.1979
1942.75,-11728.5595703125,2300.09,273,156.5281,1365000,273,15.238
1957.37,-11734.9794921875,2295.37,274,156.6212,1370000,274,15.197
1970.35,-11804.029296875,2309.45,275,156.5448,1375000,275,15.3198
