Itration,Running Update Time,Running Reverse KL,Running Env Steps,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return
0,0,22.0315,0,287.11,31.6804,130.91458129882812,288.28
1,1,22.2954,5000,273.96,30.1252,53.65116500854492,260.89
2,2,40.8158,10000,306.55,29.4901,105.34954833984375,307.78
3,3,30.162,15000,386.96,27.8108,97.5040512084961,387.75
4,4,33.0656,20000,516.8,26.757,38.43065643310547,533.77
5,5,32.4175,25000,353.03,27.8006,-7.159553527832031,276.27
6,6,28.0799,30000,570.78,26.9543,1.5942373275756836,586.99
7,7,14.914,35000,751.09,25.5774,198.33367919921875,988.93
8,8,14.8311,40000,1380.55,24.9459,-9.319414138793945,870.04
9,9,42.5371,45000,874.25,25.0255,195.9051971435547,871.43
10,10,24.0317,50000,709.76,26.4542,179.11720275878906,700.14
11,11,14.6731,55000,1890.97,25.0809,26.14105796813965,2828.7
12,12,14.5745,60000,1024.04,24.5648,156.782470703125,860.24
13,13,40.9093,65000,965.39,25.5781,197.9289093017578,1084.36
14,14,43.6838,70000,885.77,25.6248,162.8318328857422,874.21
15,15,73.1787,75000,986.19,24.7059,135.4412384033203,957.37
16,16,15.6571,80000,910.98,25.6751,116.76129913330078,924.35
17,17,14.785,85000,1951.45,24.6525,61.08437728881836,3297.36
18,18,14.7872,90000,1249.63,24.4942,29.370725631713867,1017.74
19,19,13.9697,95000,1039.33,24.3214,12.025163650512695,1072.31
20,20,15.6063,100000,2802.3,25.0058,-42.20362854003906,3173.35
21,21,17.7454,105000,1035.83,25.0708,-149.06332397460938,984.78
22,22,23.1459,110000,1219.29,24.9978,-231.10382080078125,1139.51
23,23,19.0966,115000,1154.68,24.8309,-250.6796417236328,1075.57
24,24,18.1494,120000,1524.49,24.8355,-223.185791015625,3130.04
25,25,16.6495,125000,2062.76,24.081,-195.43125915527344,3297.11
26,26,15.589,130000,2161.52,23.1242,-191.6253662109375,3257.13
27,27,15.2896,135000,1888.05,23.6717,-198.0692138671875,3288.5
28,28,14.6778,140000,1029.45,24.1791,-171.25303649902344,976.15
29,29,14.9445,145000,2156.07,23.2068,-218.88832092285156,3317.4
30,30,12.9808,150000,3034.99,22.0585,-208.80953979492188,3035.14
31,31,16.3002,155000,2791.92,23.3686,-129.52392578125,3293.42
32,32,14.6179,160000,2517.17,22.7177,-231.92515563964844,3301.29
33,33,13.806,165000,2078.09,23.841,-249.14840698242188,3298.54
34,34,14.1709,170000,3223.82,22.0347,-210.8247833251953,3242.65
35,35,15.9572,175000,2390.66,23.3275,-196.5724639892578,3328.49
36,36,13.4874,180000,2566.14,22.1383,-232.12359619140625,3352.94
37,37,14.6331,185000,2863.33,21.9598,-198.50942993164062,3276.82
38,38,14.1808,190000,2426.61,22.4289,-322.5581970214844,3248.72
39,39,15.2396,195000,2742.46,22.7013,-266.35125732421875,3329.22
40,40,14.6541,200000,3070.03,22.2357,-186.91766357421875,3303.34
41,41,15.435,205000,2963.58,22.6006,-226.43312072753906,3311.0
42,42,16.1431,210000,2934.5,22.0813,-187.63377380371094,3323.86
43,43,14.4312,215000,3253.79,21.6884,-221.2864990234375,3278.05
44,44,15.4576,220000,3256.97,22.3916,-226.9123992919922,3277.3
45,45,14.5936,225000,3250.69,22.7414,-276.7337951660156,3274.44
46,46,21.3787,230000,3278.85,22.9413,-271.0303955078125,3266.75
47,47,15.1259,235000,3253.62,22.3074,-267.6813659667969,3275.89
48,48,15.0479,240000,3146.79,22.6645,-306.8573303222656,3332.97
