Real Sto Return,Real Det Return,Itration,Running Forward KL,Running Reverse KL
-53.02,452.79,0,75.6174,26.3115
-104.5,307.49,1,75.9813,26.495
-51.73,450.03,2,73.9263,26.865
-19.9,456.72,3,75.4492,28.1035
27.91,694.58,4,74.7236,27.4752
42.21,657.5,5,72.9956,27.7757
80.57,689.98,6,72.4728,29.1445
89.18,782.84,7,73.4104,29.6003
128.73,753.07,8,71.3763,29.8617
131.31,618.27,9,71.8436,32.0095
177.53,687.53,10,69.4243,30.6087
132.49,476.07,11,70.5735,30.8481
179.14,682.8,12,71.4666,30.2278
165.43,788.76,13,70.7965,29.9098
170.92,624.36,14,71.0858,29.589
211.61,579.74,15,71.3921,29.9645
138.13,506.6,16,71.864,29.9913
156.55,669.4,17,68.499,29.6512
281.6,1011.31,18,70.63,29.52
185.22,808.81,19,69.8417,30.6055
188.99,575.26,20,65.799,28.8422
201.03,667.46,21,67.8714,29.7729
214.97,754.97,22,70.8178,29.5961
400.35,1154.3,23,68.3123,30.0471
248.71,889.19,24,67.796,31.5365
351.28,1066.98,25,69.836,30.2667
501.85,1452.04,26,66.8615,29.7869
221.97,1046.16,27,70.5302,29.9491
602.94,1208.07,28,68.7125,29.0478
496.92,1084.83,29,67.5597,29.3592
397.61,1190.98,30,66.3633,28.222
450.43,882.62,31,67.414,27.5907
439.44,971.37,32,67.3829,28.1541
648.67,1631.14,33,66.5372,27.384
571.03,1376.72,34,66.4049,28.1345
992.51,1737.19,35,66.5609,28.0421
739.67,1516.14,36,65.7417,27.641
916.32,1677.02,37,64.4294,27.2591
544.0,1684.83,38,66.3316,27.1936
914.4,1503.68,39,68.9146,27.8567
628.3,1619.21,40,67.011,27.7499
718.16,1593.44,41,67.607,26.9198
1174.74,1866.88,42,66.0392,26.5543
665.9,1723.98,43,67.9251,27.1378
608.67,1802.53,44,68.3295,27.0804
505.36,1238.23,45,65.3037,26.5793
911.66,1223.08,46,65.5567,27.4434
762.48,1211.0,47,67.1507,26.1402
1512.09,2273.27,48,64.7346,26.4271
1303.49,1671.65,49,64.837,28.8956
1354.92,2111.37,50,64.8539,29.2939
802.92,1493.2,51,65.2649,26.59
1732.13,2446.93,52,64.8719,29.2352
2073.17,2975.7,53,67.3979,37.1375
1472.36,2597.54,54,65.4186,31.7231
1626.62,1993.81,55,65.3777,28.3638
2142.72,2771.28,56,65.4592,33.8668
2318.58,3115.85,57,65.992,33.1306
918.42,1640.79,58,65.5395,25.3813
1742.94,2137.27,59,67.2068,28.827
1610.0,2391.44,60,65.6387,28.2558
1295.86,2375.86,61,65.3803,31.2207
1432.33,3028.58,62,65.3693,29.0814
2199.08,3103.28,63,65.7342,29.5979
1681.91,2579.9,64,66.3912,35.6682
2032.15,3127.81,65,68.3817,39.0542
2428.86,2811.32,66,70.5012,40.7911
1618.24,3018.43,67,71.3636,44.1382
1756.84,2841.12,68,67.6887,33.8465
1781.35,3191.18,69,70.5868,43.9742
1706.97,2708.15,70,68.7823,39.2494
2743.07,3882.07,71,72.4219,46.4992
1631.53,2491.61,72,67.3633,33.5171
1855.23,2188.89,73,67.5922,34.5899
1753.78,2026.91,74,68.799,36.8932
2222.83,3072.68,75,74.4273,55.4947
1061.04,1404.48,76,69.9039,40.0859
2664.51,3052.27,77,68.2763,39.8612
2613.49,3430.82,78,82.2455,59.2635
2843.32,3805.81,79,72.4782,53.7426
2720.27,4030.69,80,74.651,52.3397
1847.25,2821.11,81,76.5798,60.4351
3506.8,3346.32,82,81.8077,63.268
2852.07,3422.54,83,77.3499,58.5657
2957.52,3346.55,84,76.104,54.6309
3634.76,4020.22,85,71.1763,52.5118
2261.47,2701.43,86,71.2708,53.8325
2878.5,2996.74,87,68.9026,39.1724
3287.56,4226.53,88,75.2617,54.8137
3211.03,3749.28,89,74.6769,59.2844
3228.96,3760.28,90,75.544,56.3119
3473.1,3281.7,91,73.5272,53.3444
2201.4,2869.39,92,74.7464,53.5462
3000.01,4066.18,93,77.8841,59.1883
3283.87,3747.85,94,78.9335,58.7973
3347.73,3638.51,95,75.418,53.5392
3738.71,4052.25,96,75.9602,57.6262
3079.57,3444.82,97,80.1883,61.5057
3080.22,2952.16,98,68.5897,33.1831
2799.61,3739.1,99,86.6369,74.7612
4080.81,3939.21,100,73.7705,57.2703
4033.19,4603.17,101,75.4851,67.4739
3790.98,4662.87,102,72.2914,55.5986
3119.76,3936.74,103,82.0137,69.2214
4103.18,5023.43,104,81.871,63.8818
3182.17,3167.34,105,71.2988,53.059
4338.95,4261.73,106,78.2665,71.6567
3870.55,4334.81,107,72.0503,53.7726
3341.69,3825.55,108,72.9177,57.5879
3849.81,5042.88,109,72.8771,56.2445
3146.05,3931.8,110,72.172,56.3067
4110.31,4483.94,111,81.1055,74.0142
2549.37,4020.58,112,70.6433,53.0524
4202.57,4035.78,113,76.3549,70.2472
4091.0,4401.08,114,84.3323,73.0632
3671.6,4934.44,115,79.4471,79.3604
3436.7,3658.95,116,74.7791,64.591
4197.37,4402.08,117,83.1341,80.249
4654.82,4958.24,118,89.1136,84.1009
4029.34,4463.79,119,72.8988,61.4279
4733.09,4711.65,120,77.2321,76.7914
3963.74,4855.59,121,73.662,66.8044
4195.44,4622.24,122,78.9227,75.2461
4072.62,3468.21,123,72.9473,59.4619
3857.18,5235.58,124,90.7037,89.9229
3843.37,4867.41,125,73.987,63.5537
4725.18,4606.57,126,82.8094,81.0895
4862.32,5051.91,127,77.6787,74.8387
4241.07,5280.59,128,82.2263,81.1434
3812.56,4610.17,129,85.7881,80.9589
3325.53,4109.79,130,77.8424,72.9439
3609.31,4446.85,131,82.1951,78.643
4185.41,4962.24,132,90.1864,92.9261
4226.71,4409.54,133,87.7503,89.2524
3935.99,5040.78,134,79.2663,77.2765
4794.97,4977.53,135,80.5505,85.2396
4600.03,4849.98,136,79.5972,79.5053
3890.24,4657.59,137,86.1496,80.511
3808.62,4995.19,138,88.1916,89.696
4125.42,5511.8,139,87.5197,87.7243
4797.46,4698.86,140,89.1501,86.4548
3837.51,4974.6,141,89.0688,86.4388
3883.5,5205.82,142,90.7599,89.3117
2831.98,4553.98,143,90.3124,88.3244
4195.63,4898.35,144,89.4129,89.0026
4456.56,5245.2,145,88.8556,87.8969
3873.95,4454.11,146,78.4158,73.4852
5144.52,5211.96,147,91.4593,96.1543
3507.65,4569.49,148,81.4061,86.4953
4586.03,5194.24,149,91.5548,89.5735
4349.01,5268.18,150,90.1543,90.2993
4806.62,5491.68,151,90.3056,92.0189
4672.06,4294.79,152,90.6389,93.8695
4404.81,4726.43,153,79.737,82.0129
3413.38,5007.18,154,79.1665,79.8207
5158.57,5471.75,155,89.3957,92.5496
4616.24,4964.86,156,77.3596,69.8134
5132.24,5184.31,157,79.4877,84.142
4607.57,5320.09,158,92.1243,98.5258
4380.49,5473.05,159,89.6912,90.2009
4288.86,5043.37,160,88.2624,94.8383
4769.49,5436.7,161,82.3568,88.343
4790.51,5532.09,162,91.42,93.3608
4598.57,5151.77,163,89.4996,93.1348
3914.5,4773.27,164,89.7118,97.5989
4917.29,5384.58,165,74.7611,66.7854
5087.34,4780.22,166,90.8338,93.5485
4365.84,5288.87,167,83.2018,87.2387
4499.01,4804.72,168,79.0409,89.0642
4418.86,5269.08,169,89.2937,94.2582
2571.28,3767.29,170,79.141,76.7892
4657.57,4474.64,171,90.5624,97.0019
5046.38,5260.9,172,90.308,94.5721
4450.22,5355.96,173,91.6804,93.004
5145.4,5544.69,174,88.8254,95.0378
5043.08,5476.39,175,92.1532,100.2399
5017.8,5179.03,176,81.7812,87.7866
4407.15,5595.11,177,90.334,91.6386
5095.69,4795.56,178,91.5225,95.2396
3922.5,5282.37,179,90.5813,98.4895
3251.27,4081.62,180,84.5165,94.693
5181.47,5682.73,181,92.7523,98.2609
4927.27,5561.47,182,88.4671,92.4719
4949.41,5483.24,183,78.0138,83.8026
5349.94,5469.33,184,93.5757,100.8968
4243.26,4735.13,185,88.7844,91.3564
5220.39,5100.21,186,89.6133,92.6937
3675.77,4873.48,187,81.6023,95.0688
4704.28,5082.91,188,90.1306,93.7244
4554.09,5075.88,189,80.8742,89.1129
5110.21,5650.0,190,89.4879,97.2024
4580.21,5243.2,191,93.36,99.6009
5060.6,5400.86,192,87.0413,91.9612
5217.64,5511.3,193,88.9654,99.0437
4669.74,5331.38,194,76.5905,79.6885
5096.18,5384.59,195,81.7709,82.52
5343.15,5573.11,196,93.5982,103.2882
5294.72,5534.2,197,92.8451,97.4614
5079.99,5600.09,198,90.3321,96.5377
5268.8,5316.52,199,89.5068,93.7423
4991.02,5600.73,200,90.7948,97.4495
4678.23,5020.94,201,91.8401,101.3128
5008.12,5586.81,202,87.9838,93.3489
4933.15,5250.69,203,79.722,89.0951
5190.13,5683.1,204,89.8044,94.6513
4327.71,5202.67,205,89.9147,98.1019
5357.6,5369.78,206,88.5915,91.4145
5070.32,5433.35,207,90.8413,99.2057
4661.25,5411.87,208,91.8294,94.8915
5076.67,5385.79,209,91.8465,98.5149
4705.18,5642.84,210,89.4293,95.4005
4704.43,5388.15,211,78.1446,86.6173
4125.91,5274.82,212,92.4798,98.2017
5267.56,5150.38,213,91.7602,100.843
5102.71,5430.63,214,92.9934,100.4602
5084.5,5419.34,215,91.5494,95.0805
5323.94,5631.66,216,92.1609,100.0421
4796.4,5573.64,217,91.5993,101.5746
5078.47,5133.24,218,92.1989,107.5702
5407.6,5320.93,219,91.5992,99.0932
5257.01,5554.8,220,92.1348,97.6441
5095.25,5624.8,221,93.6133,104.7664
5142.42,5662.45,222,92.986,103.1708
5007.9,5231.89,223,91.4003,94.7985
4889.07,5579.44,224,89.7725,92.213
5222.95,5350.23,225,90.9036,96.2379
4862.47,5651.12,226,89.7457,98.4659
4884.62,5578.28,227,93.9137,100.5517
4818.72,5358.76,228,91.4765,94.1168
5037.53,5579.82,229,90.8493,90.8535
4976.89,5707.09,230,79.8789,82.1404
5083.91,5449.81,231,94.7503,101.1745
4689.41,4682.13,232,91.1857,98.9581
5301.02,5220.07,233,90.2706,93.4432
5382.98,5636.19,234,90.6269,95.598
5298.44,5455.98,235,80.5875,84.7726
5009.09,5489.44,236,79.4948,91.6403
5030.9,5463.93,237,92.8893,96.8913
4464.27,5328.65,238,76.9527,82.8752
5439.15,5753.0,239,81.0982,91.4316
4870.42,5484.96,240,76.1177,76.8019
4822.7,5636.9,241,76.9922,77.9993
4486.4,5239.33,242,76.5211,78.4435
4659.21,5700.0,243,90.3763,91.7281
5028.27,5710.26,244,91.6549,95.3221
5124.1,5492.94,245,87.981,90.7769
