Real Sto Return,Running Reverse KL,Itration,Real Det Return,Running Forward KL
315.95,266.6893,0,335.91,423.2816
342.4,301.1959,1,346.81,432.09
337.13,317.0789,2,328.59,425.8279
382.31,282.0053,3,244.47,397.0685
359.47,279.1194,4,306.67,418.6546
381.37,281.8528,5,331.36,418.3164
366.08,280.5817,6,404.26,402.1598
419.52,273.5077,7,505.14,394.3008
453.3,261.8452,8,458.73,395.4867
418.24,275.1486,9,421.88,417.8147
431.82,265.0104,10,397.28,434.4288
464.73,310.2654,11,469.13,415.0026
461.77,290.5057,12,382.84,413.6311
474.26,309.8974,13,506.32,434.3867
495.95,274.3009,14,474.55,413.9327
558.0,265.7083,15,589.69,408.7451
581.77,258.2469,16,653.12,405.1898
469.26,253.445,17,603.73,428.1503
462.36,270.4863,18,462.49,455.2485
559.25,259.4027,19,490.7,421.5993
552.06,242.8835,20,607.75,415.8181
572.52,247.6325,21,631.71,425.002
486.72,258.9852,22,681.5,399.2637
532.53,268.2065,23,578.36,410.6697
660.04,238.1483,24,698.38,393.3465
622.23,246.9595,25,613.12,400.8398
693.06,234.0296,26,624.09,390.033
794.6,241.0435,27,655.39,386.1134
672.36,250.2135,28,579.15,393.6456
679.14,236.9724,29,642.85,385.3813
745.08,252.565,30,581.59,391.1935
705.24,246.0305,31,619.29,386.5314
838.3,226.7221,32,643.02,382.004
963.64,221.5887,33,790.34,372.1323
739.72,220.2068,34,740.04,375.8707
818.36,234.7475,35,698.19,380.5163
835.0,218.6624,36,697.77,382.0988
822.51,221.1931,37,606.15,388.479
857.45,222.7202,38,666.6,387.5865
813.42,218.1463,39,771.74,386.9888
837.41,226.2738,40,707.39,392.2571
824.93,207.8666,41,719.15,382.1165
969.46,226.2564,42,614.2,392.9216
931.22,221.6107,43,605.63,382.1319
1017.43,221.5143,44,604.1,390.0867
1104.11,214.1321,45,661.71,386.5891
1056.79,217.446,46,657.41,385.2797
1315.12,192.8032,47,761.85,388.4728
942.3,223.0258,48,840.65,384.3585
875.4,222.5024,49,723.38,398.4496
1168.59,218.6915,50,762.84,392.571
1338.6,214.7657,51,689.84,385.1954
1482.36,214.8103,52,748.58,379.8698
1236.84,216.5824,53,716.22,372.3792
1040.15,230.5083,54,618.77,383.1671
882.97,269.6058,55,582.01,379.5558
1261.08,232.9952,56,689.5,393.0214
1311.3,224.299,57,634.93,379.4044
1018.18,213.3773,58,583.2,386.0403
1766.77,209.077,59,789.63,377.6685
1199.92,239.5603,60,670.21,387.7705
1412.16,210.2282,61,635.69,387.7693
1480.3,214.1549,62,614.37,381.9922
1367.5,222.7644,63,686.36,394.0237
1912.1,186.9102,64,675.33,361.3879
3070.62,178.3491,65,646.03,361.2044
2826.95,179.6417,66,671.35,368.2847
1318.43,234.9843,67,842.67,372.3946
1081.91,231.9891,68,777.92,382.8935
2647.59,221.7429,69,773.64,375.1227
2729.08,171.8423,70,770.03,363.3193
1539.21,228.6576,71,745.39,386.8972
2324.04,213.037,72,1039.44,391.9046
2566.77,200.2608,73,657.18,375.3828
1529.35,221.0421,74,886.45,385.2711
2131.92,223.6507,75,545.7,386.6517
2725.4,217.3543,76,725.35,383.598
2110.4,180.786,77,695.0,370.6535
1138.54,229.5505,78,622.79,382.1908
2319.35,204.6731,79,770.96,380.8901
2235.26,194.3165,80,819.51,374.6493
1387.92,222.7905,81,602.37,387.5412
1189.07,252.9261,82,689.3,390.5135
2003.65,208.8392,83,634.49,379.6752
1584.53,230.4564,84,740.39,389.4847
2469.72,182.268,85,726.71,364.8722
2629.33,208.4456,86,722.37,375.2208
2327.35,182.4518,87,692.86,371.8395
4000.47,177.313,88,1296.87,364.9516
2939.07,197.0104,89,536.16,372.628
3015.02,197.1953,90,755.88,367.2391
3092.67,163.7639,91,553.64,356.9591
4208.24,194.1402,92,791.28,367.4591
3519.1,192.4861,93,823.21,365.0335
3938.63,179.4298,94,902.93,367.8499
3859.93,172.9146,95,766.03,361.3951
4626.8,174.3058,96,1107.76,362.4861
3116.94,177.2478,97,793.83,358.6066
4405.73,168.2275,98,1270.83,358.3213
3968.51,164.2196,99,1092.41,351.6289
4260.88,179.2506,100,1322.85,364.9724
4876.24,178.3258,101,1327.26,361.2473
4057.9,172.3232,102,1169.67,364.1781
4339.3,166.5542,103,1013.75,353.1153
4751.64,171.1344,104,861.65,358.9183
4495.75,169.4949,105,1017.12,361.9678
4432.72,173.4489,106,1322.98,362.4384
4483.0,163.2352,107,940.44,360.2783
4087.1,168.8297,108,1751.99,362.8953
4043.3,200.1842,109,1033.49,374.7641
4392.98,171.7913,110,997.57,361.1435
4555.05,168.6954,111,1221.0,358.4619
3141.18,174.847,112,972.25,354.2236
3722.21,177.0451,113,1494.55,359.6171
3124.93,195.3724,114,1096.03,364.2411
4782.9,172.4433,115,1664.77,367.107
3191.46,169.5939,116,1248.25,363.3515
3827.74,185.6734,117,1161.2,365.073
4030.12,186.4062,118,1226.4,370.9492
4556.84,173.2178,119,1778.53,359.4877
4146.11,177.654,120,1561.56,360.8287
3901.48,178.6002,121,1718.15,364.9393
4550.72,177.149,122,1458.63,366.7333
4493.2,175.8148,123,1274.73,364.0108
4433.09,184.5343,124,1550.74,370.7962
4453.81,182.9636,125,1084.28,369.6629
3367.09,182.7654,126,1126.9,369.7238
4460.02,169.7748,127,1637.51,366.3834
4326.5,195.6133,128,1133.41,383.0771
3770.91,190.6994,129,1987.25,371.5208
2913.48,187.2703,130,1241.1,372.951
4572.58,176.3753,131,2288.01,366.3919
4763.81,183.4975,132,3099.5,370.7336
4738.44,181.6253,133,4312.19,370.542
4979.34,174.7491,134,2643.21,372.9348
4665.28,187.1528,135,3104.18,375.7658
