Itration,Running Update Time,Real Sto Return,Real Det Return,Reward Loss,Running Reverse KL,Running Env Steps,Running Forward KL
0,0,212.79,215.24,-88.6523666381836,20.7895,0,39.2683
1,1,283.09,287.02,-61.2288818359375,65.1031,5000,36.1862
2,2,365.51,377.68,-114.56649780273438,20.0542,10000,33.5713
3,3,395.74,416.94,-138.8192596435547,18.4804,15000,31.911
4,4,611.54,719.46,-89.70984649658203,14.2239,20000,31.5039
5,5,658.1,804.48,-80.15654754638672,12.9948,25000,30.7889
6,6,685.19,719.77,-84.91748809814453,43.0124,30000,30.8392
7,7,693.95,721.32,-95.78277587890625,64.3061,35000,31.3913
8,8,765.84,833.32,-122.0409927368164,16.018,40000,30.0006
9,9,690.82,714.66,-102.275146484375,43.8347,45000,31.1096
10,10,799.2,878.95,-118.68769836425781,18.7697,50000,30.699
11,11,936.34,1095.06,-109.20036315917969,15.4929,55000,29.4848
12,12,870.7,956.83,-110.54997253417969,15.2187,60000,29.5397
13,13,845.39,1038.22,-100.81705474853516,15.8149,65000,29.4776
14,14,1120.68,820.37,-64.1619644165039,25.5037,70000,28.9112
15,15,837.06,919.28,-129.94082641601562,31.99,75000,29.6267
16,16,1535.9,2416.97,-132.2272186279297,51.5035,80000,29.1472
17,17,814.79,786.42,-153.32424926757812,18.6192,85000,28.8416
18,18,1579.6,3369.98,-103.91954803466797,15.7633,90000,26.7259
19,19,1634.94,3412.28,-111.73751068115234,14.7985,95000,28.384
20,20,1054.1,2605.11,-142.5899658203125,13.8896,100000,27.5976
21,21,2206.35,1909.15,-105.54225158691406,12.4646,105000,26.8365
22,22,1048.45,3152.9,-177.0281524658203,29.0442,110000,27.825
23,23,2402.56,3303.36,-65.14763641357422,12.6936,115000,26.6048
24,24,1236.81,3419.86,-124.46377563476562,16.0371,120000,27.8923
25,25,2962.52,3366.85,-21.083772659301758,12.4138,125000,25.1217
26,26,2780.33,3386.67,-3.2074153423309326,14.7793,130000,26.9945
27,27,3339.96,3282.94,-6.234705448150635,13.3679,135000,25.9686
28,28,3142.21,3287.45,-14.672369003295898,13.4651,140000,26.7316
29,29,3299.38,3276.95,-14.080002784729004,13.7489,145000,26.0389
30,30,3298.72,3290.68,-11.225506782531738,14.5125,150000,26.738
31,31,3269.25,3186.22,-23.62982940673828,13.0969,155000,25.5096
32,32,3293.52,3369.36,-3.831714391708374,13.0428,160000,25.1775
33,33,3318.75,3357.88,-2.3391544818878174,12.5722,165000,24.7353
34,34,3164.62,3317.52,-9.58096981048584,13.4156,170000,25.7985
35,35,3111.59,3375.98,-3.7967264652252197,12.8422,175000,25.1392
36,36,3313.25,3318.65,-21.80230712890625,13.1571,180000,25.6413
37,37,3365.64,3363.77,-15.375852584838867,12.4908,185000,24.9193
38,38,3331.97,3342.11,-21.130592346191406,13.0103,190000,25.0796
39,39,3373.26,3372.57,-16.60880470275879,12.742,195000,24.4423
40,40,3368.56,3384.32,-17.940431594848633,13.6967,200000,26.0659
41,41,3310.04,3315.86,-26.62643814086914,12.8631,205000,25.3281
42,42,3369.76,3372.35,-27.310758590698242,13.8319,210000,25.8632
43,43,3352.62,3360.68,-30.46378517150879,12.869,215000,25.0046
44,44,3346.09,3367.85,-23.509233474731445,12.3524,220000,24.46
45,45,3342.75,3360.38,-27.47577476501465,13.2883,225000,25.4961
46,46,3371.29,3395.38,-27.744949340820312,12.7101,230000,25.0429
47,47,3370.03,3391.9,-30.25275421142578,13.8597,235000,26.0302
48,48,3367.61,3386.66,-30.85803985595703,13.1883,240000,25.342
49,49,3378.08,3403.14,-36.006629943847656,12.5295,245000,24.472
50,50,3346.1,3430.34,-27.96429443359375,12.3745,250000,24.5383
51,51,3416.82,3445.9,-27.16284942626953,12.9025,255000,25.079
52,52,3334.45,3355.83,-32.85068130493164,12.7192,260000,24.5373
53,53,3234.6,3381.79,-36.809654235839844,12.7399,265000,25.2084
54,54,3315.02,3411.91,-34.62574005126953,12.5656,270000,24.6928
55,55,3353.68,3402.76,-39.74038314819336,12.6371,275000,25.0998
56,56,3403.78,3425.01,-45.510215759277344,11.6567,280000,24.1729
57,57,3389.02,3399.74,-42.166053771972656,12.802,285000,24.7307
58,58,3231.48,3440.63,-30.51796531677246,12.8351,290000,24.1146
59,59,3405.75,3423.76,-33.62712097167969,12.3749,295000,24.2026
60,60,3371.72,3393.81,-38.305999755859375,12.2976,300000,24.2178
61,61,3316.61,3341.44,-53.83521270751953,12.0724,305000,24.6034
62,62,3213.06,3419.22,-48.53053283691406,11.8522,310000,24.0779
63,63,3368.93,3410.24,-46.93101501464844,11.9674,315000,24.1652
64,64,3390.71,3406.39,-46.7695426940918,12.7288,320000,24.577
65,65,3398.85,3421.79,-44.52455139160156,12.0561,325000,23.6234
66,66,3363.81,3405.06,-56.4922981262207,12.0134,330000,24.317
67,67,3366.88,3403.12,-46.61825180053711,12.1621,335000,24.4087
68,68,3385.51,3401.24,-48.13136291503906,12.2133,340000,23.7325
69,69,3300.38,3416.04,-49.117923736572266,12.5762,345000,24.2893
70,70,3269.41,3420.32,-43.273807525634766,12.0792,350000,24.321
71,71,3395.72,3428.21,-48.66442108154297,12.0774,355000,24.0239
72,72,3392.22,3414.31,-52.735103607177734,11.7265,360000,23.3977
73,73,3403.11,3433.33,-57.81795120239258,11.868,365000,23.7328
74,74,3382.24,3411.72,-57.84832000732422,11.5605,370000,23.4834
75,75,3406.17,3445.31,-43.42153549194336,12.0156,375000,23.6049
76,76,3411.51,3434.63,-50.84854507446289,12.3424,380000,24.026
77,77,3419.0,3446.42,-54.21781539916992,11.9701,385000,23.4072
78,78,3397.45,3424.45,-60.27424240112305,12.6259,390000,24.7424
79,79,3381.98,3395.48,-61.03199768066406,12.4877,395000,24.2938
80,80,3398.92,3424.71,-62.4673957824707,12.0657,400000,23.7215
81,81,3419.69,3450.96,-56.50533676147461,11.7879,405000,23.4867
82,82,3411.87,3443.89,-51.040306091308594,11.7066,410000,23.2464
83,83,3386.0,3412.38,-63.97370910644531,12.0006,415000,23.822
84,84,3342.89,3450.85,-66.8426742553711,12.057,420000,23.6672
85,85,3355.94,3438.81,-69.35016632080078,11.8592,425000,23.8592
86,86,3424.6,3456.76,-59.965850830078125,11.8096,430000,23.2582
87,87,3392.59,3430.34,-71.25584411621094,11.9999,435000,24.0469
88,88,3310.89,3438.87,-72.70328521728516,11.8967,440000,23.6486
89,89,3438.27,3462.45,-57.58992004394531,11.2605,445000,22.8186
90,90,2936.26,3458.17,-154.55215454101562,12.1205,450000,23.9963
91,91,3368.88,3390.32,-80.109130859375,11.648,455000,23.4474
92,92,3346.42,3377.62,-81.2259292602539,11.5151,460000,23.5809
93,93,3406.15,3426.18,-81.39313507080078,12.5394,465000,24.2978
94,94,3410.24,3440.79,-70.0394515991211,11.8855,470000,23.8241
