Real Det Return,Running Env Steps,Itration,Reward Loss,Running Reverse KL,Running Forward KL,Running Update Time,Real Sto Return
256.43,0,0,67.5859146118164,19.6207,31.1188,0,250.76
258.55,5000,1,65.7250747680664,64.6733,31.2869,1,261.98
323.17,10000,2,56.17949676513672,60.1828,31.1178,2,311.36
320.53,15000,3,44.04038619995117,62.0866,31.4062,3,318.99
345.9,20000,4,52.795738220214844,60.0283,30.4061,4,342.69
467.54,25000,5,30.95687484741211,51.0322,30.0719,5,415.08
512.17,30000,6,43.721839904785156,58.7516,28.1052,6,520.77
867.23,35000,7,6.945438861846924,39.6434,27.304,7,955.94
2387.43,40000,8,5.418740272521973,34.8283,26.4174,8,1234.95
2479.57,45000,9,1.2960695028305054,23.2112,26.9539,9,2216.32
2730.67,50000,10,-15.978578567504883,22.4624,26.4801,10,2051.88
3034.21,55000,11,-5.696728706359863,21.1126,26.3743,11,2619.28
2892.95,60000,12,-35.376708984375,38.0107,26.2978,12,1851.66
2526.78,65000,13,-21.23963737487793,44.4184,26.1366,13,1271.89
775.54,70000,14,-31.371444702148438,24.9451,25.9936,14,2496.84
897.66,75000,15,-44.585514068603516,54.4836,26.128,15,962.53
3146.63,80000,16,-14.634986877441406,28.9652,25.4075,16,1868.41
957.21,85000,17,-35.32301330566406,66.2608,26.7016,17,913.49
970.25,90000,18,-56.50743865966797,43.2391,26.685,18,1006.22
2027.74,95000,19,-65.70868682861328,31.3489,25.7517,19,1288.6
2622.38,100000,20,-21.365041732788086,16.2272,25.9524,20,2490.74
3208.47,105000,21,-42.27058029174805,25.8411,25.852,21,2127.22
1672.53,110000,22,-76.80464172363281,31.415,25.9243,22,1408.08
954.92,115000,23,-100.38614654541016,34.3552,25.5731,23,1762.39
3157.88,120000,24,-115.12232971191406,34.8537,25.5957,24,1550.53
2841.18,125000,25,-73.5771713256836,23.9565,24.73,25,2046.0
3190.46,130000,26,-72.45270538330078,22.5094,24.9937,26,1925.82
2770.7,135000,27,-67.1333236694336,20.4812,24.2015,27,1827.33
3055.42,140000,28,-80.53936004638672,27.0039,24.1618,28,2494.58
2963.77,145000,29,-60.99653244018555,19.3783,24.6931,29,1972.66
3056.79,150000,30,-84.94879913330078,18.6404,24.5245,30,1796.39
3023.41,155000,31,-51.65775680541992,15.3108,24.7856,31,2541.98
2601.21,160000,32,-62.520263671875,15.7489,23.9645,32,2645.96
3012.29,165000,33,-116.22039794921875,27.8747,24.9475,33,2275.82
3146.3,170000,34,-87.73397064208984,17.6098,24.3159,34,2470.47
3166.83,175000,35,-68.3238296508789,14.7729,23.4983,35,2682.97
3107.63,180000,36,-81.94166564941406,16.6168,24.4999,36,2414.97
1610.45,185000,37,-181.5540313720703,35.9818,25.3171,37,1143.22
2933.63,190000,38,-72.54226684570312,18.8539,23.9626,38,2848.71
2741.97,195000,39,-137.3385009765625,25.525,24.5338,39,1784.93
3167.07,200000,40,-84.50941467285156,20.9672,24.3449,40,2542.41
3136.09,205000,41,-163.17605590820312,23.5372,24.7365,41,1853.67
2846.83,210000,42,-158.78656005859375,25.8047,24.4994,42,1983.97
3047.08,215000,43,-97.72196960449219,17.857,23.8315,43,2760.33
3082.2,220000,44,-64.3609619140625,15.1997,23.9229,44,2890.08
3195.79,225000,45,-87.53638458251953,16.9682,24.3169,45,2447.92
2707.2,230000,46,-261.2650146484375,49.0308,25.61,46,1055.61
3199.25,235000,47,-186.91502380371094,35.8401,25.0675,47,1171.18
3125.81,240000,48,-107.8985366821289,19.3907,23.7926,48,2444.47
3092.27,245000,49,-96.13492584228516,17.3922,24.5587,49,2845.01
3164.13,250000,50,-170.55343627929688,23.1935,24.3052,50,1902.97
3153.86,255000,51,-78.68650817871094,15.1359,23.7427,51,2642.6
3158.67,260000,52,-163.57615661621094,21.6067,23.7597,52,2380.54
3105.5,265000,53,-134.77774047851562,17.8754,23.8607,53,1829.56
3172.27,270000,54,-170.90521240234375,23.0898,24.0477,54,1976.74
3140.89,275000,55,-80.28568267822266,14.1427,23.1573,55,3066.91
3167.27,280000,56,-118.38786315917969,16.2203,23.9821,56,2618.69
3214.49,285000,57,-126.39949035644531,17.5095,22.8482,57,2328.98
3228.76,290000,58,-116.77366638183594,21.518,23.4387,58,2348.85
3178.22,295000,59,-183.87953186035156,26.4338,23.4143,59,1770.55
3219.01,300000,60,-175.29051208496094,44.653,23.4845,60,1873.54
3231.37,305000,61,-186.44020080566406,20.975,23.4138,61,1955.73
3217.98,310000,62,-166.44349670410156,19.5368,23.6219,62,2720.39
3193.46,315000,63,-109.58203125,14.5866,23.242,63,3167.28
3233.3,320000,64,-248.0081329345703,27.8009,24.0123,64,1793.74
3222.95,325000,65,-113.85176849365234,14.0486,23.4634,65,2891.15
3182.54,330000,66,-129.43502807617188,20.5755,23.6682,66,3197.72
