Running Forward KL,Itration,Reward Loss,Real Sto Return,Real Det Return,Running Update Time,Running Env Steps,Running Reverse KL
49.3895,0,-40.63770294189453,308.83,334.36,0,0,12.2419
49.37,1,11.947258949279785,369.65,294.46,1,5000,15.8235
49.0604,2,15.007749557495117,402.76,433.23,2,10000,16.2032
48.3836,3,-111.37993621826172,427.7,383.13,3,15000,14.2149
48.0202,4,-144.08660888671875,390.54,395.32,4,20000,12.7784
48.961,5,-145.56033325195312,364.97,360.19,5,25000,14.7401
48.6107,6,-108.531982421875,330.55,316.1,6,30000,13.1849
49.032,7,-96.51676177978516,377.43,308.53,7,35000,13.7889
48.8704,8,-74.25173950195312,456.58,464.27,8,40000,14.1832
48.8968,9,-74.36553955078125,455.37,474.77,9,45000,15.3205
49.1035,10,35.199546813964844,466.07,461.75,10,50000,34.6979
48.958,11,-11.834189414978027,474.58,468.88,11,55000,27.7557
48.9708,12,17.090394973754883,496.39,481.89,12,60000,31.5351
49.4752,13,-18.610820770263672,492.61,498.52,13,65000,27.8664
49.0755,14,-28.901458740234375,503.74,491.52,14,70000,32.1559
47.972,15,-142.78848266601562,525.34,528.61,15,75000,22.1892
47.0244,16,-127.8592529296875,499.51,581.97,16,80000,23.5229
47.8342,17,-229.8125,541.36,560.75,17,85000,13.5497
47.2484,18,-218.75685119628906,573.86,645.52,18,90000,13.7023
47.6062,19,-217.0581817626953,579.19,648.16,19,95000,14.5698
48.4696,20,-206.8200225830078,643.1,614.58,20,100000,12.6253
47.824,21,-231.9741668701172,594.07,629.51,21,105000,14.0663
47.2946,22,-289.00836181640625,626.54,600.07,22,110000,17.2563
46.7178,23,-281.4757080078125,677.07,629.18,23,115000,12.9153
46.883,24,-245.17295837402344,682.77,749.52,24,120000,14.6184
45.6133,25,-240.70606994628906,996.25,2332.08,25,125000,12.9471
46.6479,26,-281.39208984375,876.12,1305.39,26,130000,12.6044
46.2345,27,-231.31936645507812,1311.11,406.22,27,135000,14.1328
46.5719,28,-281.81109619140625,1390.5,2276.76,28,140000,12.8347
46.1808,29,-292.2664489746094,1890.54,2227.0,29,145000,13.0662
46.507,30,-352.4747009277344,989.01,1757.87,30,150000,13.3793
46.3658,31,-308.224365234375,1272.02,2542.04,31,155000,15.2716
45.5968,32,-253.16769409179688,2708.66,3162.17,32,160000,15.9621
46.0667,33,-246.5162811279297,2501.26,2560.46,33,165000,15.0183
46.1951,34,-244.5753173828125,2145.19,926.22,34,170000,16.9298
46.5042,35,-179.28256225585938,2880.88,3159.16,35,175000,19.8614
46.3946,36,-235.2041015625,2212.73,3572.45,36,180000,20.9014
46.8282,37,-170.90052795410156,3762.72,3768.33,37,185000,24.7142
46.9397,38,-199.96971130371094,3631.55,3824.36,38,190000,23.1002
46.023,39,-196.1332244873047,3669.06,3669.4,39,195000,23.308
46.8308,40,-190.90335083007812,3838.65,3832.85,40,200000,24.4082
46.1982,41,-214.26492309570312,3763.53,3788.34,41,205000,23.9576
46.4353,42,-221.1254425048828,3860.48,3864.91,42,210000,24.0809
46.2231,43,-231.56851196289062,3920.87,3938.32,43,215000,24.0265
46.6893,44,-243.66537475585938,3880.26,3938.91,44,220000,25.9153
46.1137,45,-244.20050048828125,3948.41,3968.98,45,225000,23.1526
46.5836,46,-272.6576843261719,3847.54,3832.49,46,230000,26.6464
46.0281,47,-258.50823974609375,3932.62,3936.01,47,235000,25.5805
46.0803,48,-283.48297119140625,3888.98,3873.4,48,240000,24.1889
46.0487,49,-304.2581787109375,4031.44,4014.04,49,245000,23.4979
46.4821,50,-296.29736328125,3997.36,4002.43,50,250000,25.4554
45.9476,51,-307.4654235839844,4008.06,4064.91,51,255000,22.6833
46.4742,52,-333.160888671875,3887.3,3870.76,52,260000,23.7555
45.967,53,-350.5411682128906,3975.19,3925.72,53,265000,23.5523
46.2436,54,-361.24493408203125,3943.96,3954.44,54,270000,24.1514
45.9999,55,-369.4313659667969,4012.07,3991.54,55,275000,23.8991
46.1531,56,-377.471923828125,4038.28,4022.52,56,280000,24.97
46.1679,57,-375.2798767089844,4067.2,4055.72,57,285000,25.5996
45.2507,58,-389.7054138183594,4009.53,4092.15,58,290000,23.7286
45.5977,59,-378.65362548828125,4090.11,4085.14,59,295000,24.1673
46.0956,60,-412.5537414550781,4068.87,4136.35,60,300000,26.172
46.2727,61,-457.44696044921875,4033.32,4063.62,61,305000,24.1529
45.6604,62,-423.47686767578125,4143.62,4158.53,62,310000,24.6208
45.4973,63,-441.40380859375,4160.65,4231.15,63,315000,24.3278
45.3058,64,-444.643798828125,4104.84,4192.28,64,320000,22.9256
45.0759,65,-471.0271911621094,3930.23,4114.15,65,325000,23.8309
45.4823,66,-467.2337341308594,4149.89,4218.41,66,330000,22.7809
45.6172,67,-463.9796142578125,4213.15,4320.54,67,335000,23.6966
45.5487,68,-498.4250183105469,4165.11,4203.03,68,340000,23.5687
45.9307,69,-511.7357482910156,4129.71,4171.0,69,345000,23.8764
45.5904,70,-529.4180908203125,4202.66,4335.67,70,350000,22.6935
45.7838,71,-541.7888793945312,4189.53,4277.11,71,355000,23.4839
45.7077,72,-548.0498046875,4145.55,4261.69,72,360000,24.513
46.1275,73,-562.484375,4282.46,4346.48,73,365000,23.8317
45.4993,74,-573.4466552734375,4102.37,4255.7,74,370000,24.9208
46.1009,75,-592.42724609375,4210.86,4217.25,75,375000,24.6282
45.9386,76,-592.7599487304688,4227.4,4258.74,76,380000,24.33
46.3831,77,-613.1424560546875,4259.86,4285.5,77,385000,22.7342
44.8521,78,-580.60302734375,4310.13,4382.08,78,390000,22.0001
45.406,79,-640.2764892578125,4326.12,4395.95,79,395000,23.782
45.7402,80,-624.4102783203125,4129.44,4336.18,80,400000,22.8788
45.7914,81,-644.0462036132812,3762.24,3939.89,81,405000,23.454
45.4016,82,-602.2337036132812,4309.51,4373.93,82,410000,22.3656
45.5196,83,-640.52880859375,4300.02,4317.69,83,415000,22.4931
45.4481,84,-671.3314208984375,4323.08,4369.71,84,420000,22.6094
45.2956,85,-643.5845947265625,4317.42,4339.41,85,425000,22.2365
45.2413,86,-698.4515380859375,4181.55,4343.32,86,430000,22.6915
46.0877,87,-702.6470947265625,4470.59,4501.75,87,435000,24.5119
45.0789,88,-681.08740234375,4361.81,4394.26,88,440000,21.268
45.4168,89,-719.7088012695312,4428.3,4540.4,89,445000,23.6078
44.9934,90,-729.6658935546875,4396.0,4418.99,90,450000,22.5348
45.0196,91,-729.3668823242188,4416.75,4428.23,91,455000,22.3723
45.4438,92,-793.978759765625,4483.93,4553.29,92,460000,24.5439
45.7576,93,-756.4263916015625,4436.38,4530.65,93,465000,22.523
45.0718,94,-742.1267700195312,4470.5,4493.39,94,470000,22.2087
44.7655,95,-760.290283203125,4457.78,4602.94,95,475000,22.0015
45.527,96,-797.3449096679688,4524.27,4533.14,96,480000,23.1239
48.7658,97,-544.046142578125,-8.28,-8.08,97,485000,53.509
55.956,98,-362.4265441894531,-18.85,-14.01,98,490000,67.7463
45.5455,99,-660.4584350585938,1153.24,964.0,99,495000,18.1667
46.5295,100,-717.2973022460938,1756.53,3090.23,100,500000,19.506
46.5865,101,-561.985107421875,1333.57,1056.95,101,505000,17.7392
46.7854,102,-540.0416870117188,1282.65,1057.27,102,510000,22.0164
46.6556,103,-710.1057739257812,2249.99,3240.97,103,515000,21.1444
46.5987,104,-779.927490234375,3530.93,2640.87,104,520000,24.8797
46.9793,105,-823.0508422851562,3435.47,1225.05,105,525000,24.9993
47.1135,106,-840.396240234375,4017.39,4170.38,106,530000,24.6321
46.4386,107,-878.1294555664062,4285.51,4372.08,107,535000,24.3705
45.8425,108,-831.089599609375,4077.79,4211.16,108,540000,23.9213
46.6527,109,-921.2239990234375,4352.26,4607.39,109,545000,25.4668
46.3412,110,-877.677734375,4382.12,4348.24,110,550000,23.2346
46.1008,111,-893.9442749023438,4485.45,4487.14,111,555000,23.4707
45.9469,112,-923.44775390625,4474.97,4597.37,112,560000,23.6219
46.6027,113,-912.7308349609375,4395.73,4395.56,113,565000,23.4984
45.6864,114,-953.395263671875,4443.14,4541.02,114,570000,23.4914
45.9559,115,-914.3442993164062,4502.89,4470.6,115,575000,23.6475
45.8942,116,-946.0650634765625,4445.62,4413.27,116,580000,23.5042
45.6867,117,-964.1788940429688,4403.18,4403.88,117,585000,22.1114
45.4512,118,-956.4535522460938,4461.07,4424.73,118,590000,23.2401
46.308,119,-1048.436279296875,4516.32,4571.47,119,595000,23.8813
46.2298,120,-1002.1494750976562,4468.85,4530.5,120,600000,23.0489
46.273,121,-1011.9440307617188,4372.84,4643.71,121,605000,22.3526
45.8838,122,-995.5647583007812,4506.54,4480.09,122,610000,21.2626
46.1121,123,-1001.1644287109375,4483.98,4532.82,123,615000,22.2593
45.9643,124,-1053.31640625,4510.57,4493.45,124,620000,24.3861
45.761,125,-1020.2868041992188,4545.51,4530.26,125,625000,23.6523
45.1077,126,-1049.010498046875,4493.15,4539.87,126,630000,21.8176
45.4215,127,-1099.4761962890625,4140.46,4491.96,127,635000,22.0015
45.3085,128,-1053.2998046875,4518.53,4535.28,128,640000,22.72
45.7225,129,-1071.36962890625,4029.59,4425.02,129,645000,22.4986
45.7348,130,-1074.5294189453125,4128.14,4643.16,130,650000,21.3449
45.2286,131,-1067.8359375,4458.35,4448.61,131,655000,23.3795
45.1778,132,-1081.6695556640625,4514.45,4536.85,132,660000,21.6229
45.8099,133,-1126.4093017578125,4537.39,4555.9,133,665000,23.3288
45.1418,134,-1145.385498046875,4480.76,4541.21,134,670000,22.0434
45.4967,135,-1092.546875,4506.24,4500.52,135,675000,23.4798
45.1403,136,-1146.726318359375,4525.75,4579.25,136,680000,21.7146
45.9793,137,-1129.507080078125,3933.66,4581.46,137,685000,24.8323
46.0684,138,-1242.0587158203125,4603.13,4758.6,138,690000,24.0634
45.2833,139,-1179.2745361328125,4543.93,4625.25,139,695000,21.7695
45.7199,140,-1257.4443359375,4628.12,4688.05,140,700000,24.0292
45.391,141,-1225.0533447265625,4573.65,4649.8,141,705000,22.3157
45.8072,142,-1263.4775390625,4527.41,4649.1,142,710000,22.6871
46.0491,143,-1257.517822265625,4545.38,4570.04,143,715000,23.2869
45.239,144,-1260.463134765625,4583.15,4635.14,144,720000,22.2152
45.3198,145,-1266.2432861328125,4527.96,4511.9,145,725000,22.59
44.768,146,-1277.383056640625,4501.42,4496.55,146,730000,22.1716
45.0194,147,-1316.7047119140625,4566.08,4590.77,147,735000,23.5639
44.8979,148,-1318.2615966796875,4556.99,4589.26,148,740000,22.7066
44.8402,149,-1343.459228515625,4581.62,4623.83,149,745000,22.4342
45.3226,150,-1346.5819091796875,4621.97,4690.05,150,750000,22.5551
45.8564,151,-1406.7525634765625,4584.04,4635.27,151,755000,22.7287
45.0484,152,-1373.7755126953125,4625.36,4773.22,152,760000,22.8085
45.0834,153,-1383.708984375,4608.4,4641.18,153,765000,21.9371
45.0816,154,-1299.5384521484375,4557.71,4568.46,154,770000,22.7232
45.5797,155,-1375.9462890625,4568.61,4621.13,155,775000,21.9918
44.8857,156,-1437.3642578125,4585.56,4633.44,156,780000,21.4469
45.4142,157,-1327.51708984375,4632.26,4666.77,157,785000,22.0393
45.1363,158,-1403.5181884765625,4617.79,4672.04,158,790000,22.9402
45.8605,159,-1474.499755859375,4612.11,4686.39,159,795000,24.0102
45.1476,160,-1424.121337890625,4620.31,4660.99,160,800000,21.3327
45.1445,161,-1465.32421875,4607.78,4728.0,161,805000,23.0744
45.4683,162,-1459.259033203125,4553.23,4646.28,162,810000,23.5479
44.9437,163,-1450.17529296875,4672.56,4720.81,163,815000,23.4642
45.0106,164,-1476.429443359375,4595.92,4657.16,164,820000,21.3115
45.7785,165,-1472.9154052734375,4668.53,4734.45,165,825000,24.6777
45.0867,166,-1596.498291015625,4538.73,4639.44,166,830000,20.8509
44.6681,167,-1624.4671630859375,4682.8,4786.96,167,835000,21.8731
45.2108,168,-1566.46875,4638.43,4695.7,168,840000,22.0615
44.579,169,-1542.5052490234375,4591.86,4639.51,169,845000,21.1574
44.5622,170,-1572.3306884765625,4639.55,4729.94,170,850000,21.595
45.1461,171,-1620.954833984375,4643.16,4757.81,171,855000,21.6636
44.4493,172,-1651.9129638671875,4254.85,4678.68,172,860000,20.9034
45.11,173,-1647.0767822265625,4658.58,4713.03,173,865000,21.9294
45.1081,174,-1630.7666015625,4679.89,4753.75,174,870000,22.7062
45.146,175,-1738.269287109375,4629.68,4779.44,175,875000,22.6755
45.2697,176,-1742.9542236328125,4649.01,4818.24,176,880000,22.6521
45.0432,177,-1643.7020263671875,4670.51,4755.84,177,885000,21.5204
44.9792,178,-1712.794677734375,4723.51,4817.34,178,890000,22.924
44.5534,179,-1678.0062255859375,4673.96,4816.52,179,895000,19.6637
45.1318,180,-1774.3780517578125,4675.75,4842.05,180,900000,21.9934
44.8169,181,-1743.5985107421875,4649.56,4774.66,181,905000,21.1374
44.9907,182,-1738.7491455078125,4648.56,4693.93,182,910000,21.1906
45.3351,183,-1839.4862060546875,4666.57,4780.87,183,915000,21.3603
44.1357,184,-1801.0234375,4714.94,4833.31,184,920000,20.7542
45.3234,185,-1807.100830078125,4707.18,4769.37,185,925000,21.6519
44.9041,186,-1871.673583984375,4734.65,4844.71,186,930000,21.9647
44.506,187,-1835.1380615234375,4684.54,4831.82,187,935000,21.2912
45.314,188,-1917.31689453125,4671.36,4803.39,188,940000,21.9149
44.7387,189,-1875.1488037109375,4696.65,4839.3,189,945000,20.9368
45.8223,190,-1819.9580078125,4703.51,4873.79,190,950000,21.155
45.0531,191,-1954.0211181640625,4738.1,4865.81,191,955000,22.1774
44.9934,192,-1897.7420654296875,4684.21,4753.8,192,960000,20.675
45.1102,193,-1919.455810546875,4711.67,4851.26,193,965000,21.1859
45.0206,194,-1990.44677734375,4759.43,4904.35,194,970000,21.416
44.9529,195,-1992.5504150390625,4673.67,4829.31,195,975000,20.4892
45.36,196,-2040.009521484375,4722.72,4861.53,196,980000,21.5078
44.3678,197,-2005.8035888671875,4713.61,4784.63,197,985000,21.1359
45.0031,198,-2037.4688720703125,4699.59,4761.61,198,990000,21.5412
45.4886,199,-2123.330322265625,4700.08,4851.57,199,995000,21.7492
45.4036,200,-2040.6126708984375,4717.41,4824.97,200,1000000,20.8481
45.5813,201,-2120.101806640625,4740.62,4860.45,201,1005000,22.0992
45.5412,202,-2080.734375,4766.55,4892.71,202,1010000,21.743
45.7852,203,-2072.209716796875,4757.78,4838.36,203,1015000,22.264
45.3579,204,-2075.9306640625,4753.22,4891.1,204,1020000,22.2543
45.7487,205,-2158.626953125,4764.69,4902.06,205,1025000,22.0789
45.3605,206,-2135.49853515625,4774.04,4863.75,206,1030000,21.8035
45.0578,207,-2144.969482421875,4589.96,4962.0,207,1035000,21.8484
