Running Env Steps,Itration,Running Reverse KL,Real Sto Return,Running Update Time,Real Det Return,Running Forward KL,Reward Loss
0,0,11.7938,-206.38,0,-20.29,158.636,23.483455657958984
5000,1,11.801,-60.12,1,52.19,158.5278,-29.12472152709961
10000,2,12.3353,141.0,2,413.43,158.1956,-79.71349334716797
15000,3,12.6812,484.08,3,1267.89,158.0172,-128.1448974609375
20000,4,12.9542,1001.02,4,2336.06,157.3807,-186.723876953125
25000,5,12.8029,1502.76,5,2280.39,156.6954,-224.15338134765625
30000,6,13.9219,1949.61,6,3140.97,156.9673,-276.97967529296875
35000,7,15.435,2989.32,7,3707.31,156.8381,-320.0989685058594
40000,8,16.4698,3044.85,8,3633.01,156.681,-353.4433288574219
45000,9,16.588,3621.86,9,4041.95,156.5377,-383.60113525390625
50000,10,16.1303,3459.34,10,4199.5,156.4786,-416.1262512207031
55000,11,16.3978,3742.03,11,4410.54,156.1038,-450.09124755859375
60000,12,16.9592,4295.7,12,4481.22,155.8203,-491.3778381347656
65000,13,16.4158,4453.52,13,5017.38,155.4448,-511.14337158203125
70000,14,17.247,4659.83,14,5282.38,155.6869,-550.4619750976562
75000,15,16.7565,4789.88,15,5622.41,155.3952,-579.44140625
80000,16,16.9737,5238.63,16,5747.76,155.3021,-607.8636474609375
85000,17,16.5849,5242.11,17,5717.66,154.89,-652.244140625
90000,18,16.9525,5636.1,18,6026.54,153.8207,-662.9962768554688
95000,19,16.2453,5673.69,19,6573.81,153.5843,-704.4349365234375
100000,20,16.9702,6011.18,20,6527.72,153.8315,-745.5823364257812
105000,21,16.8556,6231.58,21,7024.83,152.6978,-776.2432250976562
110000,22,16.7529,5995.76,22,6385.15,153.8409,-805.3047485351562
115000,23,16.3683,6665.6,23,6112.46,152.5302,-820.1865234375
120000,24,16.9415,6711.09,24,6539.61,152.5907,-866.4908447265625
125000,25,17.5323,6990.4,25,7406.34,152.0926,-887.50390625
130000,26,16.9475,7202.77,26,7673.18,152.3956,-916.72265625
135000,27,15.4991,7071.13,27,7819.67,151.386,-953.2394409179688
140000,28,17.3556,7283.83,28,7967.27,151.7479,-983.71240234375
145000,29,18.5135,7576.25,29,8216.0,150.7938,-985.581298828125
150000,30,17.9232,7556.04,30,7898.08,150.9353,-1003.169921875
155000,31,17.4483,7617.93,31,8381.83,150.9035,-997.3555297851562
160000,32,18.4001,7946.85,32,8412.06,151.1653,-1031.9603271484375
165000,33,17.767,7991.33,33,8573.2,150.4072,-1041.2171630859375
170000,34,18.2294,7819.97,34,8134.57,150.751,-1082.12890625
175000,35,17.8271,8362.56,35,8864.28,149.5974,-1083.5213623046875
180000,36,18.3347,8058.92,36,8413.52,150.8366,-1124.0162353515625
185000,37,16.8049,8384.46,37,8767.34,149.6717,-1109.467041015625
190000,38,17.2694,8334.27,38,8713.67,150.0564,-1105.87255859375
195000,39,18.2261,8259.92,39,8563.71,150.4869,-1171.680419921875
200000,40,18.3672,8265.49,40,9212.99,149.403,-1198.9608154296875
