Running Forward KL,Itration,Running Env Steps,Real Sto Return,Real Det Return,Reward Loss,Running Reverse KL,Running Update Time
158.4462,0,0,-183.41,-60.18,22.929624557495117,11.5975,0
158.4853,1,5000,-126.26,-277.48,-26.267379760742188,11.6098,1
158.6771,2,10000,-82.64,-4.25,-79.15617370605469,12.4334,2
158.8028,3,15000,7.74,-28.06,-122.1906967163086,13.4105,3
158.2141,4,20000,142.33,258.22,-174.3812713623047,12.1843,4
158.4477,5,25000,201.13,30.06,-209.7174530029297,13.5492,5
157.9996,6,30000,469.37,353.75,-230.0708465576172,12.715,6
158.4404,7,35000,534.65,776.65,-275.7279968261719,14.5733,7
157.9555,8,40000,688.69,1108.69,-313.3011474609375,13.0064,8
157.868,9,45000,771.72,1000.22,-354.6079406738281,13.0495,9
157.8792,10,50000,898.27,1301.76,-378.8526611328125,13.3175,10
157.5504,11,55000,943.94,1394.06,-413.8352966308594,13.8995,11
157.6995,12,60000,964.26,1416.13,-443.4395446777344,14.8759,12
157.7123,13,65000,1079.4,1559.27,-490.010009765625,15.4162,13
157.5416,14,70000,1093.38,1548.76,-544.7820434570312,15.5159,14
157.718,15,75000,1160.81,1604.12,-563.38232421875,16.2634,15
157.5966,16,80000,1263.97,1701.81,-619.802001953125,15.8697,16
157.7636,17,85000,1242.34,1655.78,-645.5667114257812,16.2739,17
157.5244,18,90000,1239.33,1750.49,-706.8072509765625,15.2331,18
157.6093,19,95000,1364.12,1695.19,-726.7236938476562,16.7142,19
157.5222,20,100000,1372.02,1845.51,-780.75732421875,15.7165,20
157.6628,21,105000,1385.83,1828.1,-836.9315795898438,16.3003,21
157.406,22,110000,1404.52,1794.25,-883.1318359375,15.6774,22
157.2552,23,115000,1509.35,1901.36,-902.0194091796875,15.7734,23
157.5255,24,120000,1499.24,1860.07,-944.0853881835938,16.2014,24
157.4347,25,125000,1508.81,1904.47,-987.2705688476562,15.7389,25
157.5186,26,130000,1512.39,1768.34,-1028.6512451171875,15.7905,26
157.4233,27,135000,1491.25,1912.4,-1073.68994140625,16.0587,27
157.3703,28,140000,1583.07,1906.55,-1121.3118896484375,16.5163,28
157.3661,29,145000,1568.81,1883.06,-1138.6551513671875,16.3231,29
157.3413,30,150000,1538.2,1930.38,-1181.4508056640625,15.7072,30
157.1182,31,155000,1612.58,1938.71,-1199.42138671875,15.683,31
157.209,32,160000,1560.76,1872.41,-1255.7305908203125,15.7601,32
157.2403,33,165000,1581.39,1909.09,-1296.0169677734375,15.7211,33
157.1878,34,170000,1608.1,1965.44,-1322.5301513671875,15.9194,34
157.3139,35,175000,1640.66,1966.32,-1369.0948486328125,15.8769,35
157.2217,36,180000,1643.64,2009.58,-1403.0662841796875,15.9757,36
157.0364,37,185000,1619.06,1909.99,-1433.3846435546875,15.5875,37
156.9935,38,190000,1634.52,1999.94,-1471.4053955078125,15.6178,38
157.2258,39,195000,1657.52,1934.91,-1517.8267822265625,15.6091,39
156.7658,40,200000,1670.51,2068.97,-1534.4556884765625,15.6317,40
