Running Reverse KL,Real Sto Return,Itration,Real Det Return,Running Forward KL
12.2444,439.54,0,468.81,49.6882
12.4066,351.02,1,443.64,48.9513
13.4355,307.82,2,248.19,49.384
13.4552,376.26,3,359.43,49.2115
13.5311,403.46,4,573.39,49.0346
19.1058,801.22,5,770.12,48.5135
42.7803,435.59,6,465.7,49.3007
34.8084,748.74,7,1078.26,48.2222
22.7763,661.5,8,757.28,47.6754
23.6845,1602.1,9,1264.27,46.7935
21.8613,1135.66,10,1501.26,46.7241
30.9301,815.01,11,858.37,47.5355
25.9403,1612.23,12,1689.68,47.0176
31.552,1741.65,13,1197.05,46.8982
47.9306,1256.31,14,1413.5,47.1878
34.0263,1984.12,15,2995.74,46.6589
23.626,2228.43,16,2679.2,46.2231
28.2478,1036.18,17,1295.14,47.0071
27.3362,1317.66,18,1534.04,46.6126
15.6905,1255.99,19,1659.12,46.4717
29.8402,1281.74,20,1453.96,46.5091
17.5759,1245.61,21,1445.12,47.0245
18.7402,1193.08,22,1706.92,46.7471
17.5957,1487.97,23,1964.29,46.4762
26.1321,1275.31,24,1602.53,46.7344
18.3223,1573.82,25,2981.62,46.3237
23.4978,1509.98,26,2241.87,46.8658
18.0067,1351.31,27,1287.97,47.3118
18.5541,1507.55,28,1849.0,46.5847
26.2419,1792.6,29,2679.82,47.1032
15.941,1600.95,30,2796.22,46.2743
21.4456,1291.18,31,1811.69,46.6736
15.4144,1220.59,32,1389.16,46.4669
17.1145,1114.37,33,2195.1,47.2547
15.2002,1099.97,34,2359.71,46.422
17.7833,1584.98,35,3413.96,46.0889
20.797,1164.19,36,1899.54,46.8746
18.4309,1804.18,37,3401.93,46.2469
17.9622,1387.06,38,3414.83,46.2999
16.1698,1502.93,39,3007.6,46.3182
16.7454,1641.33,40,2770.2,46.3504
19.9742,1345.11,41,2479.27,46.9613
16.4901,1724.39,42,3190.11,46.1615
15.8235,1538.16,43,2487.67,46.2679
16.9749,1474.27,44,3363.04,46.0427
15.7186,1719.2,45,2731.83,45.9249
17.374,1439.64,46,1576.72,46.652
17.3333,1478.89,47,2039.73,46.5592
16.9701,1466.22,48,1580.7,46.5044
15.6626,1890.8,49,2389.82,45.7062
15.2148,1578.07,50,1854.65,46.0837
16.29,1424.28,51,2339.8,46.3622
15.9623,1478.93,52,1789.05,45.8756
16.9938,1695.75,53,2642.7,45.9082
