Reward Loss,Running Env Steps,Running Reverse KL,Real Det Return,Running Forward KL,Itration,Running Update Time,Real Sto Return
337.63946533203125,0,14.9481,299.64,30.7048,0,0,305.73
330.1432189941406,5000,20.7794,293.69,30.8898,1,1,296.71
273.2432556152344,10000,20.5505,321.47,27.5534,2,2,310.2
130.27548217773438,15000,15.9299,346.08,28.2267,3,3,337.8
72.86064910888672,20000,20.3714,374.06,27.8874,4,4,356.34
34.38949203491211,25000,27.4757,373.83,27.6616,5,5,370.59
70.4568099975586,30000,32.5361,833.53,29.6186,6,6,335.35
-5.984897613525391,35000,29.3755,321.08,31.2247,7,7,291.34
248.1797637939453,40000,34.0171,284.86,32.2791,8,8,312.05
165.22357177734375,45000,51.3461,140.62,30.7339,9,9,161.88
96.97483825683594,50000,45.3126,54.71,31.6306,10,10,55.0
133.84881591796875,55000,58.5011,251.61,33.0144,11,11,255.51
-267.8414306640625,60000,49.9515,351.44,32.3706,12,12,342.74
-226.8497314453125,65000,19.4343,1034.36,35.1373,13,13,1100.99
-369.00164794921875,70000,33.96,1044.04,33.1093,14,14,1044.47
-392.2652587890625,75000,35.6072,1005.84,39.1966,15,15,1011.52
-465.2158203125,80000,30.0104,1061.63,36.1225,16,16,1026.29
-526.4031982421875,85000,32.6577,1055.87,38.3847,17,17,1060.05
-416.7837829589844,90000,27.5158,1047.29,32.2828,18,18,1027.87
-614.097900390625,95000,52.5673,549.66,29.1559,19,19,523.8
-303.24853515625,100000,24.978,372.56,31.1238,20,20,378.89
-293.69091796875,105000,20.4407,759.91,31.2116,21,21,757.93
-263.1757507324219,110000,20.9303,396.98,30.4547,22,22,398.91
-583.4012451171875,115000,43.5811,272.88,32.1119,23,23,276.92
-424.3404541015625,120000,74.3835,436.1,32.6008,24,24,432.19
-491.2289733886719,125000,69.3242,265.54,32.5287,25,25,263.03
-918.951171875,130000,27.2141,1042.96,35.5866,26,26,1042.73
-971.59375,135000,43.8184,991.52,38.8863,27,27,991.16
-1036.5150146484375,140000,48.8074,358.47,31.1292,28,28,356.07
-1046.2799072265625,145000,29.5362,1038.15,34.2449,29,29,990.85
-1217.9219970703125,150000,207.6925,12.78,38.2075,30,30,12.67
-1156.9364013671875,155000,31.9877,1006.83,36.9055,31,31,1005.61
-965.10400390625,160000,20.1634,213.1,30.4517,32,32,217.37
-1204.9942626953125,165000,39.2506,1039.86,36.6337,33,33,1039.99
-1310.3809814453125,170000,49.3308,1022.48,32.5261,34,34,1006.45
-1273.0162353515625,175000,21.6535,1033.52,35.5692,35,35,1033.26
-1436.8404541015625,180000,39.8335,1003.28,37.3183,36,36,1003.58
-1406.5621337890625,185000,48.6007,318.13,32.2177,37,37,180.03
-1113.3153076171875,190000,24.9508,312.46,31.2989,38,38,314.06
-1489.4595947265625,195000,35.3783,506.28,32.5703,39,39,481.76
-1665.6763916015625,200000,38.7778,1017.58,38.455,40,40,1017.74
-1699.9168701171875,205000,36.7455,996.19,37.5568,41,41,993.79
-1750.438232421875,210000,39.1761,982.06,37.0256,42,42,982.87
-1811.8240966796875,215000,48.4049,1016.74,35.8905,43,43,1016.56
-1735.489501953125,220000,42.633,208.42,36.5927,44,44,208.65
-1950.1619873046875,225000,35.8866,1029.94,35.9414,45,45,1028.74
-1979.6256103515625,230000,40.1019,1050.76,38.1339,46,46,1050.61
-1753.242431640625,235000,33.1756,152.31,33.0398,47,47,151.03
-1861.3299560546875,240000,29.3505,369.18,30.4439,48,48,351.24
-1996.5496826171875,245000,27.8569,309.45,30.6708,49,49,311.71
-1742.4588623046875,250000,21.5532,222.61,29.9427,50,50,220.94
-1712.52880859375,255000,25.3767,460.42,30.6447,51,51,464.74
-2310.81787109375,260000,32.2883,303.55,38.6843,52,52,531.39
-2003.9820556640625,265000,26.2892,263.51,33.8794,53,53,263.93
-2412.75146484375,270000,32.8364,279.48,34.4664,54,54,280.15
-2358.48388671875,275000,28.63,281.04,32.3497,55,55,280.89
-2364.857177734375,280000,24.4291,380.38,33.8046,56,56,381.21
-2387.8955078125,285000,33.9822,360.93,28.8843,57,57,371.08
-1820.4549560546875,290000,20.871,540.07,28.7794,58,58,532.29
-2212.728271484375,295000,19.1937,880.17,29.0604,59,59,960.56
-2659.722900390625,300000,22.8197,1058.69,33.6015,60,60,1034.84
-2681.8037109375,305000,31.447,1033.73,33.7979,61,61,788.9
-2776.60400390625,310000,37.8949,423.99,32.2185,62,62,699.17
-2796.127685546875,315000,36.1123,1018.14,37.9568,63,63,1018.37
-2190.9375,320000,95.4022,165.85,32.8533,64,64,165.26
-1930.6868896484375,325000,108.5972,171.57,31.7747,65,65,176.93
-2986.09130859375,330000,29.376,1038.2,36.8134,66,66,1038.92
-3065.28125,335000,38.9254,1030.76,36.5886,67,67,1030.24
-3078.61279296875,340000,28.0418,1030.0,37.9293,68,68,1029.38
-3153.5458984375,345000,32.5003,1029.13,35.0806,69,69,1029.4
-3190.5,350000,36.0691,1019.26,36.4121,70,70,1018.95
-2739.06884765625,355000,44.9315,401.05,32.5792,71,71,399.4
-3255.093994140625,360000,26.5009,1050.6,35.3186,72,72,1052.45
-2950.564453125,365000,45.4711,74.77,32.5348,73,73,89.77
-3455.428955078125,370000,37.1503,1011.52,39.3403,74,74,1012.22
-3080.28076171875,375000,64.1434,124.35,32.9243,75,75,126.78
-2913.3125,380000,87.3045,286.67,32.4515,76,76,286.6
-3374.49755859375,385000,53.9745,281.49,33.0641,77,77,279.78
-2349.165771484375,390000,36.4975,298.43,29.4314,78,78,318.27
-2953.370361328125,395000,23.2868,336.54,31.0597,79,79,336.28
-3716.72509765625,400000,33.32,1008.86,37.7796,80,80,1009.52
-3781.020751953125,405000,34.7871,1011.49,37.0658,81,81,1010.48
-3813.32470703125,410000,30.6237,1003.6,37.2179,82,82,1004.47
-3887.904541015625,415000,34.5699,1041.16,37.2167,83,83,1039.82
-3119.77197265625,420000,27.0653,153.33,32.0689,84,84,152.39
-2633.845703125,425000,27.5853,288.63,31.886,85,85,289.6
-4127.85302734375,430000,31.4356,189.49,33.0955,86,86,189.46
-4169.546875,435000,41.2009,342.65,33.9017,87,87,339.9
-4170.15673828125,440000,40.4339,993.56,35.0328,88,88,958.56
-3496.2509765625,445000,24.0385,268.28,31.852,89,89,297.61
-3768.43701171875,450000,61.2264,133.88,32.0022,90,90,116.24
-3813.01611328125,455000,76.1282,50.6,33.1885,91,91,40.98
-4251.0341796875,460000,31.5076,1051.06,33.4467,92,92,1005.01
-3957.985107421875,465000,88.1058,68.66,31.5257,93,93,68.6
-4640.72119140625,470000,30.0022,1044.84,38.6923,94,94,1044.63
-4628.0693359375,475000,35.8883,230.97,31.7805,95,95,231.02
-2914.22705078125,480000,45.9704,530.15,29.7833,96,96,530.01
-4736.34619140625,485000,40.0861,1042.74,35.1018,97,97,1043.32
-4875.7177734375,490000,44.8632,1006.05,39.2898,98,98,1004.44
-4456.85595703125,495000,34.2189,1011.95,31.3985,99,99,978.85
-4715.8095703125,500000,27.7197,997.79,36.8811,100,100,998.41
-4485.19287109375,505000,44.0029,472.54,32.36,101,101,434.55
-4772.33935546875,510000,35.1026,384.77,34.6881,102,102,411.29
-4602.5556640625,515000,30.2585,297.32,32.3647,103,103,288.59
-4982.3857421875,520000,46.952,365.72,33.5974,104,104,366.2
-4779.19189453125,525000,42.7947,358.17,32.4105,105,105,365.73
-5114.623046875,530000,37.5977,643.89,33.7961,106,106,902.13
-5261.79736328125,535000,29.2286,979.28,37.5604,107,107,977.39
-5160.94140625,540000,28.3037,991.22,35.732,108,108,965.78
-5030.529296875,545000,33.7969,451.57,31.8917,109,109,379.64
-5444.04833984375,550000,29.7052,988.07,37.1699,110,110,955.1
-4119.9091796875,555000,39.1667,355.07,31.3004,111,111,351.0
-3971.87255859375,560000,32.8222,254.68,30.1274,112,112,256.48
-4714.9912109375,565000,25.4625,586.05,32.8632,113,113,578.35
-5575.21630859375,570000,35.46,1024.75,37.6379,114,114,1033.53
-4860.640625,575000,25.8745,1019.76,30.8513,115,115,826.66
-5844.24951171875,580000,33.6236,1023.62,38.3942,116,116,1023.59
-4566.125,585000,18.1049,265.65,31.7841,117,117,266.53
-3317.890869140625,590000,19.6218,205.74,30.2417,118,118,206.79
-6101.76611328125,595000,45.2565,791.71,38.8618,119,119,754.39
-5742.2861328125,600000,218.1372,33.99,36.4409,120,120,21.99
-5884.19677734375,605000,36.1038,989.64,38.6924,121,121,990.4
-6241.77099609375,610000,58.909,972.39,37.995,122,122,972.65
-6287.576171875,615000,41.6579,1007.23,40.6257,123,123,1006.91
-6255.4423828125,620000,52.1109,976.94,39.6115,124,124,976.96
-6409.29345703125,625000,34.156,1044.64,40.6468,125,125,1043.35
-6313.2412109375,630000,35.6845,1026.23,38.2151,126,126,1025.69
-6508.18359375,635000,37.0406,1038.88,37.8215,127,127,1038.68
-5839.2158203125,640000,29.513,428.67,33.2678,128,128,633.96
-6575.4072265625,645000,30.2547,1040.06,34.1842,129,129,1038.03
-6154.77001953125,650000,46.4566,281.33,32.9942,130,130,245.44
-6769.71923828125,655000,40.549,1034.85,36.294,131,131,1034.71
-6895.345703125,660000,121.2099,210.67,36.358,132,132,206.91
-6944.37890625,665000,65.419,105.57,39.0665,133,133,105.83
-6765.3798828125,670000,37.8079,1009.83,34.7277,134,134,1011.03
-6167.0107421875,675000,68.306,341.07,33.4028,135,135,337.24
-6457.9169921875,680000,56.0977,315.75,35.4549,136,136,320.62
-6099.62353515625,685000,107.3159,146.6,32.6147,137,137,144.31
-7258.81494140625,690000,39.5895,997.64,39.7507,138,138,997.1
-7228.47607421875,695000,45.0897,998.55,39.8315,139,139,998.41
-7345.28466796875,700000,45.1202,997.37,41.299,140,140,997.14
-7287.5205078125,705000,40.444,1044.9,33.0502,141,141,1046.03
-6647.146484375,710000,41.7169,271.53,33.7849,142,142,272.08
-7336.18408203125,715000,35.3407,558.66,33.5726,143,143,931.41
-6564.298828125,720000,41.8248,413.59,29.7758,144,144,400.42
-3696.76708984375,725000,21.8925,430.39,30.1808,145,145,418.53
-6394.201171875,730000,33.6246,495.45,29.7136,146,146,491.87
-4386.2021484375,735000,52.3718,328.25,29.9271,147,147,323.28
-7733.40380859375,740000,34.9126,1056.36,34.6294,148,148,1057.96
-5959.43310546875,745000,17.7245,619.35,31.0924,149,149,703.41
-7853.6865234375,750000,35.205,1037.6,33.928,150,150,1038.93
-7754.68408203125,755000,40.762,535.74,31.1213,151,151,610.69
-7766.91552734375,760000,31.6131,1060.56,32.6029,152,152,1011.63
-7471.953125,765000,48.5665,79.18,31.1637,153,153,79.27
-8102.7021484375,770000,32.1223,1047.44,33.861,154,154,1047.18
-7483.17626953125,775000,30.3152,179.34,32.0021,155,155,239.83
-8372.2529296875,780000,39.8513,1026.35,35.1772,156,156,1026.27
-8269.27734375,785000,39.6879,1030.11,37.2237,157,157,1030.51
-7644.25537109375,790000,27.4912,656.6,32.7752,158,158,481.36
-8509.2099609375,795000,34.8008,1024.95,36.2506,159,159,1024.75
-8651.599609375,800000,36.9626,1001.83,38.5912,160,160,1000.96
-8824.4404296875,805000,45.5441,1004.63,39.8807,161,161,1004.01
-8166.6806640625,810000,47.1875,980.55,33.2345,162,162,757.36
-8907.7978515625,815000,37.4804,1040.44,34.9321,163,163,891.26
-8983.3623046875,820000,47.9526,1016.31,39.327,164,164,1016.1
-9172.119140625,825000,53.4237,1000.13,39.8892,165,165,999.81
-7955.185546875,830000,150.4879,112.88,31.8318,166,166,112.73
-8927.951171875,835000,29.8917,1049.04,35.8053,167,167,1048.01
-7754.22412109375,840000,16.1784,171.41,31.6278,168,168,169.64
-9487.462890625,845000,48.922,980.59,40.0293,169,169,980.19
-9547.220703125,850000,49.1904,976.52,40.2182,170,170,976.39
-9484.1884765625,855000,34.6203,997.42,39.098,171,171,996.96
-9066.5791015625,860000,29.4393,1049.74,36.2407,172,172,1050.3
-9613.3154296875,865000,58.8549,105.61,38.593,173,173,102.87
-9347.193359375,870000,58.0378,112.96,32.733,174,174,244.44
-9644.3603515625,875000,36.0723,1013.36,38.7911,175,175,1013.29
-7748.36376953125,880000,42.5585,408.72,28.6374,176,176,409.79
-10031.4931640625,885000,34.7411,1034.09,36.4725,177,177,1032.75
-9663.0400390625,890000,29.9229,1008.02,37.095,178,178,1008.85
-9917.001953125,895000,42.0056,67.33,37.0732,179,179,66.53
-10066.3408203125,900000,38.5172,991.94,37.6686,180,180,990.71
-10087.3408203125,905000,38.354,986.36,38.0869,181,181,983.86
-10160.4501953125,910000,36.3003,998.64,37.7166,182,182,997.45
-10464.5244140625,915000,53.6314,1002.04,37.3654,183,183,1001.57
-10344.263671875,920000,171.0257,203.99,38.1307,184,184,203.11
-10845.5810546875,925000,50.1149,55.97,37.8877,185,185,52.89
-10456.80078125,930000,26.5241,337.4,35.9761,186,186,358.55
-10105.9501953125,935000,42.3305,331.8,34.9687,187,187,345.77
-10976.1328125,940000,35.9283,1028.42,38.3703,188,188,1028.23
-10954.798828125,945000,56.7609,989.6,38.6729,189,189,988.74
-10795.7822265625,950000,48.651,55.67,36.4496,190,190,56.1
-11216.2939453125,955000,67.7234,112.12,38.5947,191,191,112.42
-11374.6640625,960000,63.7046,358.15,36.8141,192,192,366.83
-10119.3359375,965000,64.1326,236.6,34.4697,193,193,235.6
-8591.5556640625,970000,34.1182,411.75,32.0368,194,194,411.24
-8515.14453125,975000,33.4976,430.39,33.51,195,195,429.79
-11418.2578125,980000,43.1382,987.91,37.9057,196,196,989.02
-11576.53515625,985000,41.1506,987.97,38.6489,197,197,987.85
-11701.6982421875,990000,39.7032,979.44,39.1267,198,198,978.67
-11533.763671875,995000,34.0149,996.64,38.4712,199,199,998.35
