Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return,Running Reverse KL,Itration,Running Update Time,Real Det Return
-40.15335464477539,0,158.4755,-198.74,11.6575,0,0,-22.34
-68.05590057373047,5000,158.5675,-69.76,12.0599,1,1,-21.69
-114.7533950805664,10000,158.5122,85.78,12.4363,2,2,891.59
-206.66807556152344,15000,158.5622,344.87,14.1731,3,3,658.11
-201.19973754882812,20000,158.4128,487.6,14.566,4,4,830.65
-201.0550079345703,25000,158.1993,639.65,14.6135,5,5,1017.53
-201.46578979492188,30000,157.7023,736.84,14.1227,6,6,1149.08
-205.06442260742188,35000,157.6987,747.86,14.3403,7,7,1064.36
-236.97743225097656,40000,158.0031,877.62,14.9173,8,8,1298.1
-255.0025634765625,45000,157.7581,897.65,14.9375,9,9,1277.15
-277.8945007324219,50000,157.9062,1054.55,15.9038,10,10,1552.1
-306.2366027832031,55000,157.881,1169.31,16.1076,11,11,1580.58
-333.24420166015625,60000,157.9914,1174.25,16.4226,12,12,1618.07
-337.40289306640625,65000,158.1324,1197.28,16.4616,13,13,1623.11
-368.5170593261719,70000,158.0625,1235.46,16.3259,14,14,1645.28
-404.19757080078125,75000,157.9013,1295.95,16.3925,15,15,1740.53
-415.5733642578125,80000,157.6782,1270.84,16.5155,16,16,1819.8
-460.853759765625,85000,157.9599,1366.62,16.5611,17,17,1771.49
-479.66827392578125,90000,157.6802,1416.64,16.5521,18,18,1818.48
-510.0641784667969,95000,157.5566,1447.28,16.351,19,19,1803.71
-521.7361450195312,100000,157.92,1456.38,16.6445,20,20,1847.96
-552.7467651367188,105000,157.9122,1493.9,16.4854,21,21,1856.63
-567.9482421875,110000,157.6971,1513.64,16.2015,22,22,1865.99
-592.5745849609375,115000,157.7252,1541.35,16.695,23,23,1894.75
