Running Update Time,Real Sto Return,Running Forward KL,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Reverse KL
0,-213.93,158.4211,0,-318.3330078125,0,-34.27,11.5874
1,-115.44,158.4041,1,-339.4048156738281,5000,32.2,11.7572
2,24.39,158.3513,2,-351.84161376953125,10000,571.01,12.0127
3,203.39,158.3577,3,-340.728515625,15000,650.76,12.8316
4,298.86,158.2896,4,-384.6980895996094,20000,741.42,12.967
5,536.16,158.1343,5,-407.78814697265625,25000,940.63,13.9938
6,573.02,157.9129,6,-435.0664978027344,30000,1003.24,14.0157
7,693.35,157.9497,7,-472.2624816894531,35000,1074.47,14.4046
8,787.23,157.9055,8,-529.0166015625,40000,1133.0,14.7226
9,833.37,157.7559,9,-571.7667846679688,45000,1038.5,14.5534
10,996.31,157.8526,10,-588.3457641601562,50000,1166.81,15.7422
11,1065.78,157.9554,11,-623.1748046875,55000,1437.69,16.1625
12,1096.77,158.3231,12,-661.8628540039062,60000,1447.85,16.8763
13,1156.29,158.04,13,-691.1720581054688,65000,1509.54,16.6482
14,1192.22,158.3379,14,-709.619140625,70000,1570.07,17.1783
15,1273.97,157.8196,15,-727.0647583007812,75000,1690.98,16.5583
16,1332.52,157.8314,16,-768.4366455078125,80000,1711.03,16.9278
17,1338.5,157.9377,17,-800.9117431640625,85000,1698.12,16.7466
18,1348.21,157.802,18,-840.6608276367188,90000,1755.94,16.9985
19,1411.83,157.895,19,-860.6694946289062,95000,1818.15,16.7783
20,1427.75,157.8726,20,-898.4005737304688,100000,1815.51,16.5944
21,1468.46,157.6356,21,-919.1049194335938,105000,1880.6,16.5579
22,1477.74,157.6886,22,-967.4505004882812,110000,1777.56,16.3119
23,1509.21,157.6314,23,-1001.77490234375,115000,1882.04,16.6509
24,1514.98,157.803,24,-1032.793701171875,120000,1835.61,16.2275
25,1490.9,157.7256,25,-1068.125244140625,125000,1847.85,16.2272
26,1552.36,157.8026,26,-1093.8172607421875,130000,1869.49,16.8271
27,1575.39,157.6196,27,-1119.0167236328125,135000,1898.31,16.572
28,1598.59,157.7089,28,-1141.753173828125,140000,1926.68,16.9936
29,1576.13,157.5334,29,-1171.4932861328125,145000,1897.36,16.3931
30,1558.16,157.7641,30,-1218.538818359375,150000,1896.68,16.5021
31,1584.56,157.5248,31,-1247.08056640625,155000,1945.16,16.6159
32,1580.34,157.5376,32,-1288.319580078125,160000,1936.29,16.5164
33,1592.52,157.794,33,-1313.2607421875,165000,1968.3,16.6602
34,1640.31,157.6434,34,-1340.67138671875,170000,2019.14,16.9085
35,1622.19,157.722,35,-1373.9869384765625,175000,1938.62,16.7897
36,1689.19,157.3067,36,-1403.0465087890625,180000,2025.7,16.8615
37,1634.46,157.7921,37,-1445.84521484375,185000,1954.75,16.7463
38,1665.7,157.5862,38,-1457.313720703125,190000,1996.54,16.616
39,1628.71,157.7014,39,-1493.9075927734375,195000,1988.8,17.0558
40,1681.6,157.3368,40,-1522.7308349609375,200000,2059.25,16.352
41,1715.18,157.4646,41,-1550.99560546875,205000,2074.24,16.8872
42,1670.4,157.6163,42,-1602.518310546875,210000,2031.98,16.7737
43,1693.15,157.4293,43,-1632.9307861328125,215000,2039.15,16.449
44,1652.86,157.5631,44,-1660.2625732421875,220000,1980.17,16.2254
45,1620.38,157.4608,45,-1707.9613037109375,225000,1918.57,16.4474
46,1674.1,157.3958,46,-1723.37939453125,230000,2054.78,16.2915
47,1642.63,157.0537,47,-1762.7960205078125,235000,1963.99,15.6189
48,1704.09,157.3896,48,-1787.19384765625,240000,2022.74,16.3875
49,1658.15,157.2591,49,-1827.15869140625,245000,1998.56,15.9766
50,1699.18,157.2395,50,-1855.0205078125,250000,2031.65,16.4269
51,1715.47,157.2989,51,-1901.63916015625,255000,2036.56,16.214
52,1670.77,157.0929,52,-1938.1690673828125,260000,1982.37,15.8944
53,1741.6,157.2793,53,-1955.418212890625,265000,2084.27,16.7785
54,1757.79,157.3803,54,-1982.0582275390625,270000,2073.82,16.7049
55,1711.54,157.2972,55,-2033.6170654296875,275000,2021.3,16.5728
56,1719.98,156.996,56,-2044.604248046875,280000,2031.82,16.0516
57,1710.61,157.3673,57,-2094.84912109375,285000,2063.7,16.3744
58,1737.58,157.1268,58,-2118.510498046875,290000,2096.55,16.4827
59,1753.27,157.1665,59,-2169.470703125,295000,2119.11,16.4844
60,1686.56,156.8284,60,-2204.262451171875,300000,2030.55,15.9109
61,1721.77,157.0873,61,-2247.455810546875,305000,2027.01,16.2626
62,1758.36,157.2501,62,-2272.13037109375,310000,2108.47,16.0864
63,1711.85,157.1323,63,-2302.495849609375,315000,2069.66,16.0519
64,1779.42,157.2144,64,-2350.940185546875,320000,2109.56,16.4423
65,1759.46,157.2105,65,-2388.318115234375,325000,2046.96,16.5583
66,1752.64,157.0961,66,-2399.27197265625,330000,2076.3,16.1836
67,1764.59,157.1468,67,-2458.611328125,335000,2137.66,16.2026
68,1746.7,157.09,68,-2485.906005859375,340000,2046.31,15.6672
69,1713.48,157.1176,69,-2538.87939453125,345000,2074.89,16.1361
70,1755.47,156.9014,70,-2567.794921875,350000,2091.97,15.8589
71,1747.69,157.1299,71,-2599.204833984375,355000,2096.11,15.9323
72,1783.57,157.1421,72,-2646.266357421875,360000,2157.42,16.3169
73,1749.14,157.0191,73,-2688.58203125,365000,2068.29,15.9468
74,1762.81,156.9027,74,-2718.168212890625,370000,2079.19,16.1087
75,1779.68,157.0567,75,-2764.454833984375,375000,2115.21,16.1819
76,1728.63,156.9461,76,-2784.294677734375,380000,2030.95,15.5875
77,1779.89,156.9299,77,-2808.516845703125,385000,2097.2,15.9507
78,1798.86,156.9328,78,-2869.370361328125,390000,2106.33,15.9224
79,1763.96,157.0661,79,-2908.48388671875,395000,2092.47,15.7426
80,1757.27,156.999,80,-2970.751953125,400000,2099.3,15.8397
81,1787.88,156.9997,81,-2984.024169921875,405000,2135.84,16.1094
82,1769.96,157.0849,82,-3029.654052734375,410000,2088.93,15.8125
83,1781.2,156.6003,83,-3066.608154296875,415000,2131.56,15.8038
84,1800.55,156.8193,84,-3105.036865234375,420000,2183.49,16.0332
85,1762.87,156.9553,85,-3161.416748046875,425000,2147.54,16.0176
86,1747.8,156.9606,86,-3203.286376953125,430000,2128.16,15.6149
87,1760.79,156.8389,87,-3238.10009765625,435000,2082.21,15.7495
88,1785.85,156.8717,88,-3284.45947265625,440000,2107.55,15.7476
89,1776.88,156.9976,89,-3313.111572265625,445000,2094.87,15.7955
90,1807.32,156.8788,90,-3341.519775390625,450000,2123.87,15.8579
91,1788.48,156.9177,91,-3396.41796875,455000,2096.07,15.7355
92,1802.88,156.9837,92,-3438.552490234375,460000,2097.13,15.997
93,1797.02,156.8393,93,-3461.943115234375,465000,2121.63,15.7746
94,1781.95,156.9264,94,-3530.039306640625,470000,2114.14,15.7119
95,1774.52,156.8631,95,-3571.0458984375,475000,2146.54,15.8352
96,1809.62,156.8918,96,-3606.146240234375,480000,2167.14,15.9506
97,1836.6,156.8352,97,-3658.8740234375,485000,2200.0,16.1435
98,1823.04,156.897,98,-3690.848388671875,490000,2152.04,15.9101
99,1773.26,156.9058,99,-3749.382080078125,495000,2178.34,15.8596
100,1812.0,156.9199,100,-3789.54931640625,500000,2147.2,16.0795
101,1812.51,156.8445,101,-3820.9423828125,505000,2151.71,15.9214
102,1851.2,156.7343,102,-3868.4619140625,510000,2174.42,16.1644
103,1805.85,156.9112,103,-3904.995361328125,515000,2133.46,15.7031
104,1783.11,156.9604,104,-3983.108154296875,520000,2079.32,15.5873
105,1790.35,156.8915,105,-4027.289794921875,525000,2128.83,15.9211
106,1828.83,156.9316,106,-4042.66455078125,530000,2146.0,15.5898
107,1843.13,156.9175,107,-4098.16796875,535000,2177.92,15.881
108,1829.16,156.7399,108,-4132.82421875,540000,2131.92,15.5102
109,1840.19,156.8802,109,-4181.1240234375,545000,2149.28,15.6856
110,1825.3,156.7962,110,-4223.99951171875,550000,2154.22,15.555
111,1847.22,157.088,111,-4303.15771484375,555000,2190.7,15.9755
112,1789.4,156.9556,112,-4344.103515625,560000,2095.25,15.521
113,1791.35,157.041,113,-4408.552734375,565000,2133.45,15.7596
114,1807.75,156.7981,114,-4419.23828125,570000,2156.55,15.5024
115,1821.82,156.9334,115,-4468.4921875,575000,2133.84,15.4913
116,1846.67,156.8315,116,-4557.4609375,580000,2159.12,15.8491
117,1847.29,156.9643,117,-4574.19921875,585000,2165.96,15.8572
118,1830.02,156.9587,118,-4646.83984375,590000,2175.21,15.8163
119,1853.35,156.7914,119,-4653.498046875,595000,2192.77,15.6188
120,1851.74,156.8441,120,-4710.4365234375,600000,2195.35,15.9194
121,1824.43,156.7646,121,-4776.43017578125,605000,2132.33,15.5603
122,1834.3,156.664,122,-4815.7314453125,610000,2206.56,15.6414
123,1877.62,156.8401,123,-4877.0380859375,615000,2175.39,15.8077
124,1853.46,156.7231,124,-4899.36083984375,620000,2207.28,15.5448
125,1827.21,156.9401,125,-4981.74267578125,625000,2163.18,15.5418
126,1860.74,156.671,126,-5022.0126953125,630000,2166.59,15.9748
127,1834.34,156.8776,127,-5103.767578125,635000,2163.82,15.6287
128,1831.97,156.7704,128,-5119.42138671875,640000,2154.59,15.2778
129,1868.22,156.6496,129,-5177.15380859375,645000,2203.47,15.8342
130,1871.9,156.6591,130,-5214.15966796875,650000,2185.97,15.9836
131,1856.6,156.836,131,-5280.8427734375,655000,2182.12,15.6213
132,1842.77,156.7331,132,-5331.25537109375,660000,2152.56,15.6185
133,1857.45,156.7276,133,-5410.32177734375,665000,2188.05,15.6994
134,1843.85,156.6954,134,-5453.77490234375,670000,2150.27,15.5835
135,1886.22,156.6621,135,-5485.3466796875,675000,2231.67,15.6776
136,1872.64,156.8618,136,-5545.25390625,680000,2174.82,15.4991
137,1853.29,156.817,137,-5630.62646484375,685000,2190.51,15.5764
138,1840.96,156.7825,138,-5674.0419921875,690000,2197.66,15.6638
139,1854.07,156.7071,139,-5732.2607421875,695000,2203.06,15.8533
140,1864.55,156.8016,140,-5772.14501953125,700000,2175.79,15.7415
141,1875.13,156.8785,141,-5816.89794921875,705000,2186.75,15.8816
142,1874.75,156.7485,142,-5862.9248046875,710000,2166.2,15.4908
143,1897.42,156.6786,143,-5922.61083984375,715000,2242.78,16.115
144,1849.59,156.7593,144,-6020.77392578125,720000,2200.61,15.8081
145,1880.72,156.7832,145,-6046.3642578125,725000,2203.99,15.6266
146,1871.66,156.7635,146,-6095.86962890625,730000,2220.02,15.6183
147,1867.35,156.7761,147,-6142.8720703125,735000,2214.26,15.7439
148,1869.51,156.7718,148,-6208.9404296875,740000,2161.23,15.5158
149,1849.08,156.8279,149,-6276.6650390625,745000,2193.92,15.4743
150,1867.03,156.9872,150,-6339.09228515625,750000,2207.42,15.8157
151,1866.39,156.6932,151,-6387.3203125,755000,2159.49,15.6081
152,1860.47,156.851,152,-6439.06103515625,760000,2170.85,15.5666
