Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Real Sto Return,Itration,Running Env Steps
0,32.1793,-150.16709899902344,18.0636,252.06,256.43,0,0
1,31.6006,-114.40474700927734,17.9199,231.29,261.32,1,5000
2,32.5043,251.56686401367188,16.1095,307.25,365.2,2,10000
3,30.3354,-107.87071228027344,14.6063,375.02,344.28,3,15000
4,28.804,-151.31475830078125,14.6958,378.87,343.91,4,20000
5,28.0679,-170.1336212158203,13.8913,480.19,443.31,5,25000
6,30.6371,-184.1744842529297,16.2052,303.26,274.34,6,30000
7,28.3056,-126.12272644042969,13.5932,541.8,477.39,7,35000
8,27.9973,-276.00213623046875,15.1288,538.71,356.62,8,40000
9,28.8404,-369.5190734863281,15.0822,377.27,525.22,9,45000
10,29.5238,-298.70904541015625,16.2479,484.81,492.68,10,50000
11,27.2565,-414.6828918457031,21.3019,646.19,681.03,11,55000
12,27.4561,-430.7109680175781,17.2486,736.11,706.79,12,60000
13,26.1859,-393.79693603515625,14.3402,838.23,998.76,13,65000
14,25.9312,-547.0502319335938,16.7976,800.06,725.08,14,70000
15,25.0791,-493.5362854003906,14.6278,910.72,878.84,15,75000
16,25.2278,-298.84332275390625,12.5633,616.9,868.57,16,80000
17,22.9476,-33.126399993896484,14.3856,3027.09,2537.69,17,85000
18,23.1072,-237.06439208984375,13.2402,3004.62,1559.19,18,90000
19,24.7811,-92.17585754394531,13.6696,2969.4,1452.24,19,95000
20,25.6022,-654.692138671875,14.4693,1165.15,1041.27,20,100000
21,23.2637,-314.18487548828125,15.3801,2786.88,2827.53,21,105000
22,22.4407,-190.66778564453125,14.2978,2792.09,2877.18,22,110000
23,22.3306,-207.01954650878906,15.7229,2935.31,2952.49,23,115000
24,23.3088,-264.7073059082031,14.8067,2686.97,2766.46,24,120000
25,22.7789,-485.0324401855469,16.9534,1928.03,1624.1,25,125000
26,21.8543,35.6286735534668,15.9226,293.88,1922.2,26,130000
27,21.9419,-121.39291381835938,17.3222,3194.15,3218.27,27,135000
28,21.8302,-222.719970703125,17.0701,3180.06,3051.22,28,140000
