Running Forward KL,Running Env Steps,Running Update Time,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL,Itration
158.5337,0,0,155.6220245361328,-227.45,-76.32,11.4864,0
158.3999,5000,1,-106.12760925292969,-86.39,2.16,11.5888,1
158.4713,10000,2,-168.04666137695312,14.86,79.1,12.0884,2
158.3514,15000,3,-143.8705291748047,123.81,592.48,12.4171,3
158.1475,20000,4,147.26513671875,374.9,753.34,13.5888,4
158.2095,25000,5,227.0434112548828,575.9,931.13,14.3266,5
158.2995,30000,6,179.95230102539062,696.91,1103.15,15.1916,6
158.1792,35000,7,-220.77000427246094,671.85,923.02,14.8912,7
158.1637,40000,8,-445.6982727050781,743.19,1053.82,14.4189,8
158.0042,45000,9,-507.77740478515625,861.47,1191.41,14.931,9
158.0121,50000,10,-705.864501953125,973.52,1361.56,15.6307,10
158.2053,55000,11,-677.5983276367188,1096.18,1515.77,16.6908,11
157.9454,60000,12,-1010.1563110351562,1115.39,1535.21,16.5488,12
157.9889,65000,13,-1059.1639404296875,1157.2,1594.49,16.7092,13
157.7066,70000,14,-1303.9423828125,1169.29,1613.66,16.0742,14
157.4851,75000,15,-1489.146240234375,1219.46,1572.53,16.0694,15
157.9662,80000,16,-1766.893310546875,1223.91,1617.43,16.2525,16
157.855,85000,17,-1919.1331787109375,1247.71,1684.5,16.1717,17
157.4636,90000,18,-2026.88037109375,1354.7,1776.29,16.3136,18
157.6604,95000,19,-2280.176025390625,1352.63,1752.23,15.9317,19
157.5433,100000,20,-2419.453857421875,1392.55,1784.67,16.1266,20
157.6665,105000,21,-2499.759033203125,1430.05,1879.19,16.6096,21
157.4118,110000,22,-2750.8994140625,1454.82,1875.97,16.0296,22
157.353,115000,23,-3040.299560546875,1491.23,1877.22,15.8888,23
157.7154,120000,24,-3373.2080078125,1519.29,1858.92,16.1787,24
157.4749,125000,25,-3530.17724609375,1532.82,1895.25,16.2114,25
157.3087,130000,26,-3629.50439453125,1567.97,1905.68,16.079,26
157.4278,135000,27,-3870.000244140625,1573.16,1906.6,15.9248,27
157.3215,140000,28,-4069.047119140625,1588.48,1890.05,15.9516,28
157.4775,145000,29,-4343.61181640625,1531.79,1850.05,15.6612,29
157.3458,150000,30,-4488.78271484375,1619.86,1950.47,16.0374,30
157.4584,155000,31,-4687.00732421875,1611.47,1931.15,16.2679,31
157.3561,160000,32,-4789.27783203125,1613.51,1962.79,16.4163,32
157.2136,165000,33,-4933.9619140625,1629.92,1991.78,16.4071,33
157.3657,170000,34,-5114.041015625,1599.27,1972.48,16.244,34
157.2057,175000,35,-5305.400390625,1625.71,2012.42,16.0416,35
157.0845,180000,36,-5526.3251953125,1649.44,1954.86,15.6443,36
157.1342,185000,37,-5741.0859375,1657.86,1988.56,16.2097,37
157.2368,190000,38,-5904.5126953125,1616.35,1968.68,16.069,38
157.2229,195000,39,-6185.1123046875,1654.92,1960.65,15.898,39
157.2405,200000,40,-6375.43505859375,1681.93,1961.64,16.0201,40
157.2825,205000,41,-6627.46044921875,1615.51,1928.12,15.7349,41
157.4713,210000,42,-6721.7353515625,1665.68,1989.29,16.281,42
157.3705,215000,43,-6876.17529296875,1678.36,2049.69,16.2274,43
157.3306,220000,44,-7098.7724609375,1698.47,2034.43,16.2903,44
157.1002,225000,45,-7238.09326171875,1665.38,1980.36,15.8898,45
157.3392,230000,46,-7424.23681640625,1688.5,2053.21,16.1001,46
157.0468,235000,47,-7531.068359375,1722.23,2079.16,15.7313,47
157.1572,240000,48,-7783.16455078125,1677.53,2025.45,16.0689,48
157.0642,245000,49,-8003.0400390625,1636.27,1952.11,15.6395,49
157.167,250000,50,-8206.775390625,1680.37,1941.89,15.6433,50
157.0961,255000,51,-8354.3525390625,1716.1,2014.75,15.8257,51
157.0433,260000,52,-8460.21484375,1734.72,2078.01,16.5401,52
157.3811,265000,53,-8693.5400390625,1707.31,2083.97,16.5677,53
157.0711,270000,54,-8839.7900390625,1705.04,2038.85,15.604,54
157.1815,275000,55,-9075.60546875,1734.72,2055.92,16.4377,55
157.1886,280000,56,-9210.828125,1731.08,2104.18,16.1013,56
157.093,285000,57,-9462.9384765625,1707.84,1988.64,15.4582,57
157.3094,290000,58,-9721.451171875,1703.57,2021.04,15.7417,58
157.1733,295000,59,-9862.8759765625,1749.81,2091.36,16.1466,59
157.0303,300000,60,-10010.322265625,1747.86,2103.16,15.9433,60
