Running Reverse KL,Itration,Real Sto Return,Running Forward KL,Real Det Return
26.4596,0,-51.81,75.1219,526.02
27.7363,1,-38.05,74.0995,610.99
25.399,2,60.32,70.804,726.99
27.1391,3,61.26,70.3809,628.26
26.9455,4,71.5,69.307,628.46
26.2736,5,85.1,65.3636,1047.97
26.123,6,319.42,64.8604,1182.14
25.3127,7,282.09,63.0275,970.4
26.1076,8,231.96,64.4351,551.07
24.0583,9,386.16,58.1436,1343.86
23.6274,10,563.26,56.1595,918.29
23.7415,11,372.29,59.8134,340.79
23.5236,12,585.38,57.4783,1113.02
22.3079,13,704.2,53.9814,1047.42
22.9975,14,758.75,57.7347,1222.1
23.4233,15,607.96,57.8737,1619.24
22.3235,16,626.67,54.2313,1487.26
22.1445,17,715.19,53.6968,1434.83
22.7443,18,869.78,56.3144,1349.93
22.6238,19,1671.36,53.5037,2537.46
21.3643,20,973.91,56.2196,1483.7
25.1365,21,1763.49,52.4124,2883.21
23.8013,22,1613.51,54.4003,2647.11
28.2194,23,2053.21,54.9568,2756.77
24.9719,24,1568.46,55.4777,2298.27
23.1469,25,1263.67,58.137,1823.19
22.6568,26,1469.86,56.92,2416.53
21.7434,27,1004.44,57.18,2169.7
22.3814,28,1238.45,56.0621,1728.59
23.4274,29,2462.43,56.8543,2908.7
28.6963,30,2615.74,56.9458,2953.39
22.2521,31,816.49,58.5027,1094.1
27.7599,32,1185.97,58.168,1584.08
35.5373,33,2697.04,60.1451,2975.04
28.3237,34,1843.28,57.1367,2874.52
23.4986,35,1184.96,59.1769,2245.89
25.8601,36,2090.04,58.571,3209.06
33.7829,37,2589.73,61.8973,3359.03
32.3124,38,2613.47,60.7154,3900.78
29.0626,39,2293.24,58.217,2461.86
34.7887,40,3006.19,60.7608,3477.1
30.321,41,1604.95,60.4876,1756.12
50.5269,42,3073.22,68.1423,3779.76
39.576,43,2649.06,63.3509,2914.31
39.0602,44,2583.65,62.7989,3318.07
41.3424,45,3002.07,65.3119,3598.83
41.9219,46,2561.78,64.1509,3563.52
52.0535,47,3366.85,69.6369,4032.98
43.2204,48,3434.99,64.3046,4320.84
51.1036,49,3537.97,68.4601,4483.61
52.467,50,4065.83,70.3737,4679.57
53.8934,51,3455.02,70.9888,4877.09
43.5555,52,3185.37,63.5454,3791.8
46.4827,53,3089.13,64.2884,3643.54
49.8425,54,2484.37,67.1419,3372.75
51.0734,55,3936.02,67.2396,4215.47
43.5671,56,3022.89,63.8133,3320.32
55.3025,57,2688.3,69.0614,3083.39
63.1872,58,3633.17,72.3998,4621.21
53.6673,59,4582.34,71.7214,4758.04
62.1488,60,4689.61,72.5422,4834.51
45.1204,61,3942.76,63.515,4680.01
53.1708,62,3926.54,65.3798,4616.98
62.4583,63,4546.87,74.2614,4713.65
50.3171,64,3398.67,65.795,4188.77
66.9155,65,3899.16,69.4801,4081.86
63.8564,66,4540.43,75.0586,5087.81
58.8139,67,4104.4,67.2827,4803.15
66.3676,68,3821.1,69.916,4234.99
64.1949,69,3241.63,74.7046,4481.93
66.9333,70,3972.96,74.6193,4832.25
64.9525,71,4458.66,69.8958,4802.25
64.0985,72,4546.58,71.2347,5061.65
64.4436,73,4537.89,71.3743,4982.7
54.9324,74,4423.84,66.461,4636.89
66.0795,75,3772.04,75.0268,4396.87
62.8447,76,4192.48,75.1627,5216.57
69.8081,77,4325.59,72.7021,4302.07
67.1064,78,4422.75,71.8835,4741.74
50.8782,79,4076.0,66.0789,4954.81
70.9505,80,4378.12,76.173,4905.46
65.4,81,4439.2,75.1665,5218.07
59.2255,82,4391.4,68.0729,5241.18
62.0306,83,4897.72,75.5079,4741.72
67.9879,84,4444.8,77.6657,5059.45
70.641,85,4705.22,76.1428,5060.92
70.2784,86,4208.69,74.8554,4662.81
60.1989,87,4154.88,67.3495,4904.7
67.6318,88,4253.62,74.7623,4822.62
62.0018,89,4201.59,71.6664,4943.06
66.7774,90,3475.16,75.666,4512.7
61.589,91,4797.21,73.2177,5342.17
69.254,92,4550.1,75.8969,4630.96
75.5111,93,4499.34,78.1559,4870.61
71.4122,94,3580.12,75.1249,5066.96
64.936,95,4412.7,68.888,5153.32
71.6352,96,4556.06,78.0238,5300.55
68.6395,97,4907.58,74.6985,5406.84
65.6006,98,4779.18,74.3037,5223.39
68.4621,99,4646.47,74.9096,5187.19
56.6486,100,4764.1,66.8144,5153.19
65.0167,101,4716.95,75.6196,4694.66
57.2192,102,4585.37,67.533,4939.46
60.8426,103,5040.62,66.8208,4870.3
68.9054,104,4277.41,74.6398,4779.81
65.3996,105,4583.59,70.6618,5217.38
68.5045,106,4490.07,72.9724,4927.18
64.3942,107,3631.67,69.0875,5185.77
76.9907,108,4306.84,78.2083,5084.29
65.2236,109,4781.42,70.5683,5202.05
63.2917,110,4693.83,70.334,5217.56
67.6402,111,5086.06,74.6336,5406.01
71.4674,112,4883.85,76.2429,4652.3
64.5041,113,4892.87,74.5185,5237.79
70.5025,114,4718.62,77.0312,5317.14
68.5456,115,3593.73,74.415,5109.1
72.7475,116,4613.18,76.2459,4932.63
73.5111,117,4896.16,76.3069,5128.97
67.3421,118,4548.94,74.6857,5263.58
59.5423,119,4261.88,67.8453,4846.57
74.6253,120,4942.05,76.2594,5298.53
64.6386,121,4701.71,70.4138,5341.39
67.8649,122,4683.84,73.7878,5412.95
65.6787,123,4546.64,76.025,5268.7
73.9813,124,5114.45,75.9039,5146.82
73.3675,125,4906.56,77.3316,5372.9
73.4275,126,5122.61,75.5943,5063.36
75.5285,127,4755.15,77.5618,5379.07
73.8797,128,4522.7,74.9558,5303.73
70.6807,129,5173.59,76.332,5130.78
65.787,130,4332.63,73.0255,4688.76
69.1856,131,5255.27,75.3541,5240.2
73.4835,132,4444.04,77.5377,5112.84
