Running Reverse KL,Running Update Time,Running Forward KL,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss,Itration
22.9169,0,31.7438,311.76,0,312.19,234.29864501953125,0
36.8081,1,30.183,417.08,5000,394.43,138.18991088867188,1
36.0633,2,30.563,310.33,10000,326.51,136.26254272460938,2
52.4377,3,30.4821,122.15,15000,130.87,558.935302734375,3
40.7222,4,38.2687,985.22,20000,962.42,140.88861083984375,4
33.8876,5,33.2836,1061.76,25000,1137.1,63.31538772583008,5
25.6887,6,36.909,1030.76,30000,1029.58,241.04396057128906,6
34.2533,7,36.0677,994.46,35000,995.87,-2.687816858291626,7
38.5647,8,37.3205,988.42,40000,988.26,-100.10234832763672,8
38.7998,9,38.5507,989.13,45000,989.15,-139.57135009765625,9
28.6022,10,38.9134,990.48,50000,990.09,-198.10719299316406,10
30.1713,11,38.8353,990.8,55000,990.02,-265.9147644042969,11
19.7785,12,34.2609,1018.48,60000,1019.27,-278.62017822265625,12
40.1014,13,28.8209,358.19,65000,362.9,-87.30573272705078,13
77.1967,14,27.8379,436.31,70000,433.37,-457.1524353027344,14
23.9809,15,32.6467,193.18,75000,195.99,-517.6589965820312,15
26.3386,16,36.3222,936.85,80000,1004.21,-529.7864379882812,16
69.0913,17,26.4415,306.24,85000,400.59,-62.35970687866211,17
28.0078,18,38.2801,994.82,90000,991.84,-643.3612060546875,18
26.0276,19,36.14,999.13,95000,1009.77,-659.0045166015625,19
42.6627,20,32.9866,563.82,100000,665.53,-803.3477172851562,20
39.8083,21,30.0387,401.46,105000,273.06,-552.7205200195312,21
19.476,22,29.6692,496.57,110000,444.54,66.75585174560547,22
44.9409,23,27.8148,761.47,115000,739.88,-331.468994140625,23
32.2691,24,27.1832,627.78,120000,712.37,-424.066650390625,24
44.2519,25,31.8378,635.71,125000,709.37,-718.1388549804688,25
28.3909,26,36.778,196.63,130000,208.63,-988.34326171875,26
19.6442,27,33.492,1031.9,135000,970.63,-793.6035766601562,27
28.6152,28,35.3051,984.32,140000,985.35,-1103.9951171875,28
23.1629,29,35.7477,1029.67,145000,1032.23,-1143.8035888671875,29
24.1582,30,30.7743,977.13,150000,700.35,-1041.174072265625,30
25.8697,31,36.5729,1054.35,155000,1055.67,-1262.1771240234375,31
16.1015,32,30.3332,342.58,160000,340.17,-445.9713439941406,32
39.3021,33,31.6831,311.12,165000,305.8,-660.1260986328125,33
23.3868,34,32.6362,55.5,170000,56.46,-1326.026611328125,34
36.0785,35,38.8123,1004.99,175000,1004.6,-1463.651611328125,35
196.9886,36,37.862,138.34,180000,134.35,-1586.86669921875,36
34.4824,37,28.5752,1017.05,185000,749.37,-1413.0751953125,37
20.152,38,30.1134,289.05,190000,296.56,-1082.6009521484375,38
16.5741,39,27.9823,423.78,195000,487.68,-1164.932861328125,39
37.9927,40,38.0745,982.27,200000,981.87,-1729.3277587890625,40
46.0983,41,40.2436,979.85,205000,979.84,-1767.772216796875,41
27.4072,42,38.9893,986.92,210000,989.88,-1728.6192626953125,42
28.2564,43,35.4445,1032.21,215000,1033.7,-1848.69482421875,43
33.9069,44,36.5299,1046.8,220000,1045.39,-1898.5643310546875,44
31.916,45,37.2911,1028.75,225000,1029.93,-1952.39794921875,45
22.3663,46,34.2231,1028.31,230000,1028.45,-1954.552978515625,46
20.2393,47,34.3581,1039.3,235000,1041.1,-1993.506591796875,47
23.5208,48,33.8389,1036.46,240000,1025.04,-2024.193115234375,48
22.5852,49,35.8632,1031.21,245000,1026.77,-2153.800048828125,49
36.793,50,36.7919,986.45,250000,986.89,-2218.7373046875,50
31.8536,51,38.3223,1003.72,255000,1003.32,-2257.19580078125,51
48.4503,52,38.5046,976.78,260000,975.94,-2334.91845703125,52
39.8193,53,37.922,1001.77,265000,1001.26,-2352.73095703125,53
18.4926,54,28.3513,949.71,270000,746.36,-1543.6016845703125,54
25.9416,55,33.4524,1019.71,275000,1021.88,-2442.661865234375,55
20.8814,56,34.1917,1047.87,280000,1048.35,-2488.9150390625,56
32.9714,57,36.9456,1026.47,285000,1025.94,-2625.916015625,57
39.0737,58,25.9637,471.51,290000,478.36,-1131.724853515625,58
52.6048,59,24.7949,232.34,295000,349.14,-1478.2855224609375,59
19.796,60,26.7176,449.02,300000,466.2,-974.7537841796875,60
13.8583,61,27.135,286.59,305000,343.9,-321.28375244140625,61
49.5097,62,28.4114,427.98,310000,520.97,-2060.25537109375,62
43.6863,63,29.4925,245.37,315000,316.98,-1964.5675048828125,63
17.0434,64,27.1463,533.98,320000,558.68,-1270.3026123046875,64
32.1261,65,28.9071,498.81,325000,608.9,-1863.8480224609375,65
