Running Update Time,Itration,Reward Loss,Running Env Steps,Running Forward KL,Running Reverse KL,Real Det Return,Real Sto Return
0,0,572.5743408203125,0,49.4172,12.9499,239.81,316.81
1,1,406.44964599609375,5000,49.5166,12.4436,329.37,350.12
2,2,286.4996643066406,10000,49.9179,13.9098,343.04,344.23
3,3,349.34173583984375,15000,49.1237,13.0307,315.24,316.84
4,4,394.2037353515625,20000,49.4332,14.0937,424.96,412.16
5,5,166.67669677734375,25000,49.4871,13.874,432.02,352.44
6,6,72.88475799560547,30000,49.0639,12.6501,415.79,423.22
7,7,151.07351684570312,35000,48.8826,12.543,461.95,396.94
8,8,-162.71791076660156,40000,49.5846,15.3582,475.9,410.58
9,9,-98.06326293945312,45000,49.8926,14.5735,548.57,490.38
10,10,-129.38096618652344,50000,49.4694,14.7721,506.28,482.97
11,11,-357.3559265136719,55000,49.4079,21.961,392.33,429.67
12,12,-182.30783081054688,60000,49.5783,15.5877,432.46,426.56
13,13,-254.69613647460938,65000,49.5253,15.6599,406.01,409.48
14,14,-111.95561981201172,70000,49.3573,14.4775,408.32,400.8
15,15,-245.3905792236328,75000,49.0879,13.2114,413.72,449.23
16,16,-453.93707275390625,80000,49.1295,15.0597,535.0,489.54
17,17,-362.2248229980469,85000,49.3789,14.9074,595.58,389.25
18,18,-499.47344970703125,90000,49.0925,15.7666,563.11,520.48
19,19,-532.4512939453125,95000,48.4199,15.7056,593.61,579.72
20,20,-553.2493896484375,100000,48.3504,14.5928,652.23,581.5
21,21,-709.1997680664062,105000,48.3251,15.1387,601.37,577.95
22,22,-643.2240600585938,110000,48.9473,15.9324,577.08,565.79
23,23,-671.0158081054688,115000,48.4348,14.7639,582.43,574.57
24,24,-671.5135498046875,120000,47.7558,14.6639,620.1,581.04
25,25,-748.1424560546875,125000,47.9186,14.6348,599.8,561.56
26,26,-795.1452026367188,130000,47.5409,15.2234,807.58,660.72
27,27,-655.3733520507812,135000,47.1428,13.7252,711.08,658.05
28,28,-1061.7158203125,140000,46.9409,20.4305,1053.85,837.16
29,29,-833.7958984375,145000,46.7197,14.3829,892.58,667.61
30,30,-1303.5889892578125,150000,46.468,23.1231,801.73,679.09
31,31,-708.7675170898438,155000,47.142,13.1059,824.39,759.87
32,32,-826.1220703125,160000,45.9317,13.5222,675.71,697.03
33,33,-888.0112915039062,165000,44.7559,13.1107,932.23,1141.19
34,34,-978.62158203125,170000,46.3172,13.8274,835.07,951.47
35,35,-1000.5042724609375,175000,45.2085,12.7443,1185.08,886.47
36,36,-1061.7587890625,180000,43.6124,11.896,2683.73,2156.37
37,37,-1062.8375244140625,185000,44.3054,13.0058,2215.94,1999.27
38,38,-1026.6837158203125,190000,43.633,12.6006,2952.74,2545.52
39,39,-972.7872924804688,195000,43.3502,14.3532,2938.0,2725.13
40,40,-1273.3885498046875,200000,44.0132,12.9398,1752.57,1762.82
41,41,-1269.9404296875,205000,44.0335,12.3478,2380.85,1640.45
42,42,-1181.5999755859375,210000,43.6439,12.0976,2468.99,1670.49
43,43,-1098.966796875,215000,42.8096,14.5796,3481.42,3182.45
44,44,-1139.3846435546875,220000,42.92,14.3089,3559.98,3482.19
45,45,-1118.4095458984375,225000,43.0415,16.2372,3512.05,3235.19
46,46,-1074.466796875,230000,43.4985,17.0247,3517.53,3483.05
47,47,-1002.3275146484375,235000,42.1768,15.6039,3495.02,3644.21
48,48,-1054.0185546875,240000,43.2313,15.0289,3480.75,3335.27
49,49,-1024.0460205078125,245000,42.5379,14.7997,3701.09,3642.25
50,50,-1047.3114013671875,250000,42.8133,16.4562,3607.63,3648.46
51,51,-1043.29345703125,255000,42.4085,15.2541,3890.99,3777.29
52,52,-1185.164794921875,260000,42.1769,16.7542,3702.93,3659.55
53,53,-1065.392822265625,265000,41.1175,14.6219,3507.24,3726.61
54,54,-1065.9677734375,270000,41.742,15.0622,399.98,2632.89
55,55,-1110.48876953125,275000,42.0638,15.2524,3736.27,3749.87
56,56,-1160.873046875,280000,41.2368,17.0428,4163.04,3888.21
57,57,-1077.0711669921875,285000,41.0869,16.426,4040.83,3957.73
58,58,-1148.779052734375,290000,41.6153,15.7152,4083.01,3857.81
59,59,-1112.031494140625,295000,39.9095,16.0565,4234.89,3863.35
60,60,-1294.697509765625,300000,40.5815,18.5731,4067.51,3811.29
61,61,-1181.524169921875,305000,40.8974,15.8371,4189.76,4039.89
62,62,-1212.392578125,310000,40.7638,16.6389,4301.24,4081.83
63,63,-1296.8148193359375,315000,41.8501,18.1674,4082.56,3977.3
64,64,-1186.3812255859375,320000,39.9194,13.9543,4228.47,4011.21
65,65,-1138.9854736328125,325000,38.5479,14.5019,4383.43,4140.05
66,66,-1168.4127197265625,330000,41.1478,17.072,3880.85,4143.01
67,67,-1191.7286376953125,335000,39.3873,15.5764,4192.75,4182.49
68,68,-1165.7999267578125,340000,38.4387,14.606,4270.77,4169.63
69,69,-1204.0506591796875,345000,38.6353,15.472,4394.96,4231.77
