Running Reverse KL,Itration,Real Det Return,Running Forward KL,Real Sto Return
11.4383,0,15.6,158.4866,-183.18
11.5955,1,16.65,158.405,-138.16
11.9541,2,554.21,158.1223,63.45
13.0255,3,636.48,158.1382,249.53
13.6715,4,726.03,158.3248,389.26
13.8358,5,1008.89,158.1831,539.09
13.9888,6,1016.58,157.8942,609.64
13.7163,7,1071.14,158.0459,627.1
14.4706,8,1064.38,158.3241,746.41
15.1068,9,1279.37,157.8914,887.23
15.9256,10,1384.53,157.782,1021.29
16.4571,11,1588.82,157.7692,1171.56
16.3542,12,1545.51,157.8131,1148.99
16.4373,13,1668.01,157.843,1228.0
16.3842,14,1693.65,157.7726,1248.66
16.1378,15,1645.59,157.7811,1272.01
16.1472,16,1703.24,157.6209,1313.3
16.2418,17,1677.02,157.7056,1351.07
16.5494,18,1802.92,157.5901,1422.92
16.4689,19,1857.82,157.6923,1416.81
16.1858,20,1821.4,157.6627,1445.61
16.3546,21,1848.11,157.6108,1511.71
16.4122,22,1892.44,157.7618,1516.56
16.5155,23,1923.78,157.4667,1580.84
16.2782,24,1840.04,157.804,1507.68
16.3456,25,1811.38,157.6771,1554.5
16.4685,26,1925.12,157.6364,1609.23
16.3425,27,1881.07,157.734,1584.54
16.0314,28,1931.03,157.5004,1608.3
16.382,29,1886.59,157.4814,1530.48
16.2556,30,1890.25,157.5198,1601.9
16.1837,31,1979.03,157.2598,1610.16
16.172,32,1928.87,157.3999,1627.52
16.6953,33,1993.13,157.2585,1668.98
16.2433,34,2029.12,157.371,1668.52
16.3701,35,2050.78,157.2441,1684.4
16.6208,36,2071.15,157.2441,1682.83
16.2809,37,2041.89,157.3077,1687.47
16.4023,38,1975.22,157.4516,1645.7
16.643,39,2041.25,157.3411,1680.71
16.7869,40,2057.38,157.4905,1712.33
16.216,41,1995.09,157.3272,1704.17
15.8776,42,2032.74,156.9966,1697.24
16.042,43,2108.77,157.098,1712.74
16.8775,44,2127.95,157.322,1770.29
16.3293,45,2040.64,157.3557,1678.46
16.0886,46,2024.59,156.9809,1714.39
15.9978,47,2082.82,157.2607,1717.7
16.14,48,2078.1,156.9462,1738.74
16.3539,49,2078.75,157.2349,1757.0
15.6689,50,1976.27,156.9922,1692.62
16.1702,51,2120.82,157.1204,1778.01
16.3092,52,2089.15,157.0535,1744.21
16.1168,53,2125.33,156.9821,1763.6
15.9527,54,2101.16,157.0771,1729.44
16.1,55,2120.62,157.0364,1739.65
15.7918,56,2069.99,157.0131,1731.99
16.0238,57,2109.4,157.0462,1764.0
15.9846,58,2113.49,156.9872,1762.31
15.8616,59,2089.96,156.9299,1755.19
15.636,60,2060.56,156.9715,1729.26
15.7982,61,2087.54,157.0122,1740.73
15.5705,62,2047.6,156.9209,1735.71
15.9969,63,2162.46,156.8852,1781.88
16.063,64,2029.28,156.9791,1684.41
