Running Update Time,Running Reverse KL,Real Sto Return,Real Det Return,Itration,Reward Loss,Running Env Steps,Running Forward KL
0,12.828,333.05,319.15,0,780.230712890625,0,48.9816
1,14.2029,333.93,400.36,1,186.1587371826172,5000,49.0907
2,16.1185,314.93,349.13,2,96.71198272705078,10000,49.5134
3,13.7063,355.44,337.0,3,531.738525390625,15000,50.0431
4,13.6429,408.97,447.69,4,932.1216430664062,20000,50.052
5,14.6227,427.76,351.75,5,899.909912109375,25000,49.7835
6,15.5108,451.87,411.16,6,796.1256713867188,30000,48.9403
7,13.6344,497.4,487.83,7,854.0969848632812,35000,48.7176
8,13.7077,526.33,434.37,8,1008.2114868164062,40000,48.7361
9,14.3938,427.75,475.54,9,1188.43115234375,45000,48.8953
10,12.5081,503.15,650.0,10,459.5990905761719,50000,48.3808
11,12.5562,576.49,626.12,11,88.65646362304688,55000,47.7055
12,27.8727,588.03,695.04,12,-855.8026123046875,60000,47.8031
13,14.7708,569.37,676.88,13,246.10128784179688,65000,48.5306
14,16.2514,529.9,465.44,14,99.44467163085938,70000,48.2659
15,14.9448,596.08,692.44,15,-195.98338317871094,75000,47.4342
16,16.9071,542.48,570.21,16,266.3628234863281,80000,47.7631
17,21.7694,587.93,625.76,17,-35.58991622924805,85000,48.7699
18,37.9523,611.75,640.27,18,-276.94366455078125,90000,47.5745
19,12.2146,670.91,671.59,19,-121.21382141113281,95000,47.3231
20,12.096,620.37,661.15,20,19.34879493713379,100000,47.2431
21,12.2458,648.28,664.56,21,-405.49371337890625,105000,47.2717
22,12.3828,619.59,680.84,22,-212.63392639160156,110000,47.3016
23,17.6512,641.76,653.69,23,-543.5770874023438,115000,47.1063
24,13.82,633.76,653.48,24,-669.8173217773438,120000,47.7902
25,17.6473,622.2,612.82,25,-389.1200866699219,125000,48.0492
26,16.5669,648.5,664.97,26,-1000.2450561523438,130000,47.5412
27,13.9122,715.23,812.34,27,-947.79931640625,135000,47.3966
28,21.8182,708.17,713.67,28,-1370.1790771484375,140000,47.9531
29,18.4712,746.04,703.04,29,-1249.9105224609375,145000,47.8461
30,37.0105,738.8,734.14,30,-1440.185302734375,150000,47.9705
31,14.3809,719.46,718.91,31,-1136.4736328125,155000,47.5556
32,17.4747,695.06,695.57,32,-1279.1182861328125,160000,47.2948
33,35.4955,673.67,672.65,33,-1742.3707275390625,165000,47.7118
34,23.0381,769.85,767.39,34,-1740.573974609375,170000,47.4512
35,14.2475,826.0,857.0,35,-1361.478759765625,175000,47.3552
36,15.0656,793.43,759.27,36,-1561.9619140625,180000,47.7895
37,15.5922,895.55,1069.3,37,-1591.618408203125,185000,47.2481
38,13.9682,856.56,860.67,38,-1576.4197998046875,190000,47.2754
39,18.9506,911.97,1009.1,39,-1931.2802734375,195000,46.7768
40,13.7545,824.73,942.28,40,-1672.931640625,200000,47.4404
41,13.0736,837.58,801.3,41,-1598.5350341796875,205000,47.4324
42,13.7153,810.23,846.71,42,-1506.9517822265625,210000,47.0331
43,15.4387,868.36,1009.54,43,-2024.9326171875,215000,47.7062
