Real Sto Return,Running Env Steps,Running Forward KL,Itration,Running Update Time,Running Reverse KL,Reward Loss,Real Det Return
-107.36,0,75.4752,0,0,27.0204,20.179279327392578,305.28
-106.06,5000,75.4105,1,1,28.0619,-1.5179290771484375,337.17
-65.43,10000,75.207,2,2,26.154,-12.996904373168945,242.18
-58.99,15000,73.9524,3,3,26.5945,-26.9331111907959,424.51
5.82,20000,72.317,4,4,27.5608,-34.130550384521484,458.64
9.07,25000,72.8872,5,5,28.9658,-57.01816177368164,442.17
9.29,30000,72.0266,6,6,28.2346,-62.37836837768555,645.66
91.95,35000,69.0826,7,7,28.3245,-78.11215209960938,615.23
101.84,40000,69.7657,8,8,29.9806,-89.98101806640625,605.87
94.52,45000,68.0976,9,9,28.7904,-102.56594848632812,688.63
111.47,50000,71.276,10,10,30.4755,-114.66738891601562,655.27
95.55,55000,69.5621,11,11,29.3842,-125.11692810058594,585.5
140.51,60000,66.7766,12,12,29.0145,-135.80801391601562,622.78
160.23,65000,70.5729,13,13,30.6516,-150.5248565673828,715.74
149.27,70000,70.0497,14,14,29.66,-160.61485290527344,901.77
177.26,75000,67.4299,15,15,28.9952,-171.84007263183594,817.46
165.74,80000,69.7476,16,16,31.2859,-191.38070678710938,716.75
156.96,85000,66.6697,17,17,27.931,-195.4625244140625,869.32
179.69,90000,65.1394,18,18,28.6747,-208.2604217529297,873.79
288.47,95000,67.2886,19,19,30.0244,-222.34619140625,1007.32
264.62,100000,65.2355,20,20,28.8658,-234.13677978515625,885.35
156.24,105000,65.9557,21,21,29.2813,-241.4498291015625,887.07
192.72,110000,68.4894,22,22,29.4432,-265.5455017089844,679.86
315.41,115000,63.3288,23,23,27.6716,-265.38275146484375,688.43
339.23,120000,65.7783,24,24,28.5584,-282.48089599609375,659.55
352.86,125000,62.3121,25,25,26.7829,-283.098876953125,1014.47
215.41,130000,65.921,26,26,28.6434,-310.4999694824219,704.82
386.7,135000,60.1477,27,27,26.4379,-304.6805114746094,960.06
339.32,140000,62.3121,28,28,26.9752,-323.14849853515625,856.41
391.29,145000,63.6037,29,29,27.3293,-341.65728759765625,1049.62
259.64,150000,61.4302,30,30,26.2846,-337.0731201171875,992.8
233.09,155000,62.5216,31,31,27.373,-360.4627380371094,971.87
589.56,160000,62.1883,32,32,27.4897,-366.3867492675781,1357.49
458.85,165000,59.9985,33,33,26.1231,-369.5830383300781,1076.0
354.11,170000,60.7508,34,34,26.9792,-391.8463134765625,941.89
261.33,175000,58.2615,35,35,25.1308,-384.4262390136719,894.52
466.43,180000,61.8854,36,36,27.7808,-422.3973083496094,1206.5
488.7,185000,56.7621,37,37,24.2548,-392.7480773925781,1192.8
409.91,190000,60.4363,38,38,26.5212,-442.79443359375,1044.07
621.7,195000,56.1806,39,39,24.386,-425.3861083984375,1556.75
335.61,200000,62.0217,40,40,28.2356,-479.44281005859375,1161.63
466.42,205000,57.5536,41,41,25.1477,-450.355224609375,965.79
479.77,210000,54.7104,42,42,23.806,-433.18804931640625,1475.17
625.22,215000,60.648,43,43,27.0711,-509.1036682128906,1104.92
429.59,220000,60.4026,44,44,26.31,-518.588623046875,628.27
350.16,225000,61.7731,45,45,27.012,-544.6473999023438,1015.37
922.88,230000,52.5919,46,46,23.7075,-455.3531494140625,1526.88
680.68,235000,58.836,47,47,25.9917,-535.8336181640625,1262.67
550.93,240000,58.7367,48,48,25.8074,-553.6781616210938,1111.3
792.54,245000,54.2453,49,49,23.4441,-517.3314819335938,1808.33
349.01,250000,58.7282,50,50,25.7142,-583.859130859375,1297.29
720.93,255000,55.1046,51,51,24.6519,-567.0303344726562,1414.41
863.67,260000,55.4644,52,52,23.9466,-561.1444091796875,1582.88
885.25,265000,52.2023,53,53,24.285,-485.58929443359375,1786.8
679.67,270000,56.1972,54,54,24.5502,-593.5988159179688,1271.5
1039.3,275000,53.077,55,55,24.1556,-576.883544921875,1438.43
643.41,280000,57.5258,56,56,26.4116,-616.465087890625,1475.69
1040.85,285000,53.8052,57,57,24.1145,-549.48876953125,1992.76
1180.31,290000,54.9741,58,58,24.9652,-598.9632568359375,2125.47
1158.41,295000,54.4781,59,59,26.3106,-574.0382080078125,2008.36
1532.42,300000,53.6019,60,60,25.3049,-584.2142944335938,2388.86
1015.78,305000,53.2879,61,61,23.8027,-542.5458984375,1804.5
1659.78,310000,54.8482,62,62,27.3173,-560.3339233398438,2212.59
1625.84,315000,54.1229,63,63,28.8648,-584.5975952148438,2279.88
841.51,320000,56.3238,64,64,25.0593,-710.4744873046875,975.25
1033.91,325000,54.6424,65,65,24.5024,-688.114501953125,1418.44
1463.01,330000,50.4264,66,66,27.8966,-527.4625854492188,2057.26
1185.48,335000,54.2465,67,67,25.3033,-619.33447265625,2055.09
1607.42,340000,53.416,68,68,25.3464,-650.5822143554688,2176.17
1296.66,345000,52.7701,69,69,26.9924,-523.2161254882812,2508.67
1802.52,350000,51.3386,70,70,26.0984,-573.3494873046875,2554.52
2136.64,355000,53.5933,71,71,33.9298,-496.4718933105469,2934.83
1458.67,360000,54.6984,72,72,24.2906,-746.696044921875,1453.02
1812.13,365000,55.1236,73,73,27.4824,-640.3977661132812,2606.8
1182.58,370000,54.0808,74,74,24.9516,-699.44384765625,1734.91
2019.05,375000,50.9697,75,75,29.7319,-563.3702392578125,3060.84
1695.69,380000,53.1418,76,76,25.6168,-668.501953125,2027.47
1973.86,385000,52.2662,77,77,31.4989,-524.8843994140625,2347.41
1962.71,390000,52.8452,78,78,26.0038,-664.6934204101562,1843.0
2153.79,395000,53.682,79,79,24.9491,-697.616455078125,2785.73
2151.28,400000,53.9304,80,80,31.1838,-552.0426025390625,2788.78
2426.22,405000,52.717,81,81,27.4691,-683.202392578125,3302.96
2222.73,410000,52.5541,82,82,25.3629,-677.7734985351562,2555.91
2239.06,415000,51.4273,83,83,25.1772,-690.0932006835938,3149.15
2165.09,420000,52.8808,84,84,27.4917,-684.6890869140625,2321.05
2289.01,425000,51.4797,85,85,27.2103,-643.7627563476562,3007.28
1975.03,430000,53.794,86,86,27.2669,-738.2122802734375,3319.4
1380.29,435000,54.2843,87,87,23.9799,-808.9493408203125,1752.41
1784.02,440000,55.7637,88,88,24.2684,-906.5609130859375,1786.15
2859.69,445000,55.0118,89,89,35.245,-575.006103515625,3473.88
2936.03,450000,52.2939,90,90,31.3719,-646.105224609375,3447.49
2614.68,455000,53.1378,91,91,29.8442,-601.8109130859375,2428.19
2235.39,460000,56.5045,92,92,31.7447,-702.0216674804688,2800.65
2739.66,465000,56.8318,93,93,35.7086,-662.6658325195312,3852.22
1021.2,470000,57.0328,94,94,24.1189,-964.099853515625,1147.31
3308.37,475000,56.1991,95,95,34.4551,-667.8321533203125,3878.41
1877.85,480000,58.6846,96,96,28.4415,-835.7760009765625,3076.27
2714.08,485000,57.8978,97,97,29.0022,-796.5953979492188,2888.69
1960.55,490000,54.4203,98,98,25.1423,-847.6500854492188,2077.19
2007.51,495000,55.0593,99,99,26.8836,-874.9462890625,2062.79
3035.85,500000,57.1337,100,100,39.9697,-649.582275390625,3502.38
3314.77,505000,56.7065,101,101,37.3363,-625.17578125,4100.31
3316.95,510000,57.5071,102,102,38.4844,-624.8341674804688,4187.53
2662.82,515000,57.0892,103,103,32.699,-706.3515014648438,3563.21
987.67,520000,57.8927,104,104,25.7544,-1096.8280029296875,1363.01
1424.65,525000,56.9251,105,105,25.1899,-972.0498657226562,2791.65
1806.84,530000,55.4247,106,106,25.1299,-954.3865356445312,3301.05
2453.38,535000,58.6496,107,107,33.1509,-904.603515625,3450.59
3309.08,540000,58.1699,108,108,33.0263,-851.3932495117188,3869.1
1534.13,545000,56.7806,109,109,26.646,-993.1118774414062,2587.79
1658.42,550000,58.3744,110,110,25.2375,-1146.23876953125,1993.52
2651.51,555000,57.8788,111,111,35.9206,-763.8114013671875,3824.63
2859.76,560000,57.9448,112,112,32.4631,-886.6652221679688,3604.35
2429.2,565000,56.4717,113,113,24.2586,-1086.9791259765625,1934.96
2119.04,570000,57.3706,114,114,28.7306,-974.0133666992188,2372.07
3847.9,575000,61.0844,115,115,41.8125,-825.7582397460938,4035.34
2160.96,580000,57.6548,116,116,29.1973,-934.7978515625,2524.99
3303.54,585000,58.0878,117,117,35.8153,-930.3193359375,4316.73
2962.16,590000,57.9223,118,118,35.6693,-855.6647338867188,4113.75
2445.82,595000,56.7667,119,119,30.1169,-1005.4990234375,2653.84
1649.24,600000,55.7277,120,120,27.8767,-1027.23291015625,2209.74
2555.69,605000,55.4884,121,121,29.1347,-897.6160278320312,3194.27
3696.74,610000,57.3914,122,122,34.03,-919.3826293945312,4450.09
