Running Env Steps,Real Sto Return,Reward Loss,Running Update Time,Running Forward KL,Itration,Running Reverse KL,Real Det Return
0,-214.1,68.69000244140625,0,158.1731,0,10.8095,-137.96
5000,-57.84,15.777767181396484,1,158.3711,1,11.6739,-17.65
10000,85.55,-32.20218276977539,2,158.3005,2,12.0233,72.72
15000,284.6,26.959001541137695,3,158.2172,3,12.7198,668.69
20000,364.31,1.4657974243164062,4,158.212,4,13.1427,809.02
25000,515.1,9.630023956298828,5,158.2235,5,13.7818,881.13
30000,697.28,-14.904319763183594,6,158.0074,6,14.0369,1129.04
35000,841.31,-14.460861206054688,7,158.0992,7,15.2602,1146.12
40000,896.12,-21.494091033935547,8,158.0766,8,15.2971,1253.32
45000,959.79,-88.90480041503906,9,157.8629,9,15.3229,1246.69
50000,1036.85,-122.1796875,10,157.6653,10,15.751,1381.27
55000,1053.19,-161.03350830078125,11,157.9704,11,15.9353,1494.16
60000,1093.46,-212.0583038330078,12,157.943,12,16.1402,1407.21
65000,1177.88,-209.52963256835938,13,157.6106,13,16.3665,1582.88
70000,1206.72,-247.31654357910156,14,157.912,14,16.1644,1632.47
75000,1232.85,-322.68292236328125,15,157.9145,15,16.522,1686.1
80000,1248.69,-342.2759704589844,16,157.8558,16,16.3125,1698.79
85000,1260.32,-411.96142578125,17,157.8105,17,16.3116,1701.5
90000,1263.38,-443.7467346191406,18,157.9389,18,15.9849,1732.99
95000,1351.02,-480.7503356933594,19,157.6672,19,16.1891,1780.49
100000,1331.06,-524.7908325195312,20,157.8274,20,16.0961,1724.29
105000,1409.57,-558.1922607421875,21,157.827,21,16.3518,1845.92
110000,1431.01,-585.8204956054688,22,157.7972,22,16.2006,1880.24
115000,1435.91,-666.6923217773438,23,157.6371,23,16.4017,1826.83
120000,1466.73,-682.9157104492188,24,157.7629,24,16.4032,1851.83
125000,1528.93,-712.8413696289062,25,157.5496,25,15.9325,1859.93
130000,1502.39,-778.6171875,26,157.9249,26,16.5054,1829.56
135000,1544.82,-789.5167846679688,27,157.4385,27,16.1424,1918.68
140000,1513.15,-834.193603515625,28,157.3433,28,15.9934,1866.18
145000,1509.18,-903.816650390625,29,157.6934,29,16.0588,1823.74
150000,1579.87,-909.4974365234375,30,157.6841,30,16.6194,1962.27
155000,1604.13,-953.6407470703125,31,157.4441,31,16.2819,1974.95
160000,1647.56,-994.865966796875,32,157.4533,32,16.6031,1985.04
165000,1571.05,-1042.7386474609375,33,157.4723,33,16.1555,1897.23
170000,1619.4,-1058.4705810546875,34,157.5579,34,16.3451,2015.31
175000,1641.53,-1090.4810791015625,35,157.4245,35,16.8616,1990.31
180000,1653.36,-1120.725830078125,36,157.3483,36,16.5191,2017.66
185000,1649.52,-1189.34912109375,37,157.4397,37,16.3668,1970.01
190000,1653.45,-1216.572509765625,38,157.2483,38,15.9439,1965.17
195000,1672.65,-1230.400390625,39,157.542,39,16.4808,2028.95
200000,1618.63,-1290.69873046875,40,157.2647,40,15.936,2002.04
205000,1610.3,-1315.8602294921875,41,157.3515,41,15.9524,2022.59
210000,1637.23,-1366.077392578125,42,157.3636,42,15.885,1976.73
215000,1643.29,-1373.106201171875,43,157.2195,43,15.9653,1986.19
220000,1669.99,-1417.326171875,44,157.2421,44,16.2899,2027.85
225000,1655.68,-1451.139404296875,45,157.2436,45,15.8865,2036.76
