Real Sto Return,Running Reverse KL,Running Update Time,Reward Loss,Real Det Return,Running Forward KL,Itration,Running Env Steps
348.82,271.9722,0,-822.397705078125,336.85,437.9347,0,0
292.33,304.5927,1,-1802.5595703125,273.74,452.4936,1,5000
307.48,272.6107,2,-2797.293701171875,308.63,434.4425,2,10000
423.4,277.0185,3,-1646.9111328125,489.43,411.1222,3,15000
452.32,268.4709,4,-2584.853759765625,572.12,400.165,4,20000
466.97,284.7993,5,-3142.868408203125,495.46,391.9186,5,25000
475.77,243.4559,6,-2698.81689453125,566.23,386.0635,6,30000
479.91,264.647,7,-3198.198486328125,509.35,396.8828,7,35000
552.68,265.9035,8,-4341.087890625,585.31,396.0772,8,40000
500.52,288.2493,9,-5477.70947265625,563.06,392.5598,9,45000
485.81,257.266,10,-3475.20947265625,551.27,378.9873,10,50000
513.85,275.4634,11,-5835.42919921875,533.93,386.4164,11,55000
484.06,272.5764,12,-5580.90478515625,510.05,399.2205,12,60000
