Real Det Return,Running Forward KL,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Itration
178.28,33.745,19.966,0,0,181.15,-1473.6436767578125,0
204.89,31.5183,18.9637,5000,1,216.38,-1393.9100341796875,1
222.13,29.7608,18.8397,10000,2,257.18,-1485.82861328125,2
328.87,29.5199,14.8644,15000,3,326.5,-1246.5218505859375,3
356.86,29.8329,15.7811,20000,4,344.1,-1240.8397216796875,4
353.38,29.1319,16.5632,25000,5,334.66,-1232.0103759765625,5
347.82,29.6535,17.0178,30000,6,342.6,-1225.147705078125,6
349.91,30.2543,28.3622,35000,7,347.75,-1744.2257080078125,7
358.06,29.3361,39.9104,40000,8,349.36,-1928.2635498046875,8
357.06,31.0118,37.5085,45000,9,300.7,-2021.9759521484375,9
408.14,28.4321,40.9538,50000,10,356.13,-2036.1048583984375,10
412.56,29.6137,40.2182,55000,11,381.83,-2035.19970703125,11
416.67,27.094,40.9545,60000,12,427.19,-2053.796142578125,12
751.97,27.6154,37.4666,65000,13,696.12,-1836.5062255859375,13
560.36,28.9121,35.0698,70000,14,546.96,-2056.06494140625,14
1890.38,26.9893,22.3526,75000,15,1487.51,-1486.3773193359375,15
2147.23,27.1295,34.9638,80000,16,864.59,-1832.6180419921875,16
2461.94,26.2241,23.1302,85000,17,1784.83,-1317.4697265625,17
2040.69,27.3493,19.6963,90000,18,1590.6,-999.5789794921875,18
1654.04,25.8914,30.3207,95000,19,1291.02,-1734.8878173828125,19
2939.02,26.0364,29.4372,100000,20,1334.05,-1662.1182861328125,20
2310.25,25.2583,22.0943,105000,21,1791.71,-1190.7718505859375,21
1879.84,25.5248,16.4026,110000,22,2170.17,-901.4313354492188,22
1939.42,25.0897,24.0443,115000,23,1827.68,-1571.6529541015625,23
1609.12,25.5455,28.1637,120000,24,1398.37,-1465.046630859375,24
2826.53,25.4634,24.1887,125000,25,1888.61,-1244.626220703125,25
1523.78,24.7455,26.7183,130000,26,1523.26,-1436.4794921875,26
898.76,24.7627,30.5968,135000,27,1515.03,-1796.6629638671875,27
1001.62,26.0468,28.7827,140000,28,1546.2,-1989.19189453125,28
1002.46,24.464,26.3849,145000,29,1695.25,-1868.137451171875,29
973.65,25.1387,29.6208,150000,30,1251.06,-2180.422607421875,30
998.74,25.3386,26.0631,155000,31,1729.88,-1786.384033203125,31
2076.18,23.948,22.2158,160000,32,2197.74,-1369.2740478515625,32
1459.92,24.2566,27.6193,165000,33,1389.41,-2006.4833984375,33
1696.01,23.2955,27.763,170000,34,1577.39,-1813.9356689453125,34
1849.89,23.4696,32.6163,175000,35,1416.59,-2015.0340576171875,35
2168.07,22.5517,30.1897,180000,36,1779.78,-1849.694091796875,36
1410.95,24.6085,30.7931,185000,37,1532.65,-2058.7490234375,37
1299.67,23.3482,28.4422,190000,38,1276.46,-2241.451904296875,38
3081.69,21.7187,18.6985,195000,39,2136.19,-1128.654052734375,39
3371.77,20.5695,21.8069,200000,40,1952.01,-1640.4520263671875,40
1383.5,22.8194,27.715,205000,41,1107.11,-2302.24609375,41
1220.46,23.1483,28.8682,210000,42,991.94,-2640.252197265625,42
2057.88,21.3899,22.9918,215000,43,1236.89,-2040.104248046875,43
3269.26,20.1391,13.8129,220000,44,3001.09,-704.2327270507812,44
764.95,19.9109,12.6881,225000,45,1554.71,-97.47596740722656,45
1446.49,21.0781,20.9741,230000,46,1917.59,-1998.5701904296875,46
1489.86,21.3914,19.5718,235000,47,1519.93,-1757.727783203125,47
1584.52,21.7733,15.6125,240000,48,1200.14,-2364.338134765625,48
2780.85,21.5939,19.1007,245000,49,1907.93,-1237.7698974609375,49
2704.77,21.5315,20.0996,250000,50,2201.31,-1619.8197021484375,50
3462.11,20.5293,14.7579,255000,51,2928.56,-592.4471435546875,51
3355.22,18.7754,15.6283,260000,52,3145.27,-335.2568664550781,52
3327.79,19.5315,19.7876,265000,53,2445.6,-644.1937255859375,53
3509.06,18.9409,11.662,270000,54,2745.91,-821.1863403320312,54
3466.93,18.5246,11.7228,275000,55,3455.97,-145.37046813964844,55
3441.19,20.4794,16.5581,280000,56,1938.59,-1983.26171875,56
3354.74,18.8618,11.6634,285000,57,3181.72,-229.53163146972656,57
3425.2,18.5448,10.7214,290000,58,3135.11,-234.35728454589844,58
2849.54,20.7091,24.9715,295000,59,1693.96,-2359.355712890625,59
3395.1,18.4725,11.7119,300000,60,3204.21,-438.6538391113281,60
3364.63,17.9874,17.242,305000,61,3130.87,-650.6013793945312,61
3477.53,19.539,23.8942,310000,62,2112.09,-1552.3603515625,62
3434.16,18.3897,11.6566,315000,63,3159.78,-346.774169921875,63
2799.83,19.3272,13.3185,320000,64,1797.54,-1596.828125,64
3436.66,17.9419,13.2784,325000,65,3198.85,-621.3480224609375,65
3470.1,17.9889,13.8079,330000,66,3209.88,-513.2264404296875,66
3475.2,17.5058,23.0602,335000,67,2999.61,-721.496826171875,67
3481.46,17.5396,11.2096,340000,68,3421.94,-126.2690658569336,68
3450.29,17.108,11.3854,345000,69,3466.77,-190.78750610351562,69
3438.61,17.1592,15.1263,350000,70,3235.03,-508.4717102050781,70
3412.56,17.5862,11.3719,355000,71,3421.58,-235.3567352294922,71
3441.06,16.7994,11.0984,360000,72,3446.14,-168.01246643066406,72
3484.3,17.5276,12.6637,365000,73,3330.53,-637.0372924804688,73
3493.22,17.3095,11.7274,370000,74,2651.08,-686.6769409179688,74
3514.92,18.0437,11.1625,375000,75,3087.36,-384.30194091796875,75
3451.67,18.28,15.7762,380000,76,2669.79,-1111.4620361328125,76
3467.76,18.657,11.85,385000,77,3451.76,-192.94906616210938,77
3438.64,17.953,12.2734,390000,78,3421.1,-260.5922546386719,78
3482.69,16.9517,11.9085,395000,79,3468.09,-170.7500762939453,79
3438.91,17.0911,11.5846,400000,80,3423.28,-258.99542236328125,80
3468.42,17.0513,11.6722,405000,81,3444.72,-186.30870056152344,81
3511.76,17.4947,11.245,410000,82,3420.12,-351.042236328125,82
3482.43,16.9476,11.38,415000,83,3453.7,-189.87762451171875,83
3513.85,18.312,12.2064,420000,84,2979.55,-816.3871459960938,84
3458.72,17.2692,15.3858,425000,85,3311.22,-640.9336547851562,85
3484.93,17.259,11.0627,430000,86,3440.57,-334.3210754394531,86
3509.01,17.3125,11.5518,435000,87,3482.29,-133.39187622070312,87
3468.45,16.7379,11.6486,440000,88,3446.87,-213.7745361328125,88
3446.84,18.1927,11.9461,445000,89,3422.01,-465.46331787109375,89
3484.05,16.9471,11.4063,450000,90,3465.72,-212.53785705566406,90
3410.84,16.8839,11.7481,455000,91,3389.2,-651.0843505859375,91
3477.61,16.5563,11.7771,460000,92,3455.15,-321.953369140625,92
3455.61,16.7416,11.1822,465000,93,3366.9,-177.9542236328125,93
3472.38,17.8725,16.6852,470000,94,3452.23,-387.3336486816406,94
3461.84,17.6457,12.0484,475000,95,3444.13,-249.8426055908203,95
3423.82,16.933,11.3859,480000,96,3394.05,-496.007568359375,96
3443.44,16.6916,10.6377,485000,97,3331.35,-569.3140258789062,97
3466.48,17.0004,11.1458,490000,98,3374.08,-580.1569213867188,98
3471.56,15.9479,10.0156,495000,99,3356.08,-351.7492370605469,99
3449.26,16.696,11.2421,500000,100,3433.23,-182.5254364013672,100
3459.36,16.8848,10.9058,505000,101,3436.65,-568.7003173828125,101
