Real Det Return,Running Reverse KL,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL
14.37,12.8301,0,0,14.43,101.9078
1009.22,28.951,9600,100000,717.6,101.7499
999.91,17.7287,19600,200000,886.58,102.7564
1007.82,17.2446,29600,300000,722.37,102.279
1006.84,14.5329,39600,400000,736.89,101.813
1001.75,14.1365,49600,500000,913.35,101.6462
1001.78,14.8517,59600,600000,809.85,101.926
999.24,14.3319,69600,700000,650.29,101.5644
1003.39,15.2368,79600,800000,969.06,101.692
1004.24,16.3438,89600,900000,874.76,102.0619
1004.26,14.975,99600,1000000,869.27,101.7615
998.86,15.1426,109600,1100000,877.84,101.5423
1002.44,15.0447,119600,1200000,859.51,101.6139
1004.56,13.6865,129600,1300000,954.86,101.5038
1001.83,14.2763,139600,1400000,947.79,101.628
999.87,15.0523,149600,1500000,727.85,101.6426
1001.98,15.8822,159600,1600000,837.91,102.0917
1003.79,16.5069,169600,1700000,908.62,102.292
1005.51,15.2119,179600,1800000,820.19,101.6636
999.47,14.2282,189600,1900000,849.63,101.5601
1001.59,13.9434,199600,2000000,769.15,101.5771
999.23,15.2739,209600,2100000,889.77,101.6496
1000.58,13.2258,219600,2200000,910.62,101.5526
1004.56,15.9987,229600,2300000,900.13,101.9583
1003.6,15.4634,239600,2400000,811.32,101.7007
998.57,13.7087,249600,2500000,802.92,101.4877
999.74,14.8395,259600,2600000,886.19,101.5381
1002.62,15.6688,269600,2700000,956.71,101.6169
1004.8,16.8853,279600,2800000,949.07,104.6406
1001.04,15.1472,289600,2900000,894.77,101.5861
1001.07,13.0998,299600,3000000,817.69,101.5374
997.44,14.4062,309600,3100000,848.92,101.5794
999.21,17.3742,319600,3200000,941.45,104.6764
1003.05,15.0734,329600,3300000,987.96,101.5742
1002.67,14.5728,339600,3400000,924.7,101.5038
1001.37,15.4822,349600,3500000,860.98,101.6508
999.54,15.1482,359600,3600000,937.98,101.5576
998.7,15.7884,369600,3700000,941.04,101.4956
1002.64,16.6584,379600,3800000,920.22,104.5635
1004.06,16.3854,389600,3900000,862.25,101.6924
1001.62,15.8118,399600,4000000,793.66,101.5605
1000.19,15.6906,409600,4100000,935.67,101.5859
999.6,16.6545,419600,4200000,974.91,102.2296
1001.71,15.0968,429600,4300000,884.81,101.5888
1002.75,15.9096,439600,4400000,931.08,101.7447
1003.8,15.2601,449600,4500000,955.95,101.5578
998.6,14.554,459600,4600000,933.24,101.5434
1000.23,15.9885,469600,4700000,876.81,101.6424
1000.88,16.0268,479600,4800000,1013.49,101.8377
1001.91,15.9583,489600,4900000,903.97,101.7368
1001.06,16.4408,499600,5000000,990.66,101.6548
999.57,14.1927,509600,5100000,903.96,101.5301
1001.18,14.5324,519600,5200000,999.4,101.5108
1000.27,17.282,529600,5300000,889.9,104.6128
1003.92,15.9182,539600,5400000,978.29,101.9378
1007.44,15.1397,549600,5500000,824.85,101.5114
1002.56,14.8486,559600,5600000,957.19,101.5541
996.84,14.7441,569600,5700000,941.04,101.5654
999.82,15.1455,579600,5800000,953.7,101.5256
1005.2,16.6858,589600,5900000,812.56,101.6636
1004.95,17.1879,599600,6000000,973.86,104.7014
1002.32,14.1311,609600,6100000,877.21,101.523
998.19,15.5743,619600,6200000,871.6,101.5534
997.24,14.4574,629600,6300000,771.46,101.4623
1001.15,16.2709,639600,6400000,877.9,102.0661
1003.96,15.2727,649600,6500000,848.97,101.469
999.91,16.5347,659600,6600000,929.48,102.0859
999.22,15.4857,669600,6700000,922.45,101.5173
1000.13,15.1298,679600,6800000,966.56,101.456
1004.89,15.6225,689600,6900000,917.65,101.4849
1001.17,14.4916,699600,7000000,789.24,101.4839
998.89,15.6161,709600,7100000,922.98,101.5414
997.68,14.9656,719600,7200000,846.44,101.5164
1002.85,16.3505,729600,7300000,1020.94,102.2291
1000.42,15.5304,739600,7400000,892.28,101.5739
999.46,14.1363,749600,7500000,937.54,101.5068
1002.05,16.7008,759600,7600000,1015.67,104.5016
1002.95,13.7296,769600,7700000,882.65,101.1105
1002.99,15.1126,779600,7800000,902.27,101.378
1002.33,15.0587,789600,7900000,876.49,101.8327
999.78,13.8141,799600,8000000,778.52,101.1862
996.4,14.9322,809600,8100000,846.84,101.3622
1000.32,17.1772,819600,8200000,913.5,104.703
1001.1,15.6449,829600,8300000,877.57,101.5786
1003.23,15.4918,839600,8400000,845.55,102.1214
1003.23,15.3578,849600,8500000,905.58,101.6053
1002.49,14.5512,859600,8600000,866.4,101.4692
1001.01,14.9318,869600,8700000,813.26,101.3803
1000.81,16.6209,879600,8800000,912.39,104.3515
998.92,17.0962,889600,8900000,943.82,102.792
1002.53,17.8794,899600,9000000,972.98,104.7396
1004.87,15.4524,909600,9100000,908.06,101.7919
1000.57,14.2412,919600,9200000,909.07,101.3809
996.71,16.8281,929600,9300000,828.41,104.6623
1001.39,15.1411,939600,9400000,974.1,101.4518
1003.05,14.3098,949600,9500000,852.74,101.3654
1000.99,14.4943,959600,9600000,950.7,101.4483
998.6,16.492,969600,9700000,823.78,103.9074
998.8,15.9446,979600,9800000,873.01,101.6192
1003.25,15.2736,989600,9900000,831.37,101.5672
1003.91,16.0951,999600,10000000,842.46,101.8449
