Running Forward KL,Running Reverse KL,Reward Loss,Real Sto Return,Running Env Steps,Itration,Real Det Return,Running Update Time
158.6485,11.869,-1371.4793701171875,-147.09,0,0,-13.87,0
158.4362,11.6599,-1668.39404296875,-95.12,5000,1,-55.55,1
158.249,11.7152,-1824.058837890625,44.32,10000,2,-28.39,2
157.9552,11.6197,-2341.2001953125,159.99,15000,3,565.47,3
157.6762,11.5259,-2595.444091796875,286.68,20000,4,686.99,4
157.4254,11.4159,-2826.94482421875,327.23,25000,5,380.77,5
157.4723,12.0665,-3028.4384765625,471.75,30000,6,843.27,6
157.1907,12.0556,-3192.990966796875,565.98,35000,7,578.98,7
157.3954,12.6266,-3467.78564453125,607.61,40000,8,965.03,8
157.3504,12.9286,-3711.677978515625,699.46,45000,9,1105.43,9
157.4053,13.1075,-3774.363525390625,796.51,50000,10,1243.42,10
157.2406,13.9143,-4098.41845703125,887.9,55000,11,1364.46,11
157.4323,14.3904,-4254.216796875,968.46,60000,12,1468.24,12
157.3998,15.0685,-4541.59521484375,1039.96,65000,13,1492.43,13
157.2688,14.7042,-4798.8779296875,1061.83,70000,14,1492.47,14
157.3398,14.8284,-4971.6171875,1140.5,75000,15,1539.94,15
157.1808,14.8533,-5192.58544921875,1151.51,80000,16,1570.53,16
157.1978,15.2117,-5434.087890625,1211.88,85000,17,1607.08,17
157.0787,15.1095,-5646.4765625,1281.65,90000,18,1671.57,18
156.9984,15.0927,-5865.162109375,1329.4,95000,19,1735.81,19
157.1971,14.9368,-6075.900390625,1305.94,100000,20,1711.84,20
156.9896,14.6706,-6228.30322265625,1377.01,105000,21,1774.47,21
156.8907,14.8164,-6385.37255859375,1409.84,110000,22,1804.25,22
156.8893,14.9938,-6583.6806640625,1477.65,115000,23,1844.94,23
156.8916,15.0621,-6837.53564453125,1459.04,120000,24,1834.82,24
156.9376,14.9473,-7031.171875,1486.51,125000,25,1896.93,25
156.9838,15.1361,-7077.1328125,1506.51,130000,26,1889.47,26
156.7934,15.1032,-7367.2705078125,1553.5,135000,27,1942.3,27
156.7237,15.3426,-7524.83642578125,1551.0,140000,28,1905.42,28
156.7645,14.9582,-7560.29541015625,1523.93,145000,29,1834.0,29
156.8475,15.104,-7877.1884765625,1591.61,150000,30,1963.32,30
156.8382,15.4936,-8142.46484375,1638.89,155000,31,1951.29,31
156.8853,15.0426,-8277.9716796875,1605.67,160000,32,1977.26,32
156.9568,15.1724,-8442.8095703125,1621.86,165000,33,1986.06,33
156.6998,15.2802,-8685.3076171875,1634.21,170000,34,2001.27,34
156.8032,15.2036,-8873.095703125,1645.34,175000,35,2000.5,35
156.8343,15.1665,-9072.9765625,1624.75,180000,36,2005.87,36
156.8384,15.1515,-9351.4326171875,1642.01,185000,37,2009.95,37
156.8144,15.2398,-9494.58203125,1681.95,190000,38,2037.98,38
156.7802,14.8662,-9744.486328125,1667.74,195000,39,1998.67,39
156.8125,15.3469,-9905.4482421875,1667.61,200000,40,2041.43,40
156.6889,15.2097,-10069.75,1683.09,205000,41,2040.06,41
156.8503,15.3848,-10257.6240234375,1658.98,210000,42,2020.29,42
156.905,15.2062,-10516.1201171875,1662.2,215000,43,2043.41,43
156.8241,15.1176,-10582.3017578125,1684.15,220000,44,2059.29,44
156.6691,15.1323,-10888.236328125,1704.22,225000,45,2023.9,45
156.9185,15.2371,-11095.3984375,1719.26,230000,46,2076.12,46
156.6913,15.2124,-11292.2216796875,1697.59,235000,47,2088.11,47
156.677,15.0249,-11498.95703125,1687.98,240000,48,2038.19,48
156.6637,15.2682,-11642.9384765625,1715.14,245000,49,2099.77,49
156.8393,15.2016,-11909.9833984375,1690.86,250000,50,2056.35,50
156.6222,15.1549,-11958.0771484375,1683.31,255000,51,2010.4,51
156.7671,15.3905,-12266.2529296875,1735.77,260000,52,2104.67,52
156.7545,15.3123,-12395.2265625,1690.26,265000,53,2094.52,53
156.5447,14.791,-12677.689453125,1685.89,270000,54,2074.31,54
156.6894,15.3718,-12850.4267578125,1762.12,275000,55,2120.77,55
156.9377,15.6446,-13054.1015625,1747.31,280000,56,2111.07,56
156.7614,15.1488,-13242.55078125,1736.75,285000,57,2119.32,57
