Running Env Steps,Real Det Return,Running Reverse KL,Itration,Real Sto Return,Reward Loss,Running Forward KL,Running Update Time
0,-9.05,11.4031,0,-138.7,-307.6881408691406,158.4125,0
5000,-60.11,11.6639,1,-11.0,-301.9364929199219,157.9895,1
10000,39.5,11.641,2,-60.54,-325.7665100097656,158.2652,2
15000,83.65,12.1984,3,115.82,-388.7745361328125,158.0939,3
20000,623.97,12.4291,4,330.65,-409.5297546386719,158.2196,4
25000,1012.1,13.1859,5,549.94,-427.467041015625,158.0113,5
30000,990.81,14.2224,6,669.29,-428.0350036621094,157.8131,6
35000,1135.35,12.8419,7,739.44,-505.6849060058594,157.6239,7
40000,820.85,14.5711,8,827.04,-522.796142578125,157.6957,8
45000,891.77,14.4344,9,918.43,-569.1276245117188,157.6705,9
50000,1098.26,13.9851,10,963.26,-600.7236328125,157.6683,10
55000,1392.34,14.6818,11,1081.92,-619.3273315429688,157.5941,11
60000,1369.05,13.4403,12,1074.7,-662.0424194335938,157.7324,12
65000,1546.31,13.4785,13,1149.69,-691.0838012695312,157.8106,13
70000,1724.13,15.0889,14,1263.73,-720.31201171875,157.4143,14
75000,1630.97,16.4973,15,1242.22,-742.9398193359375,157.7587,15
80000,1685.98,15.7859,16,1255.07,-773.6384887695312,157.8645,16
85000,1767.39,16.189,17,1355.17,-808.7388305664062,157.5074,17
90000,1868.29,15.3266,18,1416.75,-842.5684204101562,157.2283,18
95000,2596.43,13.9362,19,1685.17,-868.543701171875,156.6041,19
100000,2157.59,13.6499,20,1678.52,-893.1216430664062,157.0341,20
105000,2528.57,13.6371,21,1912.74,-959.2232055664062,157.0886,21
110000,2519.85,13.969,22,2023.15,-992.7734375,157.1686,22
115000,2465.49,13.5766,23,1982.86,-1014.8651733398438,156.8585,23
120000,2602.33,15.6558,24,2392.01,-1056.6083984375,156.9977,24
125000,2892.99,14.7039,25,2667.58,-1049.8221435546875,156.9247,25
130000,3274.45,15.0902,26,2936.84,-1081.8922119140625,156.262,26
135000,3562.29,15.8248,27,3270.4,-1114.4794921875,156.0091,27
140000,3894.5,15.8968,28,3604.46,-1120.7205810546875,155.8069,28
145000,3918.57,16.5283,29,3726.41,-1150.0096435546875,155.8489,29
150000,4028.06,16.0933,30,3766.11,-1186.054443359375,155.4022,30
155000,4098.76,16.8434,31,3793.53,-1184.5594482421875,155.4067,31
160000,4541.24,16.542,32,4068.03,-1192.3114013671875,155.0145,32
165000,4550.06,15.9944,33,4127.18,-1206.3946533203125,155.1088,33
170000,4677.72,15.7636,34,4248.26,-1226.7686767578125,154.2242,34
175000,4716.72,16.3561,35,4301.44,-1215.9010009765625,154.2724,35
180000,5074.57,16.6857,36,4581.78,-1268.587646484375,154.155,36
185000,5406.54,17.1532,37,4768.17,-1242.0299072265625,153.8774,37
190000,5276.39,16.0977,38,4699.63,-1292.1455078125,153.9446,38
195000,5523.85,16.2503,39,4865.89,-1319.865234375,153.4911,39
200000,5695.36,16.8583,40,5013.16,-1325.3670654296875,153.8031,40
205000,5669.32,16.5118,41,5060.86,-1324.464111328125,153.0612,41
210000,5630.75,16.4428,42,5040.52,-1350.7330322265625,153.4148,42
215000,5348.38,16.4589,43,4971.35,-1405.525634765625,153.0144,43
220000,5599.08,16.5493,44,5065.32,-1440.767822265625,152.942,44
225000,5743.92,16.8524,45,5260.53,-1407.747802734375,152.8812,45
230000,5634.1,16.4375,46,5212.58,-1473.30810546875,152.8097,46
235000,5818.84,16.7242,47,5298.18,-1465.9080810546875,152.9541,47
240000,5827.44,16.3967,48,5363.72,-1511.2933349609375,152.8322,48
245000,5723.35,16.5102,49,5362.77,-1551.8975830078125,153.0571,49
250000,5905.99,16.8948,50,5435.14,-1592.53955078125,152.9809,50
255000,6070.31,16.2992,51,5547.26,-1582.4072265625,152.735,51
260000,6113.75,16.641,52,5595.5,-1598.638916015625,152.6908,52
265000,5985.93,16.8803,53,5592.64,-1616.90625,152.6146,53
270000,6065.79,16.6359,54,5538.09,-1652.7745361328125,152.8899,54
275000,5973.73,16.7819,55,5574.5,-1662.775634765625,152.8657,55
280000,5841.86,16.2636,56,5525.52,-1708.9134521484375,152.5711,56
285000,6357.93,16.1269,57,5696.59,-1723.885009765625,152.6689,57
290000,6281.96,17.0171,58,5797.35,-1768.1427001953125,152.6388,58
295000,6234.61,16.6599,59,5793.38,-1759.2462158203125,152.7079,59
300000,6197.6,16.4437,60,5641.95,-1809.4727783203125,152.6764,60
305000,6207.66,16.6341,61,5756.52,-1814.8653564453125,152.2349,61
310000,6418.4,16.6827,62,5874.31,-1821.134765625,151.9906,62
315000,6339.57,17.4519,63,5901.81,-1871.8406982421875,152.3293,63
320000,6451.04,16.5762,64,5945.76,-1910.64990234375,152.1656,64
325000,6391.32,16.2932,65,5864.99,-1948.161865234375,152.4144,65
330000,6572.15,16.4565,66,5983.84,-1935.1934814453125,152.3856,66
335000,6580.06,16.5827,67,6121.0,-1958.3792724609375,151.9895,67
340000,6244.89,16.1811,68,5898.29,-1981.173583984375,152.1402,68
345000,6338.69,16.1797,69,5896.38,-2035.4376220703125,152.4593,69
350000,6402.89,16.0422,70,6008.64,-2046.1964111328125,152.2829,70
355000,6631.78,16.2051,71,6098.78,-2039.2298583984375,151.8211,71
360000,6504.4,16.7433,72,6010.55,-2117.46435546875,152.5832,72
365000,6755.76,16.0998,73,6217.71,-2077.27490234375,152.4259,73
370000,6660.35,16.2445,74,6045.03,-2096.51318359375,151.7259,74
375000,6644.53,16.6291,75,6109.56,-2174.62109375,152.031,75
380000,6702.39,16.3596,76,6298.31,-2175.9169921875,152.1514,76
385000,6888.74,16.136,77,6376.44,-2167.64306640625,151.9033,77
390000,6732.7,15.9301,78,6274.84,-2206.983642578125,151.9702,78
395000,6995.97,16.5683,79,6456.18,-2236.226318359375,151.7283,79
400000,6818.22,16.2139,80,6184.6,-2238.761474609375,152.1837,80
405000,6947.8,16.5972,81,6510.97,-2252.4033203125,152.3922,81
410000,6925.88,16.6331,82,6508.56,-2278.4990234375,151.434,82
415000,7090.99,16.5586,83,6605.59,-2336.5224609375,151.8467,83
420000,7187.78,16.3173,84,6638.4,-2319.903076171875,151.1081,84
