Real Det Return,Running Forward KL,Running Reverse KL,Itration,Real Sto Return
394.66,459.0902,267.3239,0,277.74
283.45,456.076,286.0899,1,294.17
321.36,441.47,259.5271,2,329.06
425.67,447.4708,273.5725,3,447.58
364.79,446.9835,330.4443,4,430.53
317.97,435.3575,316.3698,5,406.82
425.32,430.3741,321.915,6,423.62
489.58,416.6638,302.2609,7,463.22
528.88,423.7315,273.5116,8,453.53
519.58,409.9243,288.0417,9,501.5
470.96,414.25,261.3559,10,550.33
461.79,423.3829,252.7998,11,495.89
457.4,398.4961,284.0986,12,489.92
434.28,413.0785,264.6146,13,480.78
396.21,418.9393,260.0061,14,490.01
522.03,410.0644,248.4228,15,456.34
531.52,425.7175,245.7324,16,591.19
574.6,401.8959,253.0243,17,568.39
537.24,400.6031,272.6594,18,577.96
471.51,399.3986,255.1303,19,626.5
634.74,400.9735,258.9574,20,544.83
554.84,412.6675,251.91,21,541.46
438.5,402.4533,268.3827,22,587.89
525.6,404.5776,247.9673,23,672.66
683.67,387.7001,232.9261,24,869.31
671.85,389.1569,235.4587,25,1009.92
759.73,364.7014,206.9808,26,853.91
706.86,388.4348,237.1565,27,782.21
807.42,373.6013,246.9949,28,916.09
769.18,394.2905,250.4285,29,1100.6
749.78,365.3009,223.2011,30,986.87
1044.42,362.3785,204.6186,31,1212.76
790.15,382.8362,246.4996,32,1123.32
631.2,369.595,236.1562,33,1047.7
809.96,370.1732,244.912,34,1039.36
754.46,356.7618,208.1366,35,909.95
822.76,364.0993,250.3157,36,988.86
909.89,347.4477,222.4231,37,1594.53
921.61,349.7862,213.5817,38,1696.63
974.66,341.3894,186.2082,39,2067.36
951.56,344.96,216.6657,40,1454.47
1192.78,334.6888,191.3825,41,1819.84
839.81,351.9655,226.5042,42,1878.0
748.07,368.3017,257.6094,43,1195.49
876.36,342.3002,196.1633,44,1557.97
1194.83,352.6292,241.2619,45,1345.53
1277.81,324.0281,167.986,46,2090.33
742.22,350.2498,229.9003,47,1253.53
1296.62,346.0672,206.5157,48,1716.6
1248.81,329.3829,229.8683,49,1844.63
1360.46,326.6066,200.8235,50,1828.08
1081.12,304.9607,156.1165,51,2523.27
1333.04,322.9476,183.1978,52,2460.05
1722.36,316.6926,169.1564,53,3278.65
1282.33,326.9917,204.2811,54,2127.12
1922.58,311.3945,156.5592,55,2605.9
1356.3,306.418,127.0133,56,3813.33
1958.29,322.7587,169.6802,57,4144.15
2411.96,313.4926,125.7385,58,4242.76
1509.85,318.0438,164.2963,59,3113.08
1991.83,345.144,214.7463,60,1676.85
3197.05,312.0922,129.1825,61,4544.77
2807.72,306.9579,125.2527,62,3068.24
4014.52,315.6523,137.7081,63,4385.93
2569.79,315.7004,141.6503,64,3507.84
3641.96,334.2215,183.6532,65,2369.91
2678.48,308.9084,118.3693,66,4679.58
3721.71,312.6677,139.6471,67,3426.37
2785.79,319.2097,152.3018,68,3841.74
4979.43,310.4729,125.4842,69,4299.27
3416.81,315.6067,154.9942,70,3332.68
3253.64,302.7729,115.2208,71,3724.36
2724.69,307.9881,127.8549,72,4302.08
1790.15,322.4142,167.9812,73,3626.37
4209.6,316.1363,130.999,74,4705.77
2190.34,321.8127,146.559,75,4372.36
4065.3,309.132,112.6704,76,4215.58
5102.03,318.1897,134.4244,77,4832.1
4427.05,313.7904,128.7496,78,4945.82
4988.55,307.3216,118.6645,79,4784.24
4977.93,313.8237,119.4887,80,4981.72
5136.59,307.1141,130.9103,81,4594.84
3981.17,308.0112,117.2405,82,4801.07
3791.25,312.5129,122.7476,83,4268.66
3468.62,303.0165,112.2542,84,4772.15
4997.27,302.829,104.3433,85,4899.66
5128.5,302.057,108.9543,86,5086.86
5154.8,309.0178,124.7392,87,4904.5
4791.74,305.3549,119.3157,88,4948.1
4711.96,301.9527,114.6666,89,4763.41
3940.34,305.7894,117.013,90,5094.82
2979.93,320.9115,141.5583,91,4095.27
4915.33,314.3239,127.4962,92,5111.11
3733.08,311.8419,134.2994,93,4643.65
4074.5,305.6175,119.5191,94,5110.85
3654.71,300.936,111.3026,95,4836.49
2587.98,298.2351,111.1209,96,4858.97
2338.5,315.708,154.7944,97,4620.7
1912.67,304.0011,108.8944,98,5042.3
1087.7,303.1971,121.3434,99,4471.53
2995.38,308.6782,129.7468,100,4210.66
2585.89,299.4581,107.612,101,4663.32
1535.95,309.5505,141.385,102,4550.9
1364.09,306.7746,121.9635,103,4676.75
5256.64,308.1123,112.8924,104,4836.43
3471.56,304.1403,109.6962,105,5194.43
2168.09,305.3735,110.7588,106,4713.67
2353.88,307.2799,113.489,107,5043.22
2693.69,299.5226,102.8237,108,4654.91
3371.57,301.2891,113.824,109,5211.29
4440.97,305.1896,107.3953,110,5042.8
1578.11,299.0904,109.3426,111,4269.44
4109.03,307.6342,118.0362,112,4991.77
5204.6,301.9743,103.9051,113,5147.62
3214.78,302.0858,109.6251,114,4694.25
1944.2,305.0484,124.4752,115,4712.9
3423.63,299.6837,103.7183,116,4896.61
5280.81,304.3578,112.0053,117,4946.73
5130.98,297.5731,102.4819,118,4797.8
3893.52,302.922,106.9771,119,5031.1
3682.7,298.0013,104.8316,120,4621.45
3584.49,309.1299,130.2632,121,3799.66
3748.48,298.4769,109.9108,122,4961.78
4588.01,314.8241,136.7745,123,4697.76
3608.13,306.2044,114.3194,124,4884.22
4008.61,299.9354,103.131,125,5000.1
2601.08,305.4473,122.5186,126,4695.59
4312.09,300.5916,107.3341,127,5145.31
3099.98,303.1655,111.7879,128,4980.72
4518.94,304.9546,108.6571,129,4894.64
5005.98,301.0071,104.0746,130,4676.54
4124.28,306.4383,105.6665,131,5011.1
4886.61,309.4475,116.3845,132,4956.81
4265.98,303.3168,107.4662,133,4953.45
4762.99,305.8362,117.2537,134,4808.21
4654.53,299.3337,102.8802,135,5202.46
4396.65,319.1357,145.9383,136,4656.04
3223.63,305.446,110.942,137,5036.25
4967.61,307.557,108.9292,138,4816.7
4491.85,301.7754,102.6304,139,5190.42
4258.92,300.2987,101.0396,140,5106.43
5421.66,299.0752,97.5371,141,5114.67
3632.16,307.2847,111.3106,142,4764.5
3064.27,302.427,105.3425,143,5068.86
5011.51,311.9561,114.849,144,4950.31
3195.58,303.5674,104.9902,145,4658.13
4807.44,306.2907,115.0569,146,5080.7
3105.63,309.4566,120.5573,147,4681.29
3640.07,300.8768,105.3899,148,4930.46
5330.11,303.6571,109.5438,149,4832.18
4455.72,317.7238,140.5916,150,3956.35
5040.53,308.6203,109.0111,151,4844.79
5202.33,308.3928,108.5941,152,5188.2
5129.31,302.644,106.1256,153,4982.39
4831.95,308.5046,110.5878,154,4658.97
4790.86,301.2147,104.327,155,5146.17
2286.78,302.1017,105.1095,156,5050.99
4262.92,307.4854,114.7999,157,4865.42
4991.31,297.6992,105.1944,158,5075.15
5155.1,301.2585,99.1614,159,4855.7
5025.92,308.3834,111.907,160,5083.88
4830.28,306.8814,105.9525,161,4919.21
3527.14,312.9264,118.1962,162,4935.42
4834.29,303.5867,97.8762,163,4668.68
5291.61,303.8463,104.9365,164,5226.31
5099.49,300.3458,102.4323,165,5149.81
5397.58,310.8535,117.3676,166,5243.42
5369.94,302.214,104.715,167,4966.36
4923.57,308.3855,109.6357,168,4771.67
5022.31,304.2934,111.9062,169,5226.36
5349.67,301.1421,110.496,170,5022.6
3064.97,304.9138,106.786,171,4281.06
5344.44,304.8417,100.7578,172,5012.88
1980.14,311.4202,138.7012,173,5027.94
5332.91,301.9643,108.6981,174,5007.98
5270.58,298.4257,100.3392,175,5116.4
5171.42,303.3466,108.0622,176,5058.0
5146.28,307.2203,100.9425,177,4747.35
5416.94,304.5803,109.3166,178,5009.79
4929.56,307.8037,113.4565,179,5102.79
4912.11,313.9675,113.8445,180,4634.42
5191.41,307.9727,111.8493,181,5191.43
4637.76,306.5584,113.2885,182,5112.29
5276.5,307.2347,113.669,183,5126.34
5234.83,302.3873,100.9316,184,5078.14
3382.56,298.3522,101.2935,185,4920.2
1828.17,303.452,98.8318,186,4525.17
5260.42,301.8578,103.2697,187,5199.12
5304.69,304.9786,114.2836,188,5287.64
3647.37,306.3674,104.6815,189,4679.84
3262.62,308.1458,117.7888,190,5252.49
5301.15,315.8017,122.3703,191,5243.31
5010.57,315.003,121.9699,192,5281.55
5046.79,315.3404,123.7376,193,5079.81
1668.87,304.855,118.2707,194,4523.38
5305.4,310.9308,113.008,195,5208.46
4889.76,305.8286,105.391,196,4994.66
5000.07,310.1504,118.4813,197,5169.35
4935.65,305.823,110.2536,198,5164.13
5166.81,308.1629,113.5834,199,5205.76
5390.07,311.897,119.227,200,5322.44
5333.14,310.4192,114.016,201,5044.04
4942.53,312.2069,113.415,202,5269.96
5074.08,305.2546,104.5254,203,4726.55
4324.24,300.4697,98.5935,204,5215.35
5384.35,311.5133,117.2429,205,5337.27
5194.48,307.5285,111.7934,206,5143.5
3583.38,303.7281,108.6158,207,4937.28
4286.95,306.4799,108.5968,208,5026.65
