Real Sto Return,Running Forward KL,Running Update Time,Real Det Return,Reward Loss,Itration,Running Env Steps,Running Reverse KL
-122.45,74.6679,0,189.93,20.86115264892578,0,0,25.0943
-89.69,74.3724,1,374.86,10.744415283203125,1,5000,25.7627
-68.52,74.8249,2,489.52,-5.265489101409912,2,10000,25.9353
-16.64,74.935,3,452.6,-18.872323989868164,3,15000,27.6075
-4.38,74.4512,4,595.52,-28.59044075012207,4,20000,28.834
43.24,73.2575,5,702.72,-33.2606201171875,5,25000,29.6337
45.82,73.2059,6,557.23,-48.988670349121094,6,30000,29.2239
53.53,72.7377,7,586.92,-58.20486831665039,7,35000,29.655
109.68,73.3208,8,713.97,-69.48342895507812,8,40000,30.1542
116.41,73.0484,9,824.59,-82.68181610107422,9,45000,30.2653
126.93,73.6678,10,694.96,-92.0737533569336,10,50000,30.1792
212.56,71.4731,11,908.46,-102.96244049072266,11,55000,30.2453
125.55,71.5205,12,591.92,-113.93594360351562,12,60000,30.5418
133.57,74.9434,13,526.52,-125.6919937133789,13,65000,31.0766
114.8,73.9465,14,685.86,-138.51373291015625,14,70000,31.3574
165.66,71.7123,15,639.77,-153.63778686523438,15,75000,30.8574
232.69,71.4739,16,873.97,-160.57554626464844,16,80000,30.7667
160.04,69.6362,17,773.63,-173.6909942626953,17,85000,30.175
210.18,68.4897,18,653.74,-182.92019653320312,18,90000,30.0789
203.37,68.5819,19,612.39,-193.2864227294922,19,95000,29.4705
196.59,71.6035,20,872.14,-205.39198303222656,20,100000,30.1293
198.4,66.884,21,694.05,-221.09579467773438,21,105000,30.5793
150.21,69.9849,22,693.34,-230.71070861816406,22,110000,30.1365
245.41,67.6122,23,802.81,-242.32565307617188,23,115000,29.5138
147.13,67.1315,24,756.16,-255.1938018798828,24,120000,29.3935
215.52,67.118,25,679.69,-267.447998046875,25,125000,29.3378
251.62,67.689,26,657.09,-281.60101318359375,26,130000,29.8285
279.31,66.3918,27,1011.63,-287.2104797363281,27,135000,29.0426
225.68,64.4194,28,955.85,-294.53387451171875,28,140000,28.6312
183.69,68.0041,29,785.4,-317.9485778808594,29,145000,29.9893
321.11,62.1283,30,718.16,-311.475830078125,30,150000,27.5465
259.69,64.6005,31,1067.76,-333.5616760253906,31,155000,28.6761
262.46,65.3996,32,934.45,-348.16668701171875,32,160000,29.4005
530.8,60.3737,33,1386.85,-334.6984558105469,33,165000,27.4907
580.78,63.4845,34,1303.56,-354.8117980957031,34,170000,29.2183
353.44,58.2286,35,1253.32,-345.86651611328125,35,175000,26.2571
495.84,58.1393,36,1500.32,-352.857421875,36,180000,26.2777
549.75,60.0679,37,1489.25,-384.58587646484375,37,185000,27.3285
631.81,57.8919,38,1873.32,-368.4380187988281,38,190000,26.8931
528.31,59.1366,39,1352.85,-371.6255187988281,39,195000,26.7914
451.6,61.5048,40,964.98,-407.7696228027344,40,200000,27.9059
535.71,63.649,41,1126.51,-443.69287109375,41,205000,27.8308
789.86,55.7269,42,1037.54,-360.32550048828125,42,210000,25.3697
748.35,61.1185,43,1337.89,-448.6543273925781,43,215000,27.5883
640.44,59.462,44,1253.25,-452.85089111328125,44,220000,27.019
681.27,54.8306,45,2015.23,-384.10400390625,45,225000,26.4798
449.14,57.8329,46,1169.61,-445.5107421875,46,230000,25.877
1207.03,54.5018,47,2142.27,-352.488525390625,47,235000,28.9546
1031.02,54.8687,48,1466.79,-389.17047119140625,48,240000,25.6208
1301.74,56.8587,49,2065.43,-426.9012145996094,49,245000,26.1948
1057.66,57.5848,50,1255.56,-477.81854248046875,50,250000,25.0431
1918.15,55.4525,51,2213.13,-376.06048583984375,51,255000,28.37
1666.76,55.4057,52,2587.98,-407.1094970703125,52,260000,28.3287
1537.36,56.7061,53,2579.03,-348.1692810058594,53,265000,33.9874
925.26,56.5362,54,1554.13,-500.94915771484375,54,270000,24.254
2405.31,55.3309,55,2989.25,-359.99017333984375,55,275000,33.2347
1586.33,55.8895,56,2056.66,-387.49139404296875,56,280000,28.9191
1999.11,52.5435,57,3486.07,-333.1759948730469,57,285000,28.9846
1992.96,55.9494,58,2825.58,-330.99261474609375,58,290000,39.6163
1959.64,58.9703,59,2931.69,-395.529052734375,59,295000,35.3675
2432.46,55.8738,60,2795.35,-359.3813781738281,60,300000,32.0522
2275.07,56.0424,61,3038.07,-421.2334289550781,61,305000,28.9795
2115.9,53.7461,62,3204.45,-361.3254699707031,62,310000,33.1749
1970.69,56.2508,63,2395.59,-499.8722229003906,63,315000,26.4268
1658.39,57.7226,64,2298.97,-600.5060424804688,64,320000,25.8547
1554.79,55.2182,65,2319.42,-532.211181640625,65,325000,26.4889
1680.87,56.7572,66,2361.89,-472.9640197753906,66,330000,28.0743
726.02,59.1493,67,1641.24,-635.7689819335938,67,335000,25.0195
1921.93,57.8158,68,2856.0,-567.8734741210938,68,340000,25.4301
1850.57,57.3393,69,2218.34,-548.4136352539062,69,345000,27.1793
1555.31,59.8611,70,2251.54,-600.9303588867188,70,350000,27.0693
1831.35,58.6774,71,2632.94,-536.2733764648438,71,355000,28.1863
2122.85,59.2977,72,2933.19,-444.8810119628906,72,360000,35.3974
2961.29,58.9196,73,3172.32,-459.30401611328125,73,365000,33.3313
2274.87,60.5585,74,3114.6,-405.8079528808594,74,370000,40.645
2339.73,58.776,75,2414.95,-570.1295166015625,75,375000,29.7714
3400.97,58.2468,76,3918.74,-431.8379821777344,76,380000,37.5241
1782.7,57.0076,77,2980.09,-539.8632202148438,77,385000,28.6319
1966.94,61.3892,78,2959.22,-722.6817016601562,78,390000,26.7242
3020.7,59.2757,79,3053.56,-577.9124755859375,79,395000,31.1069
1446.05,59.2892,80,1995.27,-725.036376953125,80,400000,26.9797
2649.52,59.9483,81,3809.93,-580.1378784179688,81,405000,33.8312
1964.27,58.6672,82,2930.67,-518.3419799804688,82,410000,30.0955
2909.62,57.7785,83,3296.85,-582.9169921875,83,415000,31.7014
3196.2,58.1905,84,4157.88,-504.50836181640625,84,420000,33.134
1728.7,56.4928,85,2936.69,-574.5181884765625,85,425000,28.6524
2381.87,58.5451,86,3239.86,-481.7889404296875,86,430000,32.7537
2269.74,56.495,87,3306.69,-497.39813232421875,87,435000,30.5653
3383.7,57.1122,88,3316.53,-606.4616088867188,88,440000,28.7278
2500.4,58.9219,89,2545.71,-616.0488891601562,89,445000,29.7897
3438.67,57.186,90,3537.05,-600.8192749023438,90,450000,29.8711
2458.55,59.6539,91,3026.01,-531.6910400390625,91,455000,34.236
2492.55,56.9535,92,1974.8,-550.299560546875,92,460000,29.9819
2905.92,56.4881,93,3883.3,-509.0088806152344,93,465000,33.6447
2529.08,57.649,94,3986.88,-513.1595458984375,94,470000,35.2991
3215.53,59.0492,95,3966.84,-601.8779296875,95,475000,34.1466
3045.11,57.7631,96,3083.89,-585.6307373046875,96,480000,30.362
3751.57,62.8215,97,3860.47,-495.3868408203125,97,485000,45.3765
3357.31,59.2678,98,4151.34,-536.1227416992188,98,490000,38.3773
3316.55,58.8877,99,4131.88,-553.5791015625,99,495000,37.5051
3733.54,60.744,100,4465.46,-518.8015747070312,100,500000,40.3327
3679.15,56.1016,101,4360.3,-586.65087890625,101,505000,33.1376
3530.53,60.9457,102,4028.53,-583.29248046875,102,510000,37.4225
3628.83,60.8506,103,4447.3,-612.0393676757812,103,515000,36.6843
3309.34,59.9324,104,3936.75,-701.6956787109375,104,520000,32.0805
3688.67,59.4303,105,4317.01,-601.3521728515625,105,525000,37.7203
3313.27,62.5428,106,4479.4,-580.420166015625,106,530000,40.9968
3719.22,60.5218,107,4677.6,-676.85546875,107,535000,34.7356
2540.65,60.2576,108,3327.63,-681.2937622070312,108,540000,36.3774
3080.88,60.7976,109,4004.72,-635.3050537109375,109,545000,41.5839
3474.54,64.8075,110,4416.78,-593.4627685546875,110,550000,46.147
3456.05,61.8492,111,4168.06,-722.5270385742188,111,555000,36.4595
3913.46,61.1639,112,4494.53,-726.4265747070312,112,560000,39.2378
3322.79,59.3102,113,3934.13,-820.447021484375,113,565000,30.7997
3136.35,60.267,114,3860.41,-867.5504150390625,114,570000,32.4177
2645.92,60.9224,115,3324.89,-746.7271118164062,115,575000,35.974
4231.22,62.1677,116,4531.42,-748.5872802734375,116,580000,43.2252
3956.93,64.2546,117,4685.87,-740.4248046875,117,585000,46.1012
4486.61,66.8341,118,4754.41,-684.1068115234375,118,590000,49.6225
4324.68,65.2359,119,3829.64,-717.6367797851562,119,595000,44.6817
3501.45,62.4882,120,4273.83,-817.9553833007812,120,600000,39.5796
4141.26,64.2784,121,4333.66,-879.7741088867188,121,605000,41.8933
4074.98,62.8817,122,4436.88,-883.7692260742188,122,610000,37.5864
4377.65,66.5912,123,4495.87,-774.15087890625,123,615000,49.0556
4283.24,60.1977,124,4485.8,-946.2943115234375,124,620000,34.2166
4286.32,65.3241,125,4872.97,-806.156005859375,125,625000,48.2291
3894.06,62.8997,126,4611.56,-881.7103881835938,126,630000,41.6152
4186.04,64.349,127,4734.65,-833.037109375,127,635000,45.7119
4162.5,64.5713,128,4523.81,-870.4545288085938,128,640000,44.2974
4412.48,63.0633,129,4914.92,-845.18115234375,129,645000,43.3246
4340.43,63.8085,130,4780.8,-838.4019165039062,130,650000,45.4467
2997.36,62.1507,131,3554.21,-996.8336791992188,131,655000,33.9829
4415.63,66.1489,132,4571.64,-879.6500244140625,132,660000,48.7689
3665.04,63.3891,133,4697.6,-906.4725341796875,133,665000,42.5966
4383.56,61.2474,134,4560.59,-968.1873779296875,134,670000,40.9129
3855.19,64.8101,135,4577.02,-1055.1221923828125,135,675000,41.2505
4651.97,62.1874,136,5160.19,-1011.862060546875,136,680000,37.9096
4412.53,66.6575,137,4947.69,-980.8282470703125,137,685000,49.5102
4051.76,63.2527,138,4938.48,-1050.7044677734375,138,690000,41.3737
4157.8,68.1477,139,4974.28,-1080.05517578125,139,695000,48.3079
3974.24,61.1579,140,4750.46,-1125.2467041015625,140,700000,38.3643
4361.58,67.9232,141,4744.98,-1098.19384765625,141,705000,49.7868
4638.52,68.1785,142,4696.31,-1125.2572021484375,142,710000,50.5047
4429.21,68.4749,143,4861.64,-1089.7281494140625,143,715000,53.5458
4103.5,65.7413,144,4345.53,-1109.7550048828125,144,720000,42.6668
4301.03,65.1525,145,4877.79,-1159.952880859375,145,725000,46.2097
4721.1,66.2313,146,5140.06,-1185.015869140625,146,730000,48.263
3925.59,67.522,147,5145.83,-1211.1025390625,147,735000,48.3727
4636.89,64.7646,148,5274.19,-1212.953369140625,148,740000,44.2191
4217.73,69.9233,149,4816.45,-1235.1494140625,149,745000,50.5735
4488.65,63.8805,150,4885.63,-1289.2186279296875,150,750000,43.6527
3998.07,64.0422,151,5318.98,-1294.04541015625,151,755000,41.5366
4343.82,65.9154,152,5136.53,-1315.949951171875,152,760000,48.0229
4548.99,67.328,153,4661.13,-1295.302734375,153,765000,47.1058
3930.83,67.035,154,4696.47,-1328.157470703125,154,770000,43.7099
4130.36,66.5228,155,5149.66,-1378.9107666015625,155,775000,46.3626
4326.09,65.2356,156,4978.55,-1417.705078125,156,780000,46.8562
4586.47,64.8229,157,5173.68,-1384.561279296875,157,785000,46.1368
4668.92,67.5732,158,4571.4,-1396.111572265625,158,790000,47.7414
4475.3,71.3246,159,4432.26,-1525.863525390625,159,795000,55.8971
4362.0,63.1403,160,3859.69,-1485.1893310546875,160,800000,44.6894
4665.44,69.7772,161,5341.57,-1440.09375,161,805000,51.9995
4849.68,67.5969,162,5103.62,-1541.5875244140625,162,810000,47.9448
4714.4,66.9594,163,5158.65,-1433.4412841796875,163,815000,49.2751
4764.93,62.8892,164,5181.68,-1587.212890625,164,820000,42.7199
4715.72,67.3045,165,4586.05,-1614.477294921875,165,825000,51.2797
4783.81,65.5236,166,5256.11,-1536.6024169921875,166,830000,44.2192
4479.09,65.3696,167,4586.69,-1614.046630859375,167,835000,46.2784
4551.57,65.5522,168,4926.29,-1643.75732421875,168,840000,46.8567
4168.88,67.4489,169,5371.43,-1673.3062744140625,169,845000,48.7786
3179.61,62.1984,170,4954.91,-1697.414794921875,170,850000,39.1398
4960.98,67.5612,171,5087.65,-1779.9420166015625,171,855000,52.0602
4573.74,66.9816,172,5173.9,-1758.263916015625,172,860000,50.9928
4768.85,68.6135,173,5262.92,-1851.03076171875,173,865000,49.2614
4597.7,69.3893,174,5110.11,-1788.581787109375,174,870000,52.9432
4963.59,68.2431,175,4762.83,-1891.6395263671875,175,875000,48.1457
4633.85,64.5314,176,5409.72,-1994.9769287109375,176,880000,42.0273
4995.63,65.2456,177,5349.46,-1821.427001953125,177,885000,46.7237
4522.31,65.356,178,4995.07,-1891.23681640625,178,890000,46.015
4996.69,70.0515,179,5283.87,-2001.6348876953125,179,895000,56.018
4468.82,69.5825,180,4882.16,-2031.292724609375,180,900000,50.4675
4645.67,62.3689,181,5387.71,-1996.0440673828125,181,905000,38.5962
4921.33,68.6575,182,5323.28,-2098.424072265625,182,910000,50.1741
4976.59,68.3043,183,5300.28,-2101.3076171875,183,915000,52.285
4773.61,65.5432,184,5361.88,-2158.12255859375,184,920000,45.1892
5069.37,69.6519,185,5033.32,-2182.37060546875,185,925000,55.002
4492.67,66.0285,186,5304.15,-2176.1474609375,186,930000,44.596
5184.41,66.6903,187,5203.5,-2187.186279296875,187,935000,49.761
4767.95,65.4152,188,5255.14,-2312.40478515625,188,940000,48.1516
4608.77,67.1009,189,5071.46,-2289.329345703125,189,945000,53.316
4587.04,63.7371,190,4615.79,-2235.11279296875,190,950000,45.7226
4942.17,65.8236,191,5219.68,-2355.96533203125,191,955000,48.7064
4601.3,66.4104,192,5007.83,-2460.51416015625,192,960000,52.1739
4133.92,66.204,193,4983.14,-2438.259765625,193,965000,49.1723
3847.85,64.2518,194,4566.4,-2453.054931640625,194,970000,45.2135
4201.42,66.2163,195,5145.71,-2447.85888671875,195,975000,48.0935
4217.83,61.7091,196,5266.5,-2461.428466796875,196,980000,40.846
