Itration,Running Update Time,Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return
78,78,390000,3218.28,17.8217,-79.46898651123047,9.9361,3214.3
79,79,395000,3255.73,17.939,-401.1936950683594,19.3081,3148.13
80,80,400000,1181.21,19.4989,-1771.1490478515625,61.2549,1017.8
81,81,405000,3129.17,19.8098,-1492.929443359375,37.7179,1954.84
82,82,410000,3287.45,17.5989,-283.7698669433594,10.5688,2989.59
83,83,415000,3277.89,19.0314,-1303.04638671875,22.9261,2412.53
84,84,420000,3289.23,17.6249,-500.0987854003906,18.3835,2675.29
85,85,425000,3241.45,18.504,-789.038330078125,24.4397,2724.07
86,86,430000,3253.77,17.9418,-636.8486328125,17.8368,2558.83
87,87,435000,3261.3,16.7497,-308.57843017578125,10.9563,2890.58
88,88,440000,3254.72,18.7037,-958.2911376953125,25.9879,2264.85
89,89,445000,3309.37,18.3222,-600.5061645507812,24.2194,2493.04
90,90,450000,3270.62,17.3814,-215.538818359375,10.282,3208.31
91,91,455000,3204.49,17.3955,-499.616943359375,16.9884,3094.04
92,92,460000,1054.68,21.7577,-2653.88916015625,57.6172,1096.17
93,93,465000,3288.91,17.32,-468.1734924316406,12.8742,2892.19
94,94,470000,3329.74,17.3929,-508.5397644042969,12.6783,2676.82
95,95,475000,3284.59,17.3643,-501.822021484375,17.5364,2741.49
96,96,480000,1167.74,21.6626,-2414.399658203125,42.6783,1070.1
97,97,485000,3340.73,18.1261,-1023.93115234375,24.2901,2391.22
98,98,490000,3341.06,16.8719,-504.71612548828125,13.8258,2504.6
99,99,495000,3299.67,19.0151,-1555.6153564453125,21.3821,1925.79
100,100,500000,3287.33,17.6894,-259.74639892578125,9.823,2759.17
101,101,505000,3366.44,16.4396,-262.4546813964844,10.9972,3349.31
102,102,510000,3300.32,17.6347,-503.3378601074219,16.1291,3043.03
103,103,515000,3378.97,17.126,-1037.0125732421875,29.7115,3018.48
104,104,520000,3420.74,17.4555,-1225.04541015625,31.7255,2490.83
105,105,525000,3306.07,18.5668,-215.34617614746094,11.7474,2922.7
106,106,530000,3395.26,16.1275,-168.7819366455078,10.4229,3342.89
107,107,535000,3336.25,16.193,-223.85617065429688,10.2136,3230.64
108,108,540000,3412.09,19.0108,-2236.05419921875,51.6863,1922.82
109,109,545000,3399.18,19.3776,-2087.50537109375,30.6955,1432.42
110,110,550000,3312.03,16.4505,-234.073486328125,9.9432,2961.75
111,111,555000,3331.21,16.4649,-254.84671020507812,10.7031,3300.57
112,112,560000,3436.43,16.1861,-270.44390869140625,10.9938,3161.93
113,113,565000,3344.25,17.4167,-844.3610229492188,29.8329,3278.66
114,114,570000,3361.82,16.8121,-170.4351806640625,11.3809,2825.58
115,115,575000,3477.47,18.1238,-310.862548828125,11.9592,3412.23
116,116,580000,1513.01,21.1943,-3774.747802734375,123.3931,1007.48
117,117,585000,3363.65,16.3951,-279.72076416015625,9.9421,3158.39
118,118,590000,3406.12,17.2676,-507.9773254394531,11.753,3378.25
119,119,595000,3428.1,16.66,-260.9129333496094,11.2441,3244.76
120,120,600000,3346.87,17.3022,-608.9329833984375,20.2986,3213.71
121,121,605000,3350.2,16.2861,-300.2736511230469,10.3344,3319.54
122,122,610000,3390.14,17.4873,-263.1362609863281,11.4351,2061.77
123,123,615000,3399.72,16.9054,-453.4361267089844,11.0685,3335.21
124,124,620000,3492.01,17.9909,-266.8632507324219,12.0169,3408.5
125,125,625000,3452.82,17.636,-1224.6053466796875,20.3702,2627.5
126,126,630000,3380.03,19.3561,-2178.26171875,49.8256,2386.53
127,127,635000,3382.97,17.4796,-1496.4476318359375,33.7709,3071.2
128,128,640000,3388.74,17.9965,-1174.7745361328125,19.8464,3162.89
129,129,645000,3463.54,16.2929,-334.85498046875,10.4519,3402.99
130,130,650000,3431.16,17.1741,-345.05145263671875,11.1008,3289.77
131,131,655000,3387.12,16.3837,-202.7023162841797,10.4239,3205.26
132,132,660000,3432.23,18.3926,-2072.529541015625,52.2145,2797.78
133,133,665000,3479.34,17.9876,-324.0531005859375,11.4433,2963.4
134,134,670000,3442.74,17.078,-1195.3087158203125,27.096,3055.18
135,135,675000,3426.46,15.7142,-484.3465576171875,12.905,3246.06
136,136,680000,3469.19,16.3173,-311.8233337402344,10.659,3438.78
137,137,685000,3446.18,15.175,-285.8333435058594,10.0306,3411.62
138,138,690000,3284.17,18.2505,-1259.808349609375,19.9893,2882.17
139,139,695000,3457.56,16.7879,-312.3641662597656,11.0262,3418.62
140,140,700000,3450.02,15.9902,-277.28680419921875,10.4598,3414.7
141,141,705000,3469.22,16.8479,-635.9074096679688,17.3653,3079.41
142,142,710000,3442.21,17.9548,-2036.7900390625,45.4739,1929.42
143,143,715000,3458.94,16.9146,-761.828125,17.1391,3401.28
144,144,720000,3487.48,16.4079,-362.81878662109375,10.8757,3367.91
145,145,725000,3456.3,17.9404,-1431.4908447265625,22.5617,2056.0
146,146,730000,3435.13,20.086,-2499.811767578125,19.5557,1376.42
147,147,735000,3401.99,17.1082,-1015.2595825195312,19.5703,2136.33
148,148,740000,3439.58,18.4064,-1710.0770263671875,35.5643,2860.84
149,149,745000,3452.59,16.2201,-247.64393615722656,10.7871,3201.87
150,150,750000,3405.72,15.8681,-417.3169250488281,9.5312,3384.94
151,151,755000,3486.3,16.6263,-359.84393310546875,11.8714,3463.92
152,152,760000,3363.03,16.6154,-733.0350341796875,12.2895,2476.86
