Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Itration
25.4354,188.61,39.8572,185.05,0
24.9316,263.97,38.0148,265.97,1
28.9387,265.14,38.0535,267.99,2
20.0669,281.39,37.6331,285.1,3
24.2287,275.48,37.872,283.42,4
19.3702,286.93,37.7171,289.41,5
18.2777,292.36,36.5822,299.94,6
22.7293,310.02,36.4497,313.52,7
16.4847,339.82,35.333,337.34,8
17.5821,377.77,35.4969,414.93,9
17.3944,481.31,32.7222,404.56,10
15.5406,436.74,31.8304,410.7,11
16.4771,738.02,31.253,690.36,12
19.9003,773.37,31.1884,638.4,13
17.1433,738.86,30.6374,695.86,14
36.7891,837.36,29.8153,821.86,15
32.7212,2016.96,29.0505,2163.32,16
25.0354,1494.38,29.6102,1221.33,17
28.077,1049.22,30.055,1106.8,18
31.0743,1117.32,29.8249,1189.2,19
31.075,1279.01,28.9052,1350.03,20
37.229,1023.58,30.7026,1260.51,21
19.6778,1064.29,29.7834,1351.54,22
23.363,1344.01,29.0851,1720.74,23
17.4864,1329.5,28.8856,1164.5,24
27.9293,1170.27,29.8725,1283.51,25
26.0649,1103.01,30.6828,836.32,26
27.2475,1113.22,28.8585,835.23,27
19.1767,2018.14,29.2288,2140.96,28
