Real Sto Return,Real Det Return,Running Reverse KL,Running Update Time,Itration,Running Forward KL,Running Env Steps,Reward Loss
-57.49,691.88,25.9685,0,0,75.0488,0,-27.869091033935547
-84.12,351.34,26.0605,1,1,73.8567,5000,-36.23478698730469
-23.05,497.79,26.3401,2,2,73.1044,10000,-60.22275924682617
-3.13,733.05,27.568,3,3,72.6716,15000,-65.45484161376953
24.56,424.07,27.4723,4,4,72.9569,20000,-79.49807739257812
47.62,664.52,29.0647,5,5,73.0821,25000,-94.92189025878906
61.6,694.61,29.2811,6,6,71.3205,30000,-105.78009033203125
122.5,735.1,30.806,7,7,71.7539,35000,-122.4621353149414
129.31,838.52,31.0302,8,8,70.7484,40000,-136.01246643066406
132.85,737.57,31.2456,9,9,69.0974,45000,-150.29470825195312
114.21,862.06,31.6269,10,10,71.9248,50000,-161.259033203125
140.63,752.58,31.2548,11,11,73.0728,55000,-167.9327850341797
176.41,909.61,31.1988,12,12,72.698,60000,-185.47454833984375
191.27,744.3,31.7818,13,13,73.7703,65000,-194.9287109375
112.37,790.13,31.5573,14,14,73.1671,70000,-210.86534118652344
188.13,836.7,31.6704,15,15,71.9411,75000,-225.0909881591797
203.82,679.67,31.2774,16,16,71.7425,80000,-232.2403564453125
201.42,818.54,30.5473,17,17,72.7611,85000,-240.74822998046875
199.49,847.11,31.317,18,18,72.1969,90000,-254.233154296875
226.86,702.54,30.9681,19,19,73.0028,95000,-267.3797912597656
193.31,828.66,31.5211,20,20,72.955,100000,-283.1645202636719
172.06,918.72,31.702,21,21,73.2901,105000,-298.0057678222656
229.04,732.71,31.122,22,22,71.8563,110000,-304.6096496582031
193.44,717.67,31.5396,23,23,72.1223,115000,-319.4532775878906
203.25,813.71,31.4371,24,24,72.0675,120000,-330.2112731933594
197.41,878.32,31.2372,25,25,72.7811,125000,-340.2689514160156
230.61,897.48,31.3287,26,26,72.4535,130000,-358.1326904296875
244.01,770.01,31.2109,27,27,71.1438,135000,-368.7704772949219
164.82,756.6,30.4875,28,28,70.3094,140000,-377.9709777832031
228.19,882.91,31.7429,29,29,71.6731,145000,-393.55889892578125
178.52,907.77,31.5731,30,30,73.1656,150000,-408.6451721191406
227.02,807.42,30.9057,31,31,70.7513,155000,-412.6730041503906
244.63,933.06,31.3778,32,32,72.8724,160000,-435.52716064453125
231.77,924.29,31.4683,33,33,73.824,165000,-451.1727294921875
205.42,891.72,31.3024,34,34,73.0044,170000,-461.2388916015625
208.19,691.71,31.4591,35,35,74.1259,175000,-474.64630126953125
182.29,927.14,31.326,36,36,71.3711,180000,-488.2586364746094
236.01,773.43,31.6973,37,37,73.0801,185000,-503.5814514160156
235.79,790.5,31.8043,38,38,73.3279,190000,-516.3145751953125
243.05,845.82,31.1148,39,39,71.3622,195000,-530.8114013671875
250.23,884.85,31.4827,40,40,73.9534,200000,-543.7471313476562
262.24,912.58,31.3982,41,41,73.9777,205000,-555.8404541015625
245.82,886.35,31.1268,42,42,70.558,210000,-568.3106079101562
237.61,808.01,31.281,43,43,72.7335,215000,-589.6315307617188
288.96,842.65,31.2443,44,44,70.5486,220000,-597.9718627929688
219.39,889.75,31.435,45,45,72.8483,225000,-615.3906860351562
286.31,954.32,30.9735,46,46,71.6983,230000,-633.1581420898438
287.76,933.45,31.4222,47,47,73.8136,235000,-657.9719848632812
199.89,869.07,31.6825,48,48,72.7396,240000,-672.0087890625
250.35,838.19,31.334,49,49,73.548,245000,-685.0228881835938
215.62,941.58,31.6452,50,50,73.4235,250000,-706.0477294921875
248.05,680.82,31.5875,51,51,75.2559,255000,-722.7129516601562
277.89,803.51,31.0516,52,52,74.6261,260000,-732.46875
226.99,926.61,31.5242,53,53,73.0784,265000,-754.1947021484375
282.85,828.14,31.7485,54,54,73.4238,270000,-766.24609375
280.69,934.1,31.6271,55,55,72.6844,275000,-786.1439208984375
229.14,948.1,31.454,56,56,74.3869,280000,-804.5821533203125
277.84,897.66,31.3864,57,57,72.6398,285000,-819.0911254882812
248.8,844.62,31.0117,58,58,73.2103,290000,-838.6255493164062
222.97,835.14,31.4711,59,59,74.3759,295000,-857.2279052734375
324.94,1005.97,31.4135,60,60,75.2011,300000,-883.108154296875
301.36,935.09,31.4975,61,61,73.9195,305000,-898.1884155273438
229.54,927.24,31.0158,62,62,74.3009,310000,-918.2850952148438
235.14,893.49,31.5894,63,63,73.5861,315000,-937.506591796875
301.92,942.75,31.2242,64,64,74.4983,320000,-954.0601806640625
261.55,994.53,31.389,65,65,73.3368,325000,-971.6160278320312
294.07,838.28,30.9611,66,66,73.6328,330000,-992.757568359375
307.31,940.09,30.9004,67,67,73.7539,335000,-1010.996337890625
252.22,795.58,31.1584,68,68,73.4794,340000,-1031.434814453125
235.47,899.33,30.8213,69,69,74.5196,345000,-1048.3343505859375
282.79,953.52,31.3802,70,70,73.7788,350000,-1068.1873779296875
303.73,879.31,31.3427,71,71,72.2634,355000,-1104.108154296875
299.75,899.64,31.0526,72,72,73.4533,360000,-1121.4576416015625
289.32,913.38,31.5722,73,73,73.5803,365000,-1142.0528564453125
289.16,947.3,31.0506,74,74,74.4773,370000,-1175.88671875
310.77,888.13,31.3545,75,75,74.8053,375000,-1193.5458984375
305.71,950.08,31.4539,76,76,75.1649,380000,-1213.0830078125
272.9,898.51,31.3995,77,77,74.067,385000,-1242.418701171875
239.74,809.97,31.3106,78,78,73.965,390000,-1250.7890625
263.0,753.04,30.821,79,79,74.0489,395000,-1269.4798583984375
300.19,948.17,31.6299,80,80,73.8147,400000,-1301.5419921875
281.2,898.17,31.485,81,81,74.4684,405000,-1324.7327880859375
206.92,761.98,30.8834,82,82,73.4925,410000,-1358.30029296875
224.81,785.28,31.5155,83,83,75.6813,415000,-1393.0343017578125
