Itration,Running Reverse KL,Running Env Steps,Running Forward KL,Running Update Time,Reward Loss,Real Sto Return,Real Det Return
0,13.256,0,49.4989,0,135.92335510253906,312.37,308.28
1,18.8142,5000,50.6142,1,58.36972427368164,374.82,361.35
2,43.3714,10000,49.6497,2,2.5172829627990723,419.37,418.79
3,46.4945,15000,50.1391,3,65.32359313964844,267.86,234.9
4,25.3627,20000,49.5794,4,-7.537901401519775,369.96,405.04
5,13.797,25000,49.2373,5,61.8751335144043,404.69,426.3
6,12.661,30000,48.6164,6,57.929039001464844,476.93,1013.35
7,13.8929,35000,49.1581,7,35.85973358154297,448.02,484.5
8,12.9381,40000,48.643,8,180.33531188964844,584.84,486.61
9,16.8379,45000,48.8564,9,94.19348907470703,501.3,567.82
10,18.6986,50000,48.0782,10,-87.11439514160156,599.06,590.78
11,13.8423,55000,48.72,11,39.73147201538086,619.04,641.46
12,12.5468,60000,48.0427,12,96.66299438476562,575.59,611.48
13,15.0241,65000,48.2032,13,108.99523162841797,600.46,643.13
14,24.291,70000,48.3183,14,-156.96510314941406,600.59,666.5
15,20.7755,75000,47.2944,15,-95.76994323730469,597.49,674.38
16,16.5376,80000,47.7494,16,44.51123046875,759.89,853.37
17,12.885,85000,47.2065,17,-13.213038444519043,640.88,726.14
18,17.7022,90000,46.893,18,-171.22149658203125,649.26,816.5
19,15.4819,95000,46.8944,19,-80.2005844116211,660.65,718.32
20,13.2493,100000,46.624,20,-27.66925048828125,690.69,700.28
21,12.579,105000,47.4714,21,-101.44141387939453,702.31,777.66
22,15.3748,110000,46.6004,22,-184.0665283203125,752.28,732.26
23,14.356,115000,46.2584,23,-185.93528747558594,896.66,1317.86
24,15.2648,120000,46.1571,24,-149.7604522705078,785.0,891.57
25,15.6872,125000,46.9603,25,-244.72776794433594,816.39,743.41
26,27.4434,130000,47.1079,26,-370.366943359375,795.71,924.92
27,16.5426,135000,47.7963,27,-250.19430541992188,643.57,768.12
28,15.2597,140000,47.9236,28,-222.00462341308594,630.12,790.04
29,13.1509,145000,46.2025,29,-177.5469512939453,639.31,816.3
30,20.0237,150000,48.1209,30,-353.6709289550781,1021.13,1021.17
31,28.3546,155000,53.3399,31,-394.4531555175781,1131.22,1162.93
32,21.8474,160000,47.1551,32,-407.656494140625,946.4,1036.19
33,17.6875,165000,48.8341,33,-332.89984130859375,963.55,1037.67
34,28.1264,170000,48.4876,34,-422.874755859375,802.76,842.21
35,29.3679,175000,52.6563,35,-440.63330078125,-7.89,-12.62
36,22.6814,180000,53.0717,36,-468.3622741699219,1032.75,1026.93
37,40.2003,185000,54.9946,37,-523.345458984375,1043.93,1026.33
38,21.4731,190000,48.0352,38,-405.865478515625,531.73,630.29
39,27.5408,195000,50.7258,39,-487.8651428222656,926.74,902.0
40,22.5303,200000,46.8764,40,-446.24530029296875,796.16,488.37
41,21.0556,205000,48.0647,41,-441.2773132324219,717.93,879.57
