Real Det Return,Running Reverse KL,Itration,Running Forward KL,Real Sto Return
211.29,13.659,0,49.2974,375.82
391.36,16.8515,1,49.2964,316.48
411.85,17.7061,2,49.6973,397.43
434.25,15.3806,3,49.8775,437.8
358.4,33.4119,4,49.4967,349.78
394.84,37.3437,5,49.5989,423.69
503.38,24.1493,6,49.7434,447.25
450.11,19.8684,7,49.3057,451.2
459.27,15.765,8,48.8866,449.96
621.55,18.0922,9,48.4236,447.27
451.6,20.2708,10,49.5014,455.97
457.6,24.1252,11,49.2528,472.7
627.83,18.9089,12,49.1807,504.13
497.4,16.8365,13,48.3518,662.07
1149.08,12.6255,14,47.2822,925.74
819.69,21.2397,15,48.2055,831.45
1047.98,18.2864,16,47.411,833.38
541.02,17.83,17,48.1792,666.78
521.97,14.1984,18,47.6458,607.91
731.04,17.2037,19,46.9803,1246.23
2125.03,15.7682,20,45.3496,1731.35
2909.85,13.7714,21,45.6614,2332.42
2854.03,14.1888,22,44.4462,2344.18
1825.21,12.7408,23,43.1015,2113.25
2359.74,13.5064,24,43.893,2704.85
2813.94,15.7957,25,44.1593,3204.77
3216.42,16.0058,26,43.4715,3227.8
3728.47,15.2907,27,42.2863,3213.27
3041.16,15.9048,28,44.1667,2477.12
3819.28,16.205,29,42.0553,3093.37
3849.49,14.8796,30,41.1486,3442.31
3794.36,16.9458,31,41.9381,3591.83
3917.1,16.0368,32,40.2346,3946.22
4028.3,16.5526,33,40.5009,3799.63
4034.87,17.2061,34,40.3464,3843.07
3991.48,16.158,35,40.6205,3909.73
4079.73,16.054,36,40.183,3946.86
4075.82,16.1588,37,40.0169,3834.42
4143.18,17.4839,38,39.3323,4052.74
4005.54,16.3263,39,40.1813,3979.69
4187.43,16.7431,40,39.3051,4198.85
4268.77,16.6984,41,38.4296,3880.24
4175.53,16.9829,42,38.3342,4085.18
4224.01,16.5758,43,38.207,3964.98
4267.88,14.4864,44,39.2219,3379.76
4317.61,16.1686,45,38.0269,3819.17
4401.39,15.987,46,37.9896,3585.53
4211.47,18.138,47,39.1186,4190.22
4181.44,17.6264,48,38.0817,4236.84
4178.25,17.7393,49,38.6166,4195.56
4469.22,17.6097,50,38.1378,4210.1
4311.58,16.6887,51,37.9394,4244.01
4207.86,16.9297,52,38.2476,4227.79
4143.49,16.8433,53,37.8519,4025.14
4292.81,16.447,54,38.3832,4079.29
4274.64,16.7108,55,37.8053,4269.95
4652.28,16.8218,56,36.8601,4360.76
4499.7,17.7681,57,36.722,4309.86
4437.52,15.1488,58,38.3459,3590.86
4413.7,17.4934,59,37.4618,4251.92
4381.39,17.1177,60,37.6152,4293.78
4306.86,18.2178,61,38.1903,4314.75
4487.14,15.8641,62,36.4455,4240.56
4213.11,16.4507,63,37.8345,4169.33
4476.27,16.3493,64,36.555,4227.69
4429.4,16.5176,65,36.7016,4142.4
4231.26,15.7,66,37.5521,3984.34
4518.18,17.2372,67,36.3774,4209.88
