Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Itration,Real Det Return,Running Reverse KL,Running Forward KL
0,0,217.11,-186.87908935546875,0,218.55,21.5482,34.2992
1,5000,234.53,-49.75672149658203,1,230.99,15.7484,30.2985
2,10000,321.83,-118.90943908691406,2,341.2,24.6604,31.4593
3,15000,435.81,-188.8236846923828,3,445.85,42.6521,31.5008
4,20000,403.83,-250.63038635253906,4,411.56,29.8334,30.9838
5,25000,624.6,-223.52932739257812,5,497.32,41.0878,27.2596
6,30000,729.24,-307.54266357421875,6,805.87,25.9649,27.4024
7,35000,830.46,-341.8444519042969,7,937.43,26.9654,26.2215
8,40000,752.34,-433.00421142578125,8,771.31,23.9483,26.0353
9,45000,1068.41,-469.01580810546875,9,960.35,23.3376,24.983
10,50000,767.08,-530.9844360351562,10,729.01,22.3261,26.8646
11,55000,924.48,-497.63824462890625,11,977.4,20.1527,25.7864
12,60000,973.84,-923.7268676757812,12,983.07,65.3023,25.5595
13,65000,924.39,-994.4776611328125,13,919.03,79.5236,25.0494
14,70000,1090.29,-661.9640502929688,14,911.74,20.6453,24.4156
15,75000,1096.04,-691.7217407226562,15,806.74,23.7897,24.4819
16,80000,1293.74,-832.3547973632812,16,1552.82,35.7006,23.9928
17,85000,1421.62,-930.0509033203125,17,1292.4,45.7358,23.4379
18,90000,1449.65,-1124.3106689453125,18,1839.7,50.9551,25.129
19,95000,1106.36,-943.089599609375,19,1066.38,50.1187,24.1601
20,100000,1417.74,-813.21240234375,20,1773.08,37.8483,23.4453
21,105000,1475.52,-1043.620849609375,21,2626.95,41.6654,22.4816
22,110000,1661.33,-720.7593994140625,22,2249.53,19.7324,23.858
23,115000,1293.43,-896.1824951171875,23,1986.51,18.1332,23.5843
24,120000,885.99,-989.2290649414062,24,874.22,23.0385,25.1692
25,125000,1511.55,-735.3560180664062,25,2931.0,16.0373,22.8231
26,130000,1337.07,-1223.92578125,26,2341.77,22.3341,24.4949
27,135000,1091.01,-1031.79345703125,27,1088.57,17.9156,23.6537
28,140000,1859.72,-1092.6007080078125,28,3162.8,37.8517,22.8026
29,145000,1046.56,-1207.636962890625,29,1290.43,31.9431,24.1189
30,150000,1272.75,-1287.5228271484375,30,1135.73,26.5199,22.6775
31,155000,2863.26,-723.6290893554688,31,2531.25,12.8099,22.0929
32,160000,2247.31,-687.2117309570312,32,3072.32,11.3033,22.2278
33,165000,2708.8,-696.6104736328125,33,3217.84,13.4046,22.0838
34,170000,2765.58,-669.62158203125,34,3138.34,13.5553,22.0237
35,175000,3230.26,-676.08447265625,35,3217.73,14.6131,23.4477
36,180000,3214.7,-638.497802734375,36,3214.24,11.9458,21.4484
37,185000,3109.73,-604.5177001953125,37,3198.6,11.6228,21.3672
38,190000,3251.85,-553.7965087890625,38,3280.74,11.3915,20.2213
39,195000,3258.43,-635.391357421875,39,3253.17,10.9791,20.6339
40,200000,3280.84,-676.9014892578125,40,3319.79,11.7244,20.8998
41,205000,3261.54,-667.118896484375,41,3288.3,11.6906,20.6855
42,210000,3207.98,-695.6763916015625,42,3228.79,12.1003,20.9617
43,215000,3256.43,-639.6962280273438,43,3272.91,11.1728,19.8966
44,220000,3078.87,-581.0060424804688,44,3398.02,13.3791,20.8247
45,225000,3208.18,-626.3573608398438,45,3423.0,11.1195,19.2999
46,230000,3227.29,-1023.8223876953125,46,3383.75,12.5409,20.3303
47,235000,3237.2,-763.4866943359375,47,3407.68,11.6985,19.9163
48,240000,2967.87,-665.86572265625,48,3337.52,10.6811,18.8128
49,245000,2227.08,-1132.0372314453125,49,3353.21,13.5894,21.0163
50,250000,2735.32,-1051.7513427734375,50,3415.7,11.471,19.7813
51,255000,3227.37,-729.5383911132812,51,3468.16,11.7697,18.8782
52,260000,3282.23,-730.4692993164062,52,3418.88,11.3296,19.4109
53,265000,3388.1,-757.52001953125,53,3420.73,11.2226,19.1515
54,270000,3412.09,-872.2648315429688,54,3441.13,11.654,20.011
55,275000,3178.39,-754.6484375,55,3396.31,12.7727,19.7251
56,280000,3425.9,-923.0477294921875,56,3432.68,13.1193,19.8694
57,285000,3415.24,-795.0845336914062,57,3433.11,13.3092,19.6719
58,290000,3439.21,-774.8829345703125,58,3454.14,12.5554,19.673
59,295000,3287.8,-832.0498657226562,59,3405.96,12.7785,20.4716
60,300000,3325.25,-858.3511352539062,60,3435.18,11.7607,19.5157
61,305000,3424.09,-824.5861206054688,61,3432.11,12.8935,19.0845
62,310000,3442.95,-853.8041381835938,62,3476.28,12.9088,19.7643
63,315000,3459.28,-841.4011840820312,63,3478.25,12.5886,19.5079
64,320000,3125.67,-845.2720336914062,64,3488.2,11.8072,19.1239
65,325000,3448.64,-696.71875,65,3483.16,11.5754,17.897
66,330000,3433.87,-788.4864501953125,66,3442.67,11.4098,17.9446
67,335000,3429.51,-925.0440063476562,67,3458.79,12.4457,18.9717
68,340000,3398.84,-770.731689453125,68,3391.73,10.9502,18.0396
69,345000,3380.89,-909.6165771484375,69,3487.14,12.2977,19.0429
70,350000,3465.96,-895.0718994140625,70,3483.28,12.4109,18.8699
71,355000,3330.36,-889.6943969726562,71,3496.6,12.8025,19.0796
72,360000,3460.21,-866.1559448242188,72,3513.56,11.296,17.9585
73,365000,3479.35,-950.6336669921875,73,3501.16,12.1859,18.8776
74,370000,3337.57,-1060.142333984375,74,3502.23,11.84,19.2233
75,375000,3195.08,-1016.516357421875,75,3500.28,14.7074,19.4711
76,380000,3499.2,-978.6200561523438,76,3530.46,11.6489,18.5164
77,385000,3498.9,-873.7832641601562,77,3533.53,13.2304,19.1392
78,390000,3500.77,-983.7793579101562,78,3545.98,11.2324,18.3518
79,395000,3447.76,-1038.30029296875,79,3503.35,11.3837,18.4131
80,400000,3465.77,-1114.0765380859375,80,3500.41,11.7113,19.3987
81,405000,3369.64,-1036.0634765625,81,3507.96,11.6971,18.576
82,410000,3420.65,-1083.243896484375,82,3444.54,11.1233,18.4282
83,415000,3460.12,-1012.151611328125,83,3505.09,10.6201,17.9148
84,420000,3161.06,-996.6417846679688,84,3512.43,11.5339,18.4047
85,425000,3479.82,-1067.636962890625,85,3512.89,12.0434,18.1142
86,430000,3454.38,-973.14208984375,86,3547.0,11.6055,18.0646
87,435000,3283.38,-1302.304931640625,87,3534.84,16.3131,18.3995
88,440000,3496.09,-966.2691040039062,88,3531.7,11.6348,17.3997
89,445000,3490.62,-1008.2284545898438,89,3518.4,11.3833,17.9079
90,450000,3486.78,-1018.0913696289062,90,3525.76,12.2894,17.997
91,455000,2798.74,-1623.2366943359375,91,3510.82,17.5085,19.6268
92,460000,3489.08,-1023.8626098632812,92,3540.11,11.9158,18.5372
93,465000,3470.44,-1111.6959228515625,93,3515.35,11.2479,17.5725
94,470000,3511.77,-941.2654418945312,94,3551.21,11.9102,18.6484
95,475000,3027.2,-1677.5555419921875,95,3511.97,18.4017,18.6842
96,480000,3475.16,-1162.90625,96,3501.4,11.8967,17.8826
97,485000,3238.82,-1218.1031494140625,97,3502.55,10.9123,18.5524
98,490000,3447.51,-1258.2906494140625,98,3499.28,10.8776,18.0842
99,495000,3336.2,-1331.4830322265625,99,3520.06,11.9487,19.1684
100,500000,3489.63,-1236.1826171875,100,3517.68,11.5552,18.3156
101,505000,3339.88,-1111.376708984375,101,3554.92,11.9392,18.5953
102,510000,3281.69,-1284.56689453125,102,3504.56,11.315,17.9729
103,515000,3390.9,-1301.050537109375,103,3534.24,12.261,18.4694
104,520000,3365.26,-1233.0802001953125,104,3534.17,12.0015,19.0492
105,525000,3183.69,-1126.94677734375,105,3522.29,10.6474,17.3833
106,530000,3018.03,-1396.6212158203125,106,3493.3,11.549,18.0236
107,535000,3378.68,-1196.230224609375,107,3522.78,10.3075,17.6869
108,540000,3400.65,-1425.614990234375,108,3504.51,11.491,18.7136
109,545000,3501.87,-1322.911865234375,109,3524.33,11.4262,17.7985
110,550000,3469.23,-1345.3912353515625,110,3518.21,11.1582,17.8876
111,555000,1718.15,-1065.2652587890625,111,3508.6,12.134,18.7198
112,560000,3453.1,-1660.3594970703125,112,3459.61,11.8928,18.7117
113,565000,3475.88,-1304.26904296875,113,3516.04,11.5941,17.5271
114,570000,3441.18,-1403.928955078125,114,3560.26,11.7876,19.0638
115,575000,3401.36,-1143.3154296875,115,3549.37,10.2591,17.3631
116,580000,3476.16,-1315.1641845703125,116,3546.34,10.5397,17.4636
117,585000,3299.31,-1441.0439453125,117,3532.09,11.1079,18.2023
118,590000,3478.67,-1319.0596923828125,118,3539.74,9.9329,16.8994
119,595000,3341.01,-1370.8482666015625,119,3459.37,10.6107,17.0333
120,600000,3487.62,-1377.1201171875,120,3535.3,10.0679,17.0207
121,605000,3509.71,-1260.6824951171875,121,3553.19,9.811,16.5163
122,610000,3497.13,-1242.41455078125,122,3523.77,11.0074,17.9739
123,615000,3108.8,-1412.2840576171875,123,3542.03,11.1602,18.3912
124,620000,3128.39,-1471.197509765625,124,3547.48,11.5575,17.4479
125,625000,3425.7,-1457.5594482421875,125,3505.5,10.7251,17.6411
126,630000,3336.28,-1262.901611328125,126,3528.77,10.1457,17.2497
127,635000,3261.85,-1514.7796630859375,127,3548.87,10.5803,17.9789
128,640000,3398.81,-1296.3309326171875,128,3547.35,10.32,17.4606
129,645000,3479.1,-1487.59326171875,129,3512.13,10.3742,17.0424
130,650000,3460.27,-1464.68310546875,130,3521.39,9.8797,16.9924
131,655000,2278.53,-1823.5775146484375,131,3563.19,19.1971,19.1372
