Running Reverse KL,Real Sto Return,Real Det Return,Running Update Time,Running Env Steps,Itration,Running Forward KL,Reward Loss
12.7916,292.17,473.06,0,0,0,49.2024,848.8311767578125
14.2005,430.66,432.18,1,5000,1,49.8637,427.0716857910156
20.5129,161.37,623.56,2,10000,2,50.8565,488.8919677734375
23.0919,383.72,436.32,3,15000,3,49.9937,655.34375
15.8502,405.98,431.66,4,20000,4,49.8252,353.74786376953125
14.6834,459.13,413.45,5,25000,5,49.4526,235.79824829101562
13.7522,427.96,326.33,6,30000,6,49.2288,265.8374328613281
13.9209,432.84,396.9,7,35000,7,48.6548,246.19161987304688
13.2416,865.16,989.48,8,40000,8,48.0371,337.5215759277344
17.1388,859.98,1045.64,9,45000,9,47.5568,126.6578369140625
14.1622,809.07,823.78,10,50000,10,47.1316,-58.940269470214844
18.2367,837.21,835.19,11,55000,11,46.8537,-127.31063079833984
15.8787,779.05,754.96,12,60000,12,46.8961,-175.99473571777344
16.8366,885.46,919.55,13,65000,13,47.0068,-7.698777198791504
18.161,934.38,1250.08,14,70000,14,46.7285,164.41665649414062
21.8613,988.67,1122.25,15,75000,15,46.7361,-145.28298950195312
15.7605,1035.16,932.69,16,80000,16,46.6507,-45.61142349243164
12.9497,789.03,904.86,17,85000,17,47.1414,-269.191162109375
14.0082,790.32,804.9,18,90000,18,46.9375,-368.2776184082031
15.9638,932.15,1009.77,19,95000,19,47.0426,-166.09423828125
12.444,940.33,917.53,20,100000,20,46.5814,-188.51971435546875
14.5874,1612.27,3097.74,21,105000,21,46.2233,-225.16744995117188
15.0203,1943.83,2045.45,22,110000,22,46.2586,-296.4571533203125
16.1786,2148.67,1547.02,23,115000,23,46.1696,-228.7599334716797
14.6038,1844.12,2056.33,24,120000,24,46.3063,-343.0118408203125
15.7715,2479.59,3123.5,25,125000,25,46.0793,-456.37628173828125
15.2761,2378.83,3016.94,26,130000,26,46.1367,-428.3175964355469
16.893,1287.88,2730.07,27,135000,27,45.5978,-476.8182373046875
20.0653,2464.92,3311.95,28,140000,28,46.129,-483.53399658203125
19.7529,2900.09,2695.78,29,145000,29,45.8194,-542.983154296875
20.1978,2931.78,2503.77,30,150000,30,45.463,-578.0691528320312
19.331,1970.87,3772.54,31,155000,31,45.9106,-599.3397827148438
17.8827,3335.75,3715.57,32,160000,32,44.7976,-724.3240966796875
19.6333,2856.32,3811.58,33,165000,33,45.5408,-766.0161743164062
17.7789,3322.73,3623.47,34,170000,34,43.9959,-767.6714477539062
19.3728,2580.15,3730.91,35,175000,35,45.501,-748.9327392578125
21.6676,2627.48,3618.69,36,180000,36,45.4421,-820.9077758789062
17.4114,3544.15,3789.49,37,185000,37,44.4996,-944.5570068359375
15.9433,2642.02,3925.27,38,190000,38,44.5879,-1011.6068115234375
15.8858,2984.9,3729.72,39,195000,39,44.7991,-1092.7200927734375
13.8204,2237.34,3396.79,40,200000,40,44.8308,-1156.32080078125
20.0749,2970.24,3627.7,41,205000,41,45.3666,-1161.666015625
13.8224,2597.84,3343.75,42,210000,42,44.6976,-1189.1097412109375
15.5418,3147.26,3755.88,43,215000,43,45.2252,-1235.0743408203125
15.9408,3631.93,3748.59,44,220000,44,45.3643,-1337.890380859375
17.1113,2852.34,3817.81,45,225000,45,44.7096,-1274.9017333984375
18.7805,3717.98,3778.65,46,230000,46,44.1999,-1293.3858642578125
18.2296,3465.05,3683.65,47,235000,47,44.7974,-1415.275146484375
17.326,3752.73,3368.41,48,240000,48,44.885,-1455.8868408203125
15.7084,3304.65,3364.14,49,245000,49,45.0549,-1507.6717529296875
18.8316,3759.41,3762.27,50,250000,50,44.9561,-1497.492431640625
16.0781,3559.66,3358.51,51,255000,51,44.3938,-1589.2294921875
18.4379,3927.39,3773.95,52,260000,52,44.4385,-1551.683837890625
18.3166,3866.24,3874.23,53,265000,53,44.5688,-1598.2222900390625
18.0227,3865.45,3941.49,54,270000,54,44.3941,-1597.7491455078125
19.2809,3972.8,4015.74,55,275000,55,44.9861,-1655.279052734375
15.9492,3628.96,3735.33,56,280000,56,44.9784,-1727.973388671875
18.4928,3783.46,4183.37,57,285000,57,44.575,-1727.8997802734375
20.431,4076.68,4177.72,58,290000,58,44.7783,-1654.8040771484375
19.7024,3953.33,4168.48,59,295000,59,44.5539,-1802.716064453125
18.4825,3761.36,3992.95,60,300000,60,44.6413,-1890.5360107421875
17.6633,3281.47,3992.89,61,305000,61,45.3004,-1834.7205810546875
18.6588,3505.18,4218.14,62,310000,62,44.7356,-1904.8116455078125
18.4944,3603.09,3820.36,63,315000,63,44.3304,-2029.9888916015625
18.0916,3986.69,4052.47,64,320000,64,44.6082,-2023.2685546875
17.9883,3991.95,4161.86,65,325000,65,44.3045,-2044.6864013671875
17.5746,4001.7,4095.44,66,330000,66,44.2723,-2021.9718017578125
18.2877,3359.84,3997.13,67,335000,67,44.4287,-2012.8582763671875
22.16,4034.06,4099.47,68,340000,68,45.2285,-2008.3231201171875
18.7436,3837.16,4108.04,69,345000,69,44.4565,-2133.55615234375
20.1648,3718.07,4140.71,70,350000,70,44.4977,-2199.47900390625
16.7311,4046.19,3881.74,71,355000,71,43.7454,-2275.775146484375
20.0108,3706.15,4120.11,72,360000,72,44.3923,-2333.416259765625
19.6428,3903.21,4059.71,73,365000,73,45.1566,-2339.53466796875
18.7507,3847.61,4092.69,74,370000,74,43.888,-2354.95556640625
18.2226,3581.22,4054.26,75,375000,75,44.0411,-2509.135498046875
17.2419,4098.66,4129.62,76,380000,76,44.2245,-2473.2353515625
19.7481,4021.49,4173.88,77,385000,77,44.5181,-2409.62548828125
19.22,4089.17,4210.39,78,390000,78,44.3378,-2540.81982421875
17.547,3833.16,4098.96,79,395000,79,44.3388,-2675.156494140625
16.9066,3937.76,4010.16,80,400000,80,44.5632,-2752.66259765625
18.2379,4026.78,4097.2,81,405000,81,44.5374,-2746.753173828125
19.187,4155.65,4266.86,82,410000,82,43.8812,-2747.48779296875
18.2966,4058.43,4097.45,83,415000,83,43.8579,-2832.449951171875
18.6463,4156.88,4250.16,84,420000,84,44.0865,-2914.56298828125
16.8978,4130.7,4218.54,85,425000,85,44.0475,-2992.110107421875
17.4219,4104.46,4234.47,86,430000,86,44.0273,-2926.692138671875
20.0124,4134.35,4223.88,87,435000,87,44.5384,-3034.15234375
17.3414,3983.71,4191.84,88,440000,88,44.319,-3005.0869140625
19.6328,4133.1,4197.32,89,445000,89,44.6449,-3120.968017578125
19.953,4140.38,4215.52,90,450000,90,44.4192,-3130.15185546875
19.2833,4166.48,4283.86,91,455000,91,44.4074,-3206.1923828125
17.3541,3946.65,4157.36,92,460000,92,44.1894,-3119.251708984375
20.0078,4190.75,4297.71,93,465000,93,44.8416,-3245.55615234375
18.3372,4112.13,4140.06,94,470000,94,44.0104,-3361.8505859375
17.7172,4064.38,4166.65,95,475000,95,44.3683,-3449.688232421875
19.2319,4133.62,4233.64,96,480000,96,44.428,-3346.21484375
17.6901,4113.66,4199.16,97,485000,97,43.6213,-3426.94873046875
18.7088,4170.13,4272.6,98,490000,98,43.6499,-3423.0380859375
18.1504,4174.53,4217.91,99,495000,99,43.5653,-3455.011474609375
18.2059,4074.52,4146.1,100,500000,100,44.742,-3590.937744140625
16.8726,4074.67,4225.17,101,505000,101,43.4563,-3600.757568359375
19.0774,4196.21,4339.32,102,510000,102,43.9045,-3766.698486328125
18.5418,4234.62,4385.51,103,515000,103,44.2419,-3672.646240234375
17.7912,4225.93,4226.05,104,520000,104,43.3116,-3652.467529296875
19.1321,4187.6,4252.04,105,525000,105,44.3465,-3945.39892578125
18.3529,3899.45,4206.31,106,530000,106,44.0999,-3865.816650390625
18.9347,4213.07,4169.85,107,535000,107,44.2142,-3939.864990234375
14.9662,4157.11,4347.58,108,540000,108,43.8117,-3951.979736328125
19.2691,4261.12,4275.83,109,545000,109,44.2103,-4051.808349609375
19.6795,4140.08,4214.29,110,550000,110,44.6106,-4194.55615234375
17.3936,4175.62,4272.42,111,555000,111,43.8069,-4076.24462890625
19.1093,4218.68,4305.5,112,560000,112,44.3409,-4273.35302734375
19.5529,4267.56,4296.11,113,565000,113,44.395,-4187.0244140625
17.1858,4076.61,4030.62,114,570000,114,43.9774,-4279.109375
18.6216,4209.19,4226.35,115,575000,115,44.7967,-4400.3701171875
