Reward Loss,Itration,Running Env Steps,Running Update Time,Running Reverse KL,Real Det Return,Running Forward KL,Real Sto Return
277.3617858886719,0,0,0,27.4609,281.46,36.2403,271.59
271.8363037109375,1,5000,1,34.2026,274.97,37.3033,270.26
264.0119934082031,2,10000,2,36.7137,293.38,37.223,297.81
151.03330993652344,3,15000,3,19.772,372.68,36.5886,373.71
246.04637145996094,4,20000,4,57.7312,65.06,36.5149,142.15
233.66358947753906,5,25000,5,40.7821,419.04,36.401,387.56
168.5068359375,6,30000,6,28.9106,410.84,34.8597,457.24
183.59719848632812,7,35000,7,33.4705,607.69,33.5053,593.86
134.4695281982422,8,40000,8,21.6242,269.01,34.1143,562.8
92.57971954345703,9,45000,9,18.0518,668.1,32.9062,587.88
96.61113739013672,10,50000,10,23.4591,902.13,32.2365,882.7
83.42833709716797,11,55000,11,22.5043,960.79,31.4245,1015.26
56.664005279541016,12,60000,12,16.2658,1227.88,30.1348,1179.38
23.230497360229492,13,65000,13,16.8316,872.31,30.1067,900.4
9.907540321350098,14,70000,14,17.567,1271.29,29.8769,1284.39
32.69099044799805,15,75000,15,18.1673,1564.55,30.5112,1510.76
5.60609245300293,16,80000,16,15.2955,1550.25,30.7961,1311.14
31.075794219970703,17,85000,17,18.4347,948.65,30.6159,1284.64
29.354267120361328,18,90000,18,19.3394,3076.94,30.4033,1440.92
-1.9398778676986694,19,95000,19,16.3594,1079.34,31.2072,1756.46
4.800403594970703,20,100000,20,15.298,2297.65,29.6098,2105.01
4.089008808135986,21,105000,21,14.9194,1674.67,30.0269,1395.92
0.4208618700504303,22,110000,22,18.8489,1825.39,29.2576,1764.87
-19.705656051635742,23,115000,23,15.3765,3172.64,29.8956,3033.94
-2.232050895690918,24,120000,24,24.2552,923.09,31.5992,899.04
-7.540362358093262,25,125000,25,28.3057,946.8,31.4351,916.82
-25.308549880981445,26,130000,26,16.0931,2631.26,30.0765,2219.21
-30.146867752075195,27,135000,27,16.7404,3234.37,29.6345,2454.23
-24.214305877685547,28,140000,28,13.4898,3178.68,27.7812,2559.19
-30.314254760742188,29,145000,29,17.0601,3237.85,29.3257,2480.11
-33.93290710449219,30,150000,30,22.002,1694.67,30.411,1330.45
-22.15646743774414,31,155000,31,28.0601,1933.47,30.0906,1428.43
-44.31422805786133,32,160000,32,21.497,2899.66,30.1508,1629.83
-39.49021530151367,33,165000,33,22.1646,2768.57,30.0027,1874.38
-52.752342224121094,34,170000,34,24.0748,1760.37,30.1186,1471.35
-51.116519927978516,35,175000,35,17.9494,1758.8,29.816,1652.85
-68.51435852050781,36,180000,36,24.0853,1354.25,30.1382,1121.69
-44.13603210449219,37,185000,37,14.6485,3183.72,28.7318,2476.77
-48.060699462890625,38,190000,38,18.4683,3170.55,28.0768,1945.12
-62.399776458740234,39,195000,39,16.5901,3207.35,29.7232,2616.58
-45.69183349609375,40,200000,40,14.8554,3165.44,29.0259,3160.48
-62.41512680053711,41,205000,41,15.1268,3210.88,28.3723,2395.99
-91.35662841796875,42,210000,42,44.8639,1042.72,30.0677,1163.29
-71.38699340820312,43,215000,43,19.1871,3181.94,29.1366,2561.84
-76.12516784667969,44,220000,44,16.7073,3317.85,28.7804,2428.7
-95.20413208007812,45,225000,45,42.4955,3292.32,28.8334,1771.56
-55.04509353637695,46,230000,46,14.8888,3163.02,28.8891,3155.39
-60.283912658691406,47,235000,47,14.956,3256.2,28.3551,3031.87
-122.45343017578125,48,240000,48,17.3303,3180.49,29.9009,1664.47
-58.80962371826172,49,245000,49,13.9467,3194.43,28.6236,2740.51
-100.267578125,50,250000,50,22.2739,3239.68,29.2669,1841.35
-117.17198181152344,51,255000,51,20.6769,2470.79,30.0623,1529.48
