Itration,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return
0,0,49.5968,77.25362396240234,14.0544,281.0,0,298.37
1,1,49.6645,48.042842864990234,20.1128,298.68,5000,273.11
2,2,49.1609,-27.867734909057617,13.9496,338.31,10000,309.1
3,3,47.8986,44.68791198730469,12.928,555.68,15000,510.36
4,4,49.961,-25.123001098632812,15.1796,316.62,20000,289.68
5,5,47.0767,1.6547515392303467,12.2581,1043.42,25000,916.75
6,6,48.831,-9.48961067199707,14.757,1306.12,30000,943.5
7,7,48.0243,20.325407028198242,13.4974,1644.6,35000,1569.05
8,8,47.6947,27.218154907226562,13.8568,1928.15,40000,1696.25
9,9,47.7951,-61.409183502197266,13.3885,1820.37,45000,956.86
10,10,48.6783,-103.95535278320312,14.5979,582.06,50000,632.99
11,11,46.5157,-44.223419189453125,13.0515,2322.69,55000,1801.93
12,12,46.7467,-30.573406219482422,12.2132,1809.23,60000,1606.91
13,13,45.8857,-21.494510650634766,13.1375,2225.52,65000,1573.35
14,14,45.8042,-55.12939453125,15.0713,1571.29,70000,1329.92
15,15,44.4806,-20.070579528808594,16.7257,2443.68,75000,1733.69
16,16,43.5696,5.303652763366699,14.7537,2023.13,80000,2485.36
17,17,43.9738,-11.964019775390625,15.366,3093.09,85000,2394.65
18,18,43.6257,-33.178409576416016,14.5982,2910.26,90000,2564.5
19,19,44.3012,6.897751331329346,17.3385,2957.86,95000,2886.88
20,20,43.2318,14.546058654785156,17.0005,3164.59,100000,3181.63
21,21,44.3453,-6.298604965209961,16.0112,3383.36,105000,3202.3
22,22,43.3712,25.015819549560547,16.6078,3481.28,110000,3358.5
23,23,43.8389,17.61957550048828,17.7106,3452.75,115000,3356.44
24,24,43.4499,11.517759323120117,16.5123,3344.08,120000,3439.18
25,25,42.0113,4.433676719665527,15.6183,3590.46,125000,3483.73
26,26,42.8096,-0.03199279308319092,15.1471,3588.62,130000,3520.21
27,27,43.1023,-8.149735450744629,17.3792,3501.89,135000,3455.3
28,28,41.7984,2.3595168590545654,14.8661,3612.3,140000,3545.71
29,29,42.4248,-6.842203617095947,18.0099,3760.49,145000,3625.61
30,30,42.0102,-8.569911003112793,15.9835,3673.3,150000,3541.38
31,31,41.6405,-23.076169967651367,16.4507,3484.93,155000,3721.37
32,32,41.8697,-11.319376945495605,15.761,3823.31,160000,3720.08
33,33,42.2121,-21.50800895690918,16.2208,3650.27,165000,3551.21
