Itration,Real Det Return,Running Forward KL,Real Sto Return,Running Update Time,Running Env Steps,Running Reverse KL,Reward Loss
0,-127.18,158.5593,-201.46,0,0,11.5604,38.00939178466797
1,14.97,158.4413,42.6,1,5000,12.9897,-82.43153381347656
2,65.73,158.1909,79.89,2,10000,11.8737,-387.8588562011719
3,488.27,158.1,345.29,3,15000,12.3393,-568.2390747070312
4,1087.47,157.8174,498.27,4,20000,12.7754,-841.7453002929688
5,1237.22,157.6698,852.31,5,25000,13.0436,-876.7937622070312
6,1545.48,157.3792,829.9,6,30000,12.8059,-1200.1270751953125
7,2138.25,157.1036,1468.98,7,35000,12.8742,-1189.09326171875
8,2785.98,157.011,2152.46,8,40000,13.1526,-1502.056884765625
9,2804.91,156.6583,1718.57,9,45000,13.4823,-1736.716552734375
10,2975.93,156.7671,2010.23,10,50000,13.871,-1947.01171875
11,3376.85,156.9133,2878.69,11,55000,15.6074,-2019.4288330078125
12,3458.92,156.8724,3016.0,12,60000,16.0391,-2309.107177734375
13,3507.34,156.7323,3223.54,13,65000,15.0269,-2267.38720703125
14,3970.27,156.9188,3565.54,14,70000,16.3842,-2357.950439453125
15,4080.49,156.7287,3655.49,15,75000,15.9671,-2775.026611328125
16,4248.13,156.6414,3727.68,16,80000,16.3587,-2772.51513671875
17,4352.04,156.2723,3968.76,17,85000,15.6398,-2706.78857421875
18,4818.52,155.5871,4226.48,18,90000,14.4234,-2965.06494140625
19,4805.62,156.2378,4333.04,19,95000,15.661,-2943.747314453125
20,5186.74,155.557,4667.9,20,100000,16.3473,-2956.636962890625
21,5202.22,155.9668,4866.82,21,105000,16.4493,-3009.45703125
22,5441.04,155.7465,5019.07,22,110000,16.1406,-3159.105224609375
23,5642.2,154.8055,5202.06,23,115000,14.8669,-3286.20947265625
24,6118.13,154.4542,5462.49,24,120000,15.7364,-3226.55517578125
25,6145.18,154.5453,5697.11,25,125000,16.5083,-3193.945068359375
26,6386.76,154.3781,5968.44,26,130000,16.1753,-3349.61962890625
27,6530.68,154.2024,6095.4,27,135000,16.9096,-3348.63037109375
28,6430.53,153.9573,5958.25,28,140000,15.9638,-3654.43701171875
29,6484.14,154.0353,6124.16,29,145000,16.917,-3805.834228515625
30,6711.64,153.5724,6232.87,30,150000,16.1917,-3855.742431640625
31,6978.89,153.2686,6566.58,31,155000,16.9177,-3768.202880859375
32,7052.56,153.1294,6524.96,32,160000,16.8187,-3976.44580078125
33,7111.4,152.8822,6727.8,33,165000,16.8199,-3988.568115234375
34,6894.95,153.0785,6545.64,34,170000,16.5751,-4316.84521484375
35,7305.5,152.7216,7018.83,35,175000,18.1063,-4198.9287109375
36,7427.07,151.7582,7007.03,36,180000,17.1234,-4311.451171875
37,7309.12,151.9036,7056.56,37,185000,17.1434,-4507.34423828125
38,7376.57,151.8592,7073.36,38,190000,18.0225,-4400.60302734375
39,7775.24,151.5303,7355.25,39,195000,17.458,-4643.77685546875
40,7921.49,151.7695,7511.37,40,200000,18.4178,-4671.85205078125
41,7889.91,151.7516,7409.04,41,205000,17.5273,-4859.20068359375
42,8104.18,151.841,7442.06,42,210000,17.8548,-4884.0986328125
43,5834.86,151.7887,5402.37,43,215000,16.0597,-5486.00537109375
44,5596.84,152.9878,4878.88,44,220000,14.1947,-6324.65576171875
45,7630.68,151.6909,7150.53,45,225000,17.4125,-5638.1904296875
46,7923.64,151.2119,7468.0,46,230000,17.0741,-5478.34716796875
47,8262.83,151.3959,7774.65,47,235000,18.5935,-5466.2158203125
48,8414.68,151.7166,7971.19,48,240000,18.8714,-5537.80517578125
49,8814.25,151.0482,8211.74,49,245000,18.761,-5668.60205078125
50,9063.89,150.6605,8459.37,50,250000,19.3689,-5448.57080078125
51,9082.32,150.4711,8504.64,51,255000,19.196,-5445.77490234375
52,8922.1,151.0043,8542.4,52,260000,19.8414,-5777.1884765625
53,8927.74,151.0781,8059.58,53,265000,19.3067,-6093.4638671875
54,9171.22,151.25,8594.81,54,270000,21.3868,-6090.61279296875
55,8739.28,151.1127,8404.87,55,275000,19.9073,-6053.3603515625
56,9224.2,150.3685,8749.86,56,280000,20.07,-6099.42529296875
57,9124.07,151.1116,8873.97,57,285000,20.7394,-6094.375
58,8735.2,150.0981,8948.8,58,290000,20.7556,-6245.65869140625
59,9390.24,150.923,8911.09,59,295000,19.9987,-6162.095703125
60,9550.03,150.2491,8969.01,60,300000,21.3215,-6505.37939453125
61,9660.22,148.9451,8984.0,61,305000,19.9627,-6399.765625
62,9700.33,149.9544,9169.75,62,310000,20.7986,-6621.47216796875
63,9828.89,149.6939,9335.5,63,315000,20.5847,-6551.7861328125
64,9705.24,150.6163,9372.29,64,320000,21.6664,-6892.1396484375
65,9204.4,149.3658,8115.37,65,325000,19.3296,-6664.3896484375
66,10063.73,149.5223,9498.02,66,330000,20.764,-6758.81591796875
67,9747.09,148.939,8921.12,67,335000,19.4941,-7112.3515625
68,10153.51,149.7507,9614.33,68,340000,21.894,-6842.58349609375
69,9811.81,149.7708,9522.61,69,345000,21.3158,-7095.337890625
70,9378.14,149.184,9426.19,70,350000,20.4745,-7093.9521484375
71,10091.13,149.7252,9518.48,71,355000,21.6198,-6931.1142578125
72,10135.26,149.1944,9647.2,72,360000,21.502,-7185.59912109375
73,10297.34,148.9876,9111.27,73,365000,20.3776,-7226.64013671875
74,10372.19,148.4593,9898.0,74,370000,21.4425,-7114.822265625
75,10400.27,149.0209,10008.07,75,375000,22.1014,-7559.5263671875
76,10286.63,149.3438,9853.53,76,380000,21.6748,-7727.23583984375
77,10174.04,149.0244,9670.22,77,385000,21.6386,-8134.212890625
78,10493.81,148.634,9990.14,78,390000,20.8116,-7422.84130859375
79,10313.77,148.8364,9904.77,79,395000,20.8716,-7750.6240234375
80,10390.54,148.9027,9966.27,80,400000,21.97,-7888.33740234375
81,10653.47,148.1535,10022.07,81,405000,21.2383,-7676.86083984375
82,10472.29,147.7942,10064.89,82,410000,19.3154,-8122.64306640625
83,10775.22,149.0519,10283.47,83,415000,21.5837,-8012.68896484375
84,10702.32,148.0283,9689.08,84,420000,20.7429,-7999.3623046875
85,10178.89,147.8198,9493.66,85,425000,19.6817,-8017.7412109375
86,10548.79,148.0858,9891.61,86,430000,20.8315,-8357.30078125
87,10626.42,149.1799,10117.13,87,435000,21.7998,-8870.4677734375
88,10504.16,148.2158,10027.99,88,440000,20.553,-8712.9033203125
89,10981.25,148.6581,10179.67,89,445000,21.2134,-8534.18359375
90,10499.09,148.5819,10113.93,90,450000,21.7435,-9280.513671875
91,10908.55,146.8031,10428.76,91,455000,19.8321,-8371.6923828125
92,10814.33,148.5658,10201.41,92,460000,19.8318,-9036.5654296875
93,10292.6,149.8604,9947.98,93,465000,19.1035,-9145.71484375
94,10842.27,148.6733,10404.35,94,470000,21.7033,-8971.7158203125
95,10714.88,148.5549,10269.53,95,475000,21.5736,-9225.810546875
96,11050.73,147.7485,10535.2,96,480000,20.6163,-8578.5859375
97,10734.58,147.7864,10289.12,97,485000,21.5462,-9239.9404296875
98,11232.05,147.0754,10558.57,98,490000,20.8881,-8899.6689453125
