Real Det Return,Itration,Reward Loss,Running Update Time,Real Sto Return,Running Forward KL,Running Env Steps,Running Reverse KL
44.44,0,3.6535139083862305,0,21.97,36.9295,0,9.6987
46.1,1,4.554815769195557,1,36.32,36.5931,90,7.9528
46.27,2,2.342165231704712,2,35.93,37.1904,180,9.5622
49.03,3,4.5521979331970215,3,43.65,37.2625,270,7.5988
49.8,4,3.955381155014038,4,39.02,36.1415,360,7.4085
49.83,5,3.6080985069274902,5,42.23,35.9724,450,7.3769
47.09,6,3.315157413482666,6,47.96,36.3732,540,9.0189
46.0,7,2.871877908706665,7,45.27,36.899,630,10.2468
42.8,8,2.7369155883789062,8,44.82,37.9064,720,10.7701
43.7,9,2.3955085277557373,9,44.87,37.7793,810,11.2625
40.39,10,1.8555598258972168,10,45.03,37.7851,900,11.9275
41.43,11,1.1180591583251953,11,45.23,36.9543,990,11.5188
44.95,12,0.6115478873252869,12,45.42,36.8485,1080,11.9031
39.99,13,0.5260162949562073,13,43.07,37.3703,1170,13.1657
51.21,14,-0.2476470172405243,14,48.26,37.4259,1260,12.2813
50.62,15,-0.5733340382575989,15,48.64,36.5465,1350,11.8201
50.93,16,-1.5132906436920166,16,50.48,36.8511,1440,11.8236
49.67,17,-2.2503325939178467,17,49.91,36.0846,1530,11.9008
49.34,18,-2.904995918273926,18,49.41,36.9286,1620,13.7202
49.29,19,-3.1837923526763916,19,49.53,36.5719,1710,12.636
48.37,20,-3.579899549484253,20,48.54,36.9305,1800,13.0649
48.34,21,-4.165468692779541,21,47.42,37.3526,1890,14.7346
47.75,22,-4.467659950256348,22,45.91,37.0666,1980,13.0154
48.15,23,-4.437520980834961,23,47.39,37.635,2070,13.205
48.19,24,-4.68372917175293,24,47.6,37.4791,2160,13.4579
47.93,25,-5.2519402503967285,25,45.98,37.6448,2250,12.7972
47.94,26,-5.1348981857299805,26,45.77,37.6124,2340,13.2762
47.73,27,-5.705780982971191,27,46.68,36.8784,2430,12.1949
47.54,28,-6.515028476715088,28,43.85,37.3575,2520,12.1931
47.18,29,-7.352809429168701,29,45.93,37.6837,2610,12.9769
45.19,30,-8.448323249816895,30,40.9,38.0153,2700,13.7122
48.72,31,-7.591081619262695,31,46.16,38.0292,2790,13.4466
48.47,32,-6.098033428192139,32,48.23,37.9565,2880,12.0745
49.24,33,-6.576541423797607,33,48.7,38.216,2970,12.6923
49.96,34,-6.806387424468994,34,49.36,38.7943,3060,12.4206
49.36,35,-7.260513782501221,35,48.92,38.9881,3150,13.0554
48.73,36,-7.021658420562744,36,48.26,38.3373,3240,12.3571
48.8,37,-7.902939319610596,37,48.43,38.934,3330,13.4182
48.11,38,-8.121082305908203,38,48.35,38.5181,3420,12.519
48.62,39,-8.200617790222168,39,48.65,37.9461,3510,12.6107
47.84,40,-8.453644752502441,40,48.24,37.9276,3600,12.2969
46.3,41,-8.667713165283203,41,46.84,37.7185,3690,12.9525
46.57,42,-9.280900955200195,42,46.87,38.3732,3780,13.2601
46.87,43,-9.624946594238281,43,47.11,38.0325,3870,13.3813
46.44,44,-9.886056900024414,44,46.8,38.0768,3960,13.3064
46.41,45,-10.22937297821045,45,46.76,37.906,4050,12.9639
45.84,46,-10.393440246582031,46,46.03,37.944,4140,14.4641
44.54,47,-10.580665588378906,47,44.02,39.1044,4230,15.6233
46.09,48,-11.072137832641602,48,45.34,38.1211,4320,13.9261
43.84,49,-11.110645294189453,49,43.96,39.3308,4410,16.3145
45.36,50,-11.463434219360352,50,45.33,38.6632,4500,15.7317
43.18,51,-12.088969230651855,51,42.3,39.381,4590,18.7417
45.94,52,-12.694912910461426,52,44.33,38.7268,4680,15.6669
46.23,53,-12.751668930053711,53,46.15,38.0198,4770,13.6372
44.22,54,-12.987649917602539,54,44.82,37.3915,4860,14.2697
42.84,55,-13.473188400268555,55,43.93,38.7117,4950,16.9017
43.28,56,-14.107295036315918,56,43.65,38.7204,5040,18.0013
14.12,57,-15.834299087524414,57,22.9,38.6985,5130,19.5583
44.18,58,-15.153395652770996,58,44.47,38.1716,5220,15.1631
44.73,59,-14.996564865112305,59,44.74,38.3498,5310,16.1064
44.46,60,-15.592052459716797,60,44.15,38.3777,5400,16.3547
42.49,61,-16.845664978027344,61,42.58,38.4124,5490,16.5396
43.72,62,-16.751483917236328,62,44.3,38.0635,5580,14.5824
44.11,63,-17.247465133666992,63,44.54,38.5064,5670,14.294
43.77,64,-17.169628143310547,64,44.02,38.2635,5760,15.2862
43.12,65,-18.471040725708008,65,42.92,38.3272,5850,15.2178
