Real Det Return,Running Env Steps,Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Running Update Time
403.26,0,719.7327270507812,389.66,0,48.6808,13.0293,0
255.04,5000,760.9885864257812,284.93,1,49.371,14.0874,1
384.13,10000,823.754150390625,405.11,2,49.0642,24.9044,2
378.71,15000,524.0864868164062,415.44,3,49.1748,34.5549,3
421.72,20000,543.3161010742188,485.3,4,49.0499,12.6164,4
491.83,25000,510.65460205078125,394.69,5,49.0506,12.9495,5
460.5,30000,482.674072265625,462.73,6,48.9779,12.9131,6
366.11,35000,265.8498229980469,469.43,7,48.4854,18.3686,7
551.76,40000,176.17507934570312,481.15,8,48.5031,17.1143,8
436.38,45000,252.51072692871094,436.08,9,48.8715,14.3094,9
631.42,50000,267.15093994140625,642.47,10,46.8562,12.7562,10
401.37,55000,236.45098876953125,669.95,11,48.0524,20.3567,11
421.98,60000,57.43170928955078,467.03,12,49.3931,14.6591,12
403.04,65000,111.89402770996094,467.92,13,47.9132,24.241,13
619.33,70000,39.7135009765625,947.68,14,47.7598,27.0289,14
824.52,75000,274.7397155761719,703.74,15,47.1477,42.2289,15
1313.85,80000,220.17564392089844,880.5,16,47.1869,28.4855,16
1287.3,85000,168.1759033203125,900.03,17,46.6103,38.0158,17
1827.73,90000,-11.198602676391602,1024.82,18,46.1518,21.4471,18
1077.96,95000,-136.3713836669922,1088.77,19,46.3515,19.6837,19
896.04,100000,-272.4414367675781,838.72,20,46.8756,20.4348,20
813.09,105000,-320.4854431152344,948.43,21,47.0653,21.4394,21
1085.17,110000,-245.14776611328125,1242.75,22,45.9317,22.7675,22
1075.85,115000,-424.12115478515625,1362.41,23,46.1111,18.2783,23
1431.76,120000,-249.65359497070312,1442.88,24,46.0741,17.9037,24
1383.85,125000,-360.73919677734375,1362.69,25,45.9654,27.7337,25
1485.01,130000,-562.24560546875,1498.68,26,45.4494,18.1999,26
1574.68,135000,-459.1279296875,1557.19,27,45.1603,24.6804,27
1558.24,140000,-391.7102355957031,2185.22,28,44.5267,17.7283,28
2890.96,145000,-501.3670349121094,2619.05,29,44.2558,16.1972,29
572.53,150000,-777.0276489257812,424.61,30,47.651,14.2427,30
3217.95,155000,-557.578857421875,2791.04,31,44.825,15.1576,31
3727.24,160000,-404.21844482421875,3571.5,32,44.6592,20.1573,32
3252.54,165000,-581.8555908203125,3192.37,33,44.7014,15.5338,33
3246.8,170000,-689.3658447265625,3268.07,34,43.9734,13.951,34
3537.07,175000,-492.0119934082031,3505.67,35,44.9579,20.5652,35
3592.67,180000,-540.4354858398438,3400.66,36,44.5256,18.5611,36
3481.09,185000,-535.0191650390625,3439.14,37,44.3053,17.4538,37
3726.28,190000,-485.8970031738281,3725.7,38,44.2673,20.0745,38
3793.08,195000,-476.5612487792969,3869.2,39,43.6077,21.677,39
3662.54,200000,-597.2271118164062,3572.21,40,44.2459,18.629,40
3734.01,205000,-628.1636962890625,3658.95,41,43.341,18.223,41
3622.63,210000,-657.8742065429688,3703.83,42,44.1822,19.0667,42
3574.94,215000,-761.3672485351562,3489.23,43,43.8757,17.9984,43
3726.41,220000,-660.56884765625,3608.24,44,43.9828,20.6729,44
3584.97,225000,-915.9932861328125,3554.36,45,44.9913,20.9424,45
3370.73,230000,-868.8054809570312,3327.0,46,44.2639,18.7566,46
3766.05,235000,-746.469970703125,3800.9,47,44.2108,20.8408,47
3766.61,240000,-706.5245971679688,3845.07,48,43.3209,21.6718,48
3772.47,245000,-759.804931640625,3831.19,49,43.5181,20.5719,49
3803.25,250000,-791.6201171875,3813.68,50,43.1358,17.7997,50
3086.81,255000,-948.2930908203125,3420.12,51,42.8121,18.3991,51
3882.01,260000,-841.9542846679688,3914.4,52,42.9358,18.9848,52
3706.12,265000,-947.2800903320312,3686.9,53,43.369,18.1202,53
1152.01,270000,-1011.0957641601562,1564.35,54,42.5379,17.4094,54
3944.12,275000,-998.1216430664062,3995.01,55,42.1641,18.1022,55
3637.21,280000,-1121.7542724609375,3643.26,56,42.5341,17.2191,56
4136.96,285000,-943.6604614257812,3653.84,57,42.5982,19.9378,57
4060.8,290000,-980.3758544921875,4008.2,58,43.7936,21.4102,58
3973.94,295000,-1146.169677734375,3826.83,59,43.4383,20.5801,59
4030.24,300000,-1045.0389404296875,3903.17,60,42.4392,18.0929,60
3703.45,305000,-1107.686279296875,3296.31,61,43.1826,20.6118,61
3840.42,310000,-1160.6650390625,3474.25,62,43.3743,18.3973,62
3959.88,315000,-1164.04345703125,3813.73,63,42.8058,18.472,63
3838.66,320000,-1103.205810546875,3885.58,64,42.7515,18.4964,64
3862.18,325000,-1181.4476318359375,3756.35,65,42.0328,18.2774,65
3769.75,330000,-1249.26708984375,3822.39,66,42.0553,19.4697,66
3875.83,335000,-1243.7611083984375,3762.36,67,42.9255,18.7862,67
3795.92,340000,-1277.6734619140625,3764.7,68,43.7914,21.1025,68
3796.21,345000,-1294.839599609375,3839.43,69,42.7867,18.0822,69
3865.73,350000,-1321.50732421875,3864.02,70,42.9176,20.0618,70
3877.16,355000,-1370.3841552734375,3827.97,71,42.8328,18.6667,71
3951.32,360000,-1355.359130859375,3924.28,72,42.1416,19.3305,72
3968.78,365000,-1393.847900390625,3880.36,73,42.1245,19.0746,73
4000.85,370000,-1470.39404296875,3918.55,74,41.5385,17.3773,74
3930.8,375000,-1442.783935546875,3788.83,75,42.1293,18.1737,75
3991.92,380000,-1454.6982421875,3966.75,76,42.3342,17.6708,76
4027.92,385000,-1507.2352294921875,3938.35,77,42.3776,18.234,77
3847.85,390000,-1489.31884765625,3883.82,78,41.2963,16.4226,78
4163.05,395000,-1487.436767578125,4039.32,79,41.6913,17.1004,79
4168.04,400000,-1595.62841796875,4086.03,80,41.7566,19.3296,80
4183.24,405000,-1594.6441650390625,4036.08,81,41.3498,17.6247,81
4042.7,410000,-1600.735595703125,3984.12,82,42.2535,18.2869,82
4165.29,415000,-1727.4755859375,4019.46,83,41.4511,16.8325,83
4311.78,420000,-1689.1719970703125,4183.0,84,41.0679,18.0497,84
4164.44,425000,-1707.267822265625,4064.87,85,40.6292,16.7468,85
4273.47,430000,-1747.97216796875,4177.66,86,40.7509,17.5538,86
4110.64,435000,-1806.290771484375,4077.19,87,41.6923,19.6804,87
4132.15,440000,-1711.1871337890625,4091.01,88,40.9477,16.9069,88
4179.8,445000,-1702.9354248046875,4129.9,89,40.9311,16.7136,89
4329.95,450000,-1735.2962646484375,4227.58,90,41.2398,18.0142,90
4198.08,455000,-1823.0032958984375,4190.45,91,40.5184,17.5013,91
4545.96,460000,-1708.9874267578125,4412.93,92,39.5553,17.382,92
