Running Reverse KL,Reward Loss,Running Update Time,Running Forward KL,Real Det Return,Itration,Running Env Steps,Real Sto Return
28.4362,41.51536178588867,0,75.6895,203.69,0,0,-41.92
26.3444,38.40216827392578,1,75.7095,187.43,1,5000,-38.47
26.8558,26.985057830810547,2,74.6305,393.2,2,10000,-69.48
27.6999,17.776165008544922,3,74.4837,346.29,3,15000,-33.65
28.4838,9.702203750610352,4,74.0474,396.3,4,20000,-15.91
30.1889,-7.481800556182861,5,73.5565,635.9,5,25000,16.97
31.6115,-18.150121688842773,6,73.9915,587.51,6,30000,13.88
30.9367,-26.384092330932617,7,72.9416,706.94,7,35000,58.49
33.0023,-39.43964767456055,8,73.7698,706.59,8,40000,77.67
32.9381,-48.83194351196289,9,73.8126,725.17,9,45000,71.28
32.3834,-61.64925003051758,10,72.606,675.65,10,50000,113.88
35.9344,-71.58845520019531,11,72.6579,840.44,11,55000,110.34
33.0759,-77.63835144042969,12,73.8221,687.98,12,60000,152.67
32.9644,-97.31580352783203,13,73.9525,694.44,13,65000,122.3
32.0943,-107.08419799804688,14,73.5343,757.8,14,70000,181.09
33.439,-113.06983947753906,15,72.617,551.78,15,75000,118.76
31.9125,-132.27220153808594,16,72.6916,841.94,16,80000,118.92
32.8855,-141.9287109375,17,72.571,672.41,17,85000,129.42
31.4016,-152.22862243652344,18,72.6917,773.78,18,90000,176.87
31.5408,-168.45465087890625,19,72.7636,806.69,19,95000,204.25
31.0916,-177.99464416503906,20,72.3346,744.91,20,100000,193.09
31.6078,-189.40200805664062,21,72.0593,725.81,21,105000,166.44
31.4476,-201.9386444091797,22,70.6362,782.9,22,110000,131.25
32.0115,-219.7029571533203,23,73.2963,849.11,23,115000,189.47
30.5352,-216.24020385742188,24,69.7543,739.64,24,120000,186.08
32.4041,-243.7379608154297,25,72.7179,871.69,25,125000,204.74
31.4344,-253.85797119140625,26,71.3563,653.16,26,130000,179.93
31.7257,-267.3355712890625,27,72.6881,780.67,27,135000,236.23
31.8872,-277.72625732421875,28,71.8938,848.98,28,140000,242.05
31.1065,-287.8826904296875,29,70.5212,793.36,29,145000,199.74
31.3468,-305.58203125,30,71.8208,800.76,30,150000,230.1
31.7313,-312.6638488769531,31,72.2707,846.78,31,155000,232.45
31.195,-326.5009765625,32,72.3816,723.06,32,160000,158.66
31.752,-347.65966796875,33,72.3739,916.97,33,165000,255.28
31.5893,-348.2296447753906,34,71.0787,806.83,34,170000,284.43
32.2364,-367.7534484863281,35,72.8157,945.64,35,175000,207.3
30.915,-376.22857666015625,36,69.9674,889.17,36,180000,225.49
30.8213,-389.15789794921875,37,71.0818,1010.82,37,185000,270.83
31.3887,-406.9127197265625,38,71.9528,767.92,38,190000,186.42
30.4768,-415.6705627441406,39,69.8357,945.05,39,195000,313.7
30.3832,-426.7901916503906,40,70.6218,880.15,40,200000,235.33
30.5838,-438.1268615722656,41,69.8934,856.99,41,205000,221.98
31.4063,-456.4697570800781,42,71.899,577.41,42,210000,232.03
30.781,-472.44677734375,43,70.3966,804.6,43,215000,252.41
31.0927,-482.6883239746094,44,70.3057,907.22,44,220000,291.35
29.3857,-486.9447021484375,45,68.6717,1022.92,45,225000,257.9
30.9268,-514.154541015625,46,70.9965,917.91,46,230000,287.49
31.2991,-522.1673583984375,47,70.4116,963.04,47,235000,290.29
31.1509,-541.5953979492188,48,71.4731,941.49,48,240000,308.51
29.6156,-535.3418579101562,49,68.5741,1013.68,49,245000,283.67
31.4262,-564.7034912109375,50,68.4087,896.64,50,250000,246.3
30.9913,-583.1148681640625,51,70.4089,900.12,51,255000,223.56
29.9225,-589.573974609375,52,68.6175,843.16,52,260000,243.33
31.2852,-618.947021484375,53,70.6583,943.22,53,265000,314.57
31.5419,-636.3206176757812,54,72.7481,816.41,54,270000,239.83
31.813,-655.9342041015625,55,72.2768,889.65,55,275000,255.12
31.7146,-664.0653686523438,56,71.5424,851.6,56,280000,284.69
31.3743,-681.511474609375,57,72.5987,827.49,57,285000,287.51
30.2085,-684.119140625,58,68.5393,870.36,58,290000,213.08
31.5508,-714.9175415039062,59,71.8897,771.47,59,295000,322.94
31.7284,-718.5845336914062,60,71.2158,849.39,60,300000,265.26
30.9156,-740.4276733398438,61,70.6315,759.6,61,305000,279.15
31.2369,-762.5789184570312,62,70.8112,861.16,62,310000,255.44
30.3313,-759.0073852539062,63,70.122,751.6,63,315000,265.62
31.7047,-788.9957885742188,64,70.9326,672.9,64,320000,240.58
30.4431,-804.6575927734375,65,69.9916,968.32,65,325000,282.13
30.8212,-817.5722045898438,66,69.7683,838.26,66,330000,246.77
31.0886,-843.9241943359375,67,70.9353,861.44,67,335000,246.77
31.9491,-863.0953979492188,68,72.8737,894.52,68,340000,346.88
32.3364,-894.4929809570312,69,71.3079,927.12,69,345000,305.81
30.7181,-889.999267578125,70,69.7804,847.56,70,350000,305.47
31.043,-905.23681640625,71,69.8732,969.73,71,355000,308.03
30.8824,-938.7109375,72,69.5443,958.96,72,360000,274.4
31.4385,-950.6556396484375,73,70.7282,951.42,73,365000,300.64
31.2921,-971.4293823242188,74,70.9038,989.69,74,370000,282.12
30.5536,-975.444580078125,75,68.9821,1030.02,75,375000,299.86
30.2847,-987.4725341796875,76,69.3792,962.31,76,380000,286.1
30.9721,-1033.5040283203125,77,69.4858,944.15,77,385000,242.22
30.6612,-1042.6085205078125,78,70.0487,977.82,78,390000,294.84
31.4059,-1086.0977783203125,79,69.9572,921.81,79,395000,298.89
31.721,-1085.858154296875,80,70.1803,927.42,80,400000,297.86
31.2962,-1116.759033203125,81,70.7248,918.69,81,405000,316.61
30.7373,-1133.3076171875,82,71.2364,919.84,82,410000,288.29
30.8132,-1130.111083984375,83,67.6424,1028.78,83,415000,321.61
30.7451,-1167.39990234375,84,70.5449,861.99,84,420000,297.45
30.7014,-1173.7696533203125,85,70.8943,875.0,85,425000,223.17
30.782,-1235.5626220703125,86,70.5797,912.14,86,430000,265.91
29.7239,-1177.5711669921875,87,66.4337,1066.97,87,435000,310.54
30.446,-1239.3427734375,88,67.0202,965.05,88,440000,327.91
29.6464,-1246.905029296875,89,66.8266,922.07,89,445000,360.81
31.5299,-1313.935546875,90,71.4159,914.23,90,450000,296.56
30.2242,-1305.3192138671875,91,67.8167,744.75,91,455000,337.47
30.9541,-1359.3262939453125,92,71.5801,998.0,92,460000,289.06
30.2301,-1363.2432861328125,93,69.0228,790.45,93,465000,290.79
31.0154,-1374.4189453125,94,69.3507,935.66,94,470000,306.07
30.1965,-1412.099853515625,95,71.0683,737.75,95,475000,245.46
31.0935,-1448.2171630859375,96,71.4747,950.38,96,480000,303.7
31.2601,-1464.2457275390625,97,70.8697,966.03,97,485000,318.69
30.3549,-1466.5482177734375,98,69.1985,1023.25,98,490000,332.63
30.4953,-1526.069091796875,99,71.1556,871.13,99,495000,351.82
31.28,-1576.2843017578125,100,70.9541,1025.79,100,500000,370.94
30.3524,-1586.0838623046875,101,71.3655,829.3,101,505000,282.6
31.5218,-1594.3934326171875,102,70.218,918.79,102,510000,356.98
31.2216,-1636.5831298828125,103,72.0854,926.58,103,515000,338.15
31.4085,-1655.9700927734375,104,72.6777,994.51,104,520000,340.88
30.8072,-1690.9405517578125,105,72.039,826.08,105,525000,265.62
30.7312,-1708.0064697265625,106,71.6686,874.86,106,530000,318.86
31.2324,-1745.796875,107,70.3729,735.07,107,535000,323.75
31.3108,-1782.372314453125,108,68.5094,1056.43,108,540000,356.24
30.8418,-1799.09375,109,69.5491,1026.17,109,545000,345.59
30.7424,-1822.470458984375,110,68.916,1023.72,110,550000,403.53
30.7677,-1844.51123046875,111,67.9537,867.96,111,555000,345.53
30.1733,-1861.7445068359375,112,69.1868,963.87,112,560000,359.86
30.1029,-1871.8916015625,113,69.3694,1018.02,113,565000,344.25
30.2314,-1921.7291259765625,114,68.9107,976.59,114,570000,314.27
29.8381,-1944.9229736328125,115,67.5777,920.65,115,575000,307.98
30.8361,-1999.3807373046875,116,69.1888,966.72,116,580000,362.51
30.1948,-2006.7784423828125,117,69.0783,1035.01,117,585000,300.7
31.1933,-2089.161865234375,118,70.4156,962.65,118,590000,333.15
30.2088,-2040.0185546875,119,67.876,933.58,119,595000,352.23
30.2325,-2110.440673828125,120,70.6354,979.45,120,600000,339.32
30.9426,-2173.77197265625,121,70.6633,921.3,121,605000,327.36
30.4359,-2198.9169921875,122,70.1163,1014.5,122,610000,356.84
30.3347,-2189.174560546875,123,67.2597,1041.75,123,615000,370.55
30.6553,-2279.515869140625,124,71.1117,983.55,124,620000,338.84
30.8931,-2334.060546875,125,71.707,891.56,125,625000,292.93
30.6425,-2372.77685546875,126,70.4569,961.08,126,630000,310.3
31.1728,-2358.65283203125,127,70.9659,816.63,127,635000,332.89
30.6565,-2419.9248046875,128,71.172,997.45,128,640000,292.65
30.9436,-2485.590087890625,129,71.2946,1004.67,129,645000,262.27
30.1714,-2484.36572265625,130,68.3852,830.98,130,650000,313.71
30.8831,-2525.51416015625,131,72.2222,694.49,131,655000,306.3
30.2395,-2564.47705078125,132,69.7732,999.72,132,660000,372.13
29.4679,-2565.822265625,133,68.5077,1007.21,133,665000,332.87
30.3571,-2617.380615234375,134,68.9751,1005.51,134,670000,381.25
30.7462,-2690.513671875,135,70.9373,968.26,135,675000,323.44
30.8945,-2714.363037109375,136,68.8179,959.46,136,680000,337.88
30.6766,-2751.72412109375,137,69.8504,1080.19,137,685000,341.73
30.1505,-2715.95751953125,138,66.7423,986.15,138,690000,391.47
29.9004,-2813.401611328125,139,68.5005,1019.67,139,695000,365.38
31.0231,-2934.392333984375,140,71.1565,978.14,140,700000,305.49
29.2363,-2827.5615234375,141,66.4373,1073.75,141,705000,389.09
30.2126,-2969.8974609375,142,69.182,1032.2,142,710000,370.49
30.389,-3020.885986328125,143,68.4114,820.56,143,715000,309.53
30.2076,-3061.455810546875,144,69.1708,1040.15,144,720000,337.43
30.5713,-3090.572998046875,145,70.387,998.23,145,725000,292.5
30.4732,-3149.177490234375,146,70.4664,975.16,146,730000,281.83
30.2645,-3143.599853515625,147,68.5977,922.5,147,735000,340.68
30.1422,-3225.291015625,148,70.5932,977.42,148,740000,301.68
30.2126,-3252.87890625,149,67.6717,1036.01,149,745000,374.34
31.2823,-3339.71533203125,150,70.2863,990.58,150,750000,325.35
30.1846,-3372.77685546875,151,70.3563,949.38,151,755000,252.94
30.6858,-3450.501220703125,152,69.7039,977.9,152,760000,362.23
29.2637,-3436.5048828125,153,67.1058,994.07,153,765000,391.01
30.2453,-3466.95654296875,154,68.974,878.26,154,770000,402.98
30.2539,-3569.23876953125,155,69.599,884.77,155,775000,298.72
29.9186,-3596.813720703125,156,68.4437,1036.38,156,780000,355.17
30.4674,-3676.90087890625,157,71.3799,928.72,157,785000,365.96
29.8847,-3767.358154296875,158,70.9222,903.37,158,790000,326.07
29.4968,-3764.38818359375,159,68.9754,997.98,159,795000,330.31
30.6323,-3800.543212890625,160,69.0625,1015.33,160,800000,305.7
30.4177,-3843.034423828125,161,69.6867,955.85,161,805000,342.35
29.8148,-3898.075927734375,162,69.5474,936.85,162,810000,301.73
29.0547,-3856.461181640625,163,66.324,1037.78,163,815000,322.55
29.4876,-3951.855224609375,164,66.0478,1041.62,164,820000,333.93
29.9835,-4146.95361328125,165,70.6941,980.74,165,825000,348.27
