Real Det Return,Running Update Time,Itration,Running Reverse KL,Running Env Steps,Reward Loss,Running Forward KL,Real Sto Return
289.75,0,0,275.2157,0,-5284.01953125,445.9782,367.24
313.78,1,1,266.2973,5000,-5767.1962890625,434.0102,322.86
307.65,2,2,337.7158,10000,-5707.6884765625,444.1732,325.64
377.24,3,3,260.2305,15000,-5920.55712890625,420.783,411.95
365.27,4,4,240.0551,20000,-5793.4287109375,405.799,354.36
319.19,5,5,272.6671,25000,-6010.27978515625,421.1873,345.83
466.11,6,6,293.8074,30000,-6425.08056640625,423.0174,379.86
420.74,7,7,259.3167,35000,-6495.5634765625,435.0939,419.6
553.74,8,8,294.0126,40000,-6927.9169921875,414.7676,386.5
491.77,9,9,275.2788,45000,-7095.052734375,412.4307,485.07
441.03,10,10,308.8337,50000,-7825.41845703125,428.1147,494.03
472.31,11,11,268.9478,55000,-7888.74609375,422.4734,502.02
621.38,12,12,274.3949,60000,-7850.859375,415.0525,540.17
503.58,13,13,270.5678,65000,-7796.666015625,409.5042,472.52
534.63,14,14,264.1663,70000,-8189.73828125,409.9571,568.2
446.97,15,15,261.4328,75000,-8499.4384765625,405.7249,561.47
556.91,16,16,255.4403,80000,-8335.14453125,403.7653,643.12
609.33,17,17,263.6823,85000,-8993.4736328125,415.4893,586.26
663.26,18,18,260.0858,90000,-9555.3525390625,412.7474,638.92
575.76,19,19,274.6354,95000,-9525.794921875,410.6978,564.9
496.96,20,20,279.9987,100000,-9903.08203125,415.4817,652.36
513.43,21,21,285.0984,105000,-10250.244140625,412.0359,588.27
604.63,22,22,265.4968,110000,-9990.5361328125,415.7838,577.0
606.86,23,23,279.6678,115000,-10284.60546875,405.8806,610.18
531.39,24,24,279.1088,120000,-10727.828125,419.4389,562.96
607.74,25,25,280.1342,125000,-10539.6533203125,411.1513,610.19
549.71,26,26,270.7239,130000,-10967.7939453125,412.5423,687.31
531.76,27,27,264.3904,135000,-10872.1845703125,419.9755,619.46
702.1,28,28,261.6689,140000,-10993.7685546875,410.5029,733.88
605.35,29,29,256.8791,145000,-11141.6220703125,415.8138,732.71
610.23,30,30,267.3827,150000,-11718.828125,410.8101,620.97
615.44,31,31,258.6024,155000,-11437.611328125,408.0622,679.56
616.91,32,32,267.6018,160000,-11417.9638671875,420.4891,675.61
599.15,33,33,255.7026,165000,-11282.716796875,402.9095,675.43
727.62,34,34,251.8812,170000,-11599.869140625,401.9169,715.61
659.76,35,35,254.6956,175000,-11742.8125,400.1518,791.97
730.95,36,36,280.0016,180000,-12239.7578125,406.398,738.19
659.14,37,37,237.64,185000,-11689.0400390625,400.4228,820.23
723.01,38,38,267.9822,190000,-12324.8310546875,400.9545,737.7
633.4,39,39,264.0992,195000,-12084.9326171875,389.8074,805.6
637.76,40,40,278.728,200000,-12607.294921875,402.3561,881.44
617.09,41,41,278.2728,205000,-12607.2236328125,406.9427,892.6
675.75,42,42,261.8985,210000,-12469.177734375,390.4453,939.62
864.85,43,43,262.8654,215000,-12957.025390625,411.3735,829.86
594.32,44,44,251.3161,220000,-12697.509765625,405.6001,901.2
844.53,45,45,253.7732,225000,-12642.3134765625,398.3255,934.01
652.44,46,46,259.4782,230000,-12854.66015625,406.4837,945.83
819.0,47,47,252.6393,235000,-12349.14453125,392.2824,972.56
702.49,48,48,267.7003,240000,-13067.216796875,403.1687,924.43
698.86,49,49,254.1075,245000,-12724.435546875,398.4892,933.26
635.73,50,50,277.387,250000,-13576.8125,409.7268,897.8
609.89,51,51,261.5599,255000,-13296.1689453125,393.9939,942.11
652.1,52,52,240.7737,260000,-12589.3349609375,393.4867,907.67
866.18,53,53,245.1918,265000,-12570.8740234375,395.6409,1073.96
649.15,54,54,261.0329,270000,-13030.265625,395.7002,950.98
594.02,55,55,244.7928,275000,-12899.837890625,398.4009,976.22
1053.76,56,56,245.448,280000,-12992.4755859375,395.9301,1025.62
748.3,57,57,243.1978,285000,-13112.216796875,395.4976,945.28
849.08,58,58,252.9065,290000,-13389.392578125,402.907,1042.76
669.75,59,59,244.859,295000,-13230.728515625,399.4903,1034.07
904.43,60,60,250.4488,300000,-13517.23828125,402.5181,1096.6
763.98,61,61,256.9755,305000,-13648.3115234375,392.6558,1195.89
590.07,62,62,260.709,310000,-13900.8427734375,404.7952,1049.09
586.65,63,63,245.0585,315000,-13665.525390625,405.1514,951.18
1282.77,64,64,250.9951,320000,-13821.1875,402.4842,897.28
955.66,65,65,257.5072,325000,-13942.947265625,409.9355,1056.21
1200.17,66,66,258.5421,330000,-13526.609375,394.5192,1167.79
1178.29,67,67,250.2755,335000,-13677.65234375,394.3175,1217.81
1308.28,68,68,235.4139,340000,-12680.7578125,375.1682,1729.06
