Reward Loss,Real Sto Return,Itration,Running Update Time,Running Reverse KL,Running Forward KL,Running Env Steps,Real Det Return
-1615.3167724609375,1458.15,46,46,61.039,22.7884,230000,2085.14
-1828.0543212890625,1795.74,47,47,73.1872,23.5234,235000,2513.4
-1360.7867431640625,1009.2,48,48,34.3868,22.4719,240000,1238.48
-2031.8223876953125,1544.05,49,49,80.6905,23.6167,245000,2300.91
-2846.543701171875,1292.79,50,50,93.129,24.2345,250000,1480.43
-2384.102294921875,379.02,51,51,70.6723,23.4326,255000,1376.37
-1202.44287109375,2309.8,52,52,39.5338,23.2879,260000,2766.96
-2150.90625,1517.14,53,53,95.6779,23.5771,265000,1779.19
-827.8614501953125,1726.71,54,54,18.0246,21.6955,270000,2145.97
-2633.010986328125,1138.4,55,55,76.9141,25.9715,275000,1792.56
-1573.83349609375,957.45,56,56,31.3513,22.3124,280000,2818.8
-2458.235595703125,1658.67,57,57,63.3421,23.7394,285000,3141.9
-1779.3212890625,2061.89,58,58,61.0945,22.996,290000,3293.42
-2006.804931640625,2326.2,59,59,40.1316,23.587,295000,3387.55
-1762.43701171875,1770.72,60,60,37.4335,23.5321,300000,3289.09
-2517.896728515625,1455.41,61,61,34.7084,24.3522,305000,3216.38
-1383.242919921875,2197.63,62,62,25.769,22.4239,310000,3333.15
-3035.073486328125,1158.17,63,63,38.6548,24.627,315000,1310.52
-3262.393310546875,1241.98,64,64,58.4989,25.8564,320000,1075.17
-2795.29931640625,1686.15,65,65,33.8025,24.1623,325000,3374.25
-2717.587158203125,1559.24,66,66,35.5399,24.2367,330000,1292.44
-2804.384521484375,1174.72,67,67,40.1624,25.5721,335000,1288.98
-3161.907470703125,1043.15,68,68,36.2766,26.1611,340000,894.03
-1722.3758544921875,1938.65,69,69,24.3073,22.9826,345000,3188.97
-3484.871337890625,970.28,70,70,46.9428,25.3299,350000,894.12
-2382.03173828125,1509.81,71,71,31.561,22.8425,355000,1019.07
-3424.39013671875,1369.33,72,72,49.6694,24.7724,360000,1102.35
-3983.0478515625,968.44,73,73,50.9725,25.9117,365000,804.29
-3407.371826171875,1209.31,74,74,48.7482,23.4754,370000,1139.65
-3163.4013671875,1727.46,75,75,38.9647,24.802,375000,1822.81
-1532.0767822265625,2115.0,76,76,21.6922,23.6126,380000,3200.6
-2914.25048828125,1223.24,77,77,52.1508,24.4868,385000,1227.75
-4046.68017578125,906.09,78,78,41.7162,26.0526,390000,884.7
-3588.286865234375,1204.2,79,79,41.2076,24.7302,395000,1186.21
-4463.20947265625,1023.23,80,80,46.3998,27.2263,400000,942.58
-1839.1875,2003.18,81,81,23.1424,23.4937,405000,2320.82
-1881.347900390625,1563.8,82,82,25.913,22.0068,410000,3523.67
-2954.90576171875,1617.99,83,83,51.8721,23.513,415000,1956.17
-3722.689697265625,1988.81,84,84,39.0457,25.166,420000,957.71
-3377.208251953125,1400.61,85,85,35.8831,24.4294,425000,3357.69
-2685.22265625,1971.58,86,86,47.2587,23.4438,430000,2929.08
-4551.87109375,1052.44,87,87,53.2221,27.4096,435000,918.12
-4119.4453125,976.9,88,88,63.9429,25.8157,440000,918.06
-4257.46484375,1357.23,89,89,40.5119,25.8441,445000,932.54
-4302.74560546875,1339.55,90,90,47.9506,25.7477,450000,1037.33
-1884.452880859375,1927.23,91,91,23.2523,23.6871,455000,3401.72
-2526.4033203125,2092.16,92,92,26.5289,23.4501,460000,1964.15
-4006.52490234375,1754.72,93,93,40.4988,25.759,465000,1200.83
-4740.7900390625,1117.82,94,94,37.2825,25.5179,470000,1011.24
-1792.8394775390625,939.75,95,95,22.8921,24.1877,475000,1224.04
-3017.5947265625,1517.21,96,96,36.899,23.3855,480000,1026.94
-3081.58447265625,2202.86,97,97,27.1199,23.6956,485000,3149.61
-2657.049560546875,1820.01,98,98,28.1576,23.2619,490000,3453.25
