Real Det Return,Real Sto Return,Running Forward KL,Itration,Running Reverse KL
127.11,113.85,37.2619,0,32.5304
260.6,259.22,36.2079,1,32.0093
369.29,347.15,34.9351,2,26.7419
405.68,390.47,34.7573,3,29.8266
306.7,365.16,34.4374,4,26.1378
1046.62,745.24,31.8934,5,22.5169
-0.97,-0.81,44.5808,6,103.0114
1029.05,1032.46,41.7904,7,22.1681
2191.39,1146.45,32.3328,8,21.8893
260.75,297.33,36.2707,9,43.951
295.82,304.02,35.1483,10,50.8299
131.62,135.84,36.6471,11,32.4367
150.04,191.85,36.8581,12,89.5517
978.42,977.88,43.9946,13,43.1007
374.3,410.8,33.4181,14,22.395
234.62,233.85,38.7958,15,28.858
811.92,1333.26,33.7023,16,16.7744
2152.32,838.7,33.405,17,19.2061
594.61,742.84,34.6728,18,25.2638
1032.05,600.26,43.8237,19,37.3977
671.86,653.31,34.9138,20,40.9327
772.31,933.88,36.3543,21,21.3887
1013.51,1013.74,42.6772,22,40.9279
229.83,225.49,34.5247,23,42.9102
999.7,1000.7,43.9654,24,37.6775
