Running Forward KL,Reward Loss,Real Det Return,Itration,Real Sto Return,Running Update Time,Running Reverse KL,Running Env Steps
33.6179,-36.4143180847168,200.09,0,200.45,0,23.2609,0
33.0747,-110.60586547851562,169.86,1,188.69,1,30.4614,5000
33.4539,-6.661497116088867,180.99,2,178.03,2,20.8015,10000
34.1735,-56.768707275390625,259.42,3,240.94,3,25.7588,15000
33.4238,-120.28807067871094,293.48,4,277.73,4,42.3615,20000
33.4848,-144.2547149658203,322.71,5,320.57,5,54.1149,25000
32.8854,-154.8644256591797,289.69,6,285.35,6,78.5851,30000
31.1136,-81.45774841308594,247.08,7,243.01,7,57.9369,35000
32.593,-97.27574920654297,998.21,8,674.99,8,36.9707,40000
32.3343,-134.81640625,1020.3,9,1001.7,9,20.9842,45000
31.7246,-109.7294921875,321.57,10,325.35,10,38.1256,50000
33.923,-150.23828125,931.77,11,752.24,11,24.8511,55000
38.8582,-86.29961395263672,439.17,12,394.38,12,76.9605,60000
31.7313,-140.05429077148438,367.56,13,364.75,13,21.6819,65000
30.7504,-191.143798828125,356.16,14,358.12,14,61.1577,70000
29.7691,-173.99549865722656,462.06,15,488.45,15,32.2508,75000
38.3475,-193.48936462402344,1011.91,16,1012.38,16,34.9749,80000
30.2729,-72.62456512451172,350.29,17,321.35,17,39.2637,85000
32.0691,-307.1531066894531,275.69,18,271.45,18,59.5008,90000
30.2372,-147.1840057373047,404.29,19,398.67,19,22.003,95000
27.3101,-134.4075164794922,934.57,20,807.01,20,25.7647,100000
32.7377,-226.50912475585938,376.64,21,379.02,21,27.465,105000
28.4435,-258.87725830078125,308.11,22,265.95,22,32.559,110000
29.4948,-176.0397491455078,486.71,23,626.85,23,17.3666,115000
34.9209,-276.2323913574219,1006.04,24,1009.38,24,26.6217,120000
35.5964,-293.26983642578125,1011.18,25,1010.97,25,41.4735,125000
33.9164,-259.4742126464844,1015.51,26,1096.04,26,24.5468,130000
36.5803,-287.6499938964844,1039.52,27,1039.95,27,32.4774,135000
38.306,-299.7023620605469,1036.85,28,1036.46,28,34.8915,140000
34.7763,-277.0142822265625,579.52,29,562.76,29,25.5293,145000
37.3885,-337.5008544921875,998.26,30,997.39,30,46.993,150000
38.6567,-341.4171447753906,1043.98,31,826.2,31,30.2219,155000
30.9624,-265.91290283203125,366.88,32,365.91,32,34.174,160000
30.037,-353.1697998046875,293.42,33,296.24,33,31.946,165000
28.969,-301.7267150878906,978.88,34,737.66,34,29.7046,170000
27.4839,-293.3147277832031,400.01,35,390.87,35,39.0833,175000
24.4494,-432.6661376953125,596.69,36,565.94,36,42.3611,180000
23.8041,-335.54541015625,833.91,37,729.34,37,21.471,185000
25.9127,-372.69476318359375,887.56,38,836.13,38,31.0183,190000
24.6618,-306.3302001953125,722.65,39,709.18,39,33.6898,195000
25.3,-318.53900146484375,722.48,40,688.66,40,43.4685,200000
23.7974,-282.6229553222656,1225.86,41,1179.76,41,50.2982,205000
24.8395,-316.3720397949219,950.65,42,763.56,42,36.6562,210000
23.9884,-322.7831115722656,855.04,43,804.84,43,40.6815,215000
24.4524,-307.31768798828125,1630.07,44,1013.97,44,36.656,220000
25.5833,-319.1617126464844,1366.65,45,971.7,45,35.7267,225000
23.6207,-317.9114990234375,2220.42,46,1144.95,46,38.9958,230000
23.8112,-328.481689453125,1115.17,47,885.51,47,41.0723,235000
23.077,-225.33338928222656,2458.98,48,1817.02,48,24.2583,240000
23.4985,-341.5356750488281,1194.56,49,1080.4,49,38.5874,245000
23.4286,-304.34637451171875,278.47,50,937.38,50,33.4128,250000
24.0455,-300.0633239746094,2969.32,51,1832.18,51,33.6758,255000
24.5117,-167.23873901367188,2715.12,52,2693.91,52,12.5758,260000
22.4839,-225.50335693359375,3009.22,53,2400.32,53,21.0288,265000
25.5355,-207.67662048339844,2851.75,54,2843.05,54,13.8305,270000
22.5355,-165.3431396484375,2911.58,55,2818.48,55,12.5375,275000
23.9272,-344.8661193847656,2853.11,56,1325.01,56,38.7361,280000
24.1332,-392.918212890625,1031.42,57,1004.53,57,40.4368,285000
24.6282,-396.9075012207031,1021.92,58,873.78,58,42.3755,290000
23.5299,-390.5191650390625,1297.21,59,1053.06,59,40.4857,295000
22.7216,-383.6396484375,2928.21,60,1364.57,60,36.555,300000
22.1703,-306.632568359375,2235.81,61,1421.87,61,33.6124,305000
23.3845,-377.9991149902344,3226.8,62,1612.92,62,36.7067,310000
23.6199,-364.438720703125,3016.25,63,1258.36,63,36.1409,315000
21.5144,-125.08464050292969,3101.97,64,2945.58,64,12.9584,320000
21.4718,-149.50198364257812,3057.75,65,2424.59,65,14.3317,325000
22.797,-338.6591796875,3112.59,66,1556.57,66,31.4264,330000
23.2389,-348.4651184082031,3200.53,67,1463.59,67,31.8002,335000
23.203,-381.0711975097656,3196.0,68,1116.29,68,37.5749,340000
21.0587,-246.26394653320312,2795.4,69,1507.19,69,24.0028,345000
21.8876,-287.1548767089844,1714.09,70,1466.43,70,28.5936,350000
21.4217,-196.20811462402344,3040.28,71,2131.59,71,22.2614,355000
21.5386,-288.95880126953125,3107.2,72,2288.53,72,32.3208,360000
18.9321,-102.9926528930664,3180.5,73,2814.9,73,11.2255,365000
21.1676,-148.03726196289062,3162.26,74,1959.66,74,13.1797,370000
22.0952,-165.7183837890625,3033.38,75,2938.48,75,11.7108,375000
20.8474,-182.79957580566406,3117.09,76,2855.61,76,12.8746,380000
22.3386,-348.4996337890625,1350.31,77,1695.52,77,29.9867,385000
24.0363,-462.6390075683594,948.58,78,1301.18,78,39.8122,390000
24.1967,-491.60394287109375,2097.05,79,1074.07,79,39.0397,395000
22.0322,-443.26611328125,1187.54,80,1434.46,80,53.0973,400000
21.0509,-308.26043701171875,1032.45,81,1847.28,81,25.7826,405000
20.8529,-315.8193359375,1973.61,82,1660.13,82,23.7793,410000
23.2655,-515.441650390625,995.38,83,1222.31,83,38.2336,415000
22.3179,-429.0999755859375,2495.63,84,1823.91,84,30.1561,420000
21.3627,-212.5163116455078,3138.24,85,2766.17,85,15.0819,425000
21.7101,-146.013671875,3162.54,86,2813.01,86,11.729,430000
21.0427,-165.0712432861328,3124.8,87,2889.58,87,11.3926,435000
20.9613,-167.32603454589844,3113.88,88,2794.66,88,11.9683,440000
20.1922,-159.32489013671875,3135.36,89,2871.22,89,12.9964,445000
21.9047,-224.57516479492188,3130.48,90,2538.36,90,16.6099,450000
20.8621,-149.1624755859375,2357.78,91,2231.67,91,20.1333,455000
21.0265,-237.84030151367188,2783.59,92,2017.77,92,21.4657,460000
21.6096,-415.4359130859375,990.56,93,1366.35,93,27.759,465000
21.9626,-194.7481689453125,3112.93,94,2731.44,94,12.5068,470000
21.2149,-337.3475341796875,3100.93,95,2502.01,95,16.888,475000
20.212,-143.55628967285156,3133.97,96,3046.69,96,10.7407,480000
21.1827,-142.0063934326172,2397.11,97,2597.52,97,11.6724,485000
20.8545,-155.45278930664062,2172.48,98,1844.6,98,12.1525,490000
20.3219,-110.51243591308594,3166.44,99,3055.66,99,11.6067,495000
20.8472,-165.79371643066406,3171.1,100,2735.42,100,11.7318,500000
19.8558,-100.08126831054688,3217.67,101,3155.46,101,12.3049,505000
19.7027,-134.13792419433594,3185.88,102,2993.96,102,11.4868,510000
20.5287,-218.58840942382812,3154.38,103,2600.36,103,12.2803,515000
19.5467,-150.7110595703125,3228.74,104,2411.73,104,11.3857,520000
19.5997,-194.4545440673828,3158.42,105,2966.82,105,10.7925,525000
19.7781,-156.84974670410156,3164.16,106,3074.17,106,11.4301,530000
21.0116,-272.222412109375,3192.04,107,2529.38,107,14.437,535000
21.0264,-162.04934692382812,3160.91,108,2795.77,108,12.8279,540000
20.8411,-272.7879333496094,3228.75,109,2640.05,109,14.9233,545000
19.964,-177.14041137695312,3152.02,110,3111.89,110,11.225,550000
20.9449,-228.69586181640625,3152.04,111,2690.58,111,12.7899,555000
20.0191,-191.62017822265625,3208.38,112,3119.14,112,11.6494,560000
21.3101,-162.5258331298828,194.83,113,824.27,113,12.9532,565000
22.9486,-210.42727661132812,3016.77,114,2991.65,114,13.1677,570000
21.9436,-195.27381896972656,3160.81,115,3072.18,115,13.997,575000
22.4985,-209.61558532714844,3116.08,116,3111.34,116,13.9856,580000
21.7128,-191.28411865234375,3180.83,117,3163.33,117,12.9352,585000
20.3808,-204.6477813720703,3183.32,118,3157.06,118,11.5553,590000
21.8302,-200.36721801757812,3012.88,119,3027.32,119,11.6432,595000
20.8819,-134.5553436279297,3123.51,120,3141.26,120,12.9445,600000
21.2215,-196.6478271484375,3096.05,121,3097.25,121,12.1219,605000
20.4803,-159.20364379882812,3124.8,122,3143.33,122,12.0588,610000
20.5758,-188.81201171875,3184.34,123,3189.82,123,16.5509,615000
