Running Env Steps,Real Sto Return,Running Reverse KL,Real Det Return,Reward Loss,Running Forward KL,Running Update Time,Itration
0,474.89,12.2664,484.51,112.9019546508789,48.7827,0,0
5000,321.94,12.3576,347.69,161.5812530517578,49.0614,1,1
10000,338.08,13.213,324.34,97.63184356689453,48.5874,2,2
15000,344.99,13.9552,339.41,71.66498565673828,48.8472,3,3
20000,394.71,14.9966,360.07,31.996070861816406,48.0315,4,4
25000,377.69,12.0938,397.51,122.05943298339844,48.3029,5,5
30000,478.18,11.7798,929.98,89.69438171386719,48.0184,6,6
35000,419.8,15.4103,1418.25,68.3273696899414,48.8223,7,7
40000,604.79,22.5741,2268.97,90.46498107910156,47.377,8,8
45000,1187.03,25.1683,1974.84,-125.37577819824219,47.324,9,9
50000,713.65,32.3799,1024.04,122.02438354492188,47.5839,10,10
55000,1074.55,15.813,1577.3,113.8213882446289,46.7675,11,11
60000,1529.11,12.3878,2400.02,-112.05252838134766,45.1441,12,12
65000,1317.73,12.4636,2396.55,-19.116432189941406,45.4605,13,13
70000,777.54,13.2321,529.19,-3.8293302059173584,45.7197,14,14
75000,1128.64,14.9594,1047.87,8.849114418029785,46.913,15,15
80000,1393.2,13.1095,1066.23,-89.71482849121094,45.528,16,16
85000,1433.19,17.6686,1418.74,-140.6405792236328,45.3407,17,17
90000,1811.56,26.174,1278.13,-174.1227569580078,44.8781,18,18
95000,1949.07,15.3702,2052.06,-144.91090393066406,43.8612,19,19
100000,2095.57,21.5019,1736.61,-180.7118377685547,44.4346,20,20
105000,1914.54,23.1375,2139.12,-190.11766052246094,44.2242,21,21
110000,1908.76,25.5558,2144.74,-208.73764038085938,44.42,22,22
115000,1982.53,21.2433,2114.72,-216.378662109375,45.2116,23,23
120000,2983.95,15.87,3301.86,-166.04327392578125,43.6697,24,24
125000,2871.89,15.92,3166.77,-145.4167938232422,43.745,25,25
130000,2860.16,16.3385,2992.04,-145.79779052734375,43.7298,26,26
135000,3696.76,16.8417,3760.14,-168.23545837402344,42.7871,27,27
140000,3403.31,14.8071,3485.6,-147.08250427246094,43.4838,28,28
145000,3841.16,18.4269,3953.24,-177.3966827392578,42.0765,29,29
150000,3758.5,15.945,3824.6,-162.7720947265625,42.1002,30,30
155000,3735.53,16.6408,3777.53,-191.3388671875,42.4383,31,31
160000,3673.22,15.9486,3834.85,-176.5601043701172,42.4316,32,32
165000,3829.89,15.4423,3716.33,-174.37966918945312,41.7189,33,33
170000,3995.41,15.9845,4063.08,-171.35279846191406,40.9592,34,34
175000,3911.33,16.5455,3990.82,-182.82383728027344,41.5222,35,35
180000,3891.49,15.7933,4102.28,-191.82386779785156,41.3827,36,36
185000,4017.38,17.1293,4103.15,-211.84161376953125,41.3705,37,37
190000,4022.21,15.0757,4152.08,-198.2275848388672,40.3789,38,38
195000,3927.88,16.8458,4097.53,-218.5942840576172,40.8962,39,39
200000,4030.58,15.4385,4078.51,-206.44027709960938,41.0487,40,40
205000,3902.69,16.0301,3837.42,-240.13287353515625,41.4283,41,41
210000,3511.46,16.1625,4164.46,-217.00823974609375,40.1392,42,42
215000,4052.91,16.0785,4147.09,-216.9325714111328,40.9494,43,43
220000,4119.5,14.3856,4254.92,-223.17269897460938,40.1403,44,44
225000,4105.79,16.563,4194.49,-237.96832275390625,40.5837,45,45
230000,4191.11,15.4798,4221.83,-208.132568359375,39.9949,46,46
235000,3968.59,14.6811,4236.67,-219.9940643310547,39.9678,47,47
240000,3987.16,16.2685,4266.79,-256.4344787597656,40.3432,48,48
245000,4265.39,16.3383,4345.45,-225.64622497558594,39.512,49,49
250000,4304.66,15.8082,4415.15,-251.6689910888672,39.4465,50,50
255000,4150.9,14.8366,4372.95,-252.26268005371094,39.2947,51,51
260000,4298.21,15.854,4373.42,-247.2598876953125,39.596,52,52
265000,4325.95,15.1998,4445.8,-258.3038635253906,38.9398,53,53
270000,4077.01,15.97,4365.58,-263.6947937011719,39.557,54,54
275000,4123.81,14.7512,4379.07,-244.16461181640625,39.2633,55,55
280000,4011.92,16.317,4134.64,-310.3157043457031,40.4133,56,56
285000,4319.83,15.7438,4418.11,-275.4205627441406,39.4685,57,57
290000,4256.62,14.5736,4527.25,-256.13525390625,38.9159,58,58
295000,3145.56,27.3565,109.89,-413.414794921875,39.924,59,59
300000,4084.78,15.3745,4447.31,-276.2593994140625,39.0718,60,60
305000,4209.37,14.7781,4472.91,-252.26617431640625,39.2499,61,61
310000,4259.4,15.901,4492.85,-293.357666015625,39.3176,62,62
315000,4411.45,15.7005,4512.97,-282.5278015136719,39.2774,63,63
320000,3119.07,13.8443,4046.11,-277.2909851074219,39.7011,64,64
325000,4449.18,15.1675,4526.08,-280.2388610839844,38.438,65,65
330000,4429.92,16.7458,4492.2,-278.5128479003906,38.7586,66,66
335000,4341.62,14.6846,4440.57,-293.5751037597656,39.2219,67,67
340000,4354.61,14.4268,4505.6,-282.93328857421875,38.8196,68,68
345000,4468.38,15.587,4469.95,-285.96478271484375,38.6141,69,69
350000,4485.36,15.3522,4543.45,-280.3988952636719,37.9735,70,70
355000,4546.47,15.1563,4526.21,-293.62481689453125,38.4568,71,71
360000,4424.06,15.0859,4541.27,-315.1737365722656,38.1983,72,72
365000,4440.32,15.1483,4576.95,-278.5704650878906,38.8243,73,73
370000,4558.2,15.0531,4551.59,-284.0030822753906,38.05,74,74
375000,4561.2,14.691,4613.47,-299.5802307128906,37.5339,75,75
380000,4461.3,14.6045,4526.04,-309.8793029785156,38.3109,76,76
385000,4377.92,15.6624,4544.23,-314.1540222167969,39.4118,77,77
390000,4588.09,14.7684,4535.65,-315.933837890625,37.4283,78,78
395000,4619.12,14.334,4719.74,-284.6158752441406,37.3631,79,79
400000,4513.39,16.2688,4588.19,-337.8677978515625,37.9701,80,80
405000,4590.98,14.8772,4607.32,-320.40643310546875,38.1504,81,81
410000,4159.79,14.2076,4669.78,-318.0705261230469,37.175,82,82
415000,4611.6,14.8275,4601.78,-321.7300720214844,37.1325,83,83
420000,4631.35,15.0684,4704.08,-317.3761901855469,37.8803,84,84
425000,4456.93,14.5622,4684.11,-343.75482177734375,38.3606,85,85
430000,4553.05,14.4234,4702.86,-321.66314697265625,37.8477,86,86
435000,4686.65,13.973,4683.89,-327.761962890625,37.2687,87,87
440000,4545.16,13.8808,4629.48,-335.108154296875,37.5171,88,88
445000,4572.2,14.9724,4690.73,-334.9797058105469,38.0537,89,89
450000,4544.3,14.4432,4706.64,-334.81829833984375,37.9066,90,90
455000,4568.87,14.1683,4653.17,-325.6236267089844,37.414,91,91
460000,4619.74,14.9708,4659.43,-340.74127197265625,36.9312,92,92
465000,4664.5,14.4001,4736.16,-326.7422180175781,36.8316,93,93
470000,4681.44,14.3585,4734.38,-353.068359375,36.7993,94,94
475000,4648.55,14.889,4665.19,-346.9399108886719,37.5934,95,95
480000,4662.99,15.154,4661.94,-330.86907958984375,36.7605,96,96
485000,4664.97,14.4333,4808.33,-364.6155700683594,37.2114,97,97
490000,4448.45,13.9822,4536.97,-358.3002014160156,37.5257,98,98
495000,4655.24,13.5293,4811.1,-354.0723876953125,36.7571,99,99
500000,4644.56,14.7659,4758.56,-373.9784240722656,37.0789,100,100
505000,4704.58,14.2071,4703.79,-350.2953796386719,36.7572,101,101
510000,4581.78,14.4791,4812.2,-362.775390625,36.7015,102,102
515000,4658.88,14.4809,4774.59,-370.5638732910156,37.4361,103,103
520000,4736.47,13.3846,4830.01,-359.1375427246094,35.929,104,104
525000,4713.2,13.8079,4786.31,-366.7289733886719,36.1519,105,105
530000,4722.8,14.1524,4784.66,-368.3388977050781,36.2393,106,106
535000,4706.03,13.7144,4775.68,-378.10247802734375,36.2178,107,107
540000,4729.64,14.0157,4769.05,-386.364990234375,36.6559,108,108
545000,4505.99,14.2422,4804.66,-380.2478942871094,36.159,109,109
550000,4718.4,14.1902,4769.35,-394.9465637207031,36.3373,110,110
555000,4708.6,14.5678,4804.49,-394.71917724609375,36.7439,111,111
560000,4707.67,13.1719,4782.05,-383.5764465332031,35.5287,112,112
565000,4649.15,14.312,4802.98,-387.1823425292969,37.1432,113,113
570000,4703.49,13.6317,4810.6,-385.4109191894531,36.4109,114,114
575000,4718.27,13.9601,4804.15,-404.0462951660156,35.9545,115,115
580000,4680.25,13.404,4792.04,-400.5847473144531,35.7796,116,116
585000,4749.04,14.7332,4802.35,-386.42913818359375,36.1689,117,117
590000,4688.58,13.1709,4847.73,-390.9007873535156,35.7214,118,118
595000,4742.67,12.9281,4791.83,-394.5682678222656,35.8049,119,119
600000,4787.18,13.275,4912.99,-378.3913269042969,35.2171,120,120
605000,4739.91,13.5102,4698.8,-391.93524169921875,36.0439,121,121
610000,4765.38,13.3065,4849.75,-404.9166564941406,34.4318,122,122
615000,4755.05,12.7018,4874.29,-375.64544677734375,34.8706,123,123
620000,4747.16,13.457,4887.59,-423.7380676269531,35.318,124,124
625000,4724.4,13.222,4812.65,-426.631103515625,35.4328,125,125
630000,4735.01,13.0867,4717.59,-423.33245849609375,36.2683,126,126
635000,4621.96,13.3278,4808.85,-435.93359375,36.004,127,127
640000,4701.52,12.4162,4817.28,-414.8946533203125,34.7752,128,128
645000,4764.22,12.7448,4920.39,-439.2453308105469,35.398,129,129
650000,4756.66,13.8108,4875.42,-447.54229736328125,35.8545,130,130
655000,4710.38,13.2777,4897.8,-434.9685974121094,36.3929,131,131
660000,4756.44,12.6559,4906.84,-448.2182312011719,35.7231,132,132
665000,4686.28,12.8169,4837.91,-453.0907897949219,35.4296,133,133
670000,4564.79,12.0274,4923.35,-443.83697509765625,36.1681,134,134
675000,2559.67,13.3461,4682.21,-542.19384765625,37.5986,135,135
680000,4672.24,13.497,4721.57,-494.5267333984375,36.0914,136,136
685000,4629.64,12.4919,4808.54,-494.0177917480469,35.5963,137,137
690000,4755.07,12.6146,4869.94,-458.2070617675781,34.9723,138,138
695000,4698.57,13.3071,4826.25,-500.0060119628906,35.9584,139,139
700000,4681.95,12.4975,4859.1,-494.99468994140625,35.5892,140,140
705000,4753.29,12.7722,4779.73,-459.2785949707031,34.7687,141,141
710000,4680.72,11.7261,4807.52,-468.8226623535156,34.4909,142,142
715000,4667.86,12.4149,4620.54,-486.8454284667969,34.8078,143,143
720000,4670.78,12.5363,4821.62,-475.3205261230469,35.2294,144,144
725000,4739.42,12.4839,4875.45,-493.2539367675781,34.8208,145,145
730000,4732.57,12.4476,4853.03,-500.7992858886719,35.0388,146,146
735000,4677.31,12.639,4723.74,-504.912841796875,34.8936,147,147
740000,4755.66,12.7707,4896.48,-520.9237060546875,35.8917,148,148
745000,4744.19,12.4992,4793.87,-515.9369506835938,34.4006,149,149
750000,4698.54,12.7833,4707.72,-519.614990234375,34.9203,150,150
755000,4700.41,12.314,4829.27,-485.32672119140625,34.2713,151,151
760000,4723.75,13.0891,4773.37,-497.47686767578125,34.558,152,152
765000,4672.08,13.2958,4765.84,-544.7507934570312,35.2109,153,153
770000,4728.89,12.0587,4872.82,-545.2620849609375,34.4239,154,154
775000,4770.95,12.6192,4923.97,-519.3832397460938,34.642,155,155
780000,4732.37,12.3884,4862.31,-491.6857604980469,34.1375,156,156
785000,4692.45,12.1448,4835.35,-518.1928100585938,34.3986,157,157
