Running Env Steps,Running Forward KL,Reward Loss,Itration,Running Reverse KL,Real Sto Return,Running Update Time,Real Det Return
0,73.8007,-27.612581253051758,0,24.286,-64.85,0,202.76
5000,74.3954,-32.21212387084961,1,25.3894,-30.36,1,330.84
10000,73.6547,-49.14025115966797,2,26.0925,-46.17,2,323.45
15000,73.5025,-66.72386932373047,3,26.6476,-23.95,3,487.69
20000,72.5246,-79.1213607788086,4,28.0254,1.52,4,612.77
25000,72.4006,-97.00565338134766,5,29.4484,65.25,5,516.63
30000,71.6166,-106.04422760009766,6,30.4745,96.01,6,647.16
35000,69.5226,-113.09933471679688,7,29.7497,134.92,7,694.72
40000,70.0065,-127.75325775146484,8,31.3241,177.6,8,571.68
45000,71.7063,-145.9906463623047,9,31.1917,135.46,9,707.81
50000,70.0281,-156.34210205078125,10,30.7107,170.02,10,733.72
55000,69.1994,-169.69970703125,11,30.6602,178.92,11,719.51
60000,69.1231,-175.72225952148438,12,30.2388,176.78,12,565.42
65000,69.0184,-187.838134765625,13,29.7891,255.9,13,738.09
70000,65.6603,-199.08763122558594,14,28.4141,266.19,14,590.11
75000,68.8196,-210.71237182617188,15,30.3786,200.35,15,816.6
80000,66.1244,-221.11354064941406,16,29.0809,260.77,16,752.21
85000,68.1066,-233.61500549316406,17,29.474,201.55,17,556.78
90000,67.5271,-239.37355041503906,18,29.3887,196.43,18,579.23
95000,68.3039,-255.1326141357422,19,29.0075,223.49,19,779.6
100000,68.7834,-268.00665283203125,20,29.6007,222.91,20,609.57
105000,68.258,-277.0901184082031,21,29.6556,203.9,21,654.5
110000,70.0512,-294.85357666015625,22,29.9606,231.6,22,520.14
115000,67.9299,-303.91607666015625,23,29.8377,293.12,23,409.13
120000,69.7438,-320.4743347167969,24,30.3008,234.09,24,773.1
125000,71.2267,-340.2364501953125,25,31.2342,218.7,25,678.15
130000,70.0994,-350.87066650390625,26,30.2875,245.37,26,752.1
135000,69.9497,-355.8600769042969,27,30.2506,204.22,27,644.46
140000,64.6158,-358.3180847167969,28,28.4477,297.85,28,888.03
145000,65.0582,-367.5078430175781,29,28.6526,207.38,29,496.82
150000,66.3871,-384.6419372558594,30,28.2629,235.46,30,746.73
155000,66.6713,-397.2058410644531,31,28.7664,290.66,31,534.18
160000,65.8911,-407.1572570800781,32,28.526,365.61,32,1084.16
165000,63.1103,-401.7667236328125,33,27.0161,366.83,33,926.52
170000,67.2567,-446.5746765136719,34,29.2575,273.52,34,576.46
175000,68.0214,-460.22979736328125,35,28.9294,176.82,35,765.02
180000,68.4991,-470.860107421875,36,29.1645,220.22,36,613.51
185000,68.6456,-484.5943908691406,37,29.7428,315.16,37,733.74
190000,66.1143,-489.09674072265625,38,28.4298,346.72,38,869.2
195000,66.1297,-502.4045104980469,39,27.9904,237.94,39,630.08
200000,67.8647,-520.5289916992188,40,29.3042,266.69,40,541.89
205000,63.9812,-518.5048217773438,41,27.5405,335.76,41,985.35
210000,62.397,-522.6010131835938,42,27.1823,300.07,42,810.48
215000,61.1005,-512.4453735351562,43,25.7378,377.19,43,964.42
220000,64.6328,-558.4652099609375,44,27.8671,542.05,44,769.44
225000,61.4667,-547.3588256835938,45,26.5466,523.92,45,1040.74
230000,61.8885,-562.4823608398438,46,26.0315,499.4,46,1233.05
235000,63.5841,-589.7283325195312,47,27.094,569.5,47,965.04
240000,62.3329,-603.5081787109375,48,26.2845,767.1,48,1215.73
245000,59.919,-574.2057495117188,49,24.6676,823.07,49,1589.64
250000,59.2456,-594.9754638671875,50,24.3431,512.23,50,1109.34
255000,63.4943,-649.9520263671875,51,26.7915,378.5,51,821.56
260000,57.5312,-604.3178100585938,52,23.4067,478.11,52,1165.19
265000,60.7444,-644.1793212890625,53,25.3142,749.15,53,1319.11
270000,55.3568,-574.295654296875,54,22.8785,815.7,54,1670.52
275000,62.4282,-709.0247802734375,55,26.8404,546.52,55,1272.15
280000,58.8302,-670.701171875,56,24.4525,579.5,56,1202.33
285000,58.4157,-655.7030639648438,57,23.7049,593.1,57,1290.81
290000,60.5742,-711.4992065429688,58,25.273,986.23,58,1414.85
295000,58.4416,-724.5587158203125,59,24.1688,959.93,59,1299.6
300000,56.9736,-681.8641967773438,60,23.2571,1022.14,60,1713.46
305000,53.5941,-673.362548828125,61,21.3579,713.81,61,1800.7
310000,55.4607,-689.677978515625,62,21.4275,828.27,62,1522.16
